Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1917,1159,D24HourMean,QuarterlyMean,Mean,5.49
1956,1232,D24HourMean,QuarterlyMean,Mean,3.45
1910,1160,D24HourMean,QuarterlyMean,Mean,6.58
1938,1203,D24HourMean,QuarterlyMean,Mean,3.45
1951,1222,D24HourMean,QuarterlyMean,Mean,4.20
1884,1167,D24HourMean,QuarterlyMean,Mean,4.29
1904,1189,D24HourMean,QuarterlyMean,Mean,3.92
1869,1142,D24HourMean,QuarterlyMean,Mean,12.18
1901,1154,D24HourMean,QuarterlyMean,Mean,4.34
1938,1204,D24HourMean,QuarterlyMean,Mean,3.30
2098,1254,D24HourMean,QuarterlyMean,Mean,3.49
1865,1146,D24HourMean,QuarterlyMean,Mean,11.10
1924,1161,D24HourMean,QuarterlyMean,Mean,5.36
1933,1221,D24HourMean,QuarterlyMean,Mean,3.96
1894,1184,D24HourMean,QuarterlyMean,Mean,5.42
1944,1229,D24HourMean,QuarterlyMean,Mean,3.38
2019,1257,D24HourMean,QuarterlyMean,Mean,3.70
1876,1171,D24HourMean,QuarterlyMean,Mean,5.03
1933,1215,D24HourMean,QuarterlyMean,Mean,4.45
1860,1152,D24HourMean,QuarterlyMean,Mean,5.74
1911,1172,D24HourMean,QuarterlyMean,Mean,5.18
2048,1257,D24HourMean,QuarterlyMean,Mean,3.81
1994,1249,D24HourMean,QuarterlyMean,Mean,3.67
2032,1254,D24HourMean,QuarterlyMean,Mean,3.70
1869,1152,D24HourMean,QuarterlyMean,Mean,7.41
1969,1242,D24HourMean,QuarterlyMean,Mean,3.06
1980,1240,D24HourMean,QuarterlyMean,Mean,4.31
2093,1256,D24HourMean,QuarterlyMean,Mean,3.51
1925,1220,D24HourMean,QuarterlyMean,Mean,6.11
1859,1180,D24HourMean,QuarterlyMean,Mean,5.27
1907,1180,D24HourMean,QuarterlyMean,Mean,5.18
1892,1146,D24HourMean,QuarterlyMean,Mean,9.32
1877,1162,D24HourMean,QuarterlyMean,Mean,5.49
1890,1196,D24HourMean,QuarterlyMean,Mean,3.97
1887,1173,D24HourMean,QuarterlyMean,Mean,4.58
1917,1155,D24HourMean,QuarterlyMean,Mean,5.96
1853,1179,D24HourMean,QuarterlyMean,Mean,11.43
1872,1175,D24HourMean,QuarterlyMean,Mean,6.04
1909,1163,D24HourMean,QuarterlyMean,Mean,5.54
1922,1198,D24HourMean,QuarterlyMean,Mean,4.09
1887,1144,D24HourMean,QuarterlyMean,Mean,10.01
