Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1917,1159,2010,844.02,ALL,ALL,ALL,0TO99
1956,1232,2010,350.19,ALL,ALL,ALL,0TO99
1910,1160,2010,9630.86,ALL,ALL,ALL,0TO99
1938,1203,2010,25.14,ALL,ALL,ALL,0TO99
1951,1222,2010,294.20,ALL,ALL,ALL,0TO99
1884,1167,2010,226.16,ALL,ALL,ALL,0TO99
1904,1189,2010,160.56,ALL,ALL,ALL,0TO99
1869,1142,2010,745.81,ALL,ALL,ALL,0TO99
1901,1154,2010,1337.06,ALL,ALL,ALL,0TO99
1938,1204,2010,25.05,ALL,ALL,ALL,0TO99
2098,1254,2010,100.12,ALL,ALL,ALL,0TO99
1865,1146,2010,776.72,ALL,ALL,ALL,0TO99
1924,1161,2010,992.43,ALL,ALL,ALL,0TO99
1933,1221,2010,207.27,ALL,ALL,ALL,0TO99
1894,1184,2010,159.84,ALL,ALL,ALL,0TO99
1944,1229,2010,66.64,ALL,ALL,ALL,0TO99
2019,1257,2010,24.37,ALL,ALL,ALL,0TO99
1876,1171,2010,199.25,ALL,ALL,ALL,0TO99
1933,1215,2010,206.00,ALL,ALL,ALL,0TO99
1860,1152,2010,771.85,ALL,ALL,ALL,0TO99
1911,1172,2010,341.12,ALL,ALL,ALL,0TO99
2048,1257,2010,25.02,ALL,ALL,ALL,0TO99
1994,1249,2010,82.41,ALL,ALL,ALL,0TO99
2032,1254,2010,13.19,ALL,ALL,ALL,0TO99
1869,1152,2010,77.81,ALL,ALL,ALL,0TO99
1969,1242,2010,112.76,ALL,ALL,ALL,0TO99
1980,1240,2010,328.91,ALL,ALL,ALL,0TO99
2093,1256,2010,97.37,ALL,ALL,ALL,0TO99
1925,1220,2010,256.64,ALL,ALL,ALL,0TO99
1859,1180,2010,674.50,ALL,ALL,ALL,0TO99
1907,1180,2010,141.77,ALL,ALL,ALL,0TO99
1892,1146,2010,930.20,ALL,ALL,ALL,0TO99
1877,1162,2010,52.92,ALL,ALL,ALL,0TO99
1890,1196,2010,144.51,ALL,ALL,ALL,0TO99
1887,1173,2010,73.25,ALL,ALL,ALL,0TO99
1917,1155,2010,479.91,ALL,ALL,ALL,0TO99
1853,1179,2010,824.09,ALL,ALL,ALL,0TO99
1872,1175,2010,76.82,ALL,ALL,ALL,0TO99
1909,1163,2010,1274.81,ALL,ALL,ALL,0TO99
1922,1198,2010,471.67,ALL,ALL,ALL,0TO99
1887,1144,2010,6955.18,ALL,ALL,ALL,0TO99
1890,1154,2010,1221.59,ALL,ALL,ALL,0TO99
1916,1170,2010,781.63,ALL,ALL,ALL,0TO99
1865,1162,2010,255.36,ALL,ALL,ALL,0TO99
1867,1185,2010,1560.32,ALL,ALL,ALL,0TO99
1878,1160,2010,68.98,ALL,ALL,ALL,0TO99
1882,1175,2010,85.32,ALL,ALL,ALL,0TO99
1879,1143,2010,1917.78,ALL,ALL,ALL,0TO99
1891,1180,2010,87.81,ALL,ALL,ALL,0TO99
2053,1249,2010,23.84,ALL,ALL,ALL,0TO99
2090,1250,2010,93.78,ALL,ALL,ALL,0TO99
1878,1190,2010,4775.94,ALL,ALL,ALL,0TO99
1949,1228,2010,41.75,ALL,ALL,ALL,0TO99
1964,1231,2010,149.81,ALL,ALL,ALL,0TO99
1907,1161,2010,24391.15,ALL,ALL,ALL,0TO99
1868,1154,2010,131.79,ALL,ALL,ALL,0TO99
1900,1166,2010,427.29,ALL,ALL,ALL,0TO99
1860,1150,2010,1777.29,ALL,ALL,ALL,0TO99
1878,1188,2010,2122.25,ALL,ALL,ALL,0TO99
1962,1244,2010,112.98,ALL,ALL,ALL,0TO99
1857,1147,2010,7539.73,ALL,ALL,ALL,0TO99
1910,1152,2010,15066.73,ALL,ALL,ALL,0TO99
1893,1165,2010,257.53,ALL,ALL,ALL,0TO99
1879,1175,2010,111.76,ALL,ALL,ALL,0TO99
1917,1168,2010,922.94,ALL,ALL,ALL,0TO99
2033,1257,2010,190.56,ALL,ALL,ALL,0TO99
1868,1169,2010,208.79,ALL,ALL,ALL,0TO99
1878,1171,2010,268.59,ALL,ALL,ALL,0TO99
1883,1169,2010,162.86,ALL,ALL,ALL,0TO99
2006,1253,2010,67.96,ALL,ALL,ALL,0TO99
1919,1188,2010,60.02,ALL,ALL,ALL,0TO99
1888,1155,2010,206.43,ALL,ALL,ALL,0TO99
1907,1170,2010,1631.61,ALL,ALL,ALL,0TO99
1877,1180,2010,63.82,ALL,ALL,ALL,0TO99
1887,1183,2010,85.67,ALL,ALL,ALL,0TO99
1893,1193,2010,117.26,ALL,ALL,ALL,0TO99
1912,1158,2010,5878.51,ALL,ALL,ALL,0TO99
1890,1150,2010,232.04,ALL,ALL,ALL,0TO99
1941,1223,2010,239.14,ALL,ALL,ALL,0TO99
2018,1256,2010,24.95,ALL,ALL,ALL,0TO99
1900,1150,2010,4993.91,ALL,ALL,ALL,0TO99
1898,1152,2010,1844.81,ALL,ALL,ALL,0TO99
1907,1168,2010,2135.33,ALL,ALL,ALL,0TO99
1857,1168,2010,662.01,ALL,ALL,ALL,0TO99
1887,1192,2010,262.08,ALL,ALL,ALL,0TO99
1958,1228,2010,96.98,ALL,ALL,ALL,0TO99
1977,1253,2010,478.39,ALL,ALL,ALL,0TO99
1870,1156,2010,130.25,ALL,ALL,ALL,0TO99
1896,1192,2010,908.34,ALL,ALL,ALL,0TO99
1869,1172,2010,649.81,ALL,ALL,ALL,0TO99
1879,1147,2010,52.01,ALL,ALL,ALL,0TO99
1902,1180,2010,90.21,ALL,ALL,ALL,0TO99
1879,1153,2010,96.82,ALL,ALL,ALL,0TO99
1894,1183,2010,148.89,ALL,ALL,ALL,0TO99
1932,1223,2010,330.11,ALL,ALL,ALL,0TO99
2053,1256,2010,23.49,ALL,ALL,ALL,0TO99
1962,1247,2010,155.94,ALL,ALL,ALL,0TO99
1882,1143,2010,421.22,ALL,ALL,ALL,0TO99
1911,1166,2010,693.09,ALL,ALL,ALL,0TO99
1957,1229,2010,96.59,ALL,ALL,ALL,0TO99
1896,1179,2010,229.78,ALL,ALL,ALL,0TO99
1860,1183,2010,3442.31,ALL,ALL,ALL,0TO99
1994,1245,2010,59.35,ALL,ALL,ALL,0TO99
1993,1248,2010,82.77,ALL,ALL,ALL,0TO99
1889,1169,2010,249.19,ALL,ALL,ALL,0TO99
1879,1188,2010,432.13,ALL,ALL,ALL,0TO99
1944,1226,2010,144.78,ALL,ALL,ALL,0TO99
1954,1228,2010,96.98,ALL,ALL,ALL,0TO99
1862,1171,2010,140.18,ALL,ALL,ALL,0TO99
1859,1161,2010,621.52,ALL,ALL,ALL,0TO99
1860,1168,2010,102.32,ALL,ALL,ALL,0TO99
1961,1234,2010,42.57,ALL,ALL,ALL,0TO99
1914,1181,2010,49.70,ALL,ALL,ALL,0TO99
1878,1180,2010,62.13,ALL,ALL,ALL,0TO99
1954,1222,2010,168.92,ALL,ALL,ALL,0TO99
2054,1251,2010,24.04,ALL,ALL,ALL,0TO99
2086,1259,2010,27.99,ALL,ALL,ALL,0TO99
2027,1255,2010,22.91,ALL,ALL,ALL,0TO99
1919,1187,2010,156.96,ALL,ALL,ALL,0TO99
1935,1207,2010,8.33,ALL,ALL,ALL,0TO99
