Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2662,828,D24HourMean,QuarterlyMean,Mean,37.30
2642,844,D24HourMean,QuarterlyMean,Mean,19.90
2640,838,D24HourMean,QuarterlyMean,Mean,23.94
2636,846,D24HourMean,QuarterlyMean,Mean,17.24
2636,849,D24HourMean,QuarterlyMean,Mean,6.75
2663,838,D24HourMean,QuarterlyMean,Mean,17.68
2627,845,D24HourMean,QuarterlyMean,Mean,16.54
2657,837,D24HourMean,QuarterlyMean,Mean,21.01
2645,846,D24HourMean,QuarterlyMean,Mean,8.34
2615,863,D24HourMean,QuarterlyMean,Mean,17.30
2615,843,D24HourMean,QuarterlyMean,Mean,30.25
2615,860,D24HourMean,QuarterlyMean,Mean,16.24
2620,846,D24HourMean,QuarterlyMean,Mean,18.37
2656,830,D24HourMean,QuarterlyMean,Mean,38.47
2674,833,D24HourMean,QuarterlyMean,Mean,26.59
2641,836,D24HourMean,QuarterlyMean,Mean,28.90
2607,857,D24HourMean,QuarterlyMean,Mean,20.50
2616,842,D24HourMean,QuarterlyMean,Mean,30.59
2611,853,D24HourMean,QuarterlyMean,Mean,19.85
2652,832,D24HourMean,QuarterlyMean,Mean,29.37
2666,829,D24HourMean,QuarterlyMean,Mean,28.01
2626,848,D24HourMean,QuarterlyMean,Mean,15.38
2631,848,D24HourMean,QuarterlyMean,Mean,12.98
2640,842,D24HourMean,QuarterlyMean,Mean,25.84
2619,852,D24HourMean,QuarterlyMean,Mean,15.99
2646,842,D24HourMean,QuarterlyMean,Mean,24.07
2611,857,D24HourMean,QuarterlyMean,Mean,19.03
2628,851,D24HourMean,QuarterlyMean,Mean,14.56
2663,829,D24HourMean,QuarterlyMean,Mean,31.79
2669,829,D24HourMean,QuarterlyMean,Mean,26.60
2621,846,D24HourMean,QuarterlyMean,Mean,17.47
2657,842,D24HourMean,QuarterlyMean,Mean,10.88
2638,834,D24HourMean,QuarterlyMean,Mean,33.48
2651,841,D24HourMean,QuarterlyMean,Mean,20.28
2628,839,D24HourMean,QuarterlyMean,Mean,21.23
2657,838,D24HourMean,QuarterlyMean,Mean,23.44
2669,833,D24HourMean,QuarterlyMean,Mean,21.52
2614,846,D24HourMean,QuarterlyMean,Mean,24.84
2658,828,D24HourMean,QuarterlyMean,Mean,40.56
2615,848,D24HourMean,QuarterlyMean,Mean,20.60
2611,859,D24HourMean,QuarterlyMean,Mean,9.50
2679,833,D24HourMean,QuarterlyMean,Mean,21.52
2630,848,D24HourMean,QuarterlyMean,Mean,13.41
2618,851,D24HourMean,QuarterlyMean,Mean,17.37
2663,835,D24HourMean,QuarterlyMean,Mean,19.03
2610,857,D24HourMean,QuarterlyMean,Mean,18.56
2637,847,D24HourMean,QuarterlyMean,Mean,16.14
2635,842,D24HourMean,QuarterlyMean,Mean,19.44
2620,843,D24HourMean,QuarterlyMean,Mean,20.95
2631,836,D24HourMean,QuarterlyMean,Mean,34.11
2615,845,D24HourMean,QuarterlyMean,Mean,25.34
2615,853,D24HourMean,QuarterlyMean,Mean,19.63
2679,835,D24HourMean,QuarterlyMean,Mean,16.36
2642,849,D24HourMean,QuarterlyMean,Mean,5.80
2623,847,D24HourMean,QuarterlyMean,Mean,15.68
2623,858,D24HourMean,QuarterlyMean,Mean,18.19
2619,855,D24HourMean,QuarterlyMean,Mean,15.79
2646,835,D24HourMean,QuarterlyMean,Mean,29.26
2658,839,D24HourMean,QuarterlyMean,Mean,19.51
2654,842,D24HourMean,QuarterlyMean,Mean,17.63
2608,849,D24HourMean,QuarterlyMean,Mean,20.91
2608,855,D24HourMean,QuarterlyMean,Mean,19.57
2637,835,D24HourMean,QuarterlyMean,Mean,33.91
2608,856,D24HourMean,QuarterlyMean,Mean,20.61
2627,851,D24HourMean,QuarterlyMean,Mean,14.78
2608,859,D24HourMean,QuarterlyMean,Mean,18.95
2653,835,D24HourMean,QuarterlyMean,Mean,22.41
2638,835,D24HourMean,QuarterlyMean,Mean,31.39
2660,834,D24HourMean,QuarterlyMean,Mean,22.63
2605,853,D24HourMean,QuarterlyMean,Mean,22.27
2644,844,D24HourMean,QuarterlyMean,Mean,17.62
2666,827,D24HourMean,QuarterlyMean,Mean,33.62
2667,838,D24HourMean,QuarterlyMean,Mean,9.72
2621,854,D24HourMean,QuarterlyMean,Mean,15.00
2615,855,D24HourMean,QuarterlyMean,Mean,17.76
2618,842,D24HourMean,QuarterlyMean,Mean,26.79
2649,832,D24HourMean,QuarterlyMean,Mean,32.43
2664,830,D24HourMean,QuarterlyMean,Mean,29.07
2616,852,D24HourMean,QuarterlyMean,Mean,18.50
2627,839,D24HourMean,QuarterlyMean,Mean,22.53
2666,835,D24HourMean,QuarterlyMean,Mean,17.00
2639,835,D24HourMean,QuarterlyMean,Mean,32.75
2646,834,D24HourMean,QuarterlyMean,Mean,28.51
2614,845,D24HourMean,QuarterlyMean,Mean,26.96
2680,836,D24HourMean,QuarterlyMean,Mean,16.10
2644,838,D24HourMean,QuarterlyMean,Mean,25.85
2669,838,D24HourMean,QuarterlyMean,Mean,8.92
2678,835,D24HourMean,QuarterlyMean,Mean,17.11
2619,846,D24HourMean,QuarterlyMean,Mean,18.14
2665,829,D24HourMean,QuarterlyMean,Mean,28.25
2613,858,D24HourMean,QuarterlyMean,Mean,19.88
2645,835,D24HourMean,QuarterlyMean,Mean,29.82
2611,845,D24HourMean,QuarterlyMean,Mean,32.59
2634,846,D24HourMean,QuarterlyMean,Mean,16.01
2614,852,D24HourMean,QuarterlyMean,Mean,20.38
2639,843,D24HourMean,QuarterlyMean,Mean,22.76
2630,851,D24HourMean,QuarterlyMean,Mean,12.21
2616,856,D24HourMean,QuarterlyMean,Mean,20.48
2630,839,D24HourMean,QuarterlyMean,Mean,20.04
2627,852,D24HourMean,QuarterlyMean,Mean,15.63
2631,854,D24HourMean,QuarterlyMean,Mean,16.02
2671,837,D24HourMean,QuarterlyMean,Mean,9.20
2625,841,D24HourMean,QuarterlyMean,Mean,20.55
2623,850,D24HourMean,QuarterlyMean,Mean,16.45
2616,848,D24HourMean,QuarterlyMean,Mean,21.41
2626,840,D24HourMean,QuarterlyMean,Mean,21.69
2607,848,D24HourMean,QuarterlyMean,Mean,28.16
2657,829,D24HourMean,QuarterlyMean,Mean,38.84
2653,831,D24HourMean,QuarterlyMean,Mean,33.42
2617,856,D24HourMean,QuarterlyMean,Mean,17.73
2667,835,D24HourMean,QuarterlyMean,Mean,18.45
2663,839,D24HourMean,QuarterlyMean,Mean,16.11
2604,847,D24HourMean,QuarterlyMean,Mean,34.26
2645,841,D24HourMean,QuarterlyMean,Mean,25.72
2647,845,D24HourMean,QuarterlyMean,Mean,9.47
2666,831,D24HourMean,QuarterlyMean,Mean,24.54
2627,850,D24HourMean,QuarterlyMean,Mean,13.70
2626,844,D24HourMean,QuarterlyMean,Mean,16.85
2634,852,D24HourMean,QuarterlyMean,Mean,6.22
2662,841,D24HourMean,QuarterlyMean,Mean,9.88
2651,836,D24HourMean,QuarterlyMean,Mean,21.28
2643,847,D24HourMean,QuarterlyMean,Mean,7.32
2639,834,D24HourMean,QuarterlyMean,Mean,34.56
2625,858,D24HourMean,QuarterlyMean,Mean,14.50
2632,845,D24HourMean,QuarterlyMean,Mean,15.84
2656,828,D24HourMean,QuarterlyMean,Mean,39.34
2622,859,D24HourMean,QuarterlyMean,Mean,5.51
2653,836,D24HourMean,QuarterlyMean,Mean,25.62
2650,841,D24HourMean,QuarterlyMean,Mean,22.12
2621,859,D24HourMean,QuarterlyMean,Mean,14.25
2631,841,D24HourMean,QuarterlyMean,Mean,18.74
2641,843,D24HourMean,QuarterlyMean,Mean,23.61
2627,847,D24HourMean,QuarterlyMean,Mean,15.51
2610,853,D24HourMean,QuarterlyMean,Mean,19.41
2665,836,D24HourMean,QuarterlyMean,Mean,16.05
2668,824,D24HourMean,QuarterlyMean,Mean,38.57
2656,833,D24HourMean,QuarterlyMean,Mean,26.18
2648,831,D24HourMean,QuarterlyMean,Mean,36.32
2665,837,D24HourMean,QuarterlyMean,Mean,16.83
2605,854,D24HourMean,QuarterlyMean,Mean,21.42
2613,856,D24HourMean,QuarterlyMean,Mean,19.13
2612,850,D24HourMean,QuarterlyMean,Mean,20.34
2616,849,D24HourMean,QuarterlyMean,Mean,19.44
2651,835,D24HourMean,QuarterlyMean,Mean,22.07
2606,847,D24HourMean,QuarterlyMean,Mean,33.77
2634,839,D24HourMean,QuarterlyMean,Mean,19.69
2620,839,D24HourMean,QuarterlyMean,Mean,30.30
2612,853,D24HourMean,QuarterlyMean,Mean,21.02
2657,840,D24HourMean,QuarterlyMean,Mean,17.31
2645,837,D24HourMean,QuarterlyMean,Mean,29.96
2631,838,D24HourMean,QuarterlyMean,Mean,22.71
2635,852,D24HourMean,QuarterlyMean,Mean,6.02
2677,835,D24HourMean,QuarterlyMean,Mean,17.68
2640,836,D24HourMean,QuarterlyMean,Mean,27.91
2636,839,D24HourMean,QuarterlyMean,Mean,20.41
2657,836,D24HourMean,QuarterlyMean,Mean,20.76
2636,837,D24HourMean,QuarterlyMean,Mean,25.09
2609,858,D24HourMean,QuarterlyMean,Mean,17.73
2647,844,D24HourMean,QuarterlyMean,Mean,10.36
2645,840,D24HourMean,QuarterlyMean,Mean,26.19
2666,830,D24HourMean,QuarterlyMean,Mean,25.84
2614,848,D24HourMean,QuarterlyMean,Mean,22.07
2669,828,D24HourMean,QuarterlyMean,Mean,29.48
2629,855,D24HourMean,QuarterlyMean,Mean,15.72
2642,841,D24HourMean,QuarterlyMean,Mean,26.79
2662,838,D24HourMean,QuarterlyMean,Mean,17.68
2641,849,D24HourMean,QuarterlyMean,Mean,5.85
2680,829,D24HourMean,QuarterlyMean,Mean,24.05
2653,833,D24HourMean,QuarterlyMean,Mean,26.46
2641,848,D24HourMean,QuarterlyMean,Mean,6.52
2625,853,D24HourMean,QuarterlyMean,Mean,14.85
2613,854,D24HourMean,QuarterlyMean,Mean,19.29
2649,843,D24HourMean,QuarterlyMean,Mean,19.00
2666,837,D24HourMean,QuarterlyMean,Mean,16.66
2663,830,D24HourMean,QuarterlyMean,Mean,29.48
2652,834,D24HourMean,QuarterlyMean,Mean,24.94
2618,843,D24HourMean,QuarterlyMean,Mean,24.11
2608,846,D24HourMean,QuarterlyMean,Mean,33.60
2675,825,D24HourMean,QuarterlyMean,Mean,37.47
2654,841,D24HourMean,QuarterlyMean,Mean,17.68
2662,839,D24HourMean,QuarterlyMean,Mean,16.47
2622,854,D24HourMean,QuarterlyMean,Mean,14.09
2644,840,D24HourMean,QuarterlyMean,Mean,26.52
2627,856,D24HourMean,QuarterlyMean,Mean,6.15
2606,855,D24HourMean,QuarterlyMean,Mean,20.44
2674,826,D24HourMean,QuarterlyMean,Mean,37.79
2603,848,D24HourMean,QuarterlyMean,Mean,31.45
2624,842,D24HourMean,QuarterlyMean,Mean,19.16
2659,828,D24HourMean,QuarterlyMean,Mean,41.15
2634,842,D24HourMean,QuarterlyMean,Mean,19.49
2642,843,D24HourMean,QuarterlyMean,Mean,23.14
2648,842,D24HourMean,QuarterlyMean,Mean,21.21
2671,826,D24HourMean,QuarterlyMean,Mean,36.72
2648,840,D24HourMean,QuarterlyMean,Mean,24.75
2639,846,D24HourMean,QuarterlyMean,Mean,8.65
2672,827,D24HourMean,QuarterlyMean,Mean,33.75
2627,842,D24HourMean,QuarterlyMean,Mean,18.01
2641,842,D24HourMean,QuarterlyMean,Mean,26.30
2622,856,D24HourMean,QuarterlyMean,Mean,15.81
2604,852,D24HourMean,QuarterlyMean,Mean,21.40
2627,846,D24HourMean,QuarterlyMean,Mean,14.97
2635,850,D24HourMean,QuarterlyMean,Mean,6.52
2609,851,D24HourMean,QuarterlyMean,Mean,21.58
2658,830,D24HourMean,QuarterlyMean,Mean,35.25
2676,824,D24HourMean,QuarterlyMean,Mean,37.62
2635,848,D24HourMean,QuarterlyMean,Mean,7.58
2626,853,D24HourMean,QuarterlyMean,Mean,14.42
2619,860,D24HourMean,QuarterlyMean,Mean,14.75
2623,860,D24HourMean,QuarterlyMean,Mean,5.01
2680,825,D24HourMean,QuarterlyMean,Mean,33.60
2613,853,D24HourMean,QuarterlyMean,Mean,20.22
2619,856,D24HourMean,QuarterlyMean,Mean,15.90
2621,852,D24HourMean,QuarterlyMean,Mean,14.71
2636,851,D24HourMean,QuarterlyMean,Mean,6.11
2622,849,D24HourMean,QuarterlyMean,Mean,17.49
2629,839,D24HourMean,QuarterlyMean,Mean,20.70
2615,859,D24HourMean,QuarterlyMean,Mean,8.42
2611,858,D24HourMean,QuarterlyMean,Mean,18.94
2621,856,D24HourMean,QuarterlyMean,Mean,15.24
2611,850,D24HourMean,QuarterlyMean,Mean,21.18
2634,851,D24HourMean,QuarterlyMean,Mean,6.49
2670,826,D24HourMean,QuarterlyMean,Mean,35.31
2620,841,D24HourMean,QuarterlyMean,Mean,25.73
2643,839,D24HourMean,QuarterlyMean,Mean,25.44
2670,832,D24HourMean,QuarterlyMean,Mean,22.08
2668,827,D24HourMean,QuarterlyMean,Mean,29.32
2650,843,D24HourMean,QuarterlyMean,Mean,19.05
2662,826,D24HourMean,QuarterlyMean,Mean,41.24
2662,840,D24HourMean,QuarterlyMean,Mean,15.41
2613,857,D24HourMean,QuarterlyMean,Mean,19.69
2624,846,D24HourMean,QuarterlyMean,Mean,15.47
2628,848,D24HourMean,QuarterlyMean,Mean,15.52
2676,828,D24HourMean,QuarterlyMean,Mean,27.41
2676,832,D24HourMean,QuarterlyMean,Mean,23.37
2670,827,D24HourMean,QuarterlyMean,Mean,31.19
2633,854,D24HourMean,QuarterlyMean,Mean,5.59
2677,825,D24HourMean,QuarterlyMean,Mean,36.12
2640,847,D24HourMean,QuarterlyMean,Mean,7.51
2636,845,D24HourMean,QuarterlyMean,Mean,17.41
2679,836,D24HourMean,QuarterlyMean,Mean,16.07
2679,832,D24HourMean,QuarterlyMean,Mean,22.96
2665,830,D24HourMean,QuarterlyMean,Mean,27.13
2641,844,D24HourMean,QuarterlyMean,Mean,20.88
2618,862,D24HourMean,QuarterlyMean,Mean,6.07
2673,825,D24HourMean,QuarterlyMean,Mean,37.25
2611,849,D24HourMean,QuarterlyMean,Mean,21.28
2658,833,D24HourMean,QuarterlyMean,Mean,25.58
2624,859,D24HourMean,QuarterlyMean,Mean,18.69
2622,840,D24HourMean,QuarterlyMean,Mean,25.87
2630,852,D24HourMean,QuarterlyMean,Mean,14.84
2615,846,D24HourMean,QuarterlyMean,Mean,23.20
2619,863,D24HourMean,QuarterlyMean,Mean,15.33
2670,831,D24HourMean,QuarterlyMean,Mean,22.38
2644,843,D24HourMean,QuarterlyMean,Mean,21.27
2630,837,D24HourMean,QuarterlyMean,Mean,27.27
2606,858,D24HourMean,QuarterlyMean,Mean,20.97
2654,830,D24HourMean,QuarterlyMean,Mean,36.74
2657,830,D24HourMean,QuarterlyMean,Mean,37.43
2664,833,D24HourMean,QuarterlyMean,Mean,21.72
2661,830,D24HourMean,QuarterlyMean,Mean,30.93
2658,837,D24HourMean,QuarterlyMean,Mean,21.55
2612,852,D24HourMean,QuarterlyMean,Mean,20.78
2621,848,D24HourMean,QuarterlyMean,Mean,17.32
2653,828,D24HourMean,QuarterlyMean,Mean,40.95
2616,850,D24HourMean,QuarterlyMean,Mean,20.43
2651,844,D24HourMean,QuarterlyMean,Mean,18.42
2650,842,D24HourMean,QuarterlyMean,Mean,19.91
2679,834,D24HourMean,QuarterlyMean,Mean,19.40
2631,850,D24HourMean,QuarterlyMean,Mean,13.19
2623,840,D24HourMean,QuarterlyMean,Mean,25.73
2675,837,D24HourMean,QuarterlyMean,Mean,14.46
2649,838,D24HourMean,QuarterlyMean,Mean,23.65
2620,852,D24HourMean,QuarterlyMean,Mean,14.59
2651,845,D24HourMean,QuarterlyMean,Mean,18.35
