Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2662,828,2010,76331.33,ALL,ALL,ALL,0TO99
2642,844,2010,11662.29,ALL,ALL,ALL,0TO99
2640,838,2010,25737.42,ALL,ALL,ALL,0TO99
2636,846,2010,3507.94,ALL,ALL,ALL,0TO99
2636,849,2010,474.95,ALL,ALL,ALL,0TO99
2663,838,2010,13305.15,ALL,ALL,ALL,0TO99
2627,845,2010,8639.17,ALL,ALL,ALL,0TO99
2657,837,2010,18806.47,ALL,ALL,ALL,0TO99
2645,846,2010,804.24,ALL,ALL,ALL,0TO99
2615,863,2010,963.86,ALL,ALL,ALL,0TO99
2615,843,2010,26669.80,ALL,ALL,ALL,0TO99
2615,860,2010,1427.38,ALL,ALL,ALL,0TO99
2620,846,2010,10249.42,ALL,ALL,ALL,0TO99
2656,830,2010,76210.38,ALL,ALL,ALL,0TO99
2674,833,2010,6295.89,ALL,ALL,ALL,0TO99
2641,836,2010,38817.21,ALL,ALL,ALL,0TO99
2607,857,2010,8831.40,ALL,ALL,ALL,0TO99
2616,842,2010,26877.82,ALL,ALL,ALL,0TO99
2611,853,2010,13057.38,ALL,ALL,ALL,0TO99
2652,832,2010,54462.64,ALL,ALL,ALL,0TO99
2666,829,2010,19956.06,ALL,ALL,ALL,0TO99
2626,848,2010,8504.66,ALL,ALL,ALL,0TO99
2631,848,2010,490.09,ALL,ALL,ALL,0TO99
2640,842,2010,30423.72,ALL,ALL,ALL,0TO99
2619,852,2010,7180.21,ALL,ALL,ALL,0TO99
2646,842,2010,14004.64,ALL,ALL,ALL,0TO99
2611,857,2010,6626.51,ALL,ALL,ALL,0TO99
2628,851,2010,520.89,ALL,ALL,ALL,0TO99
2663,829,2010,28758.31,ALL,ALL,ALL,0TO99
2669,829,2010,16782.94,ALL,ALL,ALL,0TO99
2621,846,2010,9868.78,ALL,ALL,ALL,0TO99
2657,842,2010,1316.05,ALL,ALL,ALL,0TO99
2638,834,2010,58313.93,ALL,ALL,ALL,0TO99
2651,841,2010,23644.97,ALL,ALL,ALL,0TO99
2628,839,2010,21825.04,ALL,ALL,ALL,0TO99
2657,838,2010,15903.28,ALL,ALL,ALL,0TO99
2669,833,2010,16533.02,ALL,ALL,ALL,0TO99
2614,846,2010,18814.74,ALL,ALL,ALL,0TO99
2658,828,2010,77722.32,ALL,ALL,ALL,0TO99
2615,848,2010,15935.65,ALL,ALL,ALL,0TO99
2611,859,2010,2297.73,ALL,ALL,ALL,0TO99
2679,833,2010,6742.68,ALL,ALL,ALL,0TO99
2630,848,2010,1797.82,ALL,ALL,ALL,0TO99
2618,851,2010,8039.17,ALL,ALL,ALL,0TO99
2663,835,2010,16426.96,ALL,ALL,ALL,0TO99
2610,857,2010,7522.98,ALL,ALL,ALL,0TO99
2637,847,2010,540.27,ALL,ALL,ALL,0TO99
2635,842,2010,18394.65,ALL,ALL,ALL,0TO99
2620,843,2010,14931.06,ALL,ALL,ALL,0TO99
2631,836,2010,42345.65,ALL,ALL,ALL,0TO99
2615,845,2010,22502.38,ALL,ALL,ALL,0TO99
2615,853,2010,5995.95,ALL,ALL,ALL,0TO99
2679,835,2010,6726.03,ALL,ALL,ALL,0TO99
2642,849,2010,215.71,ALL,ALL,ALL,0TO99
2623,847,2010,7836.18,ALL,ALL,ALL,0TO99
2623,858,2010,868.23,ALL,ALL,ALL,0TO99
2619,855,2010,2018.86,ALL,ALL,ALL,0TO99
2646,835,2010,31162.07,ALL,ALL,ALL,0TO99
2658,839,2010,15888.98,ALL,ALL,ALL,0TO99
2654,842,2010,3981.52,ALL,ALL,ALL,0TO99
2608,849,2010,27350.80,ALL,ALL,ALL,0TO99
2608,855,2010,16235.33,ALL,ALL,ALL,0TO99
2637,835,2010,41778.39,ALL,ALL,ALL,0TO99
2608,856,2010,17306.08,ALL,ALL,ALL,0TO99
2627,851,2010,520.89,ALL,ALL,ALL,0TO99
