Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
3519,127,2010,66.85,ALL,ALL,ALL,0TO99
36,122,2010,0.00,ALL,ALL,ALL,0TO99
3506,117,2010,13.75,ALL,ALL,ALL,0TO99
3527,153,2010,164.02,ALL,ALL,ALL,0TO99
3559,164,2010,143.57,ALL,ALL,ALL,0TO99
3499,119,2010,46.42,ALL,ALL,ALL,0TO99
3483,112,2010,66.03,ALL,ALL,ALL,0TO99
3557,190,2010,363.68,ALL,ALL,ALL,0TO99
3550,175,2010,182.97,ALL,ALL,ALL,0TO99
3557,176,2010,305.82,ALL,ALL,ALL,0TO99
3503,102,2010,156.19,ALL,ALL,ALL,0TO99
3514,133,2010,140.82,ALL,ALL,ALL,0TO99
3537,144,2010,226.02,ALL,ALL,ALL,0TO99
3497,118,2010,52.92,ALL,ALL,ALL,0TO99
3528,143,2010,51.46,ALL,ALL,ALL,0TO99
3489,107,2010,84.78,ALL,ALL,ALL,0TO99
3486,108,2010,60.54,ALL,ALL,ALL,0TO99
3520,139,2010,51.99,ALL,ALL,ALL,0TO99
3526,131,2010,76.09,ALL,ALL,ALL,0TO99
3525,139,2010,51.14,ALL,ALL,ALL,0TO99
3505,128,2010,15.73,ALL,ALL,ALL,0TO99
3571,172,2010,42.25,ALL,ALL,ALL,0TO99
3538,146,2010,146.77,ALL,ALL,ALL,0TO99
3580,178,2010,139.20,ALL,ALL,ALL,0TO99
3543,165,2010,635.69,ALL,ALL,ALL,0TO99
3504,122,2010,13.85,ALL,ALL,ALL,0TO99
3482,111,2010,48.73,ALL,ALL,ALL,0TO99
3495,98,2010,126.95,ALL,ALL,ALL,0TO99
3533,207,2010,1564.77,ALL,ALL,ALL,0TO99
3552,151,2010,4390.82,ALL,ALL,ALL,0TO99
3491,97,2010,129.59,ALL,ALL,ALL,0TO99
3500,123,2010,15.60,ALL,ALL,ALL,0TO99
3530,148,2010,2616.68,ALL,ALL,ALL,0TO99
3502,113,2010,29.42,ALL,ALL,ALL,0TO99
3543,168,2010,1087.83,ALL,ALL,ALL,0TO99
3489,109,2010,75.97,ALL,ALL,ALL,0TO99
3562,167,2010,107.44,ALL,ALL,ALL,0TO99
3480,108,2010,18.46,ALL,ALL,ALL,0TO99
3554,148,2010,565.85,ALL,ALL,ALL,0TO99
3501,99,2010,312.90,ALL,ALL,ALL,0TO99
3538,208,2010,549.85,ALL,ALL,ALL,0TO99
3573,179,2010,4337.77,ALL,ALL,ALL,0TO99
34,122,2010,0.00,ALL,ALL,ALL,0TO99
3504,113,2010,21.70,ALL,ALL,ALL,0TO99
3558,149,2010,138.48,ALL,ALL,ALL,0TO99
3571,179,2010,1233.58,ALL,ALL,ALL,0TO99
3483,115,2010,18.77,ALL,ALL,ALL,0TO99
3531,139,2010,49.77,ALL,ALL,ALL,0TO99
3492,95,2010,126.91,ALL,ALL,ALL,0TO99
3545,200,2010,662.30,ALL,ALL,ALL,0TO99
3482,112,2010,28.63,ALL,ALL,ALL,0TO99
3530,132,2010,98.23,ALL,ALL,ALL,0TO99
3495,122,2010,15.58,ALL,ALL,ALL,0TO99
3528,121,2010,99.40,ALL,ALL,ALL,0TO99
3547,164,2010,250.63,ALL,ALL,ALL,0TO99
