Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2387,780,D24HourMean,QuarterlyMean,Mean,26.67
2370,788,D24HourMean,QuarterlyMean,Mean,36.55
2354,744,D24HourMean,QuarterlyMean,Mean,40.56
2382,781,D24HourMean,QuarterlyMean,Mean,28.53
2392,781,D24HourMean,QuarterlyMean,Mean,25.20
2336,729,D24HourMean,QuarterlyMean,Mean,33.15
2366,758,D24HourMean,QuarterlyMean,Mean,43.48
2360,764,D24HourMean,QuarterlyMean,Mean,59.52
2372,766,D24HourMean,QuarterlyMean,Mean,34.95
2333,737,D24HourMean,QuarterlyMean,Mean,37.52
2371,783,D24HourMean,QuarterlyMean,Mean,41.80
2346,754,D24HourMean,QuarterlyMean,Mean,75.75
2382,787,D24HourMean,QuarterlyMean,Mean,23.41
2363,778,D24HourMean,QuarterlyMean,Mean,71.80
2377,789,D24HourMean,QuarterlyMean,Mean,25.75
2391,774,D24HourMean,QuarterlyMean,Mean,24.17
2340,750,D24HourMean,QuarterlyMean,Mean,68.61
2363,802,D24HourMean,QuarterlyMean,Mean,26.41
2337,747,D24HourMean,QuarterlyMean,Mean,64.19
2365,792,D24HourMean,QuarterlyMean,Mean,59.58
2360,773,D24HourMean,QuarterlyMean,Mean,72.63
2362,764,D24HourMean,QuarterlyMean,Mean,58.57
2386,765,D24HourMean,QuarterlyMean,Mean,28.05
2361,761,D24HourMean,QuarterlyMean,Mean,55.25
2367,780,D24HourMean,QuarterlyMean,Mean,56.73
2368,797,D24HourMean,QuarterlyMean,Mean,30.45
2362,790,D24HourMean,QuarterlyMean,Mean,72.50
2365,760,D24HourMean,QuarterlyMean,Mean,46.67
2365,758,D24HourMean,QuarterlyMean,Mean,46.19
2360,808,D24HourMean,QuarterlyMean,Mean,29.69
2363,782,D24HourMean,QuarterlyMean,Mean,73.26
2351,756,D24HourMean,QuarterlyMean,Mean,67.25
2341,731,D24HourMean,QuarterlyMean,Mean,31.25
2385,790,D24HourMean,QuarterlyMean,Mean,22.15
2355,785,D24HourMean,QuarterlyMean,Mean,105.29
2358,748,D24HourMean,QuarterlyMean,Mean,38.82
2345,751,D24HourMean,QuarterlyMean,Mean,66.40
2362,771,D24HourMean,QuarterlyMean,Mean,70.83
2351,730,D24HourMean,QuarterlyMean,Mean,31.20
2372,761,D24HourMean,QuarterlyMean,Mean,35.13
2380,783,D24HourMean,QuarterlyMean,Mean,30.81
2336,738,D24HourMean,QuarterlyMean,Mean,38.01
2369,785,D24HourMean,QuarterlyMean,Mean,45.13
2391,776,D24HourMean,QuarterlyMean,Mean,25.28
2352,757,D24HourMean,QuarterlyMean,Mean,69.06
2373,787,D24HourMean,QuarterlyMean,Mean,35.79
