Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2387,780,2010,1134.72,ALL,ALL,ALL,0TO99
2370,788,2010,1834.76,ALL,ALL,ALL,0TO99
2354,744,2010,33.12,ALL,ALL,ALL,0TO99
2382,781,2010,661.98,ALL,ALL,ALL,0TO99
2392,781,2010,604.07,ALL,ALL,ALL,0TO99
2336,729,2010,441.42,ALL,ALL,ALL,0TO99
2366,758,2010,11.49,ALL,ALL,ALL,0TO99
2360,764,2010,11.45,ALL,ALL,ALL,0TO99
2372,766,2010,11.43,ALL,ALL,ALL,0TO99
2333,737,2010,74.35,ALL,ALL,ALL,0TO99
2371,783,2010,1770.48,ALL,ALL,ALL,0TO99
2346,754,2010,0.91,ALL,ALL,ALL,0TO99
2382,787,2010,659.11,ALL,ALL,ALL,0TO99
2363,778,2010,533.05,ALL,ALL,ALL,0TO99
2377,789,2010,8012.21,ALL,ALL,ALL,0TO99
2391,774,2010,523.44,ALL,ALL,ALL,0TO99
2340,750,2010,0.91,ALL,ALL,ALL,0TO99
2363,802,2010,1833.70,ALL,ALL,ALL,0TO99
2337,747,2010,0.91,ALL,ALL,ALL,0TO99
2365,792,2010,531.35,ALL,ALL,ALL,0TO99
2360,773,2010,12.30,ALL,ALL,ALL,0TO99
2362,764,2010,11.45,ALL,ALL,ALL,0TO99
2386,765,2010,305.88,ALL,ALL,ALL,0TO99
2361,761,2010,11.47,ALL,ALL,ALL,0TO99
2367,780,2010,326.91,ALL,ALL,ALL,0TO99
2368,797,2010,8726.76,ALL,ALL,ALL,0TO99
2362,790,2010,532.14,ALL,ALL,ALL,0TO99
2365,760,2010,11.48,ALL,ALL,ALL,0TO99
2365,758,2010,11.49,ALL,ALL,ALL,0TO99
2360,808,2010,394.24,ALL,ALL,ALL,0TO99
2363,782,2010,505.00,ALL,ALL,ALL,0TO99
2351,756,2010,0.91,ALL,ALL,ALL,0TO99
2341,731,2010,9540.00,ALL,ALL,ALL,0TO99
2385,790,2010,1715.45,ALL,ALL,ALL,0TO99
2355,785,2010,534.10,ALL,ALL,ALL,0TO99
2358,748,2010,23.09,ALL,ALL,ALL,0TO99
2345,751,2010,0.91,ALL,ALL,ALL,0TO99
2362,771,2010,10.93,ALL,ALL,ALL,0TO99
2351,730,2010,203.80,ALL,ALL,ALL,0TO99
2372,761,2010,11.47,ALL,ALL,ALL,0TO99
2380,783,2010,361.55,ALL,ALL,ALL,0TO99
2336,738,2010,74.31,ALL,ALL,ALL,0TO99
2369,785,2010,1296.23,ALL,ALL,ALL,0TO99
2391,776,2010,522.71,ALL,ALL,ALL,0TO99
2352,757,2010,4.80,ALL,ALL,ALL,0TO99
2373,787,2010,1836.12,ALL,ALL,ALL,0TO99
2378,791,2010,4712.34,ALL,ALL,ALL,0TO99
2330,732,2010,2.34,ALL,ALL,ALL,0TO99
2376,783,2010,139.62,ALL,ALL,ALL,0TO99
2328,743,2010,0.92,ALL,ALL,ALL,0TO99
2324,749,2010,0.91,ALL,ALL,ALL,0TO99
2368,763,2010,11.46,ALL,ALL,ALL,0TO99
2361,741,2010,33.18,ALL,ALL,ALL,0TO99
2361,786,2010,533.72,ALL,ALL,ALL,0TO99
2363,804,2010,4664.67,ALL,ALL,ALL,0TO99
2355,793,2010,1593.21,ALL,ALL,ALL,0TO99
2383,776,2010,664.31,ALL,ALL,ALL,0TO99
2373,775,2010,150.92,ALL,ALL,ALL,0TO99
2365,794,2010,1247.89,ALL,ALL,ALL,0TO99
2381,779,2010,654.30,ALL,ALL,ALL,0TO99
2352,740,2010,33.20,ALL,ALL,ALL,0TO99
2359,772,2010,11.64,ALL,ALL,ALL,0TO99
2364,785,2010,398.39,ALL,ALL,ALL,0TO99
2375,786,2010,2047.32,ALL,ALL,ALL,0TO99
2351,731,2010,310.80,ALL,ALL,ALL,0TO99
2366,754,2010,11.52,ALL,ALL,ALL,0TO99
2384,766,2010,551.48,ALL,ALL,ALL,0TO99
2351,748,2010,23.63,ALL,ALL,ALL,0TO99
2358,770,2010,11.40,ALL,ALL,ALL,0TO99
2389,792,2010,4228.26,ALL,ALL,ALL,0TO99
2397,783,2010,543.99,ALL,ALL,ALL,0TO99
2357,797,2010,3079.16,ALL,ALL,ALL,0TO99
2360,803,2010,411.56,ALL,ALL,ALL,0TO99
2382,782,2010,661.50,ALL,ALL,ALL,0TO99
2386,784,2010,1220.27,ALL,ALL,ALL,0TO99
2339,735,2010,74.43,ALL,ALL,ALL,0TO99
2369,763,2010,11.46,ALL,ALL,ALL,0TO99
2377,794,2010,3834.31,ALL,ALL,ALL,0TO99
2367,761,2010,11.47,ALL,ALL,ALL,0TO99
2342,753,2010,0.91,ALL,ALL,ALL,0TO99
2391,788,2010,4552.74,ALL,ALL,ALL,0TO99
2352,763,2010,165.97,ALL,ALL,ALL,0TO99
2336,739,2010,74.27,ALL,ALL,ALL,0TO99
2377,765,2010,56.30,ALL,ALL,ALL,0TO99
2331,740,2010,12.40,ALL,ALL,ALL,0TO99
2371,772,2010,83.51,ALL,ALL,ALL,0TO99
2370,753,2010,19.62,ALL,ALL,ALL,0TO99
2373,785,2010,1817.60,ALL,ALL,ALL,0TO99
2350,737,2010,33.25,ALL,ALL,ALL,0TO99
2363,769,2010,11.41,ALL,ALL,ALL,0TO99
2353,753,2010,0.91,ALL,ALL,ALL,0TO99
2370,798,2010,5905.67,ALL,ALL,ALL,0TO99
2328,738,2010,0.92,ALL,ALL,ALL,0TO99
2372,776,2010,150.82,ALL,ALL,ALL,0TO99
2393,784,2010,4230.18,ALL,ALL,ALL,0TO99
2329,737,2010,0.92,ALL,ALL,ALL,0TO99
2356,751,2010,5.41,ALL,ALL,ALL,0TO99
2358,789,2010,532.55,ALL,ALL,ALL,0TO99
2359,782,2010,535.26,ALL,ALL,ALL,0TO99
2372,753,2010,72.16,ALL,ALL,ALL,0TO99
2356,740,2010,33.20,ALL,ALL,ALL,0TO99
2353,742,2010,33.16,ALL,ALL,ALL,0TO99
2326,742,2010,0.90,ALL,ALL,ALL,0TO99
2366,764,2010,11.45,ALL,ALL,ALL,0TO99
2372,750,2010,78.90,ALL,ALL,ALL,0TO99
2358,762,2010,11.46,ALL,ALL,ALL,0TO99
2379,788,2010,5326.91,ALL,ALL,ALL,0TO99
2377,767,2010,199.33,ALL,ALL,ALL,0TO99
2386,778,2010,663.38,ALL,ALL,ALL,0TO99
2327,748,2010,0.91,ALL,ALL,ALL,0TO99
2373,767,2010,11.43,ALL,ALL,ALL,0TO99
2374,768,2010,11.42,ALL,ALL,ALL,0TO99
2356,745,2010,33.10,ALL,ALL,ALL,0TO99
2385,785,2010,1762.66,ALL,ALL,ALL,0TO99
