Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2504,846,2010,36806.21,ALL,ALL,ALL,0TO99
2486,847,2010,2682.81,ALL,ALL,ALL,0TO99
2517,892,2010,20426.74,ALL,ALL,ALL,0TO99
2425,816,2010,2322.59,ALL,ALL,ALL,0TO99
2529,851,2010,36276.27,ALL,ALL,ALL,0TO99
2524,920,2010,3505.84,ALL,ALL,ALL,0TO99
2492,850,2010,2660.66,ALL,ALL,ALL,0TO99
2502,857,2010,19482.98,ALL,ALL,ALL,0TO99
2505,816,2010,6786.11,ALL,ALL,ALL,0TO99
2507,886,2010,22046.78,ALL,ALL,ALL,0TO99
2533,918,2010,8386.65,ALL,ALL,ALL,0TO99
2545,884,2010,131146.20,ALL,ALL,ALL,0TO99
2485,823,2010,32620.66,ALL,ALL,ALL,0TO99
2495,804,2010,7614.86,ALL,ALL,ALL,0TO99
2505,868,2010,14284.78,ALL,ALL,ALL,0TO99
2532,903,2010,31144.64,ALL,ALL,ALL,0TO99
2477,855,2010,5538.34,ALL,ALL,ALL,0TO99
2521,862,2010,74308.09,ALL,ALL,ALL,0TO99
2508,852,2010,46778.77,ALL,ALL,ALL,0TO99
2513,886,2010,25068.23,ALL,ALL,ALL,0TO99
2450,823,2010,696.92,ALL,ALL,ALL,0TO99
2474,848,2010,5278.78,ALL,ALL,ALL,0TO99
2430,844,2010,87.50,ALL,ALL,ALL,0TO99
2465,830,2010,2178.68,ALL,ALL,ALL,0TO99
2496,865,2010,3075.06,ALL,ALL,ALL,0TO99
2521,905,2010,74358.26,ALL,ALL,ALL,0TO99
2486,814,2010,82328.89,ALL,ALL,ALL,0TO99
2476,849,2010,5611.12,ALL,ALL,ALL,0TO99
2478,872,2010,2760.17,ALL,ALL,ALL,0TO99
2510,805,2010,4886.15,ALL,ALL,ALL,0TO99
2510,873,2010,24060.96,ALL,ALL,ALL,0TO99
2513,870,2010,26417.90,ALL,ALL,ALL,0TO99
2519,851,2010,15326.96,ALL,ALL,ALL,0TO99
2431,816,2010,2538.62,ALL,ALL,ALL,0TO99
2475,818,2010,10518.89,ALL,ALL,ALL,0TO99
2490,825,2010,14679.81,ALL,ALL,ALL,0TO99
2483,849,2010,9780.15,ALL,ALL,ALL,0TO99
2524,882,2010,37243.88,ALL,ALL,ALL,0TO99
2480,865,2010,4413.19,ALL,ALL,ALL,0TO99
2488,872,2010,2511.35,ALL,ALL,ALL,0TO99
2470,849,2010,3283.46,ALL,ALL,ALL,0TO99
2475,838,2010,36612.81,ALL,ALL,ALL,0TO99
2467,862,2010,8618.78,ALL,ALL,ALL,0TO99
2451,817,2010,722.97,ALL,ALL,ALL,0TO99
2508,899,2010,17804.06,ALL,ALL,ALL,0TO99
2431,812,2010,1373.19,ALL,ALL,ALL,0TO99
2486,830,2010,14615.27,ALL,ALL,ALL,0TO99
2524,867,2010,73243.36,ALL,ALL,ALL,0TO99
2543,888,2010,52179.53,ALL,ALL,ALL,0TO99
2462,850,2010,1241.79,ALL,ALL,ALL,0TO99
2478,867,2010,2806.35,ALL,ALL,ALL,0TO99
2553,920,2010,2089.96,ALL,ALL,ALL,0TO99
