Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1014,650,D24HourMean,QuarterlyMean,Mean,6.06
1007,655,D24HourMean,QuarterlyMean,Mean,6.05
992,637,D24HourMean,QuarterlyMean,Mean,4.87
993,645,D24HourMean,QuarterlyMean,Mean,6.20
989,642,D24HourMean,QuarterlyMean,Mean,5.50
1024,641,D24HourMean,QuarterlyMean,Mean,6.09
1021,650,D24HourMean,QuarterlyMean,Mean,6.47
995,643,D24HourMean,QuarterlyMean,Mean,7.29
1026,641,D24HourMean,QuarterlyMean,Mean,6.20
981,645,D24HourMean,QuarterlyMean,Mean,5.89
986,637,D24HourMean,QuarterlyMean,Mean,4.37
991,646,D24HourMean,QuarterlyMean,Mean,5.61
989,645,D24HourMean,QuarterlyMean,Mean,6.18
1020,641,D24HourMean,QuarterlyMean,Mean,5.97
1021,642,D24HourMean,QuarterlyMean,Mean,5.66
1010,651,D24HourMean,QuarterlyMean,Mean,6.34
990,641,D24HourMean,QuarterlyMean,Mean,5.37
1025,642,D24HourMean,QuarterlyMean,Mean,6.32
992,634,D24HourMean,QuarterlyMean,Mean,5.12
997,647,D24HourMean,QuarterlyMean,Mean,6.48
1019,636,D24HourMean,QuarterlyMean,Mean,6.06
996,632,D24HourMean,QuarterlyMean,Mean,5.91
986,643,D24HourMean,QuarterlyMean,Mean,5.54
1023,637,D24HourMean,QuarterlyMean,Mean,6.27
991,645,D24HourMean,QuarterlyMean,Mean,6.25
1023,642,D24HourMean,QuarterlyMean,Mean,6.11
993,637,D24HourMean,QuarterlyMean,Mean,5.12
1020,649,D24HourMean,QuarterlyMean,Mean,6.68
990,639,D24HourMean,QuarterlyMean,Mean,5.03
995,640,D24HourMean,QuarterlyMean,Mean,5.88
978,648,D24HourMean,QuarterlyMean,Mean,6.57
1006,655,D24HourMean,QuarterlyMean,Mean,5.95
1027,642,D24HourMean,QuarterlyMean,Mean,6.82
982,634,D24HourMean,QuarterlyMean,Mean,5.12
1025,636,D24HourMean,QuarterlyMean,Mean,6.14
983,642,D24HourMean,QuarterlyMean,Mean,5.32
1014,647,D24HourMean,QuarterlyMean,Mean,6.78
1023,639,D24HourMean,QuarterlyMean,Mean,6.00
1012,650,D24HourMean,QuarterlyMean,Mean,6.18
989,643,D24HourMean,QuarterlyMean,Mean,5.21
1022,634,D24HourMean,QuarterlyMean,Mean,6.34
1005,651,D24HourMean,QuarterlyMean,Mean,6.23
981,648,D24HourMean,QuarterlyMean,Mean,5.98
1022,645,D24HourMean,QuarterlyMean,Mean,6.57
977,644,D24HourMean,QuarterlyMean,Mean,4.67
1027,640,D24HourMean,QuarterlyMean,Mean,6.96
993,641,D24HourMean,QuarterlyMean,Mean,6.87
991,641,D24HourMean,QuarterlyMean,Mean,4.99
977,646,D24HourMean,QuarterlyMean,Mean,5.37
1002,647,D24HourMean,QuarterlyMean,Mean,6.92
985,641,D24HourMean,QuarterlyMean,Mean,4.54
1021,648,D24HourMean,QuarterlyMean,Mean,7.07
1018,649,D24HourMean,QuarterlyMean,Mean,6.39
1019,646,D24HourMean,QuarterlyMean,Mean,5.84
997,643,D24HourMean,QuarterlyMean,Mean,7.38
1017,640,D24HourMean,QuarterlyMean,Mean,6.45
973,645,D24HourMean,QuarterlyMean,Mean,5.45
1024,639,D24HourMean,QuarterlyMean,Mean,6.25
1002,653,D24HourMean,QuarterlyMean,Mean,7.57
1027,643,D24HourMean,QuarterlyMean,Mean,6.04
1016,653,D24HourMean,QuarterlyMean,Mean,5.11
1006,654,D24HourMean,QuarterlyMean,Mean,5.71
994,638,D24HourMean,QuarterlyMean,Mean,5.75
1015,648,D24HourMean,QuarterlyMean,Mean,6.38
989,635,D24HourMean,QuarterlyMean,Mean,4.99
996,639,D24HourMean,QuarterlyMean,Mean,5.71
992,648,D24HourMean,QuarterlyMean,Mean,6.18
1001,652,D24HourMean,QuarterlyMean,Mean,6.96
979,645,D24HourMean,QuarterlyMean,Mean,5.37
995,649,D24HourMean,QuarterlyMean,Mean,5.71
1002,646,D24HourMean,QuarterlyMean,Mean,6.92
997,634,D24HourMean,QuarterlyMean,Mean,6.21
980,643,D24HourMean,QuarterlyMean,Mean,4.72
1007,651,D24HourMean,QuarterlyMean,Mean,6.64
1024,643,D24HourMean,QuarterlyMean,Mean,6.45
979,647,D24HourMean,QuarterlyMean,Mean,6.45
1002,650,D24HourMean,QuarterlyMean,Mean,7.06
1003,649,D24HourMean,QuarterlyMean,Mean,6.29
989,640,D24HourMean,QuarterlyMean,Mean,5.23
984,642,D24HourMean,QuarterlyMean,Mean,5.19
1001,647,D24HourMean,QuarterlyMean,Mean,6.60
989,639,D24HourMean,QuarterlyMean,Mean,5.19
1020,637,D24HourMean,QuarterlyMean,Mean,5.36
980,642,D24HourMean,QuarterlyMean,Mean,4.90
1007,652,D24HourMean,QuarterlyMean,Mean,6.39
1021,633,D24HourMean,QuarterlyMean,Mean,6.43
1009,654,D24HourMean,QuarterlyMean,Mean,6.09
986,646,D24HourMean,QuarterlyMean,Mean,7.21
982,648,D24HourMean,QuarterlyMean,Mean,6.23
998,644,D24HourMean,QuarterlyMean,Mean,6.59
991,636,D24HourMean,QuarterlyMean,Mean,4.78
976,643,D24HourMean,QuarterlyMean,Mean,6.75
974,652,D24HourMean,QuarterlyMean,Mean,6.48
993,646,D24HourMean,QuarterlyMean,Mean,6.48
973,653,D24HourMean,QuarterlyMean,Mean,6.38
1025,647,D24HourMean,QuarterlyMean,Mean,7.26
997,650,D24HourMean,QuarterlyMean,Mean,6.64
974,650,D24HourMean,QuarterlyMean,Mean,6.13
995,644,D24HourMean,QuarterlyMean,Mean,6.78
990,644,D24HourMean,QuarterlyMean,Mean,5.59
1026,642,D24HourMean,QuarterlyMean,Mean,6.34
979,642,D24HourMean,QuarterlyMean,Mean,5.19
988,644,D24HourMean,QuarterlyMean,Mean,5.61
1001,648,D24HourMean,QuarterlyMean,Mean,6.55
