Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1014,650,2010,854.13,ALL,ALL,ALL,0TO99
1007,655,2010,1115.33,ALL,ALL,ALL,0TO99
992,637,2010,2095.61,ALL,ALL,ALL,0TO99
993,645,2010,2249.73,ALL,ALL,ALL,0TO99
989,642,2010,3568.63,ALL,ALL,ALL,0TO99
1024,641,2010,345.97,ALL,ALL,ALL,0TO99
1021,650,2010,1074.17,ALL,ALL,ALL,0TO99
995,643,2010,4122.73,ALL,ALL,ALL,0TO99
1026,641,2010,321.57,ALL,ALL,ALL,0TO99
981,645,2010,2375.24,ALL,ALL,ALL,0TO99
986,637,2010,1825.54,ALL,ALL,ALL,0TO99
991,646,2010,831.01,ALL,ALL,ALL,0TO99
989,645,2010,1007.99,ALL,ALL,ALL,0TO99
1020,641,2010,468.64,ALL,ALL,ALL,0TO99
1021,642,2010,366.10,ALL,ALL,ALL,0TO99
1010,651,2010,996.60,ALL,ALL,ALL,0TO99
990,641,2010,7557.33,ALL,ALL,ALL,0TO99
1025,642,2010,269.50,ALL,ALL,ALL,0TO99
992,634,2010,635.12,ALL,ALL,ALL,0TO99
997,647,2010,5533.34,ALL,ALL,ALL,0TO99
1019,636,2010,389.05,ALL,ALL,ALL,0TO99
996,632,2010,461.34,ALL,ALL,ALL,0TO99
986,643,2010,3161.03,ALL,ALL,ALL,0TO99
1023,637,2010,470.50,ALL,ALL,ALL,0TO99
991,645,2010,979.56,ALL,ALL,ALL,0TO99
1023,642,2010,344.16,ALL,ALL,ALL,0TO99
993,637,2010,2010.41,ALL,ALL,ALL,0TO99
1020,649,2010,528.80,ALL,ALL,ALL,0TO99
990,639,2010,1562.83,ALL,ALL,ALL,0TO99
995,640,2010,3959.85,ALL,ALL,ALL,0TO99
978,648,2010,1784.09,ALL,ALL,ALL,0TO99
1006,655,2010,3871.12,ALL,ALL,ALL,0TO99
1027,642,2010,562.26,ALL,ALL,ALL,0TO99
982,634,2010,359.56,ALL,ALL,ALL,0TO99
