Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
988,512,2010,1787.17,ALL,ALL,ALL,0TO99
988,513,2010,3643.90,ALL,ALL,ALL,0TO99
988,514,2010,9351.09,ALL,ALL,ALL,0TO99
988,515,2010,2329.60,ALL,ALL,ALL,0TO99
988,516,2010,668.39,ALL,ALL,ALL,0TO99
988,517,2010,697.30,ALL,ALL,ALL,0TO99
989,499,2010,3.88,ALL,ALL,ALL,0TO99
989,500,2010,9.94,ALL,ALL,ALL,0TO99
989,507,2010,5008.87,ALL,ALL,ALL,0TO99
989,508,2010,6787.42,ALL,ALL,ALL,0TO99
989,511,2010,4526.48,ALL,ALL,ALL,0TO99
989,512,2010,2806.03,ALL,ALL,ALL,0TO99
989,513,2010,3775.94,ALL,ALL,ALL,0TO99
989,514,2010,11256.20,ALL,ALL,ALL,0TO99
989,515,2010,9094.79,ALL,ALL,ALL,0TO99
989,516,2010,2175.55,ALL,ALL,ALL,0TO99
989,517,2010,3579.13,ALL,ALL,ALL,0TO99
990,498,2010,3.59,ALL,ALL,ALL,0TO99
990,499,2010,21.08,ALL,ALL,ALL,0TO99
990,500,2010,23.81,ALL,ALL,ALL,0TO99
990,501,2010,19.34,ALL,ALL,ALL,0TO99
990,507,2010,9399.15,ALL,ALL,ALL,0TO99
990,508,2010,9587.24,ALL,ALL,ALL,0TO99
990,509,2010,7377.60,ALL,ALL,ALL,0TO99
990,510,2010,11892.90,ALL,ALL,ALL,0TO99
990,511,2010,8133.97,ALL,ALL,ALL,0TO99
990,512,2010,3038.52,ALL,ALL,ALL,0TO99
990,513,2010,6626.36,ALL,ALL,ALL,0TO99
990,514,2010,11907.76,ALL,ALL,ALL,0TO99
990,515,2010,11555.92,ALL,ALL,ALL,0TO99
990,516,2010,4024.16,ALL,ALL,ALL,0TO99
990,517,2010,4403.79,ALL,ALL,ALL,0TO99
990,518,2010,8885.53,ALL,ALL,ALL,0TO99
991,498,2010,15.87,ALL,ALL,ALL,0TO99
991,499,2010,23.81,ALL,ALL,ALL,0TO99
991,500,2010,23.81,ALL,ALL,ALL,0TO99
991,506,2010,6394.42,ALL,ALL,ALL,0TO99
991,507,2010,10623.00,ALL,ALL,ALL,0TO99
991,508,2010,4874.57,ALL,ALL,ALL,0TO99
991,509,2010,4743.90,ALL,ALL,ALL,0TO99
991,510,2010,3834.75,ALL,ALL,ALL,0TO99
991,511,2010,9341.42,ALL,ALL,ALL,0TO99
991,512,2010,5181.52,ALL,ALL,ALL,0TO99
991,513,2010,6225.81,ALL,ALL,ALL,0TO99
991,514,2010,10739.01,ALL,ALL,ALL,0TO99
991,515,2010,12029.77,ALL,ALL,ALL,0TO99
991,516,2010,8903.27,ALL,ALL,ALL,0TO99
991,517,2010,4062.11,ALL,ALL,ALL,0TO99
991,518,2010,5160.65,ALL,ALL,ALL,0TO99
