Column,Row,Metric,Seasonal Metric,Annual Metric,Values
3048,646,D24HourMean,QuarterlyMean,Mean,8.29
3035,682,D24HourMean,QuarterlyMean,Mean,5.86
3013,722,D24HourMean,QuarterlyMean,Mean,7.42
3023,634,D24HourMean,QuarterlyMean,Mean,9.39
3051,663,D24HourMean,QuarterlyMean,Mean,8.65
3036,682,D24HourMean,QuarterlyMean,Mean,5.80
3051,677,D24HourMean,QuarterlyMean,Mean,7.94
3039,692,D24HourMean,QuarterlyMean,Mean,7.03
3022,722,D24HourMean,QuarterlyMean,Mean,7.82
3015,721,D24HourMean,QuarterlyMean,Mean,7.08
3053,684,D24HourMean,QuarterlyMean,Mean,8.25
3006,732,D24HourMean,QuarterlyMean,Mean,8.79
3014,723,D24HourMean,QuarterlyMean,Mean,7.73
3047,627,D24HourMean,QuarterlyMean,Mean,9.24
2991,660,D24HourMean,QuarterlyMean,Mean,7.03
3024,727,D24HourMean,QuarterlyMean,Mean,9.35
3052,640,D24HourMean,QuarterlyMean,Mean,8.24
3020,682,D24HourMean,QuarterlyMean,Mean,7.38
3033,652,D24HourMean,QuarterlyMean,Mean,8.27
3048,619,D24HourMean,QuarterlyMean,Mean,7.49
3052,629,D24HourMean,QuarterlyMean,Mean,7.68
3027,657,D24HourMean,QuarterlyMean,Mean,7.37
3049,637,D24HourMean,QuarterlyMean,Mean,9.63
3049,663,D24HourMean,QuarterlyMean,Mean,7.82
3047,643,D24HourMean,QuarterlyMean,Mean,8.25
3037,644,D24HourMean,QuarterlyMean,Mean,8.27
3015,689,D24HourMean,QuarterlyMean,Mean,9.55
3028,658,D24HourMean,QuarterlyMean,Mean,8.03
3025,636,D24HourMean,QuarterlyMean,Mean,8.48
3034,645,D24HourMean,QuarterlyMean,Mean,9.10
3053,635,D24HourMean,QuarterlyMean,Mean,7.57
3042,659,D24HourMean,QuarterlyMean,Mean,7.70
3065,641,D24HourMean,QuarterlyMean,Mean,6.91
3013,712,D24HourMean,QuarterlyMean,Mean,6.80
3029,656,D24HourMean,QuarterlyMean,Mean,7.72
3056,633,D24HourMean,QuarterlyMean,Mean,7.83
3064,633,D24HourMean,QuarterlyMean,Mean,6.66
2977,648,D24HourMean,QuarterlyMean,Mean,7.49
3000,678,D24HourMean,QuarterlyMean,Mean,6.78
3001,680,D24HourMean,QuarterlyMean,Mean,6.92
3028,702,D24HourMean,QuarterlyMean,Mean,10.08
3051,630,D24HourMean,QuarterlyMean,Mean,8.60
3023,668,D24HourMean,QuarterlyMean,Mean,9.34
3027,683,D24HourMean,QuarterlyMean,Mean,8.45
3011,700,D24HourMean,QuarterlyMean,Mean,11.73
3026,694,D24HourMean,QuarterlyMean,Mean,6.27
3004,709,D24HourMean,QuarterlyMean,Mean,9.55
3019,742,D24HourMean,QuarterlyMean,Mean,8.76
3013,750,D24HourMean,QuarterlyMean,Mean,6.95
3053,642,D24HourMean,QuarterlyMean,Mean,6.78
3052,627,D24HourMean,QuarterlyMean,Mean,8.65
3056,646,D24HourMean,QuarterlyMean,Mean,7.68
3022,734,D24HourMean,QuarterlyMean,Mean,9.14
3017,723,D24HourMean,QuarterlyMean,Mean,7.57
3010,619,D24HourMean,QuarterlyMean,Mean,8.06
3013,685,D24HourMean,QuarterlyMean,Mean,8.27
3019,735,D24HourMean,QuarterlyMean,Mean,8.86
3058,653,D24HourMean,QuarterlyMean,Mean,7.49
3044,625,D24HourMean,QuarterlyMean,Mean,6.89
3040,640,D24HourMean,QuarterlyMean,Mean,8.76
3066,636,D24HourMean,QuarterlyMean,Mean,6.41
3051,675,D24HourMean,QuarterlyMean,Mean,6.59
3064,636,D24HourMean,QuarterlyMean,Mean,6.75
3019,625,D24HourMean,QuarterlyMean,Mean,8.60
3006,726,D24HourMean,QuarterlyMean,Mean,9.08
2999,723,D24HourMean,QuarterlyMean,Mean,9.79
3010,700,D24HourMean,QuarterlyMean,Mean,10.23
2999,720,D24HourMean,QuarterlyMean,Mean,10.22
3015,709,D24HourMean,QuarterlyMean,Mean,6.62
3008,713,D24HourMean,QuarterlyMean,Mean,10.08
3007,702,D24HourMean,QuarterlyMean,Mean,10.10
3024,674,D24HourMean,QuarterlyMean,Mean,8.66
3048,629,D24HourMean,QuarterlyMean,Mean,9.65
3003,713,D24HourMean,QuarterlyMean,Mean,9.64
3011,721,D24HourMean,QuarterlyMean,Mean,7.03
2991,662,D24HourMean,QuarterlyMean,Mean,6.85
3043,629,D24HourMean,QuarterlyMean,Mean,7.68
3014,686,D24HourMean,QuarterlyMean,Mean,8.69
3062,626,D24HourMean,QuarterlyMean,Mean,6.36
2982,651,D24HourMean,QuarterlyMean,Mean,7.27
3012,717,D24HourMean,QuarterlyMean,Mean,7.41
3039,687,D24HourMean,QuarterlyMean,Mean,7.24
3039,697,D24HourMean,QuarterlyMean,Mean,5.77
3056,652,D24HourMean,QuarterlyMean,Mean,7.33
3031,666,D24HourMean,QuarterlyMean,Mean,9.39
3011,692,D24HourMean,QuarterlyMean,Mean,8.74
3023,677,D24HourMean,QuarterlyMean,Mean,12.52
