Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
3048,646,2010,23885.61,ALL,ALL,ALL,0TO99
3035,682,2010,9911.98,ALL,ALL,ALL,0TO99
3013,722,2010,9070.02,ALL,ALL,ALL,0TO99
3023,634,2010,30461.92,ALL,ALL,ALL,0TO99
3051,663,2010,16527.39,ALL,ALL,ALL,0TO99
3036,682,2010,24000.31,ALL,ALL,ALL,0TO99
3051,677,2010,6099.10,ALL,ALL,ALL,0TO99
3039,692,2010,29304.19,ALL,ALL,ALL,0TO99
3022,722,2010,3338.02,ALL,ALL,ALL,0TO99
3015,721,2010,2161.74,ALL,ALL,ALL,0TO99
3053,684,2010,14529.50,ALL,ALL,ALL,0TO99
3006,732,2010,15135.27,ALL,ALL,ALL,0TO99
3014,723,2010,9342.20,ALL,ALL,ALL,0TO99
3047,627,2010,28810.62,ALL,ALL,ALL,0TO99
2991,660,2010,7385.90,ALL,ALL,ALL,0TO99
3024,727,2010,1205.36,ALL,ALL,ALL,0TO99
3052,640,2010,19784.55,ALL,ALL,ALL,0TO99
3020,682,2010,7279.37,ALL,ALL,ALL,0TO99
3033,652,2010,81968.57,ALL,ALL,ALL,0TO99
3048,619,2010,15450.15,ALL,ALL,ALL,0TO99
3052,629,2010,16564.83,ALL,ALL,ALL,0TO99
3027,657,2010,17287.80,ALL,ALL,ALL,0TO99
3049,637,2010,20308.93,ALL,ALL,ALL,0TO99
3049,663,2010,30490.50,ALL,ALL,ALL,0TO99
3047,643,2010,77665.14,ALL,ALL,ALL,0TO99
3037,644,2010,29507.18,ALL,ALL,ALL,0TO99
3015,689,2010,25136.39,ALL,ALL,ALL,0TO99
3028,658,2010,25284.00,ALL,ALL,ALL,0TO99
3025,636,2010,20254.55,ALL,ALL,ALL,0TO99
3034,645,2010,40916.88,ALL,ALL,ALL,0TO99
3053,635,2010,21721.74,ALL,ALL,ALL,0TO99
3042,659,2010,30592.53,ALL,ALL,ALL,0TO99
3065,641,2010,3449.00,ALL,ALL,ALL,0TO99
3013,712,2010,7891.49,ALL,ALL,ALL,0TO99
3029,656,2010,24723.06,ALL,ALL,ALL,0TO99
3056,633,2010,71670.24,ALL,ALL,ALL,0TO99
3064,633,2010,8784.54,ALL,ALL,ALL,0TO99
2977,648,2010,3584.63,ALL,ALL,ALL,0TO99
3000,678,2010,4320.48,ALL,ALL,ALL,0TO99
3001,680,2010,6077.89,ALL,ALL,ALL,0TO99
3028,702,2010,31813.34,ALL,ALL,ALL,0TO99
3051,630,2010,49739.24,ALL,ALL,ALL,0TO99
3023,668,2010,22031.95,ALL,ALL,ALL,0TO99
3027,683,2010,12164.05,ALL,ALL,ALL,0TO99
3011,700,2010,30503.58,ALL,ALL,ALL,0TO99
3026,694,2010,20110.46,ALL,ALL,ALL,0TO99
3004,709,2010,79096.87,ALL,ALL,ALL,0TO99
3019,742,2010,22933.95,ALL,ALL,ALL,0TO99
3013,750,2010,7815.25,ALL,ALL,ALL,0TO99
3053,642,2010,17760.33,ALL,ALL,ALL,0TO99
3052,627,2010,5231.63,ALL,ALL,ALL,0TO99
3056,646,2010,8556.30,ALL,ALL,ALL,0TO99
3022,734,2010,779.55,ALL,ALL,ALL,0TO99
3017,723,2010,2616.55,ALL,ALL,ALL,0TO99
3010,619,2010,83646.69,ALL,ALL,ALL,0TO99
3013,685,2010,16674.69,ALL,ALL,ALL,0TO99
3019,735,2010,32537.45,ALL,ALL,ALL,0TO99
3058,653,2010,9346.10,ALL,ALL,ALL,0TO99
3044,625,2010,19721.60,ALL,ALL,ALL,0TO99
3040,640,2010,13146.50,ALL,ALL,ALL,0TO99
3066,636,2010,2678.87,ALL,ALL,ALL,0TO99
3051,675,2010,10192.96,ALL,ALL,ALL,0TO99
