Column,Row,Metric,Seasonal Metric,Annual Metric,Values
3215,497,D24HourMean,QuarterlyMean,Mean,4.02
3259,490,D24HourMean,QuarterlyMean,Mean,5.79
3270,482,D24HourMean,QuarterlyMean,Mean,6.52
3270,539,D24HourMean,QuarterlyMean,Mean,5.77
3217,506,D24HourMean,QuarterlyMean,Mean,6.23
3243,492,D24HourMean,QuarterlyMean,Mean,5.39
3349,503,D24HourMean,QuarterlyMean,Mean,6.43
3353,494,D24HourMean,QuarterlyMean,Mean,5.71
3318,514,D24HourMean,QuarterlyMean,Mean,4.81
3236,501,D24HourMean,QuarterlyMean,Mean,6.29
3283,465,D24HourMean,QuarterlyMean,Mean,6.87
3239,494,D24HourMean,QuarterlyMean,Mean,6.46
3250,502,D24HourMean,QuarterlyMean,Mean,6.55
3220,518,D24HourMean,QuarterlyMean,Mean,3.52
3234,518,D24HourMean,QuarterlyMean,Mean,7.62
3288,503,D24HourMean,QuarterlyMean,Mean,5.79
3230,479,D24HourMean,QuarterlyMean,Mean,3.41
3313,501,D24HourMean,QuarterlyMean,Mean,5.08
3296,460,D24HourMean,QuarterlyMean,Mean,7.61
3211,520,D24HourMean,QuarterlyMean,Mean,5.57
3230,517,D24HourMean,QuarterlyMean,Mean,8.93
3250,516,D24HourMean,QuarterlyMean,Mean,6.21
3275,467,D24HourMean,QuarterlyMean,Mean,7.28
3219,520,D24HourMean,QuarterlyMean,Mean,5.84
3288,502,D24HourMean,QuarterlyMean,Mean,5.95
3291,502,D24HourMean,QuarterlyMean,Mean,5.89
3275,481,D24HourMean,QuarterlyMean,Mean,6.46
3225,485,D24HourMean,QuarterlyMean,Mean,6.94
3277,465,D24HourMean,QuarterlyMean,Mean,7.21
3221,486,D24HourMean,QuarterlyMean,Mean,3.64
3222,511,D24HourMean,QuarterlyMean,Mean,6.89
3233,515,D24HourMean,QuarterlyMean,Mean,3.73
3285,463,D24HourMean,QuarterlyMean,Mean,7.68
3213,481,D24HourMean,QuarterlyMean,Mean,7.38
3290,462,D24HourMean,QuarterlyMean,Mean,7.99
3268,492,D24HourMean,QuarterlyMean,Mean,5.41
3298,499,D24HourMean,QuarterlyMean,Mean,5.63
3211,500,D24HourMean,QuarterlyMean,Mean,3.97
3311,475,D24HourMean,QuarterlyMean,Mean,6.60
3237,520,D24HourMean,QuarterlyMean,Mean,5.86
3230,503,D24HourMean,QuarterlyMean,Mean,6.13
3237,489,D24HourMean,QuarterlyMean,Mean,5.37
3245,502,D24HourMean,QuarterlyMean,Mean,6.34
3248,494,D24HourMean,QuarterlyMean,Mean,6.62
3267,480,D24HourMean,QuarterlyMean,Mean,6.61
3292,466,D24HourMean,QuarterlyMean,Mean,6.53
3215,526,D24HourMean,QuarterlyMean,Mean,7.55
3244,488,D24HourMean,QuarterlyMean,Mean,4.99
3217,503,D24HourMean,QuarterlyMean,Mean,9.74
3236,519,D24HourMean,QuarterlyMean,Mean,6.23
3222,493,D24HourMean,QuarterlyMean,Mean,6.83
3229,515,D24HourMean,QuarterlyMean,Mean,6.12
3231,471,D24HourMean,QuarterlyMean,Mean,4.94
3249,482,D24HourMean,QuarterlyMean,Mean,3.86
3312,459,D24HourMean,QuarterlyMean,Mean,7.40
3221,472,D24HourMean,QuarterlyMean,Mean,5.91
3283,466,D24HourMean,QuarterlyMean,Mean,6.76
3300,499,D24HourMean,QuarterlyMean,Mean,5.80
3216,483,D24HourMean,QuarterlyMean,Mean,8.44
3271,482,D24HourMean,QuarterlyMean,Mean,6.32
3274,480,D24HourMean,QuarterlyMean,Mean,6.94
3288,464,D24HourMean,QuarterlyMean,Mean,7.14
3243,512,D24HourMean,QuarterlyMean,Mean,6.48
3290,463,D24HourMean,QuarterlyMean,Mean,7.49
3274,471,D24HourMean,QuarterlyMean,Mean,7.47
3217,518,D24HourMean,QuarterlyMean,Mean,5.93
3214,506,D24HourMean,QuarterlyMean,Mean,6.14
3213,508,D24HourMean,QuarterlyMean,Mean,5.88
3243,494,D24HourMean,QuarterlyMean,Mean,6.09
3213,529,D24HourMean,QuarterlyMean,Mean,5.71
3246,501,D24HourMean,QuarterlyMean,Mean,6.39
3225,471,D24HourMean,QuarterlyMean,Mean,7.38
