Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
3215,497,2010,213.12,ALL,ALL,ALL,0TO99
3259,490,2010,5252.04,ALL,ALL,ALL,0TO99
3270,482,2010,2258.77,ALL,ALL,ALL,0TO99
3270,539,2010,3041.21,ALL,ALL,ALL,0TO99
3217,506,2010,213.46,ALL,ALL,ALL,0TO99
3243,492,2010,2010.13,ALL,ALL,ALL,0TO99
3349,503,2010,3468.82,ALL,ALL,ALL,0TO99
3353,494,2010,3217.41,ALL,ALL,ALL,0TO99
3318,514,2010,2444.45,ALL,ALL,ALL,0TO99
3236,501,2010,3633.35,ALL,ALL,ALL,0TO99
3283,465,2010,839.28,ALL,ALL,ALL,0TO99
3239,494,2010,2459.38,ALL,ALL,ALL,0TO99
3250,502,2010,6348.33,ALL,ALL,ALL,0TO99
3220,518,2010,1165.00,ALL,ALL,ALL,0TO99
3234,518,2010,1165.00,ALL,ALL,ALL,0TO99
3288,503,2010,1213.65,ALL,ALL,ALL,0TO99
3230,479,2010,212.28,ALL,ALL,ALL,0TO99
3313,501,2010,1872.13,ALL,ALL,ALL,0TO99
3296,460,2010,1844.89,ALL,ALL,ALL,0TO99
3211,520,2010,767.33,ALL,ALL,ALL,0TO99
3230,517,2010,1164.85,ALL,ALL,ALL,0TO99
3250,516,2010,1691.31,ALL,ALL,ALL,0TO99
3275,467,2010,903.82,ALL,ALL,ALL,0TO99
3219,520,2010,752.91,ALL,ALL,ALL,0TO99
3288,502,2010,1213.44,ALL,ALL,ALL,0TO99
3291,502,2010,1213.44,ALL,ALL,ALL,0TO99
3275,481,2010,2258.23,ALL,ALL,ALL,0TO99
3225,485,2010,212.59,ALL,ALL,ALL,0TO99
3277,465,2010,903.31,ALL,ALL,ALL,0TO99
3221,486,2010,212.63,ALL,ALL,ALL,0TO99
3222,511,2010,751.99,ALL,ALL,ALL,0TO99
3233,515,2010,1164.55,ALL,ALL,ALL,0TO99
3285,463,2010,838.78,ALL,ALL,ALL,0TO99
3213,481,2010,212.39,ALL,ALL,ALL,0TO99
3290,462,2010,1189.67,ALL,ALL,ALL,0TO99
3268,492,2010,2263.79,ALL,ALL,ALL,0TO99
3298,499,2010,1212.78,ALL,ALL,ALL,0TO99
3211,500,2010,213.24,ALL,ALL,ALL,0TO99
3311,475,2010,1298.37,ALL,ALL,ALL,0TO99
3237,520,2010,1165.29,ALL,ALL,ALL,0TO99
3230,503,2010,2877.42,ALL,ALL,ALL,0TO99
3237,489,2010,377.02,ALL,ALL,ALL,0TO99
3245,502,2010,7673.95,ALL,ALL,ALL,0TO99
3248,494,2010,5331.68,ALL,ALL,ALL,0TO99
3267,480,2010,906.93,ALL,ALL,ALL,0TO99
3292,466,2010,717.96,ALL,ALL,ALL,0TO99
3215,526,2010,753.41,ALL,ALL,ALL,0TO99
3244,488,2010,376.94,ALL,ALL,ALL,0TO99
3217,503,2010,213.36,ALL,ALL,ALL,0TO99
3236,519,2010,1165.14,ALL,ALL,ALL,0TO99
3222,493,2010,212.95,ALL,ALL,ALL,0TO99
3229,515,2010,1164.55,ALL,ALL,ALL,0TO99
3231,471,2010,211.84,ALL,ALL,ALL,0TO99
3249,482,2010,155.60,ALL,ALL,ALL,0TO99
3312,459,2010,1777.68,ALL,ALL,ALL,0TO99
3221,472,2010,211.90,ALL,ALL,ALL,0TO99
3283,466,2010,839.52,ALL,ALL,ALL,0TO99
