Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2025,1062,D24HourMean,QuarterlyMean,Mean,11.07
1998,1089,D24HourMean,QuarterlyMean,Mean,11.46
2014,1089,D24HourMean,QuarterlyMean,Mean,11.14
1961,1087,D24HourMean,QuarterlyMean,Mean,11.80
2007,1065,D24HourMean,QuarterlyMean,Mean,11.81
1990,1073,D24HourMean,QuarterlyMean,Mean,13.56
2025,1057,D24HourMean,QuarterlyMean,Mean,11.44
1970,1088,D24HourMean,QuarterlyMean,Mean,11.87
1973,1093,D24HourMean,QuarterlyMean,Mean,11.69
1967,1104,D24HourMean,QuarterlyMean,Mean,8.97
2002,1091,D24HourMean,QuarterlyMean,Mean,10.91
1966,1097,D24HourMean,QuarterlyMean,Mean,10.37
2027,1102,D24HourMean,QuarterlyMean,Mean,8.04
2014,1071,D24HourMean,QuarterlyMean,Mean,12.53
1985,1103,D24HourMean,QuarterlyMean,Mean,10.22
2020,1056,D24HourMean,QuarterlyMean,Mean,11.77
2011,1097,D24HourMean,QuarterlyMean,Mean,9.76
2033,1088,D24HourMean,QuarterlyMean,Mean,9.79
1991,1078,D24HourMean,QuarterlyMean,Mean,12.63
1969,1070,D24HourMean,QuarterlyMean,Mean,14.97
1990,1058,D24HourMean,QuarterlyMean,Mean,16.70
2021,1098,D24HourMean,QuarterlyMean,Mean,9.50
1953,1088,D24HourMean,QuarterlyMean,Mean,12.25
2005,1056,D24HourMean,QuarterlyMean,Mean,10.54
2031,1090,D24HourMean,QuarterlyMean,Mean,9.56
2008,1056,D24HourMean,QuarterlyMean,Mean,11.04
1986,1059,D24HourMean,QuarterlyMean,Mean,17.94
1982,1075,D24HourMean,QuarterlyMean,Mean,14.20
2011,1055,D24HourMean,QuarterlyMean,Mean,10.39
1974,1081,D24HourMean,QuarterlyMean,Mean,13.19
1999,1056,D24HourMean,QuarterlyMean,Mean,10.71
1991,1088,D24HourMean,QuarterlyMean,Mean,12.72
2026,1056,D24HourMean,QuarterlyMean,Mean,10.98
1962,1092,D24HourMean,QuarterlyMean,Mean,11.47
2001,1086,D24HourMean,QuarterlyMean,Mean,12.06
1991,1069,D24HourMean,QuarterlyMean,Mean,15.01
2012,1055,D24HourMean,QuarterlyMean,Mean,10.51
1960,1102,D24HourMean,QuarterlyMean,Mean,10.79
1992,1065,D24HourMean,QuarterlyMean,Mean,15.32
1995,1100,D24HourMean,QuarterlyMean,Mean,10.30
1996,1091,D24HourMean,QuarterlyMean,Mean,11.72
2030,1099,D24HourMean,QuarterlyMean,Mean,9.10
1996,1082,D24HourMean,QuarterlyMean,Mean,13.03
2032,1067,D24HourMean,QuarterlyMean,Mean,10.99
2019,1089,D24HourMean,QuarterlyMean,Mean,10.70
1999,1090,D24HourMean,QuarterlyMean,Mean,11.03
1998,1056,D24HourMean,QuarterlyMean,Mean,10.99
2003,1100,D24HourMean,QuarterlyMean,Mean,10.02
1964,1100,D24HourMean,QuarterlyMean,Mean,9.96
1989,1081,D24HourMean,QuarterlyMean,Mean,12.55
2008,1066,D24HourMean,QuarterlyMean,Mean,11.42
1984,1089,D24HourMean,QuarterlyMean,Mean,11.91
1971,1093,D24HourMean,QuarterlyMean,Mean,12.12
1977,1076,D24HourMean,QuarterlyMean,Mean,14.39
1980,1098,D24HourMean,QuarterlyMean,Mean,9.54
2004,1085,D24HourMean,QuarterlyMean,Mean,12.13
2035,1099,D24HourMean,QuarterlyMean,Mean,8.64
1997,1099,D24HourMean,QuarterlyMean,Mean,9.86
1960,1088,D24HourMean,QuarterlyMean,Mean,11.38
2005,1057,D24HourMean,QuarterlyMean,Mean,10.68
2035,1065,D24HourMean,QuarterlyMean,Mean,10.69
2008,1070,D24HourMean,QuarterlyMean,Mean,11.86
1991,1064,D24HourMean,QuarterlyMean,Mean,16.96
2029,1065,D24HourMean,QuarterlyMean,Mean,10.45
1977,1063,D24HourMean,QuarterlyMean,Mean,14.51
2001,1054,D24HourMean,QuarterlyMean,Mean,10.53
1976,1102,D24HourMean,QuarterlyMean,Mean,9.15
2013,1069,D24HourMean,QuarterlyMean,Mean,11.72
1946,1088,D24HourMean,QuarterlyMean,Mean,12.31
1955,1092,D24HourMean,QuarterlyMean,Mean,11.72
2010,1080,D24HourMean,QuarterlyMean,Mean,12.66
2016,1068,D24HourMean,QuarterlyMean,Mean,12.35
2036,1074,D24HourMean,QuarterlyMean,Mean,10.05
2000,1101,D24HourMean,QuarterlyMean,Mean,9.49
2004,1072,D24HourMean,QuarterlyMean,Mean,12.58
2016,1055,D24HourMean,QuarterlyMean,Mean,11.26
1967,1093,D24HourMean,QuarterlyMean,Mean,11.14
1976,1077,D24HourMean,QuarterlyMean,Mean,14.44
2034,1087,D24HourMean,QuarterlyMean,Mean,9.88
1978,1087,D24HourMean,QuarterlyMean,Mean,12.72
1946,1092,D24HourMean,QuarterlyMean,Mean,11.71
2016,1072,D24HourMean,QuarterlyMean,Mean,11.87
2006,1087,D24HourMean,QuarterlyMean,Mean,11.85
2014,1058,D24HourMean,QuarterlyMean,Mean,11.22
2017,1085,D24HourMean,QuarterlyMean,Mean,11.57
2005,1061,D24HourMean,QuarterlyMean,Mean,11.92
2013,1061,D24HourMean,QuarterlyMean,Mean,11.10
2022,1068,D24HourMean,QuarterlyMean,Mean,11.64
1949,1092,D24HourMean,QuarterlyMean,Mean,11.80
2003,1054,D24HourMean,QuarterlyMean,Mean,10.45
2018,1087,D24HourMean,QuarterlyMean,Mean,11.40
1997,1067,D24HourMean,QuarterlyMean,Mean,13.32
1968,1073,D24HourMean,QuarterlyMean,Mean,14.41
1952,1094,D24HourMean,QuarterlyMean,Mean,11.46
2023,1054,D24HourMean,QuarterlyMean,Mean,11.80
