Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2025,1062,2010,15871.61,ALL,ALL,ALL,0TO99
1998,1089,2010,2791.96,ALL,ALL,ALL,0TO99
2014,1089,2010,2598.08,ALL,ALL,ALL,0TO99
1961,1087,2010,3328.84,ALL,ALL,ALL,0TO99
2007,1065,2010,7995.14,ALL,ALL,ALL,0TO99
1990,1073,2010,3715.17,ALL,ALL,ALL,0TO99
2025,1057,2010,3200.79,ALL,ALL,ALL,0TO99
1970,1088,2010,3749.28,ALL,ALL,ALL,0TO99
1973,1093,2010,2991.68,ALL,ALL,ALL,0TO99
1967,1104,2010,3441.96,ALL,ALL,ALL,0TO99
2002,1091,2010,2937.71,ALL,ALL,ALL,0TO99
1966,1097,2010,1639.87,ALL,ALL,ALL,0TO99
2027,1102,2010,1820.68,ALL,ALL,ALL,0TO99
2014,1071,2010,4057.31,ALL,ALL,ALL,0TO99
1985,1103,2010,48138.67,ALL,ALL,ALL,0TO99
2020,1056,2010,12526.46,ALL,ALL,ALL,0TO99
2011,1097,2010,2764.66,ALL,ALL,ALL,0TO99
2033,1088,2010,2005.04,ALL,ALL,ALL,0TO99
1991,1078,2010,3709.21,ALL,ALL,ALL,0TO99
1969,1070,2010,17189.84,ALL,ALL,ALL,0TO99
1990,1058,2010,42301.69,ALL,ALL,ALL,0TO99
2021,1098,2010,1961.12,ALL,ALL,ALL,0TO99
1953,1088,2010,2738.15,ALL,ALL,ALL,0TO99
2005,1056,2010,14698.68,ALL,ALL,ALL,0TO99
2031,1090,2010,7555.66,ALL,ALL,ALL,0TO99
2008,1056,2010,38455.35,ALL,ALL,ALL,0TO99
1986,1059,2010,47378.21,ALL,ALL,ALL,0TO99
1982,1075,2010,4570.17,ALL,ALL,ALL,0TO99
2011,1055,2010,6560.32,ALL,ALL,ALL,0TO99
1974,1081,2010,6600.60,ALL,ALL,ALL,0TO99
1999,1056,2010,12017.15,ALL,ALL,ALL,0TO99
1991,1088,2010,3910.47,ALL,ALL,ALL,0TO99
2026,1056,2010,2821.19,ALL,ALL,ALL,0TO99
1962,1092,2010,1579.76,ALL,ALL,ALL,0TO99
2001,1086,2010,4200.68,ALL,ALL,ALL,0TO99
1991,1069,2010,8667.06,ALL,ALL,ALL,0TO99
2012,1055,2010,3393.97,ALL,ALL,ALL,0TO99
1960,1102,2010,2283.12,ALL,ALL,ALL,0TO99
1992,1065,2010,7232.10,ALL,ALL,ALL,0TO99
1995,1100,2010,2660.10,ALL,ALL,ALL,0TO99
1996,1091,2010,3468.55,ALL,ALL,ALL,0TO99
2030,1099,2010,1286.91,ALL,ALL,ALL,0TO99
1996,1082,2010,4687.17,ALL,ALL,ALL,0TO99
2032,1067,2010,7511.65,ALL,ALL,ALL,0TO99
2019,1089,2010,2483.73,ALL,ALL,ALL,0TO99
1999,1090,2010,5934.91,ALL,ALL,ALL,0TO99
1998,1056,2010,8913.63,ALL,ALL,ALL,0TO99
2003,1100,2010,2100.69,ALL,ALL,ALL,0TO99
1964,1100,2010,2448.56,ALL,ALL,ALL,0TO99
1989,1081,2010,4275.21,ALL,ALL,ALL,0TO99
2008,1066,2010,5198.40,ALL,ALL,ALL,0TO99
1984,1089,2010,4094.28,ALL,ALL,ALL,0TO99
1971,1093,2010,20760.84,ALL,ALL,ALL,0TO99
1977,1076,2010,7485.50,ALL,ALL,ALL,0TO99
1980,1098,2010,3491.15,ALL,ALL,ALL,0TO99
2004,1085,2010,7408.88,ALL,ALL,ALL,0TO99
2035,1099,2010,685.67,ALL,ALL,ALL,0TO99
1997,1099,2010,3686.18,ALL,ALL,ALL,0TO99
1960,1088,2010,3135.39,ALL,ALL,ALL,0TO99
2005,1057,2010,15763.70,ALL,ALL,ALL,0TO99
2035,1065,2010,3832.94,ALL,ALL,ALL,0TO99
2008,1070,2010,7719.00,ALL,ALL,ALL,0TO99
1991,1064,2010,12477.07,ALL,ALL,ALL,0TO99
2029,1065,2010,2503.66,ALL,ALL,ALL,0TO99
1977,1063,2010,4979.54,ALL,ALL,ALL,0TO99
2001,1054,2010,26585.23,ALL,ALL,ALL,0TO99
1976,1102,2010,4983.72,ALL,ALL,ALL,0TO99
2013,1069,2010,6510.54,ALL,ALL,ALL,0TO99
1946,1088,2010,2668.65,ALL,ALL,ALL,0TO99
1955,1092,2010,3741.22,ALL,ALL,ALL,0TO99
2010,1080,2010,31816.57,ALL,ALL,ALL,0TO99
2016,1068,2010,4642.08,ALL,ALL,ALL,0TO99
2036,1074,2010,1819.19,ALL,ALL,ALL,0TO99
2000,1101,2010,1978.98,ALL,ALL,ALL,0TO99
2004,1072,2010,7418.04,ALL,ALL,ALL,0TO99
2016,1055,2010,4224.01,ALL,ALL,ALL,0TO99
1967,1093,2010,2281.08,ALL,ALL,ALL,0TO99
1976,1077,2010,9324.71,ALL,ALL,ALL,0TO99
2034,1087,2010,1335.17,ALL,ALL,ALL,0TO99
1978,1087,2010,3219.39,ALL,ALL,ALL,0TO99
1946,1092,2010,10311.23,ALL,ALL,ALL,0TO99
2016,1072,2010,4067.08,ALL,ALL,ALL,0TO99
2006,1087,2010,2995.75,ALL,ALL,ALL,0TO99
2014,1058,2010,9206.31,ALL,ALL,ALL,0TO99
2017,1085,2010,6917.04,ALL,ALL,ALL,0TO99
2005,1061,2010,7973.24,ALL,ALL,ALL,0TO99
2013,1061,2010,6956.81,ALL,ALL,ALL,0TO99
