Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
3099,980,2010,19200.23,ALL,ALL,ALL,0TO99
3072,962,2010,9689.43,ALL,ALL,ALL,0TO99
3093,973,2010,6224.18,ALL,ALL,ALL,0TO99
3082,966,2010,2489.16,ALL,ALL,ALL,0TO99
3077,969,2010,7493.31,ALL,ALL,ALL,0TO99
3062,968,2010,4241.81,ALL,ALL,ALL,0TO99
3076,969,2010,7549.38,ALL,ALL,ALL,0TO99
3073,944,2010,16401.34,ALL,ALL,ALL,0TO99
3102,986,2010,11160.13,ALL,ALL,ALL,0TO99
3063,950,2010,30388.69,ALL,ALL,ALL,0TO99
3102,981,2010,16799.59,ALL,ALL,ALL,0TO99
3055,952,2010,31939.93,ALL,ALL,ALL,0TO99
3078,950,2010,11275.29,ALL,ALL,ALL,0TO99
3073,958,2010,19138.78,ALL,ALL,ALL,0TO99
3070,954,2010,7709.61,ALL,ALL,ALL,0TO99
3077,970,2010,4602.98,ALL,ALL,ALL,0TO99
3058,953,2010,43403.24,ALL,ALL,ALL,0TO99
3066,950,2010,10847.18,ALL,ALL,ALL,0TO99
3067,962,2010,3370.02,ALL,ALL,ALL,0TO99
3061,947,2010,18592.56,ALL,ALL,ALL,0TO99
3074,957,2010,22382.07,ALL,ALL,ALL,0TO99
3059,949,2010,203027.61,ALL,ALL,ALL,0TO99
3062,940,2010,30022.01,ALL,ALL,ALL,0TO99
3093,976,2010,11420.97,ALL,ALL,ALL,0TO99
3071,943,2010,16486.79,ALL,ALL,ALL,0TO99
3076,943,2010,14149.94,ALL,ALL,ALL,0TO99
3092,979,2010,9763.88,ALL,ALL,ALL,0TO99
3070,975,2010,7377.79,ALL,ALL,ALL,0TO99
3095,983,2010,15352.99,ALL,ALL,ALL,0TO99
3060,957,2010,20483.65,ALL,ALL,ALL,0TO99
3078,966,2010,3133.31,ALL,ALL,ALL,0TO99
3055,944,2010,31891.61,ALL,ALL,ALL,0TO99
3059,961,2010,15144.78,ALL,ALL,ALL,0TO99
3081,962,2010,7440.88,ALL,ALL,ALL,0TO99
3056,963,2010,3906.01,ALL,ALL,ALL,0TO99
3075,944,2010,16519.87,ALL,ALL,ALL,0TO99
3046,961,2010,41752.92,ALL,ALL,ALL,0TO99
3046,959,2010,37913.53,ALL,ALL,ALL,0TO99
3063,948,2010,12708.42,ALL,ALL,ALL,0TO99
3091,976,2010,15594.52,ALL,ALL,ALL,0TO99
3084,977,2010,1746.31,ALL,ALL,ALL,0TO99
3064,949,2010,30693.22,ALL,ALL,ALL,0TO99
3073,954,2010,31763.74,ALL,ALL,ALL,0TO99
3075,969,2010,7732.10,ALL,ALL,ALL,0TO99
3072,973,2010,2829.32,ALL,ALL,ALL,0TO99
3064,952,2010,19962.74,ALL,ALL,ALL,0TO99
3065,952,2010,10589.93,ALL,ALL,ALL,0TO99
3063,954,2010,39731.39,ALL,ALL,ALL,0TO99
3061,951,2010,41811.88,ALL,ALL,ALL,0TO99
3103,984,2010,9602.91,ALL,ALL,ALL,0TO99
3090,978,2010,14538.17,ALL,ALL,ALL,0TO99
3070,969,2010,7781.03,ALL,ALL,ALL,0TO99
3059,950,2010,202783.36,ALL,ALL,ALL,0TO99
3079,943,2010,13935.05,ALL,ALL,ALL,0TO99
3085,964,2010,6509.37,ALL,ALL,ALL,0TO99
3057,960,2010,11221.19,ALL,ALL,ALL,0TO99
3075,958,2010,18858.24,ALL,ALL,ALL,0TO99
3065,959,2010,5763.05,ALL,ALL,ALL,0TO99
3096,976,2010,8748.93,ALL,ALL,ALL,0TO99
3094,978,2010,9899.00,ALL,ALL,ALL,0TO99
3069,963,2010,7354.46,ALL,ALL,ALL,0TO99
3050,961,2010,6813.32,ALL,ALL,ALL,0TO99
3067,972,2010,7745.33,ALL,ALL,ALL,0TO99
