Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1730,969,D24HourMean,QuarterlyMean,Mean,11.46
1710,956,D24HourMean,QuarterlyMean,Mean,8.45
1721,946,D24HourMean,QuarterlyMean,Mean,10.47
1718,949,D24HourMean,QuarterlyMean,Mean,8.41
1715,957,D24HourMean,QuarterlyMean,Mean,7.25
1714,976,D24HourMean,QuarterlyMean,Mean,12.65
1720,961,D24HourMean,QuarterlyMean,Mean,7.98
1729,976,D24HourMean,QuarterlyMean,Mean,10.83
1722,946,D24HourMean,QuarterlyMean,Mean,10.58
1629,887,D24HourMean,QuarterlyMean,Mean,14.26
1725,934,D24HourMean,QuarterlyMean,Mean,14.70
1709,949,D24HourMean,QuarterlyMean,Mean,10.79
1721,944,D24HourMean,QuarterlyMean,Mean,9.48
1711,930,D24HourMean,QuarterlyMean,Mean,13.73
1718,965,D24HourMean,QuarterlyMean,Mean,9.12
1710,950,D24HourMean,QuarterlyMean,Mean,9.63
1721,971,D24HourMean,QuarterlyMean,Mean,8.41
1727,951,D24HourMean,QuarterlyMean,Mean,8.43
1718,976,D24HourMean,QuarterlyMean,Mean,9.43
1714,972,D24HourMean,QuarterlyMean,Mean,15.04
1718,937,D24HourMean,QuarterlyMean,Mean,11.86
1724,946,D24HourMean,QuarterlyMean,Mean,9.12
1718,975,D24HourMean,QuarterlyMean,Mean,9.57
1715,936,D24HourMean,QuarterlyMean,Mean,13.27
1709,953,D24HourMean,QuarterlyMean,Mean,9.44
1713,962,D24HourMean,QuarterlyMean,Mean,8.63
1727,966,D24HourMean,QuarterlyMean,Mean,10.39
1724,937,D24HourMean,QuarterlyMean,Mean,12.68
1715,978,D24HourMean,QuarterlyMean,Mean,11.32
1714,951,D24HourMean,QuarterlyMean,Mean,9.21
1723,974,D24HourMean,QuarterlyMean,Mean,9.22
1720,977,D24HourMean,QuarterlyMean,Mean,9.12
1728,967,D24HourMean,QuarterlyMean,Mean,11.29
1717,979,D24HourMean,QuarterlyMean,Mean,9.75
1724,963,D24HourMean,QuarterlyMean,Mean,10.08
1721,950,D24HourMean,QuarterlyMean,Mean,8.36
1729,967,D24HourMean,QuarterlyMean,Mean,13.09
1724,966,D24HourMean,QuarterlyMean,Mean,8.38
1725,942,D24HourMean,QuarterlyMean,Mean,9.12
1725,959,D24HourMean,QuarterlyMean,Mean,9.40
1722,956,D24HourMean,QuarterlyMean,Mean,8.49
1720,944,D24HourMean,QuarterlyMean,Mean,9.43
1721,947,D24HourMean,QuarterlyMean,Mean,9.81
1721,935,D24HourMean,QuarterlyMean,Mean,14.90
1714,966,D24HourMean,QuarterlyMean,Mean,12.30
1715,932,D24HourMean,QuarterlyMean,Mean,15.01
1725,975,D24HourMean,QuarterlyMean,Mean,8.81
1731,965,D24HourMean,QuarterlyMean,Mean,10.54
1727,952,D24HourMean,QuarterlyMean,Mean,8.47
1722,967,D24HourMean,QuarterlyMean,Mean,8.55
1718,954,D24HourMean,QuarterlyMean,Mean,7.82
1716,960,D24HourMean,QuarterlyMean,Mean,8.19
1727,941,D24HourMean,QuarterlyMean,Mean,11.58
1723,948,D24HourMean,QuarterlyMean,Mean,9.33
1725,940,D24HourMean,QuarterlyMean,Mean,9.93
1716,978,D24HourMean,QuarterlyMean,Mean,10.03
1723,954,D24HourMean,QuarterlyMean,Mean,8.19
1727,944,D24HourMean,QuarterlyMean,Mean,9.43
1714,935,D24HourMean,QuarterlyMean,Mean,13.69
1708,946,D24HourMean,QuarterlyMean,Mean,14.17
1727,953,D24HourMean,QuarterlyMean,Mean,8.62
1717,973,D24HourMean,QuarterlyMean,Mean,12.08
1722,936,D24HourMean,QuarterlyMean,Mean,14.23
1728,970,D24HourMean,QuarterlyMean,Mean,12.03
1715,951,D24HourMean,QuarterlyMean,Mean,9.34
1714,970,D24HourMean,QuarterlyMean,Mean,14.08
1726,954,D24HourMean,QuarterlyMean,Mean,8.61
1722,949,D24HourMean,QuarterlyMean,Mean,9.14
1716,942,D24HourMean,QuarterlyMean,Mean,11.79
1716,940,D24HourMean,QuarterlyMean,Mean,11.17
1724,938,D24HourMean,QuarterlyMean,Mean,11.96
1719,938,D24HourMean,QuarterlyMean,Mean,12.51
1714,967,D24HourMean,QuarterlyMean,Mean,13.33
1718,958,D24HourMean,QuarterlyMean,Mean,7.56
1719,975,D24HourMean,QuarterlyMean,Mean,9.04
1727,943,D24HourMean,QuarterlyMean,Mean,11.05
1727,970,D24HourMean,QuarterlyMean,Mean,11.56
1719,943,D24HourMean,QuarterlyMean,Mean,9.74
1715,974,D24HourMean,QuarterlyMean,Mean,13.48
1718,944,D24HourMean,QuarterlyMean,Mean,9.10
1722,978,D24HourMean,QuarterlyMean,Mean,7.94
1722,965,D24HourMean,QuarterlyMean,Mean,8.66
1712,978,D24HourMean,QuarterlyMean,Mean,14.08
1714,964,D24HourMean,QuarterlyMean,Mean,9.65
1722,930,D24HourMean,QuarterlyMean,Mean,16.69
1719,973,D24HourMean,QuarterlyMean,Mean,10.10
1718,957,D24HourMean,QuarterlyMean,Mean,7.84
1718,971,D24HourMean,QuarterlyMean,Mean,10.22
1728,964,D24HourMean,QuarterlyMean,Mean,9.52
1718,980,D24HourMean,QuarterlyMean,Mean,9.12
1722,970,D24HourMean,QuarterlyMean,Mean,8.43
1717,946,D24HourMean,QuarterlyMean,Mean,8.91
1719,933,D24HourMean,QuarterlyMean,Mean,14.50
1723,971,D24HourMean,QuarterlyMean,Mean,8.98
1722,933,D24HourMean,QuarterlyMean,Mean,14.58
1718,945,D24HourMean,QuarterlyMean,Mean,8.50
1717,945,D24HourMean,QuarterlyMean,Mean,9.43
1720,956,D24HourMean,QuarterlyMean,Mean,7.75
1718,972,D24HourMean,QuarterlyMean,Mean,11.27
1716,948,D24HourMean,QuarterlyMean,Mean,9.02
1731,969,D24HourMean,QuarterlyMean,Mean,10.66
1712,951,D24HourMean,QuarterlyMean,Mean,9.94
1718,974,D24HourMean,QuarterlyMean,Mean,10.05
1729,948,D24HourMean,QuarterlyMean,Mean,10.10
1727,948,D24HourMean,QuarterlyMean,Mean,9.21
1731,976,D24HourMean,QuarterlyMean,Mean,9.87
1715,980,D24HourMean,QuarterlyMean,Mean,11.32
1736,976,D24HourMean,QuarterlyMean,Mean,10.46
1717,963,D24HourMean,QuarterlyMean,Mean,9.21
1715,972,D24HourMean,QuarterlyMean,Mean,14.24
1714,954,D24HourMean,QuarterlyMean,Mean,8.38
1722,957,D24HourMean,QuarterlyMean,Mean,8.40
1709,946,D24HourMean,QuarterlyMean,Mean,14.36
1717,960,D24HourMean,QuarterlyMean,Mean,7.81
1712,955,D24HourMean,QuarterlyMean,Mean,7.56
1725,943,D24HourMean,QuarterlyMean,Mean,9.62
