Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1730,969,2010,634.22,ALL,ALL,ALL,0TO99
1710,956,2010,8584.80,ALL,ALL,ALL,0TO99
1721,946,2010,5283.35,ALL,ALL,ALL,0TO99
1718,949,2010,1100.89,ALL,ALL,ALL,0TO99
1715,957,2010,6702.78,ALL,ALL,ALL,0TO99
1714,976,2010,16071.71,ALL,ALL,ALL,0TO99
1720,961,2010,2335.01,ALL,ALL,ALL,0TO99
1729,976,2010,1953.36,ALL,ALL,ALL,0TO99
1722,946,2010,6096.10,ALL,ALL,ALL,0TO99
1629,887,2010,8651.49,ALL,ALL,ALL,0TO99
1725,934,2010,415.71,ALL,ALL,ALL,0TO99
1709,949,2010,16585.80,ALL,ALL,ALL,0TO99
1721,944,2010,474.34,ALL,ALL,ALL,0TO99
1711,930,2010,1946.01,ALL,ALL,ALL,0TO99
1718,965,2010,1830.94,ALL,ALL,ALL,0TO99
1710,950,2010,14454.61,ALL,ALL,ALL,0TO99
1721,971,2010,11521.20,ALL,ALL,ALL,0TO99
1727,951,2010,988.12,ALL,ALL,ALL,0TO99
1718,976,2010,6487.56,ALL,ALL,ALL,0TO99
1714,972,2010,141855.44,ALL,ALL,ALL,0TO99
1718,937,2010,695.97,ALL,ALL,ALL,0TO99
1724,946,2010,1569.34,ALL,ALL,ALL,0TO99
1718,975,2010,19125.03,ALL,ALL,ALL,0TO99
1715,936,2010,1117.33,ALL,ALL,ALL,0TO99
1709,953,2010,19936.58,ALL,ALL,ALL,0TO99
1713,962,2010,7932.85,ALL,ALL,ALL,0TO99
1727,966,2010,3916.98,ALL,ALL,ALL,0TO99
1724,937,2010,888.65,ALL,ALL,ALL,0TO99
1715,978,2010,7124.16,ALL,ALL,ALL,0TO99
1714,951,2010,11876.73,ALL,ALL,ALL,0TO99
1723,974,2010,1639.73,ALL,ALL,ALL,0TO99
1720,977,2010,872.24,ALL,ALL,ALL,0TO99
1728,967,2010,3000.68,ALL,ALL,ALL,0TO99
1717,979,2010,1628.01,ALL,ALL,ALL,0TO99
1724,963,2010,4036.83,ALL,ALL,ALL,0TO99
1721,950,2010,854.35,ALL,ALL,ALL,0TO99
1729,967,2010,2480.26,ALL,ALL,ALL,0TO99
1724,966,2010,4188.14,ALL,ALL,ALL,0TO99
1725,942,2010,461.56,ALL,ALL,ALL,0TO99
1725,959,2010,2544.89,ALL,ALL,ALL,0TO99
1722,956,2010,1325.97,ALL,ALL,ALL,0TO99
1720,944,2010,447.58,ALL,ALL,ALL,0TO99
1721,947,2010,1193.55,ALL,ALL,ALL,0TO99
1721,935,2010,1203.79,ALL,ALL,ALL,0TO99
1714,966,2010,49724.01,ALL,ALL,ALL,0TO99
1715,932,2010,15337.16,ALL,ALL,ALL,0TO99
1725,975,2010,2800.32,ALL,ALL,ALL,0TO99
1731,965,2010,628.51,ALL,ALL,ALL,0TO99
1727,952,2010,2826.09,ALL,ALL,ALL,0TO99
1722,967,2010,7263.89,ALL,ALL,ALL,0TO99
1718,954,2010,10161.69,ALL,ALL,ALL,0TO99
1716,960,2010,6054.85,ALL,ALL,ALL,0TO99
