Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1222,309,2010,333.15,ALL,ALL,ALL,0TO99
1208,364,2010,0.88,ALL,ALL,ALL,0TO99
1229,287,2010,433.33,ALL,ALL,ALL,0TO99
1202,320,2010,195.23,ALL,ALL,ALL,0TO99
1179,345,2010,2.45,ALL,ALL,ALL,0TO99
1188,325,2010,23.42,ALL,ALL,ALL,0TO99
1240,301,2010,4085.15,ALL,ALL,ALL,0TO99
1216,340,2010,35.71,ALL,ALL,ALL,0TO99
1231,332,2010,1000.92,ALL,ALL,ALL,0TO99
1215,315,2010,194.49,ALL,ALL,ALL,0TO99
1246,307,2010,2917.53,ALL,ALL,ALL,0TO99
1244,308,2010,2971.39,ALL,ALL,ALL,0TO99
1196,356,2010,0.88,ALL,ALL,ALL,0TO99
1200,348,2010,2.45,ALL,ALL,ALL,0TO99
1201,322,2010,195.53,ALL,ALL,ALL,0TO99
1208,344,2010,35.81,ALL,ALL,ALL,0TO99
1227,298,2010,705.37,ALL,ALL,ALL,0TO99
1227,292,2010,1111.97,ALL,ALL,ALL,0TO99
1228,306,2010,19957.23,ALL,ALL,ALL,0TO99
1229,325,2010,4004.25,ALL,ALL,ALL,0TO99
1205,355,2010,0.88,ALL,ALL,ALL,0TO99
1252,296,2010,3423.06,ALL,ALL,ALL,0TO99
1196,364,2010,0.88,ALL,ALL,ALL,0TO99
1226,317,2010,194.93,ALL,ALL,ALL,0TO99
1203,330,2010,313.40,ALL,ALL,ALL,0TO99
1184,344,2010,2.45,ALL,ALL,ALL,0TO99
1197,360,2010,0.88,ALL,ALL,ALL,0TO99
1219,317,2010,194.93,ALL,ALL,ALL,0TO99
1214,322,2010,103.41,ALL,ALL,ALL,0TO99
1221,293,2010,393.50,ALL,ALL,ALL,0TO99
1242,310,2010,2553.24,ALL,ALL,ALL,0TO99
1210,350,2010,48.46,ALL,ALL,ALL,0TO99
1254,312,2010,1398.57,ALL,ALL,ALL,0TO99
1218,343,2010,35.78,ALL,ALL,ALL,0TO99
1245,326,2010,829.96,ALL,ALL,ALL,0TO99
1205,357,2010,0.88,ALL,ALL,ALL,0TO99
1225,294,2010,918.84,ALL,ALL,ALL,0TO99
1228,334,2010,763.63,ALL,ALL,ALL,0TO99
1184,336,2010,22.00,ALL,ALL,ALL,0TO99
1215,356,2010,48.65,ALL,ALL,ALL,0TO99
1226,294,2010,603.43,ALL,ALL,ALL,0TO99
1199,333,2010,556.42,ALL,ALL,ALL,0TO99
1180,351,2010,2.46,ALL,ALL,ALL,0TO99
1223,320,2010,195.23,ALL,ALL,ALL,0TO99
1221,295,2010,233.60,ALL,ALL,ALL,0TO99
1188,333,2010,21.95,ALL,ALL,ALL,0TO99
1213,322,2010,123.05,ALL,ALL,ALL,0TO99
1235,323,2010,1168.59,ALL,ALL,ALL,0TO99
1215,344,2010,35.81,ALL,ALL,ALL,0TO99
1241,305,2010,14707.53,ALL,ALL,ALL,0TO99
1212,344,2010,35.81,ALL,ALL,ALL,0TO99
1238,324,2010,1683.48,ALL,ALL,ALL,0TO99
1196,333,2010,514.18,ALL,ALL,ALL,0TO99
1213,329,2010,92.07,ALL,ALL,ALL,0TO99
1236,303,2010,7008.77,ALL,ALL,ALL,0TO99
1196,362,2010,0.88,ALL,ALL,ALL,0TO99
1204,318,2010,195.51,ALL,ALL,ALL,0TO99
1194,323,2010,159.98,ALL,ALL,ALL,0TO99
1193,327,2010,21.85,ALL,ALL,ALL,0TO99
1250,312,2010,1800.88,ALL,ALL,ALL,0TO99
1205,328,2010,396.14,ALL,ALL,ALL,0TO99
1184,350,2010,2.46,ALL,ALL,ALL,0TO99
1233,318,2010,4155.68,ALL,ALL,ALL,0TO99
1246,290,2010,2440.28,ALL,ALL,ALL,0TO99
1185,330,2010,21.90,ALL,ALL,ALL,0TO99
1244,310,2010,2645.94,ALL,ALL,ALL,0TO99
1202,331,2010,299.32,ALL,ALL,ALL,0TO99
1210,343,2010,35.78,ALL,ALL,ALL,0TO99
1213,337,2010,66.52,ALL,ALL,ALL,0TO99
1226,299,2010,3196.45,ALL,ALL,ALL,0TO99
