Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2153,879,D24HourMean,QuarterlyMean,Mean,20.87
2155,878,D24HourMean,QuarterlyMean,Mean,25.91
2154,884,D24HourMean,QuarterlyMean,Mean,22.90
2151,882,D24HourMean,QuarterlyMean,Mean,21.83
2152,879,D24HourMean,QuarterlyMean,Mean,20.66
2154,875,D24HourMean,QuarterlyMean,Mean,25.90
2151,880,D24HourMean,QuarterlyMean,Mean,20.76
2153,876,D24HourMean,QuarterlyMean,Mean,22.30
2153,883,D24HourMean,QuarterlyMean,Mean,22.07
2151,874,D24HourMean,QuarterlyMean,Mean,23.44
2156,883,D24HourMean,QuarterlyMean,Mean,23.90
2156,881,D24HourMean,QuarterlyMean,Mean,25.52
2155,880,D24HourMean,QuarterlyMean,Mean,24.98
2153,880,D24HourMean,QuarterlyMean,Mean,19.35
2153,884,D24HourMean,QuarterlyMean,Mean,21.58
2151,883,D24HourMean,QuarterlyMean,Mean,22.39
2152,882,D24HourMean,QuarterlyMean,Mean,21.08
2153,881,D24HourMean,QuarterlyMean,Mean,20.02
2155,877,D24HourMean,QuarterlyMean,Mean,25.71
2154,879,D24HourMean,QuarterlyMean,Mean,22.88
2156,882,D24HourMean,QuarterlyMean,Mean,24.76
2151,876,D24HourMean,QuarterlyMean,Mean,21.75
2152,876,D24HourMean,QuarterlyMean,Mean,21.45
2154,881,D24HourMean,QuarterlyMean,Mean,21.17
2155,879,D24HourMean,QuarterlyMean,Mean,25.68
2154,876,D24HourMean,QuarterlyMean,Mean,24.49
2151,875,D24HourMean,QuarterlyMean,Mean,22.07
2154,880,D24HourMean,QuarterlyMean,Mean,21.11
2150,873,D24HourMean,QuarterlyMean,Mean,23.52
2152,874,D24HourMean,QuarterlyMean,Mean,23.08
2153,882,D24HourMean,QuarterlyMean,Mean,21.03
2151,878,D24HourMean,QuarterlyMean,Mean,21.94
2155,882,D24HourMean,QuarterlyMean,Mean,24.12
2155,875,D24HourMean,QuarterlyMean,Mean,28.43
2143,873,D24HourMean,QuarterlyMean,Mean,20.42
2152,884,D24HourMean,QuarterlyMean,Mean,21.37
2153,874,D24HourMean,QuarterlyMean,Mean,23.65
2156,877,D24HourMean,QuarterlyMean,Mean,29.64
2153,878,D24HourMean,QuarterlyMean,Mean,21.75
2152,878,D24HourMean,QuarterlyMean,Mean,21.27
2151,879,D24HourMean,QuarterlyMean,Mean,21.29
2154,878,D24HourMean,QuarterlyMean,Mean,23.62
2155,881,D24HourMean,QuarterlyMean,Mean,24.98
2155,883,D24HourMean,QuarterlyMean,Mean,23.08
2152,880,D24HourMean,QuarterlyMean,Mean,19.39
2154,877,D24HourMean,QuarterlyMean,Mean,24.17
2150,874,D24HourMean,QuarterlyMean,Mean,23.76
2153,877,D24HourMean,QuarterlyMean,Mean,22.20
2144,873,D24HourMean,QuarterlyMean,Mean,22.81
2153,875,D24HourMean,QuarterlyMean,Mean,22.41
2152,883,D24HourMean,QuarterlyMean,Mean,21.93
2150,875,D24HourMean,QuarterlyMean,Mean,22.98
2154,882,D24HourMean,QuarterlyMean,Mean,21.25
2152,881,D24HourMean,QuarterlyMean,Mean,19.95
2155,876,D24HourMean,QuarterlyMean,Mean,25.76
2154,883,D24HourMean,QuarterlyMean,Mean,21.69
2151,881,D24HourMean,QuarterlyMean,Mean,21.22
2152,875,D24HourMean,QuarterlyMean,Mean,21.27
