Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2153,879,2010,43346.04,ALL,ALL,ALL,0TO99
2155,878,2010,13073.48,ALL,ALL,ALL,0TO99
2154,884,2010,51558.18,ALL,ALL,ALL,0TO99
2151,882,2010,71656.87,ALL,ALL,ALL,0TO99
2152,879,2010,42340.48,ALL,ALL,ALL,0TO99
2154,875,2010,32528.27,ALL,ALL,ALL,0TO99
2151,880,2010,47360.24,ALL,ALL,ALL,0TO99
2153,876,2010,36021.96,ALL,ALL,ALL,0TO99
2153,883,2010,53168.58,ALL,ALL,ALL,0TO99
2151,874,2010,67655.68,ALL,ALL,ALL,0TO99
2156,883,2010,24764.00,ALL,ALL,ALL,0TO99
2156,881,2010,18222.29,ALL,ALL,ALL,0TO99
2155,880,2010,18999.39,ALL,ALL,ALL,0TO99
2153,880,2010,50823.41,ALL,ALL,ALL,0TO99
2153,884,2010,51605.03,ALL,ALL,ALL,0TO99
2151,883,2010,75808.23,ALL,ALL,ALL,0TO99
2152,882,2010,68559.62,ALL,ALL,ALL,0TO99
2153,881,2010,63882.22,ALL,ALL,ALL,0TO99
2155,877,2010,51823.27,ALL,ALL,ALL,0TO99
2154,879,2010,40961.83,ALL,ALL,ALL,0TO99
2156,882,2010,21029.80,ALL,ALL,ALL,0TO99
2151,876,2010,97378.86,ALL,ALL,ALL,0TO99
2152,876,2010,47913.26,ALL,ALL,ALL,0TO99
2154,881,2010,67661.62,ALL,ALL,ALL,0TO99
2155,879,2010,15548.26,ALL,ALL,ALL,0TO99
2154,876,2010,34849.54,ALL,ALL,ALL,0TO99
2151,875,2010,67580.39,ALL,ALL,ALL,0TO99
2154,880,2010,56191.37,ALL,ALL,ALL,0TO99
2150,873,2010,35528.53,ALL,ALL,ALL,0TO99
2152,874,2010,67655.68,ALL,ALL,ALL,0TO99
2153,882,2010,66862.85,ALL,ALL,ALL,0TO99
2151,878,2010,96318.77,ALL,ALL,ALL,0TO99
2155,882,2010,24824.18,ALL,ALL,ALL,0TO99
2155,875,2010,4034.74,ALL,ALL,ALL,0TO99
2143,873,2010,139178.72,ALL,ALL,ALL,0TO99
2152,884,2010,55545.22,ALL,ALL,ALL,0TO99
2153,874,2010,62306.67,ALL,ALL,ALL,0TO99
2156,877,2010,6670.82,ALL,ALL,ALL,0TO99
2153,878,2010,116201.39,ALL,ALL,ALL,0TO99
2152,878,2010,110818.59,ALL,ALL,ALL,0TO99
2151,879,2010,54028.09,ALL,ALL,ALL,0TO99
2154,878,2010,72044.13,ALL,ALL,ALL,0TO99
2155,881,2010,32863.45,ALL,ALL,ALL,0TO99
2155,883,2010,17470.65,ALL,ALL,ALL,0TO99
2152,880,2010,40184.38,ALL,ALL,ALL,0TO99
2154,877,2010,100823.86,ALL,ALL,ALL,0TO99
2150,874,2010,60787.77,ALL,ALL,ALL,0TO99
2153,877,2010,123779.53,ALL,ALL,ALL,0TO99
2144,873,2010,251509.27,ALL,ALL,ALL,0TO99
2153,875,2010,47433.24,ALL,ALL,ALL,0TO99
2152,883,2010,63395.36,ALL,ALL,ALL,0TO99
2150,875,2010,56281.00,ALL,ALL,ALL,0TO99
2154,882,2010,53816.65,ALL,ALL,ALL,0TO99
2152,881,2010,49957.36,ALL,ALL,ALL,0TO99
2155,876,2010,11020.67,ALL,ALL,ALL,0TO99
2154,883,2010,38653.14,ALL,ALL,ALL,0TO99
2151,881,2010,56044.55,ALL,ALL,ALL,0TO99
2152,875,2010,66594.39,ALL,ALL,ALL,0TO99
