Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2314,817,D24HourMean,QuarterlyMean,Mean,44.28
2315,810,D24HourMean,QuarterlyMean,Mean,58.62
2316,812,D24HourMean,QuarterlyMean,Mean,53.60
2310,810,D24HourMean,QuarterlyMean,Mean,69.89
2312,811,D24HourMean,QuarterlyMean,Mean,66.36
2310,813,D24HourMean,QuarterlyMean,Mean,59.03
2310,806,D24HourMean,QuarterlyMean,Mean,84.37
2311,810,D24HourMean,QuarterlyMean,Mean,69.92
2309,807,D24HourMean,QuarterlyMean,Mean,79.44
2313,807,D24HourMean,QuarterlyMean,Mean,77.62
2315,819,D24HourMean,QuarterlyMean,Mean,37.81
2309,813,D24HourMean,QuarterlyMean,Mean,58.53
2310,818,D24HourMean,QuarterlyMean,Mean,42.75
2314,816,D24HourMean,QuarterlyMean,Mean,47.51
2314,810,D24HourMean,QuarterlyMean,Mean,62.26
2315,813,D24HourMean,QuarterlyMean,Mean,55.47
2314,809,D24HourMean,QuarterlyMean,Mean,66.92
2312,809,D24HourMean,QuarterlyMean,Mean,70.97
2314,812,D24HourMean,QuarterlyMean,Mean,59.27
2311,820,D24HourMean,QuarterlyMean,Mean,36.47
2315,812,D24HourMean,QuarterlyMean,Mean,57.69
2314,814,D24HourMean,QuarterlyMean,Mean,55.34
2310,814,D24HourMean,QuarterlyMean,Mean,56.16
2311,811,D24HourMean,QuarterlyMean,Mean,67.82
2309,811,D24HourMean,QuarterlyMean,Mean,66.93
2314,819,D24HourMean,QuarterlyMean,Mean,39.67
2310,816,D24HourMean,QuarterlyMean,Mean,55.40
2312,817,D24HourMean,QuarterlyMean,Mean,47.50
2310,807,D24HourMean,QuarterlyMean,Mean,79.03
2313,820,D24HourMean,QuarterlyMean,Mean,42.77
2315,808,D24HourMean,QuarterlyMean,Mean,69.09
2311,816,D24HourMean,QuarterlyMean,Mean,52.35
2312,812,D24HourMean,QuarterlyMean,Mean,62.81
2312,815,D24HourMean,QuarterlyMean,Mean,52.02
2310,808,D24HourMean,QuarterlyMean,Mean,74.27
2315,807,D24HourMean,QuarterlyMean,Mean,70.82
2312,814,D24HourMean,QuarterlyMean,Mean,55.30
2311,809,D24HourMean,QuarterlyMean,Mean,73.39
2314,813,D24HourMean,QuarterlyMean,Mean,57.04
2316,811,D24HourMean,QuarterlyMean,Mean,54.11
2311,808,D24HourMean,QuarterlyMean,Mean,74.56
2313,809,D24HourMean,QuarterlyMean,Mean,69.55
2310,815,D24HourMean,QuarterlyMean,Mean,54.58
2312,810,D24HourMean,QuarterlyMean,Mean,67.48
2310,809,D24HourMean,QuarterlyMean,Mean,72.91
2316,810,D24HourMean,QuarterlyMean,Mean,54.74
2315,814,D24HourMean,QuarterlyMean,Mean,52.86
2313,812,D24HourMean,QuarterlyMean,Mean,60.88
2315,811,D24HourMean,QuarterlyMean,Mean,57.79
2309,809,D24HourMean,QuarterlyMean,Mean,73.95
2315,818,D24HourMean,QuarterlyMean,Mean,39.82
2314,807,D24HourMean,QuarterlyMean,Mean,74.39
2309,810,D24HourMean,QuarterlyMean,Mean,69.50
2316,816,D24HourMean,QuarterlyMean,Mean,43.35
2311,817,D24HourMean,QuarterlyMean,Mean,49.18
2313,819,D24HourMean,QuarterlyMean,Mean,40.99
2316,809,D24HourMean,QuarterlyMean,Mean,60.36
2315,817,D24HourMean,QuarterlyMean,Mean,42.51
2315,809,D24HourMean,QuarterlyMean,Mean,65.15
2311,813,D24HourMean,QuarterlyMean,Mean,59.11
2316,817,D24HourMean,QuarterlyMean,Mean,40.43
2313,816,D24HourMean,QuarterlyMean,Mean,48.00
2316,818,D24HourMean,QuarterlyMean,Mean,37.49
2312,818,D24HourMean,QuarterlyMean,Mean,44.40
2311,814,D24HourMean,QuarterlyMean,Mean,56.08
2313,817,D24HourMean,QuarterlyMean,Mean,45.75
2312,807,D24HourMean,QuarterlyMean,Mean,79.55
2309,812,D24HourMean,QuarterlyMean,Mean,62.40
2310,811,D24HourMean,QuarterlyMean,Mean,68.45
2313,818,D24HourMean,QuarterlyMean,Mean,42.65
2313,815,D24HourMean,QuarterlyMean,Mean,50.70
2310,817,D24HourMean,QuarterlyMean,Mean,48.82
2312,813,D24HourMean,QuarterlyMean,Mean,58.00
2313,813,D24HourMean,QuarterlyMean,Mean,58.49
2311,806,D24HourMean,QuarterlyMean,Mean,84.30
2313,810,D24HourMean,QuarterlyMean,Mean,66.57
2314,808,D24HourMean,QuarterlyMean,Mean,69.86
2312,816,D24HourMean,QuarterlyMean,Mean,49.70
2312,806,D24HourMean,QuarterlyMean,Mean,86.27
2312,820,D24HourMean,QuarterlyMean,Mean,40.17
2311,807,D24HourMean,QuarterlyMean,Mean,78.65
2311,818,D24HourMean,QuarterlyMean,Mean,43.96
2313,811,D24HourMean,QuarterlyMean,Mean,65.18
2314,818,D24HourMean,QuarterlyMean,Mean,41.90
2314,806,D24HourMean,QuarterlyMean,Mean,80.16
2313,808,D24HourMean,QuarterlyMean,Mean,72.70
2309,814,D24HourMean,QuarterlyMean,Mean,56.12
2314,811,D24HourMean,QuarterlyMean,Mean,61.10
2314,815,D24HourMean,QuarterlyMean,Mean,51.12
2313,821,D24HourMean,QuarterlyMean,Mean,38.60
