Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2314,817,2010,2580.49,ALL,ALL,ALL,0TO99
2315,810,2010,6976.37,ALL,ALL,ALL,0TO99
2316,812,2010,130700.69,ALL,ALL,ALL,0TO99
2310,810,2010,207.44,ALL,ALL,ALL,0TO99
2312,811,2010,207.28,ALL,ALL,ALL,0TO99
2310,813,2010,553.27,ALL,ALL,ALL,0TO99
2310,806,2010,311.40,ALL,ALL,ALL,0TO99
2311,810,2010,207.44,ALL,ALL,ALL,0TO99
2309,807,2010,124.84,ALL,ALL,ALL,0TO99
2313,807,2010,207.17,ALL,ALL,ALL,0TO99
2315,819,2010,1264.08,ALL,ALL,ALL,0TO99
2309,813,2010,553.27,ALL,ALL,ALL,0TO99
2310,818,2010,84.21,ALL,ALL,ALL,0TO99
2314,816,2010,2883.21,ALL,ALL,ALL,0TO99
2314,810,2010,9212.27,ALL,ALL,ALL,0TO99
2315,813,2010,78760.20,ALL,ALL,ALL,0TO99
2314,809,2010,3012.85,ALL,ALL,ALL,0TO99
2312,809,2010,207.62,ALL,ALL,ALL,0TO99
2314,812,2010,26798.83,ALL,ALL,ALL,0TO99
2311,820,2010,115.70,ALL,ALL,ALL,0TO99
2315,812,2010,41071.92,ALL,ALL,ALL,0TO99
2314,814,2010,8604.50,ALL,ALL,ALL,0TO99
2310,814,2010,535.81,ALL,ALL,ALL,0TO99
2311,811,2010,315.45,ALL,ALL,ALL,0TO99
2309,811,2010,447.80,ALL,ALL,ALL,0TO99
2314,819,2010,399.60,ALL,ALL,ALL,0TO99
2310,816,2010,418.79,ALL,ALL,ALL,0TO99
2312,817,2010,386.20,ALL,ALL,ALL,0TO99
2310,807,2010,207.81,ALL,ALL,ALL,0TO99
2313,820,2010,379.56,ALL,ALL,ALL,0TO99
2315,808,2010,2605.96,ALL,ALL,ALL,0TO99
2311,816,2010,551.89,ALL,ALL,ALL,0TO99
2312,812,2010,816.18,ALL,ALL,ALL,0TO99
2312,815,2010,552.34,ALL,ALL,ALL,0TO99
2310,808,2010,207.59,ALL,ALL,ALL,0TO99
2315,807,2010,985.78,ALL,ALL,ALL,0TO99
2312,814,2010,14082.28,ALL,ALL,ALL,0TO99
2311,809,2010,207.62,ALL,ALL,ALL,0TO99
2314,813,2010,28709.55,ALL,ALL,ALL,0TO99
2316,811,2010,6340.51,ALL,ALL,ALL,0TO99
2311,808,2010,207.78,ALL,ALL,ALL,0TO99
2313,809,2010,207.62,ALL,ALL,ALL,0TO99
2310,815,2010,417.27,ALL,ALL,ALL,0TO99
2312,810,2010,207.44,ALL,ALL,ALL,0TO99
2310,809,2010,207.62,ALL,ALL,ALL,0TO99
2316,810,2010,3926.07,ALL,ALL,ALL,0TO99
2315,814,2010,6621.18,ALL,ALL,ALL,0TO99
2313,812,2010,2328.08,ALL,ALL,ALL,0TO99
2315,811,2010,18175.76,ALL,ALL,ALL,0TO99
2309,809,2010,141.67,ALL,ALL,ALL,0TO99
2315,818,2010,2606.29,ALL,ALL,ALL,0TO99
2314,807,2010,1091.36,ALL,ALL,ALL,0TO99
2309,810,2010,178.94,ALL,ALL,ALL,0TO99
2316,816,2010,1281.58,ALL,ALL,ALL,0TO99
2311,817,2010,413.72,ALL,ALL,ALL,0TO99
2313,819,2010,378.38,ALL,ALL,ALL,0TO99
2316,809,2010,1326.94,ALL,ALL,ALL,0TO99
2315,817,2010,2879.05,ALL,ALL,ALL,0TO99
2315,809,2010,4371.99,ALL,ALL,ALL,0TO99
2311,813,2010,553.27,ALL,ALL,ALL,0TO99
2316,817,2010,2112.30,ALL,ALL,ALL,0TO99
2313,816,2010,1683.72,ALL,ALL,ALL,0TO99
2316,818,2010,2479.66,ALL,ALL,ALL,0TO99
2312,818,2010,361.60,ALL,ALL,ALL,0TO99
2311,814,2010,552.82,ALL,ALL,ALL,0TO99
2313,817,2010,743.74,ALL,ALL,ALL,0TO99
2312,807,2010,207.95,ALL,ALL,ALL,0TO99
2309,812,2010,553.73,ALL,ALL,ALL,0TO99
2310,811,2010,444.28,ALL,ALL,ALL,0TO99
2313,818,2010,353.63,ALL,ALL,ALL,0TO99
2313,815,2010,1230.52,ALL,ALL,ALL,0TO99
2310,817,2010,302.38,ALL,ALL,ALL,0TO99
2312,813,2010,14859.94,ALL,ALL,ALL,0TO99
2313,813,2010,26383.23,ALL,ALL,ALL,0TO99
2311,806,2010,208.12,ALL,ALL,ALL,0TO99
2313,810,2010,698.10,ALL,ALL,ALL,0TO99
2314,808,2010,2747.78,ALL,ALL,ALL,0TO99
2312,816,2010,547.51,ALL,ALL,ALL,0TO99
2312,806,2010,208.12,ALL,ALL,ALL,0TO99
2312,820,2010,313.92,ALL,ALL,ALL,0TO99
2311,807,2010,207.95,ALL,ALL,ALL,0TO99
2311,818,2010,371.65,ALL,ALL,ALL,0TO99
2313,811,2010,4302.16,ALL,ALL,ALL,0TO99
2314,818,2010,853.39,ALL,ALL,ALL,0TO99
2314,806,2010,186.70,ALL,ALL,ALL,0TO99
2313,808,2010,207.78,ALL,ALL,ALL,0TO99
2309,814,2010,482.50,ALL,ALL,ALL,0TO99
2314,811,2010,27731.29,ALL,ALL,ALL,0TO99
2314,815,2010,4806.08,ALL,ALL,ALL,0TO99
2313,821,2010,170.19,ALL,ALL,ALL,0TO99
2310,812,2010,553.73,ALL,ALL,ALL,0TO99
2311,815,2010,552.34,ALL,ALL,ALL,0TO99
2311,819,2010,322.27,ALL,ALL,ALL,0TO99
2315,815,2010,4396.50,ALL,ALL,ALL,0TO99
2312,819,2010,379.38,ALL,ALL,ALL,0TO99
2311,812,2010,416.48,ALL,ALL,ALL,0TO99
2309,815,2010,265.88,ALL,ALL,ALL,0TO99
2312,808,2010,207.78,ALL,ALL,ALL,0TO99
2313,814,2010,26526.52,ALL,ALL,ALL,0TO99
2315,816,2010,2879.04,ALL,ALL,ALL,0TO99
