Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2072,1003,D24HourMean,QuarterlyMean,Mean,14.67
2041,1037,D24HourMean,QuarterlyMean,Mean,11.52
2067,1014,D24HourMean,QuarterlyMean,Mean,13.92
2045,1004,D24HourMean,QuarterlyMean,Mean,17.40
2070,1001,D24HourMean,QuarterlyMean,Mean,15.58
2028,1016,D24HourMean,QuarterlyMean,Mean,12.72
2032,1004,D24HourMean,QuarterlyMean,Mean,14.77
2059,1005,D24HourMean,QuarterlyMean,Mean,17.97
2092,1013,D24HourMean,QuarterlyMean,Mean,12.19
2030,1001,D24HourMean,QuarterlyMean,Mean,14.96
2036,1034,D24HourMean,QuarterlyMean,Mean,11.56
2067,1008,D24HourMean,QuarterlyMean,Mean,16.29
2079,1005,D24HourMean,QuarterlyMean,Mean,14.83
2080,1022,D24HourMean,QuarterlyMean,Mean,12.42
2046,1019,D24HourMean,QuarterlyMean,Mean,13.10
2054,1037,D24HourMean,QuarterlyMean,Mean,10.16
2032,1011,D24HourMean,QuarterlyMean,Mean,15.57
2070,1011,D24HourMean,QuarterlyMean,Mean,16.50
2023,1033,D24HourMean,QuarterlyMean,Mean,13.47
2073,1017,D24HourMean,QuarterlyMean,Mean,14.93
2074,1027,D24HourMean,QuarterlyMean,Mean,10.91
2048,1002,D24HourMean,QuarterlyMean,Mean,17.19
2057,1020,D24HourMean,QuarterlyMean,Mean,11.27
2060,1013,D24HourMean,QuarterlyMean,Mean,15.06
2080,1002,D24HourMean,QuarterlyMean,Mean,14.57
2023,1035,D24HourMean,QuarterlyMean,Mean,13.16
2036,1019,D24HourMean,QuarterlyMean,Mean,13.34
2055,1006,D24HourMean,QuarterlyMean,Mean,18.15
2063,1038,D24HourMean,QuarterlyMean,Mean,9.17
2074,1030,D24HourMean,QuarterlyMean,Mean,9.78
2058,1008,D24HourMean,QuarterlyMean,Mean,17.58
2050,1028,D24HourMean,QuarterlyMean,Mean,12.82
2031,999,D24HourMean,QuarterlyMean,Mean,15.11
2027,1018,D24HourMean,QuarterlyMean,Mean,13.03
2060,1039,D24HourMean,QuarterlyMean,Mean,9.42
2024,1033,D24HourMean,QuarterlyMean,Mean,13.05
2083,1003,D24HourMean,QuarterlyMean,Mean,13.42
2056,1019,D24HourMean,QuarterlyMean,Mean,11.43
2027,1037,D24HourMean,QuarterlyMean,Mean,13.06
2079,1023,D24HourMean,QuarterlyMean,Mean,12.16
2089,1012,D24HourMean,QuarterlyMean,Mean,13.93
2017,1029,D24HourMean,QuarterlyMean,Mean,14.69
2037,1008,D24HourMean,QuarterlyMean,Mean,16.27
2074,1032,D24HourMean,QuarterlyMean,Mean,10.23
2063,1020,D24HourMean,QuarterlyMean,Mean,9.96
2030,1003,D24HourMean,QuarterlyMean,Mean,14.79
2044,1008,D24HourMean,QuarterlyMean,Mean,18.29
2074,1005,D24HourMean,QuarterlyMean,Mean,15.50
2025,1017,D24HourMean,QuarterlyMean,Mean,12.97
2031,1006,D24HourMean,QuarterlyMean,Mean,15.16
2010,1015,D24HourMean,QuarterlyMean,Mean,15.96
2043,1038,D24HourMean,QuarterlyMean,Mean,11.57
2050,1024,D24HourMean,QuarterlyMean,Mean,12.41
2067,1012,D24HourMean,QuarterlyMean,Mean,15.27
2034,1034,D24HourMean,QuarterlyMean,Mean,11.80
2067,1041,D24HourMean,QuarterlyMean,Mean,10.56
2085,1009,D24HourMean,QuarterlyMean,Mean,13.31
2056,1036,D24HourMean,QuarterlyMean,Mean,9.80
2075,1028,D24HourMean,QuarterlyMean,Mean,10.71
2035,1017,D24HourMean,QuarterlyMean,Mean,13.26
2066,1012,D24HourMean,QuarterlyMean,Mean,15.16
2019,1027,D24HourMean,QuarterlyMean,Mean,15.10
2034,1000,D24HourMean,QuarterlyMean,Mean,14.98
2037,1026,D24HourMean,QuarterlyMean,Mean,12.21
2083,1009,D24HourMean,QuarterlyMean,Mean,14.53
2088,1010,D24HourMean,QuarterlyMean,Mean,11.96
2020,1016,D24HourMean,QuarterlyMean,Mean,15.98
2068,1030,D24HourMean,QuarterlyMean,Mean,10.20
2044,1007,D24HourMean,QuarterlyMean,Mean,18.06
2076,1007,D24HourMean,QuarterlyMean,Mean,15.13
2046,999,D24HourMean,QuarterlyMean,Mean,16.40
2057,1026,D24HourMean,QuarterlyMean,Mean,11.66
2079,1018,D24HourMean,QuarterlyMean,Mean,12.55
2077,1024,D24HourMean,QuarterlyMean,Mean,12.12
2038,1020,D24HourMean,QuarterlyMean,Mean,12.96
2045,1000,D24HourMean,QuarterlyMean,Mean,16.34
2048,1028,D24HourMean,QuarterlyMean,Mean,12.79
2035,1014,D24HourMean,QuarterlyMean,Mean,13.95
2041,1014,D24HourMean,QuarterlyMean,Mean,15.06
2032,1022,D24HourMean,QuarterlyMean,Mean,11.68
2065,1024,D24HourMean,QuarterlyMean,Mean,10.96
2045,1037,D24HourMean,QuarterlyMean,Mean,10.89
2045,1031,D24HourMean,QuarterlyMean,Mean,12.32
2054,1028,D24HourMean,QuarterlyMean,Mean,12.20
2059,1039,D24HourMean,QuarterlyMean,Mean,9.27
2054,1033,D24HourMean,QuarterlyMean,Mean,10.04
2070,1016,D24HourMean,QuarterlyMean,Mean,13.16
2035,1010,D24HourMean,QuarterlyMean,Mean,16.18
2018,1027,D24HourMean,QuarterlyMean,Mean,15.45
2053,1023,D24HourMean,QuarterlyMean,Mean,12.01
2058,1026,D24HourMean,QuarterlyMean,Mean,11.46
2022,1026,D24HourMean,QuarterlyMean,Mean,14.03
2052,1014,D24HourMean,QuarterlyMean,Mean,14.29
2024,1025,D24HourMean,QuarterlyMean,Mean,13.41
2013,1021,D24HourMean,QuarterlyMean,Mean,15.29
2039,1029,D24HourMean,QuarterlyMean,Mean,12.68
2060,1030,D24HourMean,QuarterlyMean,Mean,9.53
2057,1028,D24HourMean,QuarterlyMean,Mean,11.05
2061,1024,D24HourMean,QuarterlyMean,Mean,10.99
2021,1033,D24HourMean,QuarterlyMean,Mean,13.48
2056,1000,D24HourMean,QuarterlyMean,Mean,17.19
2060,1006,D24HourMean,QuarterlyMean,Mean,17.89
2060,1008,D24HourMean,QuarterlyMean,Mean,18.17
2030,1022,D24HourMean,QuarterlyMean,Mean,12.00
2071,1024,D24HourMean,QuarterlyMean,Mean,12.25
2034,1014,D24HourMean,QuarterlyMean,Mean,13.72
2032,1006,D24HourMean,QuarterlyMean,Mean,15.19
2061,1005,D24HourMean,QuarterlyMean,Mean,18.20
2065,1018,D24HourMean,QuarterlyMean,Mean,11.04
2066,1016,D24HourMean,QuarterlyMean,Mean,11.43
2055,1036,D24HourMean,QuarterlyMean,Mean,9.75
2095,1013,D24HourMean,QuarterlyMean,Mean,13.87
2048,1022,D24HourMean,QuarterlyMean,Mean,12.31
2030,1016,D24HourMean,QuarterlyMean,Mean,13.89
2025,1015,D24HourMean,QuarterlyMean,Mean,13.41
2030,1010,D24HourMean,QuarterlyMean,Mean,14.73
2055,996,D24HourMean,QuarterlyMean,Mean,17.03
2033,1017,D24HourMean,QuarterlyMean,Mean,13.50
2064,1014,D24HourMean,QuarterlyMean,Mean,13.24
2042,997,D24HourMean,QuarterlyMean,Mean,16.15
2074,1024,D24HourMean,QuarterlyMean,Mean,11.77
2059,1033,D24HourMean,QuarterlyMean,Mean,9.45
2072,1035,D24HourMean,QuarterlyMean,Mean,10.21
2076,1031,D24HourMean,QuarterlyMean,Mean,10.86
2070,1008,D24HourMean,QuarterlyMean,Mean,15.98
