Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2072,1003,2010,3888.45,ALL,ALL,ALL,0TO99
2041,1037,2010,4269.70,ALL,ALL,ALL,0TO99
2067,1014,2010,2886.24,ALL,ALL,ALL,0TO99
2045,1004,2010,6013.13,ALL,ALL,ALL,0TO99
2070,1001,2010,4172.00,ALL,ALL,ALL,0TO99
2028,1016,2010,1861.43,ALL,ALL,ALL,0TO99
2032,1004,2010,2185.21,ALL,ALL,ALL,0TO99
2059,1005,2010,10313.48,ALL,ALL,ALL,0TO99
2092,1013,2010,1472.96,ALL,ALL,ALL,0TO99
2030,1001,2010,8335.83,ALL,ALL,ALL,0TO99
2036,1034,2010,4319.98,ALL,ALL,ALL,0TO99
2067,1008,2010,5982.99,ALL,ALL,ALL,0TO99
2079,1005,2010,1881.36,ALL,ALL,ALL,0TO99
2080,1022,2010,4292.89,ALL,ALL,ALL,0TO99
2046,1019,2010,3124.12,ALL,ALL,ALL,0TO99
2054,1037,2010,1554.95,ALL,ALL,ALL,0TO99
2032,1011,2010,2395.43,ALL,ALL,ALL,0TO99
2070,1011,2010,14695.12,ALL,ALL,ALL,0TO99
2023,1033,2010,5718.10,ALL,ALL,ALL,0TO99
2073,1017,2010,26758.31,ALL,ALL,ALL,0TO99
2074,1027,2010,4994.16,ALL,ALL,ALL,0TO99
2048,1002,2010,6520.57,ALL,ALL,ALL,0TO99
2057,1020,2010,4583.19,ALL,ALL,ALL,0TO99
2060,1013,2010,4182.92,ALL,ALL,ALL,0TO99
2080,1002,2010,2268.93,ALL,ALL,ALL,0TO99
2023,1035,2010,4287.71,ALL,ALL,ALL,0TO99
2036,1019,2010,18608.43,ALL,ALL,ALL,0TO99
2055,1006,2010,9798.07,ALL,ALL,ALL,0TO99
2063,1038,2010,7154.38,ALL,ALL,ALL,0TO99
2074,1030,2010,5957.87,ALL,ALL,ALL,0TO99
2058,1008,2010,10399.50,ALL,ALL,ALL,0TO99
2050,1028,2010,4363.67,ALL,ALL,ALL,0TO99
2031,999,2010,8359.13,ALL,ALL,ALL,0TO99
2027,1018,2010,1909.16,ALL,ALL,ALL,0TO99
2060,1039,2010,6057.17,ALL,ALL,ALL,0TO99
2024,1033,2010,13369.79,ALL,ALL,ALL,0TO99
2083,1003,2010,1666.50,ALL,ALL,ALL,0TO99
2056,1019,2010,4169.09,ALL,ALL,ALL,0TO99
2027,1037,2010,3588.48,ALL,ALL,ALL,0TO99
2079,1023,2010,5688.38,ALL,ALL,ALL,0TO99
2089,1012,2010,7294.24,ALL,ALL,ALL,0TO99
2017,1029,2010,2231.02,ALL,ALL,ALL,0TO99
2037,1008,2010,4185.48,ALL,ALL,ALL,0TO99
2074,1032,2010,4957.65,ALL,ALL,ALL,0TO99
2063,1020,2010,6512.10,ALL,ALL,ALL,0TO99
2030,1003,2010,2934.81,ALL,ALL,ALL,0TO99
2044,1008,2010,6040.68,ALL,ALL,ALL,0TO99
2074,1005,2010,23833.97,ALL,ALL,ALL,0TO99
2025,1017,2010,723.89,ALL,ALL,ALL,0TO99
2031,1006,2010,5862.99,ALL,ALL,ALL,0TO99
2010,1015,2010,2489.98,ALL,ALL,ALL,0TO99
2043,1038,2010,4041.69,ALL,ALL,ALL,0TO99
2050,1024,2010,3912.32,ALL,ALL,ALL,0TO99
2067,1012,2010,8539.88,ALL,ALL,ALL,0TO99
2034,1034,2010,5740.35,ALL,ALL,ALL,0TO99
2067,1041,2010,7004.83,ALL,ALL,ALL,0TO99
2085,1009,2010,1626.22,ALL,ALL,ALL,0TO99
2056,1036,2010,2582.72,ALL,ALL,ALL,0TO99
2075,1028,2010,9944.81,ALL,ALL,ALL,0TO99
2035,1017,2010,6183.05,ALL,ALL,ALL,0TO99
2066,1012,2010,7922.94,ALL,ALL,ALL,0TO99
2019,1027,2010,4044.24,ALL,ALL,ALL,0TO99
2034,1000,2010,8461.20,ALL,ALL,ALL,0TO99
2037,1026,2010,3412.54,ALL,ALL,ALL,0TO99
2083,1009,2010,2206.27,ALL,ALL,ALL,0TO99
2088,1010,2010,6526.55,ALL,ALL,ALL,0TO99
2020,1016,2010,18230.51,ALL,ALL,ALL,0TO99
2068,1030,2010,9546.79,ALL,ALL,ALL,0TO99
2044,1007,2010,5007.90,ALL,ALL,ALL,0TO99
2076,1007,2010,4446.29,ALL,ALL,ALL,0TO99
2046,999,2010,6329.29,ALL,ALL,ALL,0TO99
2057,1026,2010,3015.99,ALL,ALL,ALL,0TO99
2079,1018,2010,3498.61,ALL,ALL,ALL,0TO99
2077,1024,2010,3228.64,ALL,ALL,ALL,0TO99
2038,1020,2010,2637.51,ALL,ALL,ALL,0TO99
2045,1000,2010,10306.54,ALL,ALL,ALL,0TO99
2048,1028,2010,7020.16,ALL,ALL,ALL,0TO99
2035,1014,2010,11764.59,ALL,ALL,ALL,0TO99
2041,1014,2010,438.11,ALL,ALL,ALL,0TO99
2032,1022,2010,3121.32,ALL,ALL,ALL,0TO99
2065,1024,2010,27913.28,ALL,ALL,ALL,0TO99
2045,1037,2010,3493.33,ALL,ALL,ALL,0TO99
2045,1031,2010,29770.91,ALL,ALL,ALL,0TO99
2054,1028,2010,4786.55,ALL,ALL,ALL,0TO99
2059,1039,2010,9013.92,ALL,ALL,ALL,0TO99
2054,1033,2010,10320.35,ALL,ALL,ALL,0TO99
2070,1016,2010,3391.76,ALL,ALL,ALL,0TO99
2035,1010,2010,4089.18,ALL,ALL,ALL,0TO99
2018,1027,2010,4431.09,ALL,ALL,ALL,0TO99
2053,1023,2010,7945.11,ALL,ALL,ALL,0TO99
2058,1026,2010,6396.70,ALL,ALL,ALL,0TO99
2022,1026,2010,2227.60,ALL,ALL,ALL,0TO99
2052,1014,2010,2199.12,ALL,ALL,ALL,0TO99
2024,1025,2010,3462.40,ALL,ALL,ALL,0TO99
2013,1021,2010,52549.88,ALL,ALL,ALL,0TO99
2039,1029,2010,14136.01,ALL,ALL,ALL,0TO99
2060,1030,2010,2220.00,ALL,ALL,ALL,0TO99
2057,1028,2010,2761.54,ALL,ALL,ALL,0TO99
2061,1024,2010,2688.67,ALL,ALL,ALL,0TO99
2021,1033,2010,5863.64,ALL,ALL,ALL,0TO99
2056,1000,2010,4026.02,ALL,ALL,ALL,0TO99
2060,1006,2010,10259.62,ALL,ALL,ALL,0TO99
2060,1008,2010,25531.31,ALL,ALL,ALL,0TO99
2030,1022,2010,1828.42,ALL,ALL,ALL,0TO99
2071,1024,2010,6510.92,ALL,ALL,ALL,0TO99
2034,1014,2010,20484.74,ALL,ALL,ALL,0TO99
2032,1006,2010,7912.78,ALL,ALL,ALL,0TO99
2061,1005,2010,51784.21,ALL,ALL,ALL,0TO99
2065,1018,2010,1278.82,ALL,ALL,ALL,0TO99
2066,1016,2010,1743.17,ALL,ALL,ALL,0TO99
2055,1036,2010,2089.02,ALL,ALL,ALL,0TO99
2095,1013,2010,504.12,ALL,ALL,ALL,0TO99
2048,1022,2010,12595.75,ALL,ALL,ALL,0TO99
2030,1016,2010,6872.40,ALL,ALL,ALL,0TO99
2025,1015,2010,1708.18,ALL,ALL,ALL,0TO99
2030,1010,2010,2619.38,ALL,ALL,ALL,0TO99
2055,996,2010,8827.89,ALL,ALL,ALL,0TO99
2033,1017,2010,2366.33,ALL,ALL,ALL,0TO99
2064,1014,2010,3995.20,ALL,ALL,ALL,0TO99
2042,997,2010,6297.07,ALL,ALL,ALL,0TO99
2074,1024,2010,4140.83,ALL,ALL,ALL,0TO99
2059,1033,2010,10756.78,ALL,ALL,ALL,0TO99
2072,1035,2010,5819.46,ALL,ALL,ALL,0TO99
2076,1031,2010,119026.20,ALL,ALL,ALL,0TO99
2070,1008,2010,4681.73,ALL,ALL,ALL,0TO99
2046,1002,2010,6326.72,ALL,ALL,ALL,0TO99
2053,1015,2010,9016.71,ALL,ALL,ALL,0TO99
2021,1013,2010,3726.50,ALL,ALL,ALL,0TO99
2036,1031,2010,1835.57,ALL,ALL,ALL,0TO99
2018,1011,2010,2052.06,ALL,ALL,ALL,0TO99
2050,997,2010,9984.53,ALL,ALL,ALL,0TO99
2080,1028,2010,4816.46,ALL,ALL,ALL,0TO99
2047,1018,2010,1175.68,ALL,ALL,ALL,0TO99
2049,1016,2010,1826.08,ALL,ALL,ALL,0TO99
2069,1003,2010,3774.55,ALL,ALL,ALL,0TO99
2050,1034,2010,1411.48,ALL,ALL,ALL,0TO99
2029,1017,2010,32592.58,ALL,ALL,ALL,0TO99
2048,1001,2010,4623.67,ALL,ALL,ALL,0TO99
2028,1027,2010,1561.76,ALL,ALL,ALL,0TO99
2032,1001,2010,6096.05,ALL,ALL,ALL,0TO99
2076,1013,2010,1866.01,ALL,ALL,ALL,0TO99
2081,1023,2010,3429.86,ALL,ALL,ALL,0TO99
2022,1027,2010,3850.44,ALL,ALL,ALL,0TO99
2053,1034,2010,1875.94,ALL,ALL,ALL,0TO99
2068,1022,2010,32623.09,ALL,ALL,ALL,0TO99
2063,1031,2010,5725.88,ALL,ALL,ALL,0TO99
2078,1005,2010,3279.98,ALL,ALL,ALL,0TO99
2087,1007,2010,2503.68,ALL,ALL,ALL,0TO99
2037,999,2010,4654.20,ALL,ALL,ALL,0TO99
2065,1025,2010,6567.79,ALL,ALL,ALL,0TO99
2070,1027,2010,5140.92,ALL,ALL,ALL,0TO99
2087,1003,2010,20979.10,ALL,ALL,ALL,0TO99
2024,1022,2010,1748.81,ALL,ALL,ALL,0TO99
2036,998,2010,4324.48,ALL,ALL,ALL,0TO99
2036,1032,2010,2195.67,ALL,ALL,ALL,0TO99
2039,1018,2010,3266.95,ALL,ALL,ALL,0TO99
2086,1010,2010,2180.10,ALL,ALL,ALL,0TO99
2038,1002,2010,57478.37,ALL,ALL,ALL,0TO99
2039,1023,2010,11033.18,ALL,ALL,ALL,0TO99
2060,1005,2010,26943.91,ALL,ALL,ALL,0TO99
2048,1008,2010,14522.00,ALL,ALL,ALL,0TO99
2039,1028,2010,4496.75,ALL,ALL,ALL,0TO99
2046,1028,2010,3130.55,ALL,ALL,ALL,0TO99
2023,1009,2010,1568.68,ALL,ALL,ALL,0TO99
2055,1004,2010,5353.19,ALL,ALL,ALL,0TO99
2060,1001,2010,4518.62,ALL,ALL,ALL,0TO99
2073,1016,2010,66299.92,ALL,ALL,ALL,0TO99
2030,1006,2010,2802.03,ALL,ALL,ALL,0TO99
2069,1037,2010,4086.48,ALL,ALL,ALL,0TO99
2094,1013,2010,518.14,ALL,ALL,ALL,0TO99
2057,1027,2010,7004.20,ALL,ALL,ALL,0TO99
2046,1031,2010,28526.32,ALL,ALL,ALL,0TO99
2063,1037,2010,15900.85,ALL,ALL,ALL,0TO99
2062,1036,2010,8898.52,ALL,ALL,ALL,0TO99
2070,1038,2010,4684.60,ALL,ALL,ALL,0TO99
2042,1021,2010,3649.27,ALL,ALL,ALL,0TO99
2047,1022,2010,3604.76,ALL,ALL,ALL,0TO99
2066,1001,2010,7727.83,ALL,ALL,ALL,0TO99
2014,1019,2010,2407.65,ALL,ALL,ALL,0TO99
2035,1038,2010,7346.24,ALL,ALL,ALL,0TO99
2010,1021,2010,4127.18,ALL,ALL,ALL,0TO99
2029,1024,2010,2919.52,ALL,ALL,ALL,0TO99
2083,1007,2010,1311.91,ALL,ALL,ALL,0TO99
2021,1019,2010,1528.10,ALL,ALL,ALL,0TO99
2067,1011,2010,6146.55,ALL,ALL,ALL,0TO99
2035,1000,2010,4447.29,ALL,ALL,ALL,0TO99
2066,1039,2010,4587.54,ALL,ALL,ALL,0TO99
2060,1032,2010,3596.92,ALL,ALL,ALL,0TO99
2082,1015,2010,62595.99,ALL,ALL,ALL,0TO99
2040,1028,2010,3522.78,ALL,ALL,ALL,0TO99
2051,1020,2010,1455.13,ALL,ALL,ALL,0TO99
2068,1039,2010,4065.73,ALL,ALL,ALL,0TO99
2056,1013,2010,10770.21,ALL,ALL,ALL,0TO99
2093,1011,2010,325.49,ALL,ALL,ALL,0TO99
2045,1015,2010,2615.63,ALL,ALL,ALL,0TO99
2052,1011,2010,8697.00,ALL,ALL,ALL,0TO99
2027,1023,2010,1970.58,ALL,ALL,ALL,0TO99
2048,1036,2010,5098.77,ALL,ALL,ALL,0TO99
2040,1010,2010,5735.99,ALL,ALL,ALL,0TO99
2049,1001,2010,4202.46,ALL,ALL,ALL,0TO99
2046,1008,2010,2669.92,ALL,ALL,ALL,0TO99
2011,1013,2010,3458.37,ALL,ALL,ALL,0TO99
2024,1018,2010,1802.19,ALL,ALL,ALL,0TO99
2059,1011,2010,9873.88,ALL,ALL,ALL,0TO99
2030,1029,2010,3095.37,ALL,ALL,ALL,0TO99
2053,999,2010,7888.58,ALL,ALL,ALL,0TO99
