Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2107,540,D24HourMean,QuarterlyMean,Mean,10.81
2100,543,D24HourMean,QuarterlyMean,Mean,11.45
2094,535,D24HourMean,QuarterlyMean,Mean,11.52
2102,546,D24HourMean,QuarterlyMean,Mean,12.31
2105,537,D24HourMean,QuarterlyMean,Mean,12.19
2095,535,D24HourMean,QuarterlyMean,Mean,11.67
2103,545,D24HourMean,QuarterlyMean,Mean,12.19
2097,536,D24HourMean,QuarterlyMean,Mean,12.48
2097,541,D24HourMean,QuarterlyMean,Mean,13.43
2095,539,D24HourMean,QuarterlyMean,Mean,12.41
2096,532,D24HourMean,QuarterlyMean,Mean,12.58
2107,537,D24HourMean,QuarterlyMean,Mean,10.67
2097,540,D24HourMean,QuarterlyMean,Mean,12.66
2095,533,D24HourMean,QuarterlyMean,Mean,12.38
2098,540,D24HourMean,QuarterlyMean,Mean,12.87
2099,534,D24HourMean,QuarterlyMean,Mean,13.60
2094,538,D24HourMean,QuarterlyMean,Mean,12.35
2106,543,D24HourMean,QuarterlyMean,Mean,11.13
2108,540,D24HourMean,QuarterlyMean,Mean,11.40
2096,538,D24HourMean,QuarterlyMean,Mean,12.65
2094,537,D24HourMean,QuarterlyMean,Mean,12.04
2108,538,D24HourMean,QuarterlyMean,Mean,10.67
2102,540,D24HourMean,QuarterlyMean,Mean,12.68
2097,535,D24HourMean,QuarterlyMean,Mean,12.95
2098,535,D24HourMean,QuarterlyMean,Mean,13.00
2103,540,D24HourMean,QuarterlyMean,Mean,12.30
2099,536,D24HourMean,QuarterlyMean,Mean,13.30
2100,540,D24HourMean,QuarterlyMean,Mean,13.05
2106,539,D24HourMean,QuarterlyMean,Mean,11.27
2095,541,D24HourMean,QuarterlyMean,Mean,11.86
2093,542,D24HourMean,QuarterlyMean,Mean,15.00
2100,542,D24HourMean,QuarterlyMean,Mean,11.96
2103,541,D24HourMean,QuarterlyMean,Mean,12.04
2098,542,D24HourMean,QuarterlyMean,Mean,13.48
2095,542,D24HourMean,QuarterlyMean,Mean,11.72
2093,541,D24HourMean,QuarterlyMean,Mean,14.17
2094,532,D24HourMean,QuarterlyMean,Mean,13.30
2097,544,D24HourMean,QuarterlyMean,Mean,13.52
2101,544,D24HourMean,QuarterlyMean,Mean,11.76
2091,534,D24HourMean,QuarterlyMean,Mean,13.48
2105,539,D24HourMean,QuarterlyMean,Mean,11.94
2108,536,D24HourMean,QuarterlyMean,Mean,10.83
2107,544,D24HourMean,QuarterlyMean,Mean,12.06
2099,539,D24HourMean,QuarterlyMean,Mean,12.70
2101,540,D24HourMean,QuarterlyMean,Mean,13.20
2107,541,D24HourMean,QuarterlyMean,Mean,10.91
2105,548,D24HourMean,QuarterlyMean,Mean,12.03
2090,533,D24HourMean,QuarterlyMean,Mean,13.20
2095,534,D24HourMean,QuarterlyMean,Mean,12.13
2102,536,D24HourMean,QuarterlyMean,Mean,11.64
2103,539,D24HourMean,QuarterlyMean,Mean,12.35
2096,542,D24HourMean,QuarterlyMean,Mean,12.98
2104,538,D24HourMean,QuarterlyMean,Mean,12.76
2090,535,D24HourMean,QuarterlyMean,Mean,13.68
2104,546,D24HourMean,QuarterlyMean,Mean,11.96
2103,546,D24HourMean,QuarterlyMean,Mean,12.26
2105,542,D24HourMean,QuarterlyMean,Mean,11.54
2108,544,D24HourMean,QuarterlyMean,Mean,12.56
2103,547,D24HourMean,QuarterlyMean,Mean,11.76
2101,539,D24HourMean,QuarterlyMean,Mean,13.10
2106,541,D24HourMean,QuarterlyMean,Mean,10.81
2108,543,D24HourMean,QuarterlyMean,Mean,12.24
2101,536,D24HourMean,QuarterlyMean,Mean,12.40
2092,535,D24HourMean,QuarterlyMean,Mean,12.85
2100,539,D24HourMean,QuarterlyMean,Mean,12.90
2102,543,D24HourMean,QuarterlyMean,Mean,11.66
2106,540,D24HourMean,QuarterlyMean,Mean,11.28
2094,544,D24HourMean,QuarterlyMean,Mean,12.71
2093,536,D24HourMean,QuarterlyMean,Mean,12.68
2094,543,D24HourMean,QuarterlyMean,Mean,12.63
2105,538,D24HourMean,QuarterlyMean,Mean,12.09
2099,535,D24HourMean,QuarterlyMean,Mean,13.35
2105,543,D24HourMean,QuarterlyMean,Mean,11.28
2103,537,D24HourMean,QuarterlyMean,Mean,13.02
2104,548,D24HourMean,QuarterlyMean,Mean,11.62
2108,541,D24HourMean,QuarterlyMean,Mean,11.37
2096,545,D24HourMean,QuarterlyMean,Mean,12.45
2100,537,D24HourMean,QuarterlyMean,Mean,13.05
2105,544,D24HourMean,QuarterlyMean,Mean,11.59
2103,543,D24HourMean,QuarterlyMean,Mean,11.81
2105,545,D24HourMean,QuarterlyMean,Mean,12.06
2103,542,D24HourMean,QuarterlyMean,Mean,11.84
2091,533,D24HourMean,QuarterlyMean,Mean,13.38
2096,537,D24HourMean,QuarterlyMean,Mean,12.73
2095,538,D24HourMean,QuarterlyMean,Mean,12.04
2101,545,D24HourMean,QuarterlyMean,Mean,11.96
2101,541,D24HourMean,QuarterlyMean,Mean,13.05
2103,538,D24HourMean,QuarterlyMean,Mean,13.00
2098,532,D24HourMean,QuarterlyMean,Mean,12.93
2099,538,D24HourMean,QuarterlyMean,Mean,12.55
2099,544,D24HourMean,QuarterlyMean,Mean,11.86
2096,539,D24HourMean,QuarterlyMean,Mean,12.46
2104,537,D24HourMean,QuarterlyMean,Mean,13.05
2099,545,D24HourMean,QuarterlyMean,Mean,11.86
2106,538,D24HourMean,QuarterlyMean,Mean,11.54
2100,538,D24HourMean,QuarterlyMean,Mean,13.00
2092,536,D24HourMean,QuarterlyMean,Mean,13.32
2099,541,D24HourMean,QuarterlyMean,Mean,12.87
2096,541,D24HourMean,QuarterlyMean,Mean,12.51
2101,537,D24HourMean,QuarterlyMean,Mean,12.45
2099,533,D24HourMean,QuarterlyMean,Mean,13.88
2093,535,D24HourMean,QuarterlyMean,Mean,11.93
2098,536,D24HourMean,QuarterlyMean,Mean,12.95
2096,533,D24HourMean,QuarterlyMean,Mean,12.58
2093,537,D24HourMean,QuarterlyMean,Mean,12.95
2104,543,D24HourMean,QuarterlyMean,Mean,11.94
2099,540,D24HourMean,QuarterlyMean,Mean,12.87
2102,537,D24HourMean,QuarterlyMean,Mean,11.94
2094,542,D24HourMean,QuarterlyMean,Mean,12.31
2102,541,D24HourMean,QuarterlyMean,Mean,12.65
2093,534,D24HourMean,QuarterlyMean,Mean,12.14
2096,535,D24HourMean,QuarterlyMean,Mean,12.53
2095,540,D24HourMean,QuarterlyMean,Mean,12.31
2097,543,D24HourMean,QuarterlyMean,Mean,13.27
2097,545,D24HourMean,QuarterlyMean,Mean,12.70
