Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2146,839,D24HourMean,QuarterlyMean,Mean,23.24
2147,841,D24HourMean,QuarterlyMean,Mean,26.95
2148,841,D24HourMean,QuarterlyMean,Mean,25.64
2148,842,D24HourMean,QuarterlyMean,Mean,25.88
2148,843,D24HourMean,QuarterlyMean,Mean,25.01
2149,841,D24HourMean,QuarterlyMean,Mean,25.96
2149,842,D24HourMean,QuarterlyMean,Mean,26.68
2149,843,D24HourMean,QuarterlyMean,Mean,26.41
2149,844,D24HourMean,QuarterlyMean,Mean,25.17
2149,845,D24HourMean,QuarterlyMean,Mean,23.76
2149,846,D24HourMean,QuarterlyMean,Mean,23.73
2149,847,D24HourMean,QuarterlyMean,Mean,24.03
2149,848,D24HourMean,QuarterlyMean,Mean,23.73
2150,841,D24HourMean,QuarterlyMean,Mean,26.02
2150,842,D24HourMean,QuarterlyMean,Mean,26.87
2150,843,D24HourMean,QuarterlyMean,Mean,26.67
2150,844,D24HourMean,QuarterlyMean,Mean,25.22
2150,845,D24HourMean,QuarterlyMean,Mean,22.71
2150,846,D24HourMean,QuarterlyMean,Mean,22.58
2150,847,D24HourMean,QuarterlyMean,Mean,23.01
2150,848,D24HourMean,QuarterlyMean,Mean,23.26
2150,849,D24HourMean,QuarterlyMean,Mean,20.93
2150,850,D24HourMean,QuarterlyMean,Mean,20.50
2150,851,D24HourMean,QuarterlyMean,Mean,22.66
2150,852,D24HourMean,QuarterlyMean,Mean,23.17
2151,841,D24HourMean,QuarterlyMean,Mean,25.34
2151,842,D24HourMean,QuarterlyMean,Mean,25.96
2151,843,D24HourMean,QuarterlyMean,Mean,25.93
2151,844,D24HourMean,QuarterlyMean,Mean,24.34
2151,845,D24HourMean,QuarterlyMean,Mean,21.62
2151,846,D24HourMean,QuarterlyMean,Mean,21.78
2151,847,D24HourMean,QuarterlyMean,Mean,21.46
2151,848,D24HourMean,QuarterlyMean,Mean,22.04
2151,849,D24HourMean,QuarterlyMean,Mean,18.84
2151,850,D24HourMean,QuarterlyMean,Mean,18.59
2151,851,D24HourMean,QuarterlyMean,Mean,20.72
2151,852,D24HourMean,QuarterlyMean,Mean,21.59
2152,841,D24HourMean,QuarterlyMean,Mean,24.58
2152,842,D24HourMean,QuarterlyMean,Mean,24.49
2152,843,D24HourMean,QuarterlyMean,Mean,24.09
2152,844,D24HourMean,QuarterlyMean,Mean,22.60
2152,845,D24HourMean,QuarterlyMean,Mean,21.48
2152,846,D24HourMean,QuarterlyMean,Mean,21.19
2152,847,D24HourMean,QuarterlyMean,Mean,19.68
2152,848,D24HourMean,QuarterlyMean,Mean,18.67
2152,849,D24HourMean,QuarterlyMean,Mean,18.15
2152,850,D24HourMean,QuarterlyMean,Mean,17.98
2152,851,D24HourMean,QuarterlyMean,Mean,19.61
2152,852,D24HourMean,QuarterlyMean,Mean,19.19
2153,839,D24HourMean,QuarterlyMean,Mean,25.06
2153,840,D24HourMean,QuarterlyMean,Mean,26.05
2153,841,D24HourMean,QuarterlyMean,Mean,24.57
2153,842,D24HourMean,QuarterlyMean,Mean,24.15
2153,843,D24HourMean,QuarterlyMean,Mean,23.61
2153,844,D24HourMean,QuarterlyMean,Mean,22.80
2153,845,D24HourMean,QuarterlyMean,Mean,22.00
2153,846,D24HourMean,QuarterlyMean,Mean,21.41
2153,847,D24HourMean,QuarterlyMean,Mean,19.34
2153,848,D24HourMean,QuarterlyMean,Mean,18.22
2153,849,D24HourMean,QuarterlyMean,Mean,18.63
2153,850,D24HourMean,QuarterlyMean,Mean,18.69
2153,851,D24HourMean,QuarterlyMean,Mean,18.37
2153,852,D24HourMean,QuarterlyMean,Mean,18.71
2154,838,D24HourMean,QuarterlyMean,Mean,24.72
2154,839,D24HourMean,QuarterlyMean,Mean,25.56
2154,840,D24HourMean,QuarterlyMean,Mean,25.45
2154,841,D24HourMean,QuarterlyMean,Mean,24.60
2154,842,D24HourMean,QuarterlyMean,Mean,24.88
2154,843,D24HourMean,QuarterlyMean,Mean,25.15
2154,844,D24HourMean,QuarterlyMean,Mean,24.27
2154,845,D24HourMean,QuarterlyMean,Mean,22.23
2154,846,D24HourMean,QuarterlyMean,Mean,21.20
2154,847,D24HourMean,QuarterlyMean,Mean,20.37
2154,848,D24HourMean,QuarterlyMean,Mean,18.61
2154,849,D24HourMean,QuarterlyMean,Mean,18.66
2154,850,D24HourMean,QuarterlyMean,Mean,19.23
2154,851,D24HourMean,QuarterlyMean,Mean,18.46
2154,852,D24HourMean,QuarterlyMean,Mean,18.97
2155,837,D24HourMean,QuarterlyMean,Mean,24.03
2155,838,D24HourMean,QuarterlyMean,Mean,26.74
2155,839,D24HourMean,QuarterlyMean,Mean,25.93
2155,840,D24HourMean,QuarterlyMean,Mean,26.37
2155,841,D24HourMean,QuarterlyMean,Mean,26.10
2155,842,D24HourMean,QuarterlyMean,Mean,25.25
2155,843,D24HourMean,QuarterlyMean,Mean,25.48
2155,844,D24HourMean,QuarterlyMean,Mean,22.99
2155,845,D24HourMean,QuarterlyMean,Mean,22.34
2155,846,D24HourMean,QuarterlyMean,Mean,21.33
2155,847,D24HourMean,QuarterlyMean,Mean,20.63
2155,848,D24HourMean,QuarterlyMean,Mean,19.92
2155,849,D24HourMean,QuarterlyMean,Mean,19.87
2155,850,D24HourMean,QuarterlyMean,Mean,22.34
2155,851,D24HourMean,QuarterlyMean,Mean,22.05
2155,852,D24HourMean,QuarterlyMean,Mean,20.52
2156,835,D24HourMean,QuarterlyMean,Mean,24.23
2156,836,D24HourMean,QuarterlyMean,Mean,24.31
2156,837,D24HourMean,QuarterlyMean,Mean,24.42
2156,838,D24HourMean,QuarterlyMean,Mean,24.46
2156,839,D24HourMean,QuarterlyMean,Mean,23.50
2156,840,D24HourMean,QuarterlyMean,Mean,24.03
2156,841,D24HourMean,QuarterlyMean,Mean,23.65
2156,842,D24HourMean,QuarterlyMean,Mean,24.20
2156,843,D24HourMean,QuarterlyMean,Mean,24.25
2156,844,D24HourMean,QuarterlyMean,Mean,23.04
2156,845,D24HourMean,QuarterlyMean,Mean,23.11
2156,846,D24HourMean,QuarterlyMean,Mean,21.86
2156,847,D24HourMean,QuarterlyMean,Mean,21.43
2156,848,D24HourMean,QuarterlyMean,Mean,20.96
2156,849,D24HourMean,QuarterlyMean,Mean,20.79
2156,850,D24HourMean,QuarterlyMean,Mean,22.66
2156,851,D24HourMean,QuarterlyMean,Mean,24.73
2156,852,D24HourMean,QuarterlyMean,Mean,21.54
2157,833,D24HourMean,QuarterlyMean,Mean,12.68
2157,834,D24HourMean,QuarterlyMean,Mean,24.38
2157,835,D24HourMean,QuarterlyMean,Mean,24.23
2157,836,D24HourMean,QuarterlyMean,Mean,24.42
2157,837,D24HourMean,QuarterlyMean,Mean,23.87
2157,838,D24HourMean,QuarterlyMean,Mean,23.46
2157,839,D24HourMean,QuarterlyMean,Mean,22.55
2157,840,D24HourMean,QuarterlyMean,Mean,22.83
2157,841,D24HourMean,QuarterlyMean,Mean,23.15
2157,842,D24HourMean,QuarterlyMean,Mean,22.99
2157,843,D24HourMean,QuarterlyMean,Mean,23.65
2157,844,D24HourMean,QuarterlyMean,Mean,23.93
2157,845,D24HourMean,QuarterlyMean,Mean,23.34
2157,846,D24HourMean,QuarterlyMean,Mean,23.66
2157,847,D24HourMean,QuarterlyMean,Mean,24.11
2157,848,D24HourMean,QuarterlyMean,Mean,22.69
2157,849,D24HourMean,QuarterlyMean,Mean,21.21
2157,850,D24HourMean,QuarterlyMean,Mean,24.06
2157,851,D24HourMean,QuarterlyMean,Mean,23.25
2157,852,D24HourMean,QuarterlyMean,Mean,23.92
2158,833,D24HourMean,QuarterlyMean,Mean,24.09
2158,834,D24HourMean,QuarterlyMean,Mean,24.31
2158,835,D24HourMean,QuarterlyMean,Mean,23.79
2158,836,D24HourMean,QuarterlyMean,Mean,26.00
2158,837,D24HourMean,QuarterlyMean,Mean,24.34
2158,838,D24HourMean,QuarterlyMean,Mean,23.09
2158,839,D24HourMean,QuarterlyMean,Mean,22.08
2158,840,D24HourMean,QuarterlyMean,Mean,21.76
2158,841,D24HourMean,QuarterlyMean,Mean,22.31
2158,842,D24HourMean,QuarterlyMean,Mean,23.20
2158,843,D24HourMean,QuarterlyMean,Mean,22.87
2158,844,D24HourMean,QuarterlyMean,Mean,23.20
2158,845,D24HourMean,QuarterlyMean,Mean,23.17
2158,846,D24HourMean,QuarterlyMean,Mean,29.03
2158,847,D24HourMean,QuarterlyMean,Mean,20.92
2158,848,D24HourMean,QuarterlyMean,Mean,24.38
2158,849,D24HourMean,QuarterlyMean,Mean,25.69
2158,850,D24HourMean,QuarterlyMean,Mean,26.29
2158,851,D24HourMean,QuarterlyMean,Mean,26.04
2159,831,D24HourMean,QuarterlyMean,Mean,25.88
2159,832,D24HourMean,QuarterlyMean,Mean,25.42
2159,833,D24HourMean,QuarterlyMean,Mean,25.64
2159,834,D24HourMean,QuarterlyMean,Mean,24.28
2159,835,D24HourMean,QuarterlyMean,Mean,23.38
2159,836,D24HourMean,QuarterlyMean,Mean,24.87
2159,837,D24HourMean,QuarterlyMean,Mean,24.27
2159,838,D24HourMean,QuarterlyMean,Mean,22.45
2159,839,D24HourMean,QuarterlyMean,Mean,22.31
2159,840,D24HourMean,QuarterlyMean,Mean,21.75
2159,841,D24HourMean,QuarterlyMean,Mean,22.72
2159,842,D24HourMean,QuarterlyMean,Mean,23.98
2159,843,D24HourMean,QuarterlyMean,Mean,23.11
2159,844,D24HourMean,QuarterlyMean,Mean,23.81
2159,845,D24HourMean,QuarterlyMean,Mean,23.89
2159,846,D24HourMean,QuarterlyMean,Mean,23.11
2159,847,D24HourMean,QuarterlyMean,Mean,23.30
2159,848,D24HourMean,QuarterlyMean,Mean,30.00
2159,849,D24HourMean,QuarterlyMean,Mean,33.12
2159,850,D24HourMean,QuarterlyMean,Mean,27.47
2159,851,D24HourMean,QuarterlyMean,Mean,27.63
2160,830,D24HourMean,QuarterlyMean,Mean,24.82
2160,831,D24HourMean,QuarterlyMean,Mean,26.73
2160,832,D24HourMean,QuarterlyMean,Mean,25.20
2160,833,D24HourMean,QuarterlyMean,Mean,25.26
2160,834,D24HourMean,QuarterlyMean,Mean,24.47
2160,835,D24HourMean,QuarterlyMean,Mean,23.44
2160,836,D24HourMean,QuarterlyMean,Mean,23.63
2160,837,D24HourMean,QuarterlyMean,Mean,23.68
2160,838,D24HourMean,QuarterlyMean,Mean,23.49
2160,839,D24HourMean,QuarterlyMean,Mean,23.69
2160,840,D24HourMean,QuarterlyMean,Mean,21.97
2160,841,D24HourMean,QuarterlyMean,Mean,23.28
2160,842,D24HourMean,QuarterlyMean,Mean,24.63
2160,843,D24HourMean,QuarterlyMean,Mean,21.30
2160,844,D24HourMean,QuarterlyMean,Mean,22.17
2160,845,D24HourMean,QuarterlyMean,Mean,22.96
2160,846,D24HourMean,QuarterlyMean,Mean,23.51
2160,847,D24HourMean,QuarterlyMean,Mean,23.00
2160,848,D24HourMean,QuarterlyMean,Mean,28.41
2160,849,D24HourMean,QuarterlyMean,Mean,31.31
2160,850,D24HourMean,QuarterlyMean,Mean,27.86
2160,851,D24HourMean,QuarterlyMean,Mean,29.10
2161,828,D24HourMean,QuarterlyMean,Mean,24.57
2161,829,D24HourMean,QuarterlyMean,Mean,25.45
2161,830,D24HourMean,QuarterlyMean,Mean,26.34
2161,831,D24HourMean,QuarterlyMean,Mean,26.95
2161,832,D24HourMean,QuarterlyMean,Mean,25.28
2161,833,D24HourMean,QuarterlyMean,Mean,24.65
2161,834,D24HourMean,QuarterlyMean,Mean,24.06
2161,835,D24HourMean,QuarterlyMean,Mean,23.74
2161,836,D24HourMean,QuarterlyMean,Mean,23.25
2161,837,D24HourMean,QuarterlyMean,Mean,22.32
2161,838,D24HourMean,QuarterlyMean,Mean,21.33
2161,839,D24HourMean,QuarterlyMean,Mean,25.01
2161,840,D24HourMean,QuarterlyMean,Mean,22.85
2161,841,D24HourMean,QuarterlyMean,Mean,21.33
2161,842,D24HourMean,QuarterlyMean,Mean,24.33
2161,843,D24HourMean,QuarterlyMean,Mean,24.32
2161,844,D24HourMean,QuarterlyMean,Mean,24.68
2161,845,D24HourMean,QuarterlyMean,Mean,26.23
2161,846,D24HourMean,QuarterlyMean,Mean,24.55
2161,847,D24HourMean,QuarterlyMean,Mean,23.62
2161,848,D24HourMean,QuarterlyMean,Mean,24.46
2161,849,D24HourMean,QuarterlyMean,Mean,24.17
2161,850,D24HourMean,QuarterlyMean,Mean,25.03
2161,851,D24HourMean,QuarterlyMean,Mean,25.41
2162,827,D24HourMean,QuarterlyMean,Mean,24.80
2162,828,D24HourMean,QuarterlyMean,Mean,25.03
2162,829,D24HourMean,QuarterlyMean,Mean,24.22
2162,830,D24HourMean,QuarterlyMean,Mean,25.75
2162,831,D24HourMean,QuarterlyMean,Mean,26.43
2162,832,D24HourMean,QuarterlyMean,Mean,24.44
2162,833,D24HourMean,QuarterlyMean,Mean,24.08
2162,834,D24HourMean,QuarterlyMean,Mean,23.85
2162,835,D24HourMean,QuarterlyMean,Mean,23.44
2162,836,D24HourMean,QuarterlyMean,Mean,23.14
2162,837,D24HourMean,QuarterlyMean,Mean,22.05
2162,838,D24HourMean,QuarterlyMean,Mean,20.85
2162,839,D24HourMean,QuarterlyMean,Mean,24.23
2162,840,D24HourMean,QuarterlyMean,Mean,21.89
2162,841,D24HourMean,QuarterlyMean,Mean,22.50
2162,842,D24HourMean,QuarterlyMean,Mean,23.86
2162,843,D24HourMean,QuarterlyMean,Mean,24.93
2162,844,D24HourMean,QuarterlyMean,Mean,24.52
2162,845,D24HourMean,QuarterlyMean,Mean,25.60
2162,846,D24HourMean,QuarterlyMean,Mean,24.27
2162,847,D24HourMean,QuarterlyMean,Mean,24.85
2162,848,D24HourMean,QuarterlyMean,Mean,25.08
2162,849,D24HourMean,QuarterlyMean,Mean,24.52
2162,850,D24HourMean,QuarterlyMean,Mean,25.02
2162,851,D24HourMean,QuarterlyMean,Mean,25.54
2163,826,D24HourMean,QuarterlyMean,Mean,25.86
2163,827,D24HourMean,QuarterlyMean,Mean,24.12
2163,828,D24HourMean,QuarterlyMean,Mean,25.20
2163,829,D24HourMean,QuarterlyMean,Mean,24.57
2163,830,D24HourMean,QuarterlyMean,Mean,25.48
