Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2146,839,2010,376.45,ALL,ALL,ALL,0TO99
2147,841,2010,559.01,ALL,ALL,ALL,0TO99
2148,841,2010,740.83,ALL,ALL,ALL,0TO99
2148,842,2010,832.31,ALL,ALL,ALL,0TO99
2148,843,2010,667.23,ALL,ALL,ALL,0TO99
2149,841,2010,792.69,ALL,ALL,ALL,0TO99
2149,842,2010,850.55,ALL,ALL,ALL,0TO99
2149,843,2010,849.75,ALL,ALL,ALL,0TO99
2149,844,2010,848.75,ALL,ALL,ALL,0TO99
2149,845,2010,801.07,ALL,ALL,ALL,0TO99
2149,846,2010,842.76,ALL,ALL,ALL,0TO99
2149,847,2010,723.05,ALL,ALL,ALL,0TO99
2149,848,2010,455.82,ALL,ALL,ALL,0TO99
2150,841,2010,805.73,ALL,ALL,ALL,0TO99
2150,842,2010,850.55,ALL,ALL,ALL,0TO99
2150,843,2010,849.75,ALL,ALL,ALL,0TO99
2150,844,2010,848.97,ALL,ALL,ALL,0TO99
2150,845,2010,848.13,ALL,ALL,ALL,0TO99
2150,846,2010,847.35,ALL,ALL,ALL,0TO99
2150,847,2010,846.53,ALL,ALL,ALL,0TO99
2150,848,2010,733.61,ALL,ALL,ALL,0TO99
2150,849,2010,210.22,ALL,ALL,ALL,0TO99
2150,850,2010,172.04,ALL,ALL,ALL,0TO99
2150,851,2010,161.39,ALL,ALL,ALL,0TO99
2150,852,2010,124.28,ALL,ALL,ALL,0TO99
2151,841,2010,751.60,ALL,ALL,ALL,0TO99
2151,842,2010,850.55,ALL,ALL,ALL,0TO99
2151,843,2010,849.75,ALL,ALL,ALL,0TO99
2151,844,2010,848.97,ALL,ALL,ALL,0TO99
2151,845,2010,848.13,ALL,ALL,ALL,0TO99
2151,846,2010,847.35,ALL,ALL,ALL,0TO99
2151,847,2010,846.53,ALL,ALL,ALL,0TO99
2151,848,2010,684.70,ALL,ALL,ALL,0TO99
2151,849,2010,186.64,ALL,ALL,ALL,0TO99
2151,850,2010,172.72,ALL,ALL,ALL,0TO99
2151,851,2010,172.56,ALL,ALL,ALL,0TO99
2151,852,2010,172.39,ALL,ALL,ALL,0TO99
2152,841,2010,849.14,ALL,ALL,ALL,0TO99
2152,842,2010,850.55,ALL,ALL,ALL,0TO99
2152,843,2010,849.75,ALL,ALL,ALL,0TO99
2152,844,2010,848.97,ALL,ALL,ALL,0TO99
2152,845,2010,848.13,ALL,ALL,ALL,0TO99
2152,846,2010,847.35,ALL,ALL,ALL,0TO99
2152,847,2010,846.53,ALL,ALL,ALL,0TO99
2152,848,2010,626.73,ALL,ALL,ALL,0TO99
2152,849,2010,172.90,ALL,ALL,ALL,0TO99
2152,850,2010,172.72,ALL,ALL,ALL,0TO99
2152,851,2010,172.56,ALL,ALL,ALL,0TO99
2152,852,2010,194.96,ALL,ALL,ALL,0TO99
2153,839,2010,449.63,ALL,ALL,ALL,0TO99
2153,840,2010,802.03,ALL,ALL,ALL,0TO99
2153,841,2010,851.36,ALL,ALL,ALL,0TO99
2153,842,2010,850.55,ALL,ALL,ALL,0TO99
2153,843,2010,849.75,ALL,ALL,ALL,0TO99
2153,844,2010,848.97,ALL,ALL,ALL,0TO99
2153,845,2010,848.13,ALL,ALL,ALL,0TO99
2153,846,2010,847.35,ALL,ALL,ALL,0TO99
2153,847,2010,846.53,ALL,ALL,ALL,0TO99
2153,848,2010,640.53,ALL,ALL,ALL,0TO99
2153,849,2010,191.69,ALL,ALL,ALL,0TO99
2153,850,2010,172.72,ALL,ALL,ALL,0TO99
2153,851,2010,172.56,ALL,ALL,ALL,0TO99
2153,852,2010,266.58,ALL,ALL,ALL,0TO99
2154,838,2010,544.90,ALL,ALL,ALL,0TO99
2154,839,2010,837.97,ALL,ALL,ALL,0TO99
2154,840,2010,852.13,ALL,ALL,ALL,0TO99
2154,841,2010,851.36,ALL,ALL,ALL,0TO99
2154,842,2010,850.55,ALL,ALL,ALL,0TO99
2154,843,2010,849.75,ALL,ALL,ALL,0TO99
2154,844,2010,848.97,ALL,ALL,ALL,0TO99
2154,845,2010,848.13,ALL,ALL,ALL,0TO99
2154,846,2010,847.35,ALL,ALL,ALL,0TO99
2154,847,2010,846.53,ALL,ALL,ALL,0TO99
2154,848,2010,839.74,ALL,ALL,ALL,0TO99
2154,849,2010,361.32,ALL,ALL,ALL,0TO99
2154,850,2010,172.72,ALL,ALL,ALL,0TO99
2154,851,2010,172.56,ALL,ALL,ALL,0TO99
2154,852,2010,347.57,ALL,ALL,ALL,0TO99
2155,837,2010,520.34,ALL,ALL,ALL,0TO99
2155,838,2010,853.72,ALL,ALL,ALL,0TO99
2155,839,2010,852.95,ALL,ALL,ALL,0TO99
2155,840,2010,852.13,ALL,ALL,ALL,0TO99
2155,841,2010,851.36,ALL,ALL,ALL,0TO99
2155,842,2010,850.55,ALL,ALL,ALL,0TO99
2155,843,2010,849.75,ALL,ALL,ALL,0TO99
2155,844,2010,848.97,ALL,ALL,ALL,0TO99
2155,845,2010,848.13,ALL,ALL,ALL,0TO99
2155,846,2010,847.35,ALL,ALL,ALL,0TO99
2155,847,2010,846.53,ALL,ALL,ALL,0TO99
2155,848,2010,845.72,ALL,ALL,ALL,0TO99
2155,849,2010,460.53,ALL,ALL,ALL,0TO99
2155,850,2010,172.72,ALL,ALL,ALL,0TO99
2155,851,2010,172.56,ALL,ALL,ALL,0TO99
2155,852,2010,584.86,ALL,ALL,ALL,0TO99
2156,835,2010,541.08,ALL,ALL,ALL,0TO99
2156,836,2010,790.00,ALL,ALL,ALL,0TO99
2156,837,2010,854.51,ALL,ALL,ALL,0TO99
2156,838,2010,853.72,ALL,ALL,ALL,0TO99
2156,839,2010,852.95,ALL,ALL,ALL,0TO99
2156,840,2010,852.13,ALL,ALL,ALL,0TO99
2156,841,2010,851.36,ALL,ALL,ALL,0TO99
2156,842,2010,850.55,ALL,ALL,ALL,0TO99
2156,843,2010,849.75,ALL,ALL,ALL,0TO99
2156,844,2010,848.97,ALL,ALL,ALL,0TO99
2156,845,2010,848.13,ALL,ALL,ALL,0TO99
2156,846,2010,847.35,ALL,ALL,ALL,0TO99
2156,847,2010,846.53,ALL,ALL,ALL,0TO99
2156,848,2010,845.72,ALL,ALL,ALL,0TO99
2156,849,2010,583.96,ALL,ALL,ALL,0TO99
2156,850,2010,172.72,ALL,ALL,ALL,0TO99
2156,851,2010,172.56,ALL,ALL,ALL,0TO99
2156,852,2010,564.87,ALL,ALL,ALL,0TO99
2157,833,2010,228.70,ALL,ALL,ALL,0TO99
2157,834,2010,771.87,ALL,ALL,ALL,0TO99
2157,835,2010,856.06,ALL,ALL,ALL,0TO99
2157,836,2010,855.30,ALL,ALL,ALL,0TO99
2157,837,2010,854.51,ALL,ALL,ALL,0TO99
2157,838,2010,853.72,ALL,ALL,ALL,0TO99
2157,839,2010,852.95,ALL,ALL,ALL,0TO99
2157,840,2010,852.13,ALL,ALL,ALL,0TO99
2157,841,2010,851.36,ALL,ALL,ALL,0TO99
2157,842,2010,850.55,ALL,ALL,ALL,0TO99
2157,843,2010,849.75,ALL,ALL,ALL,0TO99
2157,844,2010,848.97,ALL,ALL,ALL,0TO99
2157,845,2010,848.13,ALL,ALL,ALL,0TO99
2157,846,2010,847.35,ALL,ALL,ALL,0TO99
2157,847,2010,846.53,ALL,ALL,ALL,0TO99
2157,848,2010,845.72,ALL,ALL,ALL,0TO99
2157,849,2010,621.82,ALL,ALL,ALL,0TO99
2157,850,2010,172.72,ALL,ALL,ALL,0TO99
2157,851,2010,172.56,ALL,ALL,ALL,0TO99
2157,852,2010,472.42,ALL,ALL,ALL,0TO99
2158,833,2010,721.20,ALL,ALL,ALL,0TO99
2158,834,2010,856.87,ALL,ALL,ALL,0TO99
2158,835,2010,856.06,ALL,ALL,ALL,0TO99
2158,836,2010,855.30,ALL,ALL,ALL,0TO99
2158,837,2010,854.51,ALL,ALL,ALL,0TO99
2158,838,2010,853.72,ALL,ALL,ALL,0TO99
2158,839,2010,852.95,ALL,ALL,ALL,0TO99
2158,840,2010,852.13,ALL,ALL,ALL,0TO99
2158,841,2010,851.36,ALL,ALL,ALL,0TO99
2158,842,2010,850.55,ALL,ALL,ALL,0TO99
2158,843,2010,849.75,ALL,ALL,ALL,0TO99
2158,844,2010,848.97,ALL,ALL,ALL,0TO99
2158,845,2010,848.13,ALL,ALL,ALL,0TO99
2158,846,2010,847.35,ALL,ALL,ALL,0TO99
2158,847,2010,846.53,ALL,ALL,ALL,0TO99
2158,848,2010,845.72,ALL,ALL,ALL,0TO99
2158,849,2010,702.47,ALL,ALL,ALL,0TO99
2158,850,2010,172.72,ALL,ALL,ALL,0TO99
2158,851,2010,172.56,ALL,ALL,ALL,0TO99
2159,831,2010,768.09,ALL,ALL,ALL,0TO99
2159,832,2010,812.20,ALL,ALL,ALL,0TO99
2159,833,2010,857.62,ALL,ALL,ALL,0TO99
2159,834,2010,856.87,ALL,ALL,ALL,0TO99
2159,835,2010,856.06,ALL,ALL,ALL,0TO99
2159,836,2010,855.30,ALL,ALL,ALL,0TO99
2159,837,2010,854.51,ALL,ALL,ALL,0TO99
2159,838,2010,853.72,ALL,ALL,ALL,0TO99
2159,839,2010,852.95,ALL,ALL,ALL,0TO99
2159,840,2010,852.13,ALL,ALL,ALL,0TO99
2159,841,2010,851.36,ALL,ALL,ALL,0TO99
2159,842,2010,850.55,ALL,ALL,ALL,0TO99
2159,843,2010,849.75,ALL,ALL,ALL,0TO99
2159,844,2010,848.97,ALL,ALL,ALL,0TO99
2159,845,2010,848.13,ALL,ALL,ALL,0TO99
2159,846,2010,847.35,ALL,ALL,ALL,0TO99
2159,847,2010,846.53,ALL,ALL,ALL,0TO99
2159,848,2010,845.72,ALL,ALL,ALL,0TO99
2159,849,2010,737.05,ALL,ALL,ALL,0TO99
2159,850,2010,172.72,ALL,ALL,ALL,0TO99
2159,851,2010,172.56,ALL,ALL,ALL,0TO99
2160,830,2010,827.60,ALL,ALL,ALL,0TO99
2160,831,2010,859.18,ALL,ALL,ALL,0TO99
2160,832,2010,858.40,ALL,ALL,ALL,0TO99
2160,833,2010,857.62,ALL,ALL,ALL,0TO99
2160,834,2010,856.87,ALL,ALL,ALL,0TO99
2160,835,2010,856.06,ALL,ALL,ALL,0TO99
2160,836,2010,855.30,ALL,ALL,ALL,0TO99
2160,837,2010,854.51,ALL,ALL,ALL,0TO99
2160,838,2010,853.72,ALL,ALL,ALL,0TO99
2160,839,2010,852.95,ALL,ALL,ALL,0TO99
2160,840,2010,852.13,ALL,ALL,ALL,0TO99
2160,841,2010,851.36,ALL,ALL,ALL,0TO99
2160,842,2010,850.55,ALL,ALL,ALL,0TO99
2160,843,2010,849.75,ALL,ALL,ALL,0TO99
2160,844,2010,848.97,ALL,ALL,ALL,0TO99
2160,845,2010,848.13,ALL,ALL,ALL,0TO99
2160,846,2010,847.35,ALL,ALL,ALL,0TO99
2160,847,2010,846.53,ALL,ALL,ALL,0TO99
2160,848,2010,845.72,ALL,ALL,ALL,0TO99
2160,849,2010,625.22,ALL,ALL,ALL,0TO99
2160,850,2010,172.72,ALL,ALL,ALL,0TO99
2160,851,2010,175.46,ALL,ALL,ALL,0TO99
2161,828,2010,452.97,ALL,ALL,ALL,0TO99
2161,829,2010,816.51,ALL,ALL,ALL,0TO99
2161,830,2010,859.92,ALL,ALL,ALL,0TO99
2161,831,2010,859.18,ALL,ALL,ALL,0TO99
2161,832,2010,858.40,ALL,ALL,ALL,0TO99
2161,833,2010,857.62,ALL,ALL,ALL,0TO99
2161,834,2010,856.87,ALL,ALL,ALL,0TO99
2161,835,2010,856.06,ALL,ALL,ALL,0TO99
2161,836,2010,855.30,ALL,ALL,ALL,0TO99
2161,837,2010,854.51,ALL,ALL,ALL,0TO99
2161,838,2010,853.72,ALL,ALL,ALL,0TO99
2161,839,2010,852.95,ALL,ALL,ALL,0TO99
2161,840,2010,852.13,ALL,ALL,ALL,0TO99
2161,841,2010,851.36,ALL,ALL,ALL,0TO99
2161,842,2010,850.55,ALL,ALL,ALL,0TO99
2161,843,2010,849.75,ALL,ALL,ALL,0TO99
2161,844,2010,848.97,ALL,ALL,ALL,0TO99
2161,845,2010,848.13,ALL,ALL,ALL,0TO99
2161,846,2010,847.35,ALL,ALL,ALL,0TO99
2161,847,2010,846.53,ALL,ALL,ALL,0TO99
2161,848,2010,843.39,ALL,ALL,ALL,0TO99
2161,849,2010,444.31,ALL,ALL,ALL,0TO99
2161,850,2010,172.72,ALL,ALL,ALL,0TO99
2161,851,2010,182.79,ALL,ALL,ALL,0TO99
2162,827,2010,722.82,ALL,ALL,ALL,0TO99
2162,828,2010,861.46,ALL,ALL,ALL,0TO99
2162,829,2010,860.72,ALL,ALL,ALL,0TO99
2162,830,2010,859.92,ALL,ALL,ALL,0TO99
2162,831,2010,859.18,ALL,ALL,ALL,0TO99
2162,832,2010,858.40,ALL,ALL,ALL,0TO99
2162,833,2010,857.62,ALL,ALL,ALL,0TO99
2162,834,2010,856.87,ALL,ALL,ALL,0TO99
2162,835,2010,856.06,ALL,ALL,ALL,0TO99
2162,836,2010,855.30,ALL,ALL,ALL,0TO99
2162,837,2010,854.51,ALL,ALL,ALL,0TO99
2162,838,2010,853.72,ALL,ALL,ALL,0TO99
2162,839,2010,852.95,ALL,ALL,ALL,0TO99
2162,840,2010,852.13,ALL,ALL,ALL,0TO99
2162,841,2010,851.36,ALL,ALL,ALL,0TO99
2162,842,2010,850.55,ALL,ALL,ALL,0TO99
2162,843,2010,849.75,ALL,ALL,ALL,0TO99
2162,844,2010,848.97,ALL,ALL,ALL,0TO99
2162,845,2010,848.13,ALL,ALL,ALL,0TO99
2162,846,2010,847.35,ALL,ALL,ALL,0TO99
2162,847,2010,845.74,ALL,ALL,ALL,0TO99
2162,848,2010,662.82,ALL,ALL,ALL,0TO99
2162,849,2010,216.27,ALL,ALL,ALL,0TO99
2162,850,2010,172.72,ALL,ALL,ALL,0TO99
2162,851,2010,173.08,ALL,ALL,ALL,0TO99
2163,826,2010,708.04,ALL,ALL,ALL,0TO99
2163,827,2010,861.99,ALL,ALL,ALL,0TO99
2163,828,2010,861.46,ALL,ALL,ALL,0TO99
2163,829,2010,860.72,ALL,ALL,ALL,0TO99
2163,830,2010,859.92,ALL,ALL,ALL,0TO99
2163,831,2010,859.18,ALL,ALL,ALL,0TO99
2163,832,2010,858.40,ALL,ALL,ALL,0TO99
2163,833,2010,857.62,ALL,ALL,ALL,0TO99
2163,834,2010,856.87,ALL,ALL,ALL,0TO99
2163,835,2010,856.06,ALL,ALL,ALL,0TO99
2163,836,2010,855.30,ALL,ALL,ALL,0TO99
2163,837,2010,854.51,ALL,ALL,ALL,0TO99
2163,838,2010,853.72,ALL,ALL,ALL,0TO99
2163,839,2010,852.95,ALL,ALL,ALL,0TO99
2163,840,2010,852.13,ALL,ALL,ALL,0TO99
2163,841,2010,851.36,ALL,ALL,ALL,0TO99
2163,842,2010,850.55,ALL,ALL,ALL,0TO99
2163,843,2010,849.75,ALL,ALL,ALL,0TO99
2163,844,2010,848.97,ALL,ALL,ALL,0TO99
2163,845,2010,848.13,ALL,ALL,ALL,0TO99
2163,846,2010,838.98,ALL,ALL,ALL,0TO99
2163,847,2010,596.25,ALL,ALL,ALL,0TO99
2163,848,2010,216.81,ALL,ALL,ALL,0TO99
