Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2020,686,D24HourMean,QuarterlyMean,Mean,24.90
2020,687,D24HourMean,QuarterlyMean,Mean,25.56
2020,688,D24HourMean,QuarterlyMean,Mean,25.41
2020,689,D24HourMean,QuarterlyMean,Mean,24.99
2020,690,D24HourMean,QuarterlyMean,Mean,25.42
2021,686,D24HourMean,QuarterlyMean,Mean,24.85
2021,687,D24HourMean,QuarterlyMean,Mean,24.82
2021,688,D24HourMean,QuarterlyMean,Mean,24.27
2021,689,D24HourMean,QuarterlyMean,Mean,24.69
2021,690,D24HourMean,QuarterlyMean,Mean,25.52
2022,687,D24HourMean,QuarterlyMean,Mean,24.31
2022,688,D24HourMean,QuarterlyMean,Mean,24.06
2022,689,D24HourMean,QuarterlyMean,Mean,25.10
2022,690,D24HourMean,QuarterlyMean,Mean,25.47
2022,691,D24HourMean,QuarterlyMean,Mean,26.23
2022,696,D24HourMean,QuarterlyMean,Mean,27.51
2022,697,D24HourMean,QuarterlyMean,Mean,27.42
2022,698,D24HourMean,QuarterlyMean,Mean,28.22
2023,687,D24HourMean,QuarterlyMean,Mean,24.38
2023,688,D24HourMean,QuarterlyMean,Mean,24.50
2023,689,D24HourMean,QuarterlyMean,Mean,25.59
2023,690,D24HourMean,QuarterlyMean,Mean,25.41
2023,691,D24HourMean,QuarterlyMean,Mean,25.75
2023,692,D24HourMean,QuarterlyMean,Mean,26.40
2023,694,D24HourMean,QuarterlyMean,Mean,27.14
2023,695,D24HourMean,QuarterlyMean,Mean,26.92
2023,696,D24HourMean,QuarterlyMean,Mean,26.24
2023,697,D24HourMean,QuarterlyMean,Mean,27.55
2023,698,D24HourMean,QuarterlyMean,Mean,28.49
2023,699,D24HourMean,QuarterlyMean,Mean,27.86
2024,687,D24HourMean,QuarterlyMean,Mean,25.28
2024,688,D24HourMean,QuarterlyMean,Mean,25.45
2024,689,D24HourMean,QuarterlyMean,Mean,25.47
2024,690,D24HourMean,QuarterlyMean,Mean,25.18
2024,691,D24HourMean,QuarterlyMean,Mean,25.06
2024,692,D24HourMean,QuarterlyMean,Mean,26.15
2024,693,D24HourMean,QuarterlyMean,Mean,25.74
2024,694,D24HourMean,QuarterlyMean,Mean,26.96
2024,695,D24HourMean,QuarterlyMean,Mean,26.57
2024,696,D24HourMean,QuarterlyMean,Mean,26.38
2024,697,D24HourMean,QuarterlyMean,Mean,26.85
2024,698,D24HourMean,QuarterlyMean,Mean,27.80
2024,699,D24HourMean,QuarterlyMean,Mean,27.83
2025,683,D24HourMean,QuarterlyMean,Mean,23.14
2025,684,D24HourMean,QuarterlyMean,Mean,23.92
2025,685,D24HourMean,QuarterlyMean,Mean,23.42
2025,686,D24HourMean,QuarterlyMean,Mean,24.87
2025,687,D24HourMean,QuarterlyMean,Mean,25.45
2025,688,D24HourMean,QuarterlyMean,Mean,25.22
