Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2020,686,2010,3658.01,ALL,ALL,ALL,0TO99
2020,687,2010,5858.10,ALL,ALL,ALL,0TO99
2020,688,2010,5885.83,ALL,ALL,ALL,0TO99
2020,689,2010,5644.63,ALL,ALL,ALL,0TO99
2020,690,2010,3694.87,ALL,ALL,ALL,0TO99
2021,686,2010,3817.27,ALL,ALL,ALL,0TO99
2021,687,2010,5888.18,ALL,ALL,ALL,0TO99
2021,688,2010,5885.83,ALL,ALL,ALL,0TO99
2021,689,2010,5883.54,ALL,ALL,ALL,0TO99
2021,690,2010,5849.12,ALL,ALL,ALL,0TO99
2022,687,2010,5601.25,ALL,ALL,ALL,0TO99
2022,688,2010,5885.83,ALL,ALL,ALL,0TO99
2022,689,2010,5883.54,ALL,ALL,ALL,0TO99
2022,690,2010,5881.06,ALL,ALL,ALL,0TO99
2022,691,2010,5062.48,ALL,ALL,ALL,0TO99
2022,696,2010,4052.71,ALL,ALL,ALL,0TO99
2022,697,2010,5109.19,ALL,ALL,ALL,0TO99
2022,698,2010,3612.13,ALL,ALL,ALL,0TO99
2023,687,2010,4951.83,ALL,ALL,ALL,0TO99
2023,688,2010,5885.83,ALL,ALL,ALL,0TO99
2023,689,2010,5883.54,ALL,ALL,ALL,0TO99
2023,690,2010,5881.06,ALL,ALL,ALL,0TO99
2023,691,2010,5878.74,ALL,ALL,ALL,0TO99
2023,692,2010,5342.33,ALL,ALL,ALL,0TO99
2023,694,2010,4323.46,ALL,ALL,ALL,0TO99
2023,695,2010,5206.82,ALL,ALL,ALL,0TO99
2023,696,2010,5855.97,ALL,ALL,ALL,0TO99
2023,697,2010,5864.03,ALL,ALL,ALL,0TO99
2023,698,2010,5807.66,ALL,ALL,ALL,0TO99
2023,699,2010,3464.80,ALL,ALL,ALL,0TO99
2024,687,2010,5827.65,ALL,ALL,ALL,0TO99
2024,688,2010,5885.83,ALL,ALL,ALL,0TO99
2024,689,2010,5883.54,ALL,ALL,ALL,0TO99
2024,690,2010,5881.06,ALL,ALL,ALL,0TO99
2024,691,2010,5878.74,ALL,ALL,ALL,0TO99
2024,692,2010,5876.33,ALL,ALL,ALL,0TO99
2024,693,2010,5873.89,ALL,ALL,ALL,0TO99
2024,694,2010,5871.51,ALL,ALL,ALL,0TO99
2024,695,2010,5868.94,ALL,ALL,ALL,0TO99
2024,696,2010,5866.53,ALL,ALL,ALL,0TO99
2024,697,2010,5864.03,ALL,ALL,ALL,0TO99
2024,698,2010,5861.48,ALL,ALL,ALL,0TO99
2024,699,2010,5736.11,ALL,ALL,ALL,0TO99
2025,683,2010,4717.57,ALL,ALL,ALL,0TO99
2025,684,2010,5552.41,ALL,ALL,ALL,0TO99
2025,685,2010,4210.68,ALL,ALL,ALL,0TO99
2025,686,2010,4930.18,ALL,ALL,ALL,0TO99
2025,687,2010,5888.18,ALL,ALL,ALL,0TO99
2025,688,2010,5885.83,ALL,ALL,ALL,0TO99
2025,689,2010,5883.54,ALL,ALL,ALL,0TO99
2025,690,2010,5881.06,ALL,ALL,ALL,0TO99
2025,691,2010,5878.74,ALL,ALL,ALL,0TO99
2025,692,2010,5876.33,ALL,ALL,ALL,0TO99
2025,693,2010,5873.89,ALL,ALL,ALL,0TO99
2025,694,2010,5871.51,ALL,ALL,ALL,0TO99
2025,695,2010,5868.94,ALL,ALL,ALL,0TO99
2025,696,2010,5866.53,ALL,ALL,ALL,0TO99
2025,697,2010,5864.03,ALL,ALL,ALL,0TO99
2025,698,2010,5861.48,ALL,ALL,ALL,0TO99
2025,699,2010,5859.02,ALL,ALL,ALL,0TO99
2025,700,2010,4150.37,ALL,ALL,ALL,0TO99
2025,704,2010,3652.65,ALL,ALL,ALL,0TO99
2025,705,2010,5092.31,ALL,ALL,ALL,0TO99
2026,681,2010,3171.66,ALL,ALL,ALL,0TO99
2026,682,2010,5676.11,ALL,ALL,ALL,0TO99
2026,683,2010,5897.32,ALL,ALL,ALL,0TO99
2026,684,2010,5895.12,ALL,ALL,ALL,0TO99
2026,685,2010,5892.74,ALL,ALL,ALL,0TO99
2026,686,2010,5890.51,ALL,ALL,ALL,0TO99
2026,687,2010,5888.18,ALL,ALL,ALL,0TO99
2026,688,2010,5885.83,ALL,ALL,ALL,0TO99
2026,689,2010,5883.54,ALL,ALL,ALL,0TO99
2026,690,2010,5881.06,ALL,ALL,ALL,0TO99
2026,691,2010,5878.74,ALL,ALL,ALL,0TO99
