Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1639,709,D24HourMean,QuarterlyMean,Mean,35.66
1644,714,D24HourMean,QuarterlyMean,Mean,37.30
1644,698,D24HourMean,QuarterlyMean,Mean,31.74
1661,698,D24HourMean,QuarterlyMean,Mean,32.96
1649,695,D24HourMean,QuarterlyMean,Mean,30.37
1644,711,D24HourMean,QuarterlyMean,Mean,35.43
1642,712,D24HourMean,QuarterlyMean,Mean,34.78
1671,712,D24HourMean,QuarterlyMean,Mean,37.70
1675,684,D24HourMean,QuarterlyMean,Mean,26.59
1648,693,D24HourMean,QuarterlyMean,Mean,29.70
1652,706,D24HourMean,QuarterlyMean,Mean,33.64
1676,695,D24HourMean,QuarterlyMean,Mean,30.70
1654,716,D24HourMean,QuarterlyMean,Mean,39.57
1683,685,D24HourMean,QuarterlyMean,Mean,25.07
1668,692,D24HourMean,QuarterlyMean,Mean,28.17
1674,710,D24HourMean,QuarterlyMean,Mean,36.95
1649,716,D24HourMean,QuarterlyMean,Mean,40.60
1678,706,D24HourMean,QuarterlyMean,Mean,37.59
1645,696,D24HourMean,QuarterlyMean,Mean,30.19
1651,718,D24HourMean,QuarterlyMean,Mean,41.59
1653,712,D24HourMean,QuarterlyMean,Mean,35.94
1656,715,D24HourMean,QuarterlyMean,Mean,38.05
1632,706,D24HourMean,QuarterlyMean,Mean,38.39
1637,699,D24HourMean,QuarterlyMean,Mean,35.95
1646,724,D24HourMean,QuarterlyMean,Mean,44.75
1682,685,D24HourMean,QuarterlyMean,Mean,24.55
1674,693,D24HourMean,QuarterlyMean,Mean,29.78
1673,688,D24HourMean,QuarterlyMean,Mean,29.36
1674,706,D24HourMean,QuarterlyMean,Mean,36.41
1653,691,D24HourMean,QuarterlyMean,Mean,28.14
1653,698,D24HourMean,QuarterlyMean,Mean,31.83
1655,689,D24HourMean,QuarterlyMean,Mean,32.19
1644,708,D24HourMean,QuarterlyMean,Mean,35.86
1639,718,D24HourMean,QuarterlyMean,Mean,40.68
1661,710,D24HourMean,QuarterlyMean,Mean,35.49
1678,698,D24HourMean,QuarterlyMean,Mean,32.22
1675,702,D24HourMean,QuarterlyMean,Mean,34.07
1667,689,D24HourMean,QuarterlyMean,Mean,27.01
1641,712,D24HourMean,QuarterlyMean,Mean,34.57
1674,701,D24HourMean,QuarterlyMean,Mean,34.23
1679,684,D24HourMean,QuarterlyMean,Mean,25.77
1680,684,D24HourMean,QuarterlyMean,Mean,24.71
1680,688,D24HourMean,QuarterlyMean,Mean,28.44
1636,691,D24HourMean,QuarterlyMean,Mean,30.95
1644,715,D24HourMean,QuarterlyMean,Mean,37.71
1645,709,D24HourMean,QuarterlyMean,Mean,36.18
1662,692,D24HourMean,QuarterlyMean,Mean,30.51
1663,700,D24HourMean,QuarterlyMean,Mean,34.70
1635,684,D24HourMean,QuarterlyMean,Mean,29.89
1650,701,D24HourMean,QuarterlyMean,Mean,31.71
1669,710,D24HourMean,QuarterlyMean,Mean,36.29
1635,697,D24HourMean,QuarterlyMean,Mean,32.95
1640,697,D24HourMean,QuarterlyMean,Mean,31.86
1642,714,D24HourMean,QuarterlyMean,Mean,36.76
1671,695,D24HourMean,QuarterlyMean,Mean,31.26
1680,685,D24HourMean,QuarterlyMean,Mean,25.89
1677,700,D24HourMean,QuarterlyMean,Mean,33.09
1649,713,D24HourMean,QuarterlyMean,Mean,36.95
1663,690,D24HourMean,QuarterlyMean,Mean,29.95
1638,686,D24HourMean,QuarterlyMean,Mean,28.91
1630,705,D24HourMean,QuarterlyMean,Mean,36.85
1639,690,D24HourMean,QuarterlyMean,Mean,29.16
1680,686,D24HourMean,QuarterlyMean,Mean,26.85
1667,699,D24HourMean,QuarterlyMean,Mean,34.97
1671,688,D24HourMean,QuarterlyMean,Mean,28.99
1648,723,D24HourMean,QuarterlyMean,Mean,44.21
1637,707,D24HourMean,QuarterlyMean,Mean,35.93
1657,710,D24HourMean,QuarterlyMean,Mean,35.06
1643,706,D24HourMean,QuarterlyMean,Mean,37.57
1645,718,D24HourMean,QuarterlyMean,Mean,41.22
1641,717,D24HourMean,QuarterlyMean,Mean,39.99
1664,705,D24HourMean,QuarterlyMean,Mean,34.52
1646,717,D24HourMean,QuarterlyMean,Mean,41.41
1638,711,D24HourMean,QuarterlyMean,Mean,35.89
1664,712,D24HourMean,QuarterlyMean,Mean,36.98
1659,711,D24HourMean,QuarterlyMean,Mean,36.95
1675,706,D24HourMean,QuarterlyMean,Mean,36.16
1650,713,D24HourMean,QuarterlyMean,Mean,37.15
1667,705,D24HourMean,QuarterlyMean,Mean,34.06
1639,720,D24HourMean,QuarterlyMean,Mean,41.39
1666,709,D24HourMean,QuarterlyMean,Mean,36.69
1664,691,D24HourMean,QuarterlyMean,Mean,29.31
1677,689,D24HourMean,QuarterlyMean,Mean,27.98
1634,710,D24HourMean,QuarterlyMean,Mean,37.98
1637,711,D24HourMean,QuarterlyMean,Mean,36.91
1673,684,D24HourMean,QuarterlyMean,Mean,26.89
1637,705,D24HourMean,QuarterlyMean,Mean,35.75
1658,698,D24HourMean,QuarterlyMean,Mean,33.32
1669,712,D24HourMean,QuarterlyMean,Mean,37.59
1647,722,D24HourMean,QuarterlyMean,Mean,42.40
1654,701,D24HourMean,QuarterlyMean,Mean,32.34
1677,706,D24HourMean,QuarterlyMean,Mean,37.14
1655,718,D24HourMean,QuarterlyMean,Mean,40.47
1633,686,D24HourMean,QuarterlyMean,Mean,32.08
1643,698,D24HourMean,QuarterlyMean,Mean,30.19
1643,691,D24HourMean,QuarterlyMean,Mean,29.14
1662,691,D24HourMean,QuarterlyMean,Mean,29.98
1634,705,D24HourMean,QuarterlyMean,Mean,35.87
1663,693,D24HourMean,QuarterlyMean,Mean,31.46
1632,708,D24HourMean,QuarterlyMean,Mean,37.98
1660,720,D24HourMean,QuarterlyMean,Mean,41.47
1641,690,D24HourMean,QuarterlyMean,Mean,28.67
1662,716,D24HourMean,QuarterlyMean,Mean,40.70
1633,709,D24HourMean,QuarterlyMean,Mean,38.87
1654,690,D24HourMean,QuarterlyMean,Mean,28.44
1656,716,D24HourMean,QuarterlyMean,Mean,38.95
1661,699,D24HourMean,QuarterlyMean,Mean,34.30
1672,710,D24HourMean,QuarterlyMean,Mean,36.90
1644,719,D24HourMean,QuarterlyMean,Mean,40.89
1646,701,D24HourMean,QuarterlyMean,Mean,31.48
1659,717,D24HourMean,QuarterlyMean,Mean,40.33
1649,703,D24HourMean,QuarterlyMean,Mean,33.59
1641,716,D24HourMean,QuarterlyMean,Mean,39.14
1678,690,D24HourMean,QuarterlyMean,Mean,29.25
1654,689,D24HourMean,QuarterlyMean,Mean,29.24
1639,711,D24HourMean,QuarterlyMean,Mean,34.92
1650,711,D24HourMean,QuarterlyMean,Mean,36.01
1640,724,D24HourMean,QuarterlyMean,Mean,44.07
1638,701,D24HourMean,QuarterlyMean,Mean,30.76
1652,710,D24HourMean,QuarterlyMean,Mean,35.84
1673,694,D24HourMean,QuarterlyMean,Mean,31.32
1652,713,D24HourMean,QuarterlyMean,Mean,36.84
1647,704,D24HourMean,QuarterlyMean,Mean,34.26
1665,692,D24HourMean,QuarterlyMean,Mean,29.27
1655,720,D24HourMean,QuarterlyMean,Mean,42.61
1664,688,D24HourMean,QuarterlyMean,Mean,28.56
1638,720,D24HourMean,QuarterlyMean,Mean,42.47
1637,701,D24HourMean,QuarterlyMean,Mean,33.63
1662,705,D24HourMean,QuarterlyMean,Mean,35.12
1652,702,D24HourMean,QuarterlyMean,Mean,32.45
1653,696,D24HourMean,QuarterlyMean,Mean,31.65
1659,702,D24HourMean,QuarterlyMean,Mean,33.58
1651,693,D24HourMean,QuarterlyMean,Mean,29.05
1671,700,D24HourMean,QuarterlyMean,Mean,33.24
1646,719,D24HourMean,QuarterlyMean,Mean,41.91
1670,693,D24HourMean,QuarterlyMean,Mean,29.45
1660,723,D24HourMean,QuarterlyMean,Mean,43.67
1636,711,D24HourMean,QuarterlyMean,Mean,37.24
1653,687,D24HourMean,QuarterlyMean,Mean,27.83
1653,715,D24HourMean,QuarterlyMean,Mean,39.08
1653,688,D24HourMean,QuarterlyMean,Mean,28.42
1656,699,D24HourMean,QuarterlyMean,Mean,33.30
1656,723,D24HourMean,QuarterlyMean,Mean,45.18
1655,711,D24HourMean,QuarterlyMean,Mean,35.46
1668,686,D24HourMean,QuarterlyMean,Mean,16.26
1653,707,D24HourMean,QuarterlyMean,Mean,35.12
1673,700,D24HourMean,QuarterlyMean,Mean,34.13
1663,712,D24HourMean,QuarterlyMean,Mean,36.22
1665,702,D24HourMean,QuarterlyMean,Mean,33.58
1659,695,D24HourMean,QuarterlyMean,Mean,32.28
1669,700,D24HourMean,QuarterlyMean,Mean,33.07
1657,715,D24HourMean,QuarterlyMean,Mean,37.73
1639,707,D24HourMean,QuarterlyMean,Mean,34.30
1639,714,D24HourMean,QuarterlyMean,Mean,37.48
1641,689,D24HourMean,QuarterlyMean,Mean,28.38
1670,710,D24HourMean,QuarterlyMean,Mean,36.66
1643,686,D24HourMean,QuarterlyMean,Mean,25.37
1649,722,D24HourMean,QuarterlyMean,Mean,44.68
1652,690,D24HourMean,QuarterlyMean,Mean,27.53
1680,701,D24HourMean,QuarterlyMean,Mean,32.99
1674,686,D24HourMean,QuarterlyMean,Mean,28.30
1640,698,D24HourMean,QuarterlyMean,Mean,33.87
1669,705,D24HourMean,QuarterlyMean,Mean,35.43
1651,688,D24HourMean,QuarterlyMean,Mean,28.50
1657,690,D24HourMean,QuarterlyMean,Mean,31.89
1644,713,D24HourMean,QuarterlyMean,Mean,36.90
1662,714,D24HourMean,QuarterlyMean,Mean,38.26
1667,698,D24HourMean,QuarterlyMean,Mean,33.86
1670,712,D24HourMean,QuarterlyMean,Mean,38.27
1656,697,D24HourMean,QuarterlyMean,Mean,32.03
1666,692,D24HourMean,QuarterlyMean,Mean,28.91
1646,691,D24HourMean,QuarterlyMean,Mean,28.36
1666,713,D24HourMean,QuarterlyMean,Mean,37.70
1646,715,D24HourMean,QuarterlyMean,Mean,38.21
1663,694,D24HourMean,QuarterlyMean,Mean,31.54
1648,715,D24HourMean,QuarterlyMean,Mean,39.75
1664,687,D24HourMean,QuarterlyMean,Mean,26.07
1654,709,D24HourMean,QuarterlyMean,Mean,36.38
1656,705,D24HourMean,QuarterlyMean,Mean,34.04
1658,708,D24HourMean,QuarterlyMean,Mean,36.32
1655,717,D24HourMean,QuarterlyMean,Mean,39.66
1677,688,D24HourMean,QuarterlyMean,Mean,27.75
1665,719,D24HourMean,QuarterlyMean,Mean,43.50
1680,700,D24HourMean,QuarterlyMean,Mean,32.79
1654,699,D24HourMean,QuarterlyMean,Mean,31.83
1674,699,D24HourMean,QuarterlyMean,Mean,32.78
1672,695,D24HourMean,QuarterlyMean,Mean,30.96
1637,690,D24HourMean,QuarterlyMean,Mean,30.05
1636,720,D24HourMean,QuarterlyMean,Mean,44.55
1647,724,D24HourMean,QuarterlyMean,Mean,44.86
1660,692,D24HourMean,QuarterlyMean,Mean,31.01
1646,688,D24HourMean,QuarterlyMean,Mean,28.78
1666,717,D24HourMean,QuarterlyMean,Mean,41.77
1635,688,D24HourMean,QuarterlyMean,Mean,29.58
1668,696,D24HourMean,QuarterlyMean,Mean,31.55
1634,687,D24HourMean,QuarterlyMean,Mean,31.11
1650,712,D24HourMean,QuarterlyMean,Mean,36.29
1636,698,D24HourMean,QuarterlyMean,Mean,32.47
1637,709,D24HourMean,QuarterlyMean,Mean,36.70
1650,714,D24HourMean,QuarterlyMean,Mean,38.00
1673,707,D24HourMean,QuarterlyMean,Mean,36.67
1643,701,D24HourMean,QuarterlyMean,Mean,31.17
1667,692,D24HourMean,QuarterlyMean,Mean,28.19
1670,714,D24HourMean,QuarterlyMean,Mean,39.01
1673,686,D24HourMean,QuarterlyMean,Mean,27.87
1660,704,D24HourMean,QuarterlyMean,Mean,34.77
1644,697,D24HourMean,QuarterlyMean,Mean,30.68
1634,688,D24HourMean,QuarterlyMean,Mean,31.34
1647,702,D24HourMean,QuarterlyMean,Mean,31.93
1654,710,D24HourMean,QuarterlyMean,Mean,35.17
1665,687,D24HourMean,QuarterlyMean,Mean,16.82
1662,690,D24HourMean,QuarterlyMean,Mean,29.91
1651,714,D24HourMean,QuarterlyMean,Mean,39.94
1680,697,D24HourMean,QuarterlyMean,Mean,31.65
1679,702,D24HourMean,QuarterlyMean,Mean,33.15
1685,684,D24HourMean,QuarterlyMean,Mean,27.83
1669,694,D24HourMean,QuarterlyMean,Mean,28.69
1647,703,D24HourMean,QuarterlyMean,Mean,32.44
1671,709,D24HourMean,QuarterlyMean,Mean,36.41
1666,705,D24HourMean,QuarterlyMean,Mean,34.21
1651,706,D24HourMean,QuarterlyMean,Mean,33.96
1673,703,D24HourMean,QuarterlyMean,Mean,34.90
1650,698,D24HourMean,QuarterlyMean,Mean,32.61
1662,703,D24HourMean,QuarterlyMean,Mean,35.32
1667,690,D24HourMean,QuarterlyMean,Mean,27.67
1677,704,D24HourMean,QuarterlyMean,Mean,35.27
1666,693,D24HourMean,QuarterlyMean,Mean,30.19
1633,712,D24HourMean,QuarterlyMean,Mean,40.69
1665,717,D24HourMean,QuarterlyMean,Mean,40.35
1657,707,D24HourMean,QuarterlyMean,Mean,35.06
1671,704,D24HourMean,QuarterlyMean,Mean,34.10
1669,709,D24HourMean,QuarterlyMean,Mean,36.20
1657,711,D24HourMean,QuarterlyMean,Mean,36.38
1653,716,D24HourMean,QuarterlyMean,Mean,39.31
1657,721,D24HourMean,QuarterlyMean,Mean,42.26
1659,722,D24HourMean,QuarterlyMean,Mean,42.86
1649,724,D24HourMean,QuarterlyMean,Mean,43.92
1682,689,D24HourMean,QuarterlyMean,Mean,26.98
1664,710,D24HourMean,QuarterlyMean,Mean,35.60
1638,705,D24HourMean,QuarterlyMean,Mean,35.49
1646,697,D24HourMean,QuarterlyMean,Mean,30.31
1665,688,D24HourMean,QuarterlyMean,Mean,28.25
1642,724,D24HourMean,QuarterlyMean,Mean,43.44
1658,702,D24HourMean,QuarterlyMean,Mean,33.53
1652,707,D24HourMean,QuarterlyMean,Mean,34.84
1675,686,D24HourMean,QuarterlyMean,Mean,28.16
1672,708,D24HourMean,QuarterlyMean,Mean,36.39
1634,689,D24HourMean,QuarterlyMean,Mean,31.43
1666,720,D24HourMean,QuarterlyMean,Mean,43.86
1636,687,D24HourMean,QuarterlyMean,Mean,28.83
1667,697,D24HourMean,QuarterlyMean,Mean,32.73
1645,707,D24HourMean,QuarterlyMean,Mean,35.12
1672,705,D24HourMean,QuarterlyMean,Mean,34.67
1648,692,D24HourMean,QuarterlyMean,Mean,28.25
1656,698,D24HourMean,QuarterlyMean,Mean,32.51
1659,698,D24HourMean,QuarterlyMean,Mean,33.10
1685,688,D24HourMean,QuarterlyMean,Mean,25.71
1644,689,D24HourMean,QuarterlyMean,Mean,28.22
1648,705,D24HourMean,QuarterlyMean,Mean,35.29
1674,696,D24HourMean,QuarterlyMean,Mean,31.79
1677,705,D24HourMean,QuarterlyMean,Mean,36.61
1640,700,D24HourMean,QuarterlyMean,Mean,31.69
1657,701,D24HourMean,QuarterlyMean,Mean,31.77
1653,690,D24HourMean,QuarterlyMean,Mean,27.86
1640,707,D24HourMean,QuarterlyMean,Mean,34.43
1665,697,D24HourMean,QuarterlyMean,Mean,31.80
1674,685,D24HourMean,QuarterlyMean,Mean,27.59
1676,696,D24HourMean,QuarterlyMean,Mean,31.85
1642,713,D24HourMean,QuarterlyMean,Mean,36.32
1645,704,D24HourMean,QuarterlyMean,Mean,33.80
1655,707,D24HourMean,QuarterlyMean,Mean,34.78
1645,688,D24HourMean,QuarterlyMean,Mean,28.13
1664,698,D24HourMean,QuarterlyMean,Mean,32.44
1633,708,D24HourMean,QuarterlyMean,Mean,38.30
1645,685,D24HourMean,QuarterlyMean,Mean,27.61
1663,718,D24HourMean,QuarterlyMean,Mean,41.40
1641,709,D24HourMean,QuarterlyMean,Mean,37.54
1660,705,D24HourMean,QuarterlyMean,Mean,35.01
1668,714,D24HourMean,QuarterlyMean,Mean,38.59
1636,702,D24HourMean,QuarterlyMean,Mean,34.93
1661,704,D24HourMean,QuarterlyMean,Mean,36.02
1634,709,D24HourMean,QuarterlyMean,Mean,38.87
1644,702,D24HourMean,QuarterlyMean,Mean,30.30
1667,707,D24HourMean,QuarterlyMean,Mean,35.46
1639,685,D24HourMean,QuarterlyMean,Mean,26.90
1639,715,D24HourMean,QuarterlyMean,Mean,40.03
1668,700,D24HourMean,QuarterlyMean,Mean,32.95
1668,711,D24HourMean,QuarterlyMean,Mean,36.46
1676,692,D24HourMean,QuarterlyMean,Mean,29.67
1664,697,D24HourMean,QuarterlyMean,Mean,31.97
1655,706,D24HourMean,QuarterlyMean,Mean,33.69
1642,699,D24HourMean,QuarterlyMean,Mean,31.15
1665,698,D24HourMean,QuarterlyMean,Mean,32.22
1655,719,D24HourMean,QuarterlyMean,Mean,41.08
1660,709,D24HourMean,QuarterlyMean,Mean,37.51
1666,706,D24HourMean,QuarterlyMean,Mean,35.03
1673,696,D24HourMean,QuarterlyMean,Mean,31.94
1666,702,D24HourMean,QuarterlyMean,Mean,33.50
1659,703,D24HourMean,QuarterlyMean,Mean,34.80
1659,700,D24HourMean,QuarterlyMean,Mean,33.53
1654,726,D24HourMean,QuarterlyMean,Mean,48.50
1666,698,D24HourMean,QuarterlyMean,Mean,33.12
1640,716,D24HourMean,QuarterlyMean,Mean,40.27
1642,722,D24HourMean,QuarterlyMean,Mean,40.82
1679,699,D24HourMean,QuarterlyMean,Mean,32.82
1642,702,D24HourMean,QuarterlyMean,Mean,32.50
1660,698,D24HourMean,QuarterlyMean,Mean,33.49
1679,687,D24HourMean,QuarterlyMean,Mean,27.20
1640,696,D24HourMean,QuarterlyMean,Mean,28.80
1651,707,D24HourMean,QuarterlyMean,Mean,34.83
1641,706,D24HourMean,QuarterlyMean,Mean,35.33
1631,709,D24HourMean,QuarterlyMean,Mean,40.45
1683,684,D24HourMean,QuarterlyMean,Mean,25.36
1639,721,D24HourMean,QuarterlyMean,Mean,42.57
1672,701,D24HourMean,QuarterlyMean,Mean,34.21
1663,709,D24HourMean,QuarterlyMean,Mean,36.52
1670,698,D24HourMean,QuarterlyMean,Mean,32.81
