Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1639,709,2010,12874.84,ALL,ALL,ALL,0TO99
1644,714,2010,3505.13,ALL,ALL,ALL,0TO99
1644,698,2010,11358.66,ALL,ALL,ALL,0TO99
1661,698,2010,4175.82,ALL,ALL,ALL,0TO99
1649,695,2010,3728.06,ALL,ALL,ALL,0TO99
1644,711,2010,3591.36,ALL,ALL,ALL,0TO99
1642,712,2010,5596.14,ALL,ALL,ALL,0TO99
1671,712,2010,3613.87,ALL,ALL,ALL,0TO99
1675,684,2010,1032.48,ALL,ALL,ALL,0TO99
1648,693,2010,2969.88,ALL,ALL,ALL,0TO99
1652,706,2010,2184.14,ALL,ALL,ALL,0TO99
1676,695,2010,947.77,ALL,ALL,ALL,0TO99
1654,716,2010,1555.77,ALL,ALL,ALL,0TO99
1683,685,2010,1757.45,ALL,ALL,ALL,0TO99
1668,692,2010,773.72,ALL,ALL,ALL,0TO99
1674,710,2010,4687.56,ALL,ALL,ALL,0TO99
1649,716,2010,1128.64,ALL,ALL,ALL,0TO99
1678,706,2010,5370.87,ALL,ALL,ALL,0TO99
1645,696,2010,15238.11,ALL,ALL,ALL,0TO99
1651,718,2010,1132.13,ALL,ALL,ALL,0TO99
1653,712,2010,895.60,ALL,ALL,ALL,0TO99
1656,715,2010,1556.50,ALL,ALL,ALL,0TO99
1632,706,2010,18760.24,ALL,ALL,ALL,0TO99
1637,699,2010,9428.37,ALL,ALL,ALL,0TO99
1646,724,2010,3278.30,ALL,ALL,ALL,0TO99
1682,685,2010,1774.35,ALL,ALL,ALL,0TO99
1674,693,2010,773.40,ALL,ALL,ALL,0TO99
1673,688,2010,629.71,ALL,ALL,ALL,0TO99
1674,706,2010,1331.82,ALL,ALL,ALL,0TO99
1653,691,2010,2214.91,ALL,ALL,ALL,0TO99
1653,698,2010,3743.89,ALL,ALL,ALL,0TO99
1655,689,2010,4430.48,ALL,ALL,ALL,0TO99
1644,708,2010,8782.35,ALL,ALL,ALL,0TO99
1639,718,2010,5362.89,ALL,ALL,ALL,0TO99
1661,710,2010,1300.68,ALL,ALL,ALL,0TO99
