Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
3397,477,2010,788.41,ALL,ALL,ALL,0TO99
3369,490,2010,1146.17,ALL,ALL,ALL,0TO99
3405,464,2010,1638.53,ALL,ALL,ALL,0TO99
3410,468,2010,4990.03,ALL,ALL,ALL,0TO99
3404,468,2010,3058.28,ALL,ALL,ALL,0TO99
3377,476,2010,2081.50,ALL,ALL,ALL,0TO99
3394,479,2010,845.81,ALL,ALL,ALL,0TO99
3391,480,2010,815.62,ALL,ALL,ALL,0TO99
3366,482,2010,1074.19,ALL,ALL,ALL,0TO99
3376,477,2010,1637.15,ALL,ALL,ALL,0TO99
3389,480,2010,420.27,ALL,ALL,ALL,0TO99
3401,464,2010,1741.80,ALL,ALL,ALL,0TO99
3408,476,2010,2949.58,ALL,ALL,ALL,0TO99
3404,443,2010,287.45,ALL,ALL,ALL,0TO99
3405,463,2010,1741.30,ALL,ALL,ALL,0TO99
3400,464,2010,1741.80,ALL,ALL,ALL,0TO99
3417,454,2010,1629.58,ALL,ALL,ALL,0TO99
3399,476,2010,247.34,ALL,ALL,ALL,0TO99
3409,474,2010,5111.35,ALL,ALL,ALL,0TO99
3373,486,2010,525.13,ALL,ALL,ALL,0TO99
3413,466,2010,3609.37,ALL,ALL,ALL,0TO99
3414,457,2010,1574.31,ALL,ALL,ALL,0TO99
3369,489,2010,1117.33,ALL,ALL,ALL,0TO99
3406,461,2010,1689.19,ALL,ALL,ALL,0TO99
3409,472,2010,5298.27,ALL,ALL,ALL,0TO99
3398,475,2010,590.38,ALL,ALL,ALL,0TO99
3461,452,2010,1683.59,ALL,ALL,ALL,0TO99
3375,477,2010,1507.80,ALL,ALL,ALL,0TO99
3366,480,2010,595.61,ALL,ALL,ALL,0TO99
3419,453,2010,1637.17,ALL,ALL,ALL,0TO99
3372,488,2010,856.78,ALL,ALL,ALL,0TO99
3420,453,2010,1637.17,ALL,ALL,ALL,0TO99
