Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1668,649,D24HourMean,QuarterlyMean,Mean,19.45
1680,634,D24HourMean,QuarterlyMean,Mean,13.07
1683,653,D24HourMean,QuarterlyMean,Mean,17.80
1679,650,D24HourMean,QuarterlyMean,Mean,17.73
1687,644,D24HourMean,QuarterlyMean,Mean,14.79
1675,649,D24HourMean,QuarterlyMean,Mean,19.35
1694,639,D24HourMean,QuarterlyMean,Mean,12.72
1678,636,D24HourMean,QuarterlyMean,Mean,12.95
1681,648,D24HourMean,QuarterlyMean,Mean,16.85
1677,654,D24HourMean,QuarterlyMean,Mean,20.18
1680,632,D24HourMean,QuarterlyMean,Mean,12.50
1690,645,D24HourMean,QuarterlyMean,Mean,15.04
1692,647,D24HourMean,QuarterlyMean,Mean,17.27
1674,637,D24HourMean,QuarterlyMean,Mean,12.90
1675,645,D24HourMean,QuarterlyMean,Mean,16.42
1685,634,D24HourMean,QuarterlyMean,Mean,11.69
1674,640,D24HourMean,QuarterlyMean,Mean,14.35
1673,653,D24HourMean,QuarterlyMean,Mean,17.91
1670,650,D24HourMean,QuarterlyMean,Mean,17.67
1675,639,D24HourMean,QuarterlyMean,Mean,13.80
1686,647,D24HourMean,QuarterlyMean,Mean,15.49
1690,643,D24HourMean,QuarterlyMean,Mean,14.28
1676,647,D24HourMean,QuarterlyMean,Mean,17.16
1680,639,D24HourMean,QuarterlyMean,Mean,14.35
1684,637,D24HourMean,QuarterlyMean,Mean,13.30
1676,655,D24HourMean,QuarterlyMean,Mean,18.06
1688,638,D24HourMean,QuarterlyMean,Mean,12.87
1676,639,D24HourMean,QuarterlyMean,Mean,13.68
1690,638,D24HourMean,QuarterlyMean,Mean,12.56
1683,633,D24HourMean,QuarterlyMean,Mean,13.22
1688,648,D24HourMean,QuarterlyMean,Mean,15.39
1681,633,D24HourMean,QuarterlyMean,Mean,12.70
1691,652,D24HourMean,QuarterlyMean,Mean,15.65
1670,642,D24HourMean,QuarterlyMean,Mean,14.41
1692,637,D24HourMean,QuarterlyMean,Mean,11.59
1689,646,D24HourMean,QuarterlyMean,Mean,14.99
1682,633,D24HourMean,QuarterlyMean,Mean,12.36
1675,646,D24HourMean,QuarterlyMean,Mean,16.46
1678,643,D24HourMean,QuarterlyMean,Mean,15.80
1681,650,D24HourMean,QuarterlyMean,Mean,15.72
1689,642,D24HourMean,QuarterlyMean,Mean,13.58
1685,632,D24HourMean,QuarterlyMean,Mean,11.62
1681,644,D24HourMean,QuarterlyMean,Mean,15.54
1684,632,D24HourMean,QuarterlyMean,Mean,12.16
1688,643,D24HourMean,QuarterlyMean,Mean,14.58
1685,649,D24HourMean,QuarterlyMean,Mean,15.80
1683,644,D24HourMean,QuarterlyMean,Mean,14.26
1680,645,D24HourMean,QuarterlyMean,Mean,16.51
1674,652,D24HourMean,QuarterlyMean,Mean,17.99
1672,642,D24HourMean,QuarterlyMean,Mean,16.01
1689,634,D24HourMean,QuarterlyMean,Mean,11.86
1689,652,D24HourMean,QuarterlyMean,Mean,17.58
1691,654,D24HourMean,QuarterlyMean,Mean,18.28
1671,650,D24HourMean,QuarterlyMean,Mean,17.55
1678,641,D24HourMean,QuarterlyMean,Mean,14.15
1673,649,D24HourMean,QuarterlyMean,Mean,18.19
1673,648,D24HourMean,QuarterlyMean,Mean,17.31
1692,639,D24HourMean,QuarterlyMean,Mean,13.75
1671,645,D24HourMean,QuarterlyMean,Mean,15.96
1683,649,D24HourMean,QuarterlyMean,Mean,15.87
1681,657,D24HourMean,QuarterlyMean,Mean,18.75
1695,642,D24HourMean,QuarterlyMean,Mean,12.65
1679,655,D24HourMean,QuarterlyMean,Mean,18.54
1692,649,D24HourMean,QuarterlyMean,Mean,15.41
1675,636,D24HourMean,QuarterlyMean,Mean,12.80
1682,651,D24HourMean,QuarterlyMean,Mean,15.64
1672,650,D24HourMean,QuarterlyMean,Mean,17.54
1674,647,D24HourMean,QuarterlyMean,Mean,17.32
1685,638,D24HourMean,QuarterlyMean,Mean,12.83
1680,635,D24HourMean,QuarterlyMean,Mean,12.65
1679,648,D24HourMean,QuarterlyMean,Mean,18.43
1688,644,D24HourMean,QuarterlyMean,Mean,13.43
1691,650,D24HourMean,QuarterlyMean,Mean,15.26
1686,657,D24HourMean,QuarterlyMean,Mean,17.99
1678,658,D24HourMean,QuarterlyMean,Mean,19.61
1685,656,D24HourMean,QuarterlyMean,Mean,17.65
1686,638,D24HourMean,QuarterlyMean,Mean,12.97
1672,645,D24HourMean,QuarterlyMean,Mean,16.14
1670,643,D24HourMean,QuarterlyMean,Mean,17.13
1685,645,D24HourMean,QuarterlyMean,Mean,14.45
1694,642,D24HourMean,QuarterlyMean,Mean,13.38
1672,638,D24HourMean,QuarterlyMean,Mean,14.46
1673,643,D24HourMean,QuarterlyMean,Mean,16.26
1672,646,D24HourMean,QuarterlyMean,Mean,15.54
1688,655,D24HourMean,QuarterlyMean,Mean,18.72
1681,641,D24HourMean,QuarterlyMean,Mean,13.87
1682,638,D24HourMean,QuarterlyMean,Mean,14.03
1677,651,D24HourMean,QuarterlyMean,Mean,19.90
1686,636,D24HourMean,QuarterlyMean,Mean,12.30
1692,635,D24HourMean,QuarterlyMean,Mean,13.17
