Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1668,649,2010,10236.10,ALL,ALL,ALL,0TO99
1680,634,2010,6392.03,ALL,ALL,ALL,0TO99
1683,653,2010,2572.63,ALL,ALL,ALL,0TO99
1679,650,2010,5944.91,ALL,ALL,ALL,0TO99
1687,644,2010,7156.48,ALL,ALL,ALL,0TO99
1675,649,2010,11770.65,ALL,ALL,ALL,0TO99
1694,639,2010,8157.44,ALL,ALL,ALL,0TO99
1678,636,2010,7722.17,ALL,ALL,ALL,0TO99
1681,648,2010,12223.69,ALL,ALL,ALL,0TO99
1677,654,2010,13679.61,ALL,ALL,ALL,0TO99
1680,632,2010,3599.07,ALL,ALL,ALL,0TO99
1690,645,2010,9015.33,ALL,ALL,ALL,0TO99
1692,647,2010,23222.92,ALL,ALL,ALL,0TO99
1674,637,2010,3511.93,ALL,ALL,ALL,0TO99
1675,645,2010,7371.42,ALL,ALL,ALL,0TO99
1685,634,2010,8954.67,ALL,ALL,ALL,0TO99
1674,640,2010,5853.47,ALL,ALL,ALL,0TO99
1673,653,2010,7606.70,ALL,ALL,ALL,0TO99
1670,650,2010,15317.67,ALL,ALL,ALL,0TO99
1675,639,2010,3558.15,ALL,ALL,ALL,0TO99
1686,647,2010,7513.34,ALL,ALL,ALL,0TO99
1690,643,2010,10031.02,ALL,ALL,ALL,0TO99
1676,647,2010,11586.45,ALL,ALL,ALL,0TO99
1680,639,2010,5916.15,ALL,ALL,ALL,0TO99
1684,637,2010,7721.79,ALL,ALL,ALL,0TO99
1676,655,2010,1585.09,ALL,ALL,ALL,0TO99
1688,638,2010,43575.36,ALL,ALL,ALL,0TO99
1676,639,2010,3600.98,ALL,ALL,ALL,0TO99
1690,638,2010,18339.05,ALL,ALL,ALL,0TO99
1683,633,2010,16610.81,ALL,ALL,ALL,0TO99
1688,648,2010,2777.14,ALL,ALL,ALL,0TO99
1681,633,2010,8399.14,ALL,ALL,ALL,0TO99
1691,652,2010,2814.13,ALL,ALL,ALL,0TO99
1670,642,2010,158364.72,ALL,ALL,ALL,0TO99
1692,637,2010,5525.45,ALL,ALL,ALL,0TO99
1689,646,2010,7648.86,ALL,ALL,ALL,0TO99
1682,633,2010,13467.89,ALL,ALL,ALL,0TO99
1675,646,2010,7521.09,ALL,ALL,ALL,0TO99
1678,643,2010,8185.75,ALL,ALL,ALL,0TO99
1681,650,2010,6283.24,ALL,ALL,ALL,0TO99
1689,642,2010,7641.30,ALL,ALL,ALL,0TO99
1685,632,2010,8467.53,ALL,ALL,ALL,0TO99
1681,644,2010,9977.70,ALL,ALL,ALL,0TO99
1684,632,2010,9564.49,ALL,ALL,ALL,0TO99
1688,643,2010,6228.13,ALL,ALL,ALL,0TO99
1685,649,2010,5271.94,ALL,ALL,ALL,0TO99
1683,644,2010,6669.63,ALL,ALL,ALL,0TO99
1680,645,2010,9929.39,ALL,ALL,ALL,0TO99
1674,652,2010,7105.25,ALL,ALL,ALL,0TO99
1672,642,2010,6237.29,ALL,ALL,ALL,0TO99
1689,634,2010,3314.53,ALL,ALL,ALL,0TO99
1689,652,2010,2434.44,ALL,ALL,ALL,0TO99
1691,654,2010,2539.19,ALL,ALL,ALL,0TO99
1671,650,2010,23018.33,ALL,ALL,ALL,0TO99
1678,641,2010,6249.72,ALL,ALL,ALL,0TO99
1673,649,2010,8857.56,ALL,ALL,ALL,0TO99
1673,648,2010,11124.49,ALL,ALL,ALL,0TO99
1692,639,2010,17099.68,ALL,ALL,ALL,0TO99
1671,645,2010,8599.99,ALL,ALL,ALL,0TO99
1683,649,2010,5454.05,ALL,ALL,ALL,0TO99
1681,657,2010,923.22,ALL,ALL,ALL,0TO99
1695,642,2010,14892.28,ALL,ALL,ALL,0TO99
1679,655,2010,10928.13,ALL,ALL,ALL,0TO99
1692,649,2010,2893.03,ALL,ALL,ALL,0TO99
1675,636,2010,2036.51,ALL,ALL,ALL,0TO99
1682,651,2010,5011.48,ALL,ALL,ALL,0TO99
1672,650,2010,21919.35,ALL,ALL,ALL,0TO99
1674,647,2010,12027.23,ALL,ALL,ALL,0TO99
1685,638,2010,14467.15,ALL,ALL,ALL,0TO99
1680,635,2010,6475.30,ALL,ALL,ALL,0TO99
1679,648,2010,33398.18,ALL,ALL,ALL,0TO99
1688,644,2010,7044.79,ALL,ALL,ALL,0TO99
1691,650,2010,2836.81,ALL,ALL,ALL,0TO99
1686,657,2010,1978.29,ALL,ALL,ALL,0TO99
1678,658,2010,928.91,ALL,ALL,ALL,0TO99
1685,656,2010,7731.37,ALL,ALL,ALL,0TO99
1686,638,2010,12716.52,ALL,ALL,ALL,0TO99
1672,645,2010,10268.90,ALL,ALL,ALL,0TO99
1670,643,2010,171291.41,ALL,ALL,ALL,0TO99
1685,645,2010,7784.15,ALL,ALL,ALL,0TO99
1694,642,2010,14810.38,ALL,ALL,ALL,0TO99
1672,638,2010,4920.98,ALL,ALL,ALL,0TO99
1673,643,2010,7248.24,ALL,ALL,ALL,0TO99
1672,646,2010,12354.39,ALL,ALL,ALL,0TO99
1688,655,2010,3191.92,ALL,ALL,ALL,0TO99
1681,641,2010,2752.62,ALL,ALL,ALL,0TO99
1682,638,2010,12304.76,ALL,ALL,ALL,0TO99
1677,651,2010,3490.85,ALL,ALL,ALL,0TO99
1686,636,2010,2796.52,ALL,ALL,ALL,0TO99
1692,635,2010,2617.00,ALL,ALL,ALL,0TO99
1671,651,2010,18542.15,ALL,ALL,ALL,0TO99
1676,640,2010,5105.39,ALL,ALL,ALL,0TO99
1686,634,2010,10290.58,ALL,ALL,ALL,0TO99
1675,653,2010,7232.26,ALL,ALL,ALL,0TO99
1683,656,2010,2056.86,ALL,ALL,ALL,0TO99
1680,650,2010,5559.96,ALL,ALL,ALL,0TO99
1680,643,2010,8133.52,ALL,ALL,ALL,0TO99
1686,637,2010,4962.18,ALL,ALL,ALL,0TO99
1692,643,2010,7499.57,ALL,ALL,ALL,0TO99
1692,654,2010,2410.18,ALL,ALL,ALL,0TO99
1675,643,2010,9142.96,ALL,ALL,ALL,0TO99
1677,649,2010,6017.11,ALL,ALL,ALL,0TO99
1691,651,2010,2841.74,ALL,ALL,ALL,0TO99
1683,640,2010,52922.76,ALL,ALL,ALL,0TO99
1690,655,2010,2538.43,ALL,ALL,ALL,0TO99
1689,636,2010,6365.39,ALL,ALL,ALL,0TO99
1673,639,2010,6760.70,ALL,ALL,ALL,0TO99
1679,642,2010,6229.27,ALL,ALL,ALL,0TO99
1675,651,2010,4586.00,ALL,ALL,ALL,0TO99
1684,647,2010,5250.23,ALL,ALL,ALL,0TO99
1690,651,2010,2815.58,ALL,ALL,ALL,0TO99
1682,635,2010,12231.02,ALL,ALL,ALL,0TO99
1687,637,2010,12810.55,ALL,ALL,ALL,0TO99
1682,644,2010,9935.29,ALL,ALL,ALL,0TO99
1687,651,2010,2421.77,ALL,ALL,ALL,0TO99
1687,649,2010,2419.25,ALL,ALL,ALL,0TO99
1693,653,2010,2433.56,ALL,ALL,ALL,0TO99
1672,641,2010,6052.58,ALL,ALL,ALL,0TO99
1694,638,2010,5300.20,ALL,ALL,ALL,0TO99
1694,649,2010,9502.58,ALL,ALL,ALL,0TO99
1671,652,2010,13153.04,ALL,ALL,ALL,0TO99
1693,652,2010,2587.91,ALL,ALL,ALL,0TO99
1684,659,2010,1718.93,ALL,ALL,ALL,0TO99
1683,647,2010,5624.49,ALL,ALL,ALL,0TO99
1675,642,2010,5284.68,ALL,ALL,ALL,0TO99
1692,652,2010,2793.65,ALL,ALL,ALL,0TO99
1679,651,2010,4682.54,ALL,ALL,ALL,0TO99
1682,649,2010,5747.14,ALL,ALL,ALL,0TO99
1691,635,2010,1372.13,ALL,ALL,ALL,0TO99
1677,638,2010,5617.44,ALL,ALL,ALL,0TO99
1674,638,2010,4351.51,ALL,ALL,ALL,0TO99
1687,655,2010,3191.92,ALL,ALL,ALL,0TO99
1680,638,2010,6194.19,ALL,ALL,ALL,0TO99
1679,641,2010,5823.96,ALL,ALL,ALL,0TO99
1690,644,2010,8259.65,ALL,ALL,ALL,0TO99
1677,656,2010,804.45,ALL,ALL,ALL,0TO99
1689,640,2010,35329.34,ALL,ALL,ALL,0TO99
1668,650,2010,14155.97,ALL,ALL,ALL,0TO99
1674,646,2010,8910.70,ALL,ALL,ALL,0TO99
1681,637,2010,7874.44,ALL,ALL,ALL,0TO99
1684,657,2010,3618.97,ALL,ALL,ALL,0TO99
1682,654,2010,3251.21,ALL,ALL,ALL,0TO99
1677,636,2010,4971.74,ALL,ALL,ALL,0TO99
1677,637,2010,5143.61,ALL,ALL,ALL,0TO99
1672,635,2010,3882.83,ALL,ALL,ALL,0TO99
1678,647,2010,30713.13,ALL,ALL,ALL,0TO99
1681,656,2010,2289.52,ALL,ALL,ALL,0TO99
1684,654,2010,3694.41,ALL,ALL,ALL,0TO99
1684,645,2010,6504.74,ALL,ALL,ALL,0TO99
1691,643,2010,10004.06,ALL,ALL,ALL,0TO99
1680,655,2010,6873.11,ALL,ALL,ALL,0TO99
1684,646,2010,7396.08,ALL,ALL,ALL,0TO99
1675,641,2010,4856.83,ALL,ALL,ALL,0TO99
1674,653,2010,7062.26,ALL,ALL,ALL,0TO99
1678,649,2010,11154.75,ALL,ALL,ALL,0TO99
1682,632,2010,8593.77,ALL,ALL,ALL,0TO99
1675,637,2010,3165.61,ALL,ALL,ALL,0TO99
1689,639,2010,61089.02,ALL,ALL,ALL,0TO99
1680,654,2010,8338.82,ALL,ALL,ALL,0TO99
1682,642,2010,2436.59,ALL,ALL,ALL,0TO99
1672,649,2010,12977.69,ALL,ALL,ALL,0TO99
1693,645,2010,6765.70,ALL,ALL,ALL,0TO99
1688,653,2010,2528.56,ALL,ALL,ALL,0TO99
1682,652,2010,3925.15,ALL,ALL,ALL,0TO99
1674,642,2010,5854.57,ALL,ALL,ALL,0TO99
1687,650,2010,2418.55,ALL,ALL,ALL,0TO99
1687,646,2010,5686.88,ALL,ALL,ALL,0TO99
1682,639,2010,18271.70,ALL,ALL,ALL,0TO99
1683,639,2010,59902.40,ALL,ALL,ALL,0TO99
1690,656,2010,2537.02,ALL,ALL,ALL,0TO99
1684,649,2010,5288.61,ALL,ALL,ALL,0TO99
1684,634,2010,13578.63,ALL,ALL,ALL,0TO99
1693,650,2010,2836.41,ALL,ALL,ALL,0TO99
1675,638,2010,3550.08,ALL,ALL,ALL,0TO99
1688,639,2010,22759.66,ALL,ALL,ALL,0TO99
1679,646,2010,7480.49,ALL,ALL,ALL,0TO99
1684,639,2010,70971.63,ALL,ALL,ALL,0TO99
1671,642,2010,69121.09,ALL,ALL,ALL,0TO99
1684,655,2010,8858.29,ALL,ALL,ALL,0TO99
1673,640,2010,6077.56,ALL,ALL,ALL,0TO99
1687,634,2010,5750.13,ALL,ALL,ALL,0TO99
1692,638,2010,10754.66,ALL,ALL,ALL,0TO99
1689,654,2010,3012.87,ALL,ALL,ALL,0TO99
1684,650,2010,5430.89,ALL,ALL,ALL,0TO99
1681,655,2010,2925.57,ALL,ALL,ALL,0TO99
1679,640,2010,4887.38,ALL,ALL,ALL,0TO99
1679,638,2010,6138.19,ALL,ALL,ALL,0TO99
1681,651,2010,4233.64,ALL,ALL,ALL,0TO99
1676,634,2010,3213.56,ALL,ALL,ALL,0TO99
1688,658,2010,1963.48,ALL,ALL,ALL,0TO99
1676,658,2010,2866.53,ALL,ALL,ALL,0TO99
1680,648,2010,13247.28,ALL,ALL,ALL,0TO99
1690,654,2010,2541.64,ALL,ALL,ALL,0TO99
1680,656,2010,1624.55,ALL,ALL,ALL,0TO99
1688,649,2010,2479.47,ALL,ALL,ALL,0TO99
1682,646,2010,7671.14,ALL,ALL,ALL,0TO99
1683,641,2010,4484.81,ALL,ALL,ALL,0TO99
1689,645,2010,8731.91,ALL,ALL,ALL,0TO99
1676,645,2010,9338.54,ALL,ALL,ALL,0TO99
1678,637,2010,5838.29,ALL,ALL,ALL,0TO99
1689,655,2010,2979.45,ALL,ALL,ALL,0TO99
1672,639,2010,5532.13,ALL,ALL,ALL,0TO99
1693,643,2010,11152.75,ALL,ALL,ALL,0TO99
1673,645,2010,9457.48,ALL,ALL,ALL,0TO99
