Column,Row,Metric,Seasonal Metric,Annual Metric,Values
908,699,D24HourMean,QuarterlyMean,Mean,10.26
912,695,D24HourMean,QuarterlyMean,Mean,9.29
910,698,D24HourMean,QuarterlyMean,Mean,9.79
915,696,D24HourMean,QuarterlyMean,Mean,8.39
902,697,D24HourMean,QuarterlyMean,Mean,9.70
913,698,D24HourMean,QuarterlyMean,Mean,8.53
905,700,D24HourMean,QuarterlyMean,Mean,10.15
914,696,D24HourMean,QuarterlyMean,Mean,8.79
900,698,D24HourMean,QuarterlyMean,Mean,9.56
903,696,D24HourMean,QuarterlyMean,Mean,9.63
909,696,D24HourMean,QuarterlyMean,Mean,9.72
921,696,D24HourMean,QuarterlyMean,Mean,10.20
916,696,D24HourMean,QuarterlyMean,Mean,8.25
906,696,D24HourMean,QuarterlyMean,Mean,10.16
914,694,D24HourMean,QuarterlyMean,Mean,9.05
918,696,D24HourMean,QuarterlyMean,Mean,8.63
915,699,D24HourMean,QuarterlyMean,Mean,9.03
908,696,D24HourMean,QuarterlyMean,Mean,9.67
902,696,D24HourMean,QuarterlyMean,Mean,9.63
905,697,D24HourMean,QuarterlyMean,Mean,10.25
923,697,D24HourMean,QuarterlyMean,Mean,9.10
908,697,D24HourMean,QuarterlyMean,Mean,10.66
906,697,D24HourMean,QuarterlyMean,Mean,10.76
912,699,D24HourMean,QuarterlyMean,Mean,8.72
919,695,D24HourMean,QuarterlyMean,Mean,8.86
914,697,D24HourMean,QuarterlyMean,Mean,8.86
910,700,D24HourMean,QuarterlyMean,Mean,9.65
922,694,D24HourMean,QuarterlyMean,Mean,14.38
921,697,D24HourMean,QuarterlyMean,Mean,8.96
909,697,D24HourMean,QuarterlyMean,Mean,10.15
912,693,D24HourMean,QuarterlyMean,Mean,10.11
917,692,D24HourMean,QuarterlyMean,Mean,9.87
917,697,D24HourMean,QuarterlyMean,Mean,8.49
910,696,D24HourMean,QuarterlyMean,Mean,9.41
910,699,D24HourMean,QuarterlyMean,Mean,9.62
909,698,D24HourMean,QuarterlyMean,Mean,9.87
904,697,D24HourMean,QuarterlyMean,Mean,9.56
910,694,D24HourMean,QuarterlyMean,Mean,10.79
910,697,D24HourMean,QuarterlyMean,Mean,9.55
905,699,D24HourMean,QuarterlyMean,Mean,9.79
911,695,D24HourMean,QuarterlyMean,Mean,9.63
919,693,D24HourMean,QuarterlyMean,Mean,8.88
902,699,D24HourMean,QuarterlyMean,Mean,9.80
922,698,D24HourMean,QuarterlyMean,Mean,9.50
904,696,D24HourMean,QuarterlyMean,Mean,9.41
906,702,D24HourMean,QuarterlyMean,Mean,9.48
902,698,D24HourMean,QuarterlyMean,Mean,9.72
903,695,D24HourMean,QuarterlyMean,Mean,8.55
904,701,D24HourMean,QuarterlyMean,Mean,9.44
913,697,D24HourMean,QuarterlyMean,Mean,8.65
906,701,D24HourMean,QuarterlyMean,Mean,9.44
910,702,D24HourMean,QuarterlyMean,Mean,8.88
912,698,D24HourMean,QuarterlyMean,Mean,8.88
917,694,D24HourMean,QuarterlyMean,Mean,8.89
908,698,D24HourMean,QuarterlyMean,Mean,10.18
914,695,D24HourMean,QuarterlyMean,Mean,8.55
909,699,D24HourMean,QuarterlyMean,Mean,10.04
919,697,D24HourMean,QuarterlyMean,Mean,8.65
914,698,D24HourMean,QuarterlyMean,Mean,8.74
919,694,D24HourMean,QuarterlyMean,Mean,8.96
905,703,D24HourMean,QuarterlyMean,Mean,9.79
911,698,D24HourMean,QuarterlyMean,Mean,9.08
906,699,D24HourMean,QuarterlyMean,Mean,10.35
920,696,D24HourMean,QuarterlyMean,Mean,9.53
911,697,D24HourMean,QuarterlyMean,Mean,9.74
920,698,D24HourMean,QuarterlyMean,Mean,8.84
911,699,D24HourMean,QuarterlyMean,Mean,9.01
922,697,D24HourMean,QuarterlyMean,Mean,9.01
923,698,D24HourMean,QuarterlyMean,Mean,9.77
906,695,D24HourMean,QuarterlyMean,Mean,8.58
910,695,D24HourMean,QuarterlyMean,Mean,10.23
905,696,D24HourMean,QuarterlyMean,Mean,10.03
917,695,D24HourMean,QuarterlyMean,Mean,8.60
902,700,D24HourMean,QuarterlyMean,Mean,9.19
918,694,D24HourMean,QuarterlyMean,Mean,9.32
908,701,D24HourMean,QuarterlyMean,Mean,9.31
918,698,D24HourMean,QuarterlyMean,Mean,9.25
916,698,D24HourMean,QuarterlyMean,Mean,9.10
917,696,D24HourMean,QuarterlyMean,Mean,8.34
913,692,D24HourMean,QuarterlyMean,Mean,10.21
920,694,D24HourMean,QuarterlyMean,Mean,9.97
906,703,D24HourMean,QuarterlyMean,Mean,9.36
908,703,D24HourMean,QuarterlyMean,Mean,8.72
916,692,D24HourMean,QuarterlyMean,Mean,12.06
915,694,D24HourMean,QuarterlyMean,Mean,9.46
917,693,D24HourMean,QuarterlyMean,Mean,9.24
923,694,D24HourMean,QuarterlyMean,Mean,14.48
907,701,D24HourMean,QuarterlyMean,Mean,9.63
916,697,D24HourMean,QuarterlyMean,Mean,8.49
904,699,D24HourMean,QuarterlyMean,Mean,9.48
915,698,D24HourMean,QuarterlyMean,Mean,8.79
904,698,D24HourMean,QuarterlyMean,Mean,9.96
920,692,D24HourMean,QuarterlyMean,Mean,8.94
907,699,D24HourMean,QuarterlyMean,Mean,9.68
919,696,D24HourMean,QuarterlyMean,Mean,8.79
909,701,D24HourMean,QuarterlyMean,Mean,9.55
907,703,D24HourMean,QuarterlyMean,Mean,9.37
903,697,D24HourMean,QuarterlyMean,Mean,9.63
909,700,D24HourMean,QuarterlyMean,Mean,10.81
912,694,D24HourMean,QuarterlyMean,Mean,9.36
919,692,D24HourMean,QuarterlyMean,Mean,9.70
918,697,D24HourMean,QuarterlyMean,Mean,8.77
921,695,D24HourMean,QuarterlyMean,Mean,10.62
915,693,D24HourMean,QuarterlyMean,Mean,10.11
