Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
908,699,2010,46580.82,ALL,ALL,ALL,0TO99
912,695,2010,29219.42,ALL,ALL,ALL,0TO99
910,698,2010,24866.92,ALL,ALL,ALL,0TO99
915,696,2010,13572.23,ALL,ALL,ALL,0TO99
902,697,2010,33479.12,ALL,ALL,ALL,0TO99
913,698,2010,27093.14,ALL,ALL,ALL,0TO99
905,700,2010,67385.23,ALL,ALL,ALL,0TO99
914,696,2010,17325.53,ALL,ALL,ALL,0TO99
900,698,2010,21354.39,ALL,ALL,ALL,0TO99
903,696,2010,64543.76,ALL,ALL,ALL,0TO99
909,696,2010,552744.56,ALL,ALL,ALL,0TO99
921,696,2010,20423.38,ALL,ALL,ALL,0TO99
916,696,2010,13630.12,ALL,ALL,ALL,0TO99
906,696,2010,33749.50,ALL,ALL,ALL,0TO99
914,694,2010,11859.56,ALL,ALL,ALL,0TO99
918,696,2010,16804.61,ALL,ALL,ALL,0TO99
915,699,2010,18077.25,ALL,ALL,ALL,0TO99
908,696,2010,357390.31,ALL,ALL,ALL,0TO99
902,696,2010,43487.04,ALL,ALL,ALL,0TO99
905,697,2010,44994.44,ALL,ALL,ALL,0TO99
923,697,2010,11881.52,ALL,ALL,ALL,0TO99
908,697,2010,472303.09,ALL,ALL,ALL,0TO99
906,697,2010,71645.47,ALL,ALL,ALL,0TO99
912,699,2010,13381.13,ALL,ALL,ALL,0TO99
919,695,2010,45249.82,ALL,ALL,ALL,0TO99
914,697,2010,8115.32,ALL,ALL,ALL,0TO99
910,700,2010,8649.47,ALL,ALL,ALL,0TO99
922,694,2010,11418.38,ALL,ALL,ALL,0TO99
921,697,2010,19740.99,ALL,ALL,ALL,0TO99
909,697,2010,718303.88,ALL,ALL,ALL,0TO99
912,693,2010,33505.01,ALL,ALL,ALL,0TO99
917,692,2010,23195.60,ALL,ALL,ALL,0TO99
917,697,2010,20154.72,ALL,ALL,ALL,0TO99
910,696,2010,93688.84,ALL,ALL,ALL,0TO99
910,699,2010,7455.90,ALL,ALL,ALL,0TO99
909,698,2010,145922.22,ALL,ALL,ALL,0TO99
904,697,2010,62816.08,ALL,ALL,ALL,0TO99
910,694,2010,30467.56,ALL,ALL,ALL,0TO99
910,697,2010,147402.30,ALL,ALL,ALL,0TO99
905,699,2010,77944.33,ALL,ALL,ALL,0TO99
911,695,2010,32201.03,ALL,ALL,ALL,0TO99
919,693,2010,47174.76,ALL,ALL,ALL,0TO99
902,699,2010,56904.91,ALL,ALL,ALL,0TO99
922,698,2010,16204.89,ALL,ALL,ALL,0TO99
904,696,2010,39815.36,ALL,ALL,ALL,0TO99
906,702,2010,11457.82,ALL,ALL,ALL,0TO99
902,698,2010,35517.20,ALL,ALL,ALL,0TO99
903,695,2010,45180.62,ALL,ALL,ALL,0TO99
904,701,2010,35829.06,ALL,ALL,ALL,0TO99
913,697,2010,15869.99,ALL,ALL,ALL,0TO99
906,701,2010,13329.10,ALL,ALL,ALL,0TO99
910,702,2010,5967.55,ALL,ALL,ALL,0TO99
912,698,2010,30751.25,ALL,ALL,ALL,0TO99
917,694,2010,35531.75,ALL,ALL,ALL,0TO99
908,698,2010,70184.09,ALL,ALL,ALL,0TO99
914,695,2010,21158.63,ALL,ALL,ALL,0TO99
909,699,2010,42967.57,ALL,ALL,ALL,0TO99
919,697,2010,22646.73,ALL,ALL,ALL,0TO99
914,698,2010,20206.14,ALL,ALL,ALL,0TO99
919,694,2010,54262.35,ALL,ALL,ALL,0TO99
905,703,2010,10769.39,ALL,ALL,ALL,0TO99
911,698,2010,12685.95,ALL,ALL,ALL,0TO99
906,699,2010,47541.10,ALL,ALL,ALL,0TO99
920,696,2010,24999.86,ALL,ALL,ALL,0TO99
911,697,2010,84458.48,ALL,ALL,ALL,0TO99
920,698,2010,11187.08,ALL,ALL,ALL,0TO99
911,699,2010,10334.47,ALL,ALL,ALL,0TO99
922,697,2010,20091.71,ALL,ALL,ALL,0TO99
923,698,2010,8677.36,ALL,ALL,ALL,0TO99
906,695,2010,23772.78,ALL,ALL,ALL,0TO99
910,695,2010,31075.53,ALL,ALL,ALL,0TO99
905,696,2010,23356.73,ALL,ALL,ALL,0TO99
917,695,2010,30315.94,ALL,ALL,ALL,0TO99
902,700,2010,36199.26,ALL,ALL,ALL,0TO99
918,694,2010,48692.11,ALL,ALL,ALL,0TO99
908,701,2010,10338.78,ALL,ALL,ALL,0TO99
918,698,2010,27282.83,ALL,ALL,ALL,0TO99
916,698,2010,6702.68,ALL,ALL,ALL,0TO99
917,696,2010,15071.05,ALL,ALL,ALL,0TO99
913,692,2010,8503.46,ALL,ALL,ALL,0TO99
920,694,2010,31319.87,ALL,ALL,ALL,0TO99
906,703,2010,12043.30,ALL,ALL,ALL,0TO99
908,703,2010,11854.38,ALL,ALL,ALL,0TO99
916,692,2010,32155.15,ALL,ALL,ALL,0TO99
915,694,2010,17842.36,ALL,ALL,ALL,0TO99
917,693,2010,42687.64,ALL,ALL,ALL,0TO99
923,694,2010,8388.08,ALL,ALL,ALL,0TO99
907,701,2010,13783.68,ALL,ALL,ALL,0TO99
916,697,2010,6292.79,ALL,ALL,ALL,0TO99
904,699,2010,78494.28,ALL,ALL,ALL,0TO99
915,698,2010,16657.85,ALL,ALL,ALL,0TO99
904,698,2010,65401.72,ALL,ALL,ALL,0TO99
920,692,2010,16221.46,ALL,ALL,ALL,0TO99
907,699,2010,34130.11,ALL,ALL,ALL,0TO99
919,696,2010,21409.88,ALL,ALL,ALL,0TO99
909,701,2010,14551.46,ALL,ALL,ALL,0TO99
907,703,2010,11722.26,ALL,ALL,ALL,0TO99
903,697,2010,91382.75,ALL,ALL,ALL,0TO99
909,700,2010,10477.82,ALL,ALL,ALL,0TO99
912,694,2010,30371.20,ALL,ALL,ALL,0TO99
