Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2304,649,D24HourMean,QuarterlyMean,Mean,15.88
2227,569,D24HourMean,QuarterlyMean,Mean,6.73
2262,599,D24HourMean,QuarterlyMean,Mean,5.03
2312,664,D24HourMean,QuarterlyMean,Mean,15.22
2308,656,D24HourMean,QuarterlyMean,Mean,14.63
2227,598,D24HourMean,QuarterlyMean,Mean,8.60
2228,600,D24HourMean,QuarterlyMean,Mean,8.81
2212,582,D24HourMean,QuarterlyMean,Mean,6.75
2280,616,D24HourMean,QuarterlyMean,Mean,15.92
2292,670,D24HourMean,QuarterlyMean,Mean,18.71
2277,634,D24HourMean,QuarterlyMean,Mean,16.23
2240,654,D24HourMean,QuarterlyMean,Mean,14.65
2292,655,D24HourMean,QuarterlyMean,Mean,17.91
2271,629,D24HourMean,QuarterlyMean,Mean,15.62
2276,625,D24HourMean,QuarterlyMean,Mean,4.30
2222,578,D24HourMean,QuarterlyMean,Mean,7.89
2253,656,D24HourMean,QuarterlyMean,Mean,18.10
2236,662,D24HourMean,QuarterlyMean,Mean,15.64
2226,562,D24HourMean,QuarterlyMean,Mean,7.15
2216,572,D24HourMean,QuarterlyMean,Mean,7.75
2290,626,D24HourMean,QuarterlyMean,Mean,15.03
2223,565,D24HourMean,QuarterlyMean,Mean,7.17
2266,614,D24HourMean,QuarterlyMean,Mean,7.90
2294,666,D24HourMean,QuarterlyMean,Mean,19.48
2279,635,D24HourMean,QuarterlyMean,Mean,15.59
2237,606,D24HourMean,QuarterlyMean,Mean,7.19
2273,606,D24HourMean,QuarterlyMean,Mean,7.26
2295,672,D24HourMean,QuarterlyMean,Mean,17.99
2266,655,D24HourMean,QuarterlyMean,Mean,17.89
2249,662,D24HourMean,QuarterlyMean,Mean,20.91
2217,578,D24HourMean,QuarterlyMean,Mean,5.64
2255,613,D24HourMean,QuarterlyMean,Mean,7.06
2274,602,D24HourMean,QuarterlyMean,Mean,8.32
2251,650,D24HourMean,QuarterlyMean,Mean,21.09
2276,650,D24HourMean,QuarterlyMean,Mean,17.16
2266,613,D24HourMean,QuarterlyMean,Mean,10.44
2298,674,D24HourMean,QuarterlyMean,Mean,13.35
2242,578,D24HourMean,QuarterlyMean,Mean,6.34
2278,604,D24HourMean,QuarterlyMean,Mean,7.87
2240,652,D24HourMean,QuarterlyMean,Mean,12.68
2215,558,D24HourMean,QuarterlyMean,Mean,7.68
2255,592,D24HourMean,QuarterlyMean,Mean,7.57
2278,636,D24HourMean,QuarterlyMean,Mean,16.00
2272,597,D24HourMean,QuarterlyMean,Mean,7.89
2214,587,D24HourMean,QuarterlyMean,Mean,5.82
2256,665,D24HourMean,QuarterlyMean,Mean,21.00
2269,624,D24HourMean,QuarterlyMean,Mean,16.16
2213,576,D24HourMean,QuarterlyMean,Mean,7.05
2280,614,D24HourMean,QuarterlyMean,Mean,13.48
2222,564,D24HourMean,QuarterlyMean,Mean,7.40
2298,647,D24HourMean,QuarterlyMean,Mean,15.65
2218,581,D24HourMean,QuarterlyMean,Mean,6.60
2284,652,D24HourMean,QuarterlyMean,Mean,17.58
2286,616,D24HourMean,QuarterlyMean,Mean,13.63
2213,574,D24HourMean,QuarterlyMean,Mean,7.57
2262,588,D24HourMean,QuarterlyMean,Mean,8.44
2229,567,D24HourMean,QuarterlyMean,Mean,6.30
2232,590,D24HourMean,QuarterlyMean,Mean,6.36
2271,641,D24HourMean,QuarterlyMean,Mean,13.32
2213,551,D24HourMean,QuarterlyMean,Mean,7.78
2249,601,D24HourMean,QuarterlyMean,Mean,7.62
2266,649,D24HourMean,QuarterlyMean,Mean,15.73
2268,614,D24HourMean,QuarterlyMean,Mean,3.86
2273,655,D24HourMean,QuarterlyMean,Mean,17.57
2272,658,D24HourMean,QuarterlyMean,Mean,17.14
2274,632,D24HourMean,QuarterlyMean,Mean,4.61
2263,590,D24HourMean,QuarterlyMean,Mean,7.80
2265,666,D24HourMean,QuarterlyMean,Mean,20.37
2234,566,D24HourMean,QuarterlyMean,Mean,7.24
