Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2304,649,2010,232.98,ALL,ALL,ALL,0TO99
2227,569,2010,2321.39,ALL,ALL,ALL,0TO99
2262,599,2010,854.95,ALL,ALL,ALL,0TO99
2312,664,2010,65.02,ALL,ALL,ALL,0TO99
2308,656,2010,225.73,ALL,ALL,ALL,0TO99
2227,598,2010,989.53,ALL,ALL,ALL,0TO99
2228,600,2010,989.29,ALL,ALL,ALL,0TO99
2212,582,2010,881.78,ALL,ALL,ALL,0TO99
2280,616,2010,134.55,ALL,ALL,ALL,0TO99
2292,670,2010,2590.32,ALL,ALL,ALL,0TO99
2277,634,2010,1426.88,ALL,ALL,ALL,0TO99
2240,654,2010,1945.80,ALL,ALL,ALL,0TO99
2292,655,2010,795.27,ALL,ALL,ALL,0TO99
2271,629,2010,3315.51,ALL,ALL,ALL,0TO99
2276,625,2010,1429.63,ALL,ALL,ALL,0TO99
2222,578,2010,2969.73,ALL,ALL,ALL,0TO99
2253,656,2010,620.84,ALL,ALL,ALL,0TO99
2236,662,2010,1486.53,ALL,ALL,ALL,0TO99
2226,562,2010,1249.97,ALL,ALL,ALL,0TO99
2216,572,2010,1737.74,ALL,ALL,ALL,0TO99
2290,626,2010,706.18,ALL,ALL,ALL,0TO99
2223,565,2010,1170.14,ALL,ALL,ALL,0TO99
2266,614,2010,359.05,ALL,ALL,ALL,0TO99
2294,666,2010,2593.81,ALL,ALL,ALL,0TO99
2279,635,2010,934.78,ALL,ALL,ALL,0TO99
2237,606,2010,1099.68,ALL,ALL,ALL,0TO99
2273,606,2010,502.07,ALL,ALL,ALL,0TO99
2295,672,2010,2585.28,ALL,ALL,ALL,0TO99
2266,655,2010,1679.32,ALL,ALL,ALL,0TO99
2249,662,2010,333.64,ALL,ALL,ALL,0TO99
2217,578,2010,2618.15,ALL,ALL,ALL,0TO99
2255,613,2010,1590.84,ALL,ALL,ALL,0TO99
2274,602,2010,801.52,ALL,ALL,ALL,0TO99
2251,650,2010,524.17,ALL,ALL,ALL,0TO99
2276,650,2010,946.04,ALL,ALL,ALL,0TO99
2266,613,2010,359.11,ALL,ALL,ALL,0TO99
2298,674,2010,253.29,ALL,ALL,ALL,0TO99
2242,578,2010,14663.27,ALL,ALL,ALL,0TO99
2278,604,2010,231.35,ALL,ALL,ALL,0TO99
2240,652,2010,1946.90,ALL,ALL,ALL,0TO99
2215,558,2010,25230.51,ALL,ALL,ALL,0TO99
2255,592,2010,2283.20,ALL,ALL,ALL,0TO99
2278,636,2010,858.82,ALL,ALL,ALL,0TO99
2272,597,2010,802.01,ALL,ALL,ALL,0TO99
2214,587,2010,811.21,ALL,ALL,ALL,0TO99
2256,665,2010,333.32,ALL,ALL,ALL,0TO99
2269,624,2010,1104.32,ALL,ALL,ALL,0TO99
2213,576,2010,886.01,ALL,ALL,ALL,0TO99
2280,614,2010,134.59,ALL,ALL,ALL,0TO99
2222,564,2010,1170.17,ALL,ALL,ALL,0TO99
2298,647,2010,797.07,ALL,ALL,ALL,0TO99
2218,581,2010,885.65,ALL,ALL,ALL,0TO99
2284,652,2010,1028.64,ALL,ALL,ALL,0TO99
2286,616,2010,134.55,ALL,ALL,ALL,0TO99
2213,574,2010,886.12,ALL,ALL,ALL,0TO99
2262,588,2010,536.52,ALL,ALL,ALL,0TO99
2229,567,2010,6326.71,ALL,ALL,ALL,0TO99
2232,590,2010,4938.87,ALL,ALL,ALL,0TO99
2271,641,2010,1665.85,ALL,ALL,ALL,0TO99
2213,551,2010,7057.54,ALL,ALL,ALL,0TO99
2249,601,2010,1611.65,ALL,ALL,ALL,0TO99
2266,649,2010,1698.80,ALL,ALL,ALL,0TO99
2268,614,2010,359.05,ALL,ALL,ALL,0TO99
2273,655,2010,264.00,ALL,ALL,ALL,0TO99
2272,658,2010,275.71,ALL,ALL,ALL,0TO99
2274,632,2010,3281.48,ALL,ALL,ALL,0TO99
2263,590,2010,536.42,ALL,ALL,ALL,0TO99
2265,666,2010,225.39,ALL,ALL,ALL,0TO99
2234,566,2010,6328.19,ALL,ALL,ALL,0TO99
2280,617,2010,134.52,ALL,ALL,ALL,0TO99
2284,667,2010,596.27,ALL,ALL,ALL,0TO99
2264,664,2010,275.20,ALL,ALL,ALL,0TO99
2237,607,2010,1099.52,ALL,ALL,ALL,0TO99
2281,661,2010,263.40,ALL,ALL,ALL,0TO99
2221,571,2010,1169.89,ALL,ALL,ALL,0TO99
2236,592,2010,4706.55,ALL,ALL,ALL,0TO99
2281,624,2010,134.35,ALL,ALL,ALL,0TO99
2295,635,2010,829.79,ALL,ALL,ALL,0TO99
2257,655,2010,1011.39,ALL,ALL,ALL,0TO99
2233,582,2010,2398.50,ALL,ALL,ALL,0TO99
2284,656,2010,263.80,ALL,ALL,ALL,0TO99
2308,657,2010,232.14,ALL,ALL,ALL,0TO99
2286,623,2010,134.37,ALL,ALL,ALL,0TO99
2224,573,2010,2091.76,ALL,ALL,ALL,0TO99
2242,603,2010,2249.85,ALL,ALL,ALL,0TO99
2273,646,2010,2255.06,ALL,ALL,ALL,0TO99
2279,622,2010,134.40,ALL,ALL,ALL,0TO99
2263,592,2010,536.32,ALL,ALL,ALL,0TO99
2254,607,2010,1662.24,ALL,ALL,ALL,0TO99
2235,602,2010,1930.61,ALL,ALL,ALL,0TO99
2280,608,2010,219.90,ALL,ALL,ALL,0TO99
2289,668,2010,855.01,ALL,ALL,ALL,0TO99
2248,600,2010,1546.74,ALL,ALL,ALL,0TO99
2274,652,2010,945.51,ALL,ALL,ALL,0TO99
2251,601,2010,989.61,ALL,ALL,ALL,0TO99
2254,611,2010,1661.24,ALL,ALL,ALL,0TO99
2264,621,2010,1380.35,ALL,ALL,ALL,0TO99
2291,644,2010,1623.93,ALL,ALL,ALL,0TO99
2221,594,2010,444.08,ALL,ALL,ALL,0TO99
