Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2024,992,D24HourMean,QuarterlyMean,Mean,13.83
2012,1010,D24HourMean,QuarterlyMean,Mean,16.42
2017,992,D24HourMean,QuarterlyMean,Mean,15.74
2000,1008,D24HourMean,QuarterlyMean,Mean,14.74
1996,997,D24HourMean,QuarterlyMean,Mean,11.62
2002,1014,D24HourMean,QuarterlyMean,Mean,15.10
2007,1007,D24HourMean,QuarterlyMean,Mean,16.62
2001,1000,D24HourMean,QuarterlyMean,Mean,11.36
1992,1016,D24HourMean,QuarterlyMean,Mean,13.60
2002,1018,D24HourMean,QuarterlyMean,Mean,14.29
2013,1007,D24HourMean,QuarterlyMean,Mean,16.91
2022,991,D24HourMean,QuarterlyMean,Mean,14.28
2025,989,D24HourMean,QuarterlyMean,Mean,12.66
2006,996,D24HourMean,QuarterlyMean,Mean,12.84
1998,1009,D24HourMean,QuarterlyMean,Mean,14.74
2011,1010,D24HourMean,QuarterlyMean,Mean,16.27
2014,989,D24HourMean,QuarterlyMean,Mean,13.27
2011,1012,D24HourMean,QuarterlyMean,Mean,16.26
2010,983,D24HourMean,QuarterlyMean,Mean,12.61
2007,1012,D24HourMean,QuarterlyMean,Mean,15.55
1994,1006,D24HourMean,QuarterlyMean,Mean,13.53
2017,989,D24HourMean,QuarterlyMean,Mean,14.63
2008,995,D24HourMean,QuarterlyMean,Mean,13.36
2017,1005,D24HourMean,QuarterlyMean,Mean,14.94
2025,1005,D24HourMean,QuarterlyMean,Mean,15.09
2017,993,D24HourMean,QuarterlyMean,Mean,15.91
2017,1002,D24HourMean,QuarterlyMean,Mean,14.01
2028,990,D24HourMean,QuarterlyMean,Mean,12.90
2006,993,D24HourMean,QuarterlyMean,Mean,12.71
2009,990,D24HourMean,QuarterlyMean,Mean,13.23
2005,1016,D24HourMean,QuarterlyMean,Mean,14.62
2016,993,D24HourMean,QuarterlyMean,Mean,14.88
2012,994,D24HourMean,QuarterlyMean,Mean,14.76
2000,1001,D24HourMean,QuarterlyMean,Mean,11.33
2012,992,D24HourMean,QuarterlyMean,Mean,13.41
2007,981,D24HourMean,QuarterlyMean,Mean,12.67
2021,994,D24HourMean,QuarterlyMean,Mean,14.55
2003,984,D24HourMean,QuarterlyMean,Mean,13.39
2006,1016,D24HourMean,QuarterlyMean,Mean,14.44
1994,994,D24HourMean,QuarterlyMean,Mean,10.69
2013,996,D24HourMean,QuarterlyMean,Mean,15.66
2008,1016,D24HourMean,QuarterlyMean,Mean,15.09
2015,993,D24HourMean,QuarterlyMean,Mean,14.82
2009,987,D24HourMean,QuarterlyMean,Mean,13.79
2015,1001,D24HourMean,QuarterlyMean,Mean,14.73
2016,983,D24HourMean,QuarterlyMean,Mean,13.07
1995,1001,D24HourMean,QuarterlyMean,Mean,9.79
1995,1004,D24HourMean,QuarterlyMean,Mean,11.26
2014,994,D24HourMean,QuarterlyMean,Mean,14.31
2000,1006,D24HourMean,QuarterlyMean,Mean,13.99
2013,988,D24HourMean,QuarterlyMean,Mean,13.40
2011,1004,D24HourMean,QuarterlyMean,Mean,16.74
2011,1009,D24HourMean,QuarterlyMean,Mean,15.87
2010,986,D24HourMean,QuarterlyMean,Mean,13.50
2018,1001,D24HourMean,QuarterlyMean,Mean,14.15
1998,1008,D24HourMean,QuarterlyMean,Mean,14.82
2003,992,D24HourMean,QuarterlyMean,Mean,11.07
2006,989,D24HourMean,QuarterlyMean,Mean,11.65
2007,1005,D24HourMean,QuarterlyMean,Mean,14.54
2016,999,D24HourMean,QuarterlyMean,Mean,15.00
2016,984,D24HourMean,QuarterlyMean,Mean,13.32
2008,992,D24HourMean,QuarterlyMean,Mean,13.19
2009,986,D24HourMean,QuarterlyMean,Mean,13.44
2018,1000,D24HourMean,QuarterlyMean,Mean,13.48
2016,990,D24HourMean,QuarterlyMean,Mean,14.43
2008,998,D24HourMean,QuarterlyMean,Mean,13.90
2012,996,D24HourMean,QuarterlyMean,Mean,15.49
2007,997,D24HourMean,QuarterlyMean,Mean,14.16
2005,992,D24HourMean,QuarterlyMean,Mean,11.93
2023,1001,D24HourMean,QuarterlyMean,Mean,14.91
2004,1016,D24HourMean,QuarterlyMean,Mean,14.60
1997,1005,D24HourMean,QuarterlyMean,Mean,12.41
2015,996,D24HourMean,QuarterlyMean,Mean,15.43
2015,988,D24HourMean,QuarterlyMean,Mean,12.65
1993,1005,D24HourMean,QuarterlyMean,Mean,12.76
1991,1018,D24HourMean,QuarterlyMean,Mean,13.06
2014,984,D24HourMean,QuarterlyMean,Mean,13.03
2010,987,D24HourMean,QuarterlyMean,Mean,14.21
2007,978,D24HourMean,QuarterlyMean,Mean,12.46
2026,1001,D24HourMean,QuarterlyMean,Mean,15.23
2009,994,D24HourMean,QuarterlyMean,Mean,12.76
2008,999,D24HourMean,QuarterlyMean,Mean,14.07
2005,1003,D24HourMean,QuarterlyMean,Mean,12.81
1998,1017,D24HourMean,QuarterlyMean,Mean,13.27
2018,983,D24HourMean,QuarterlyMean,Mean,13.70
2018,987,D24HourMean,QuarterlyMean,Mean,13.30
2005,993,D24HourMean,QuarterlyMean,Mean,12.31
1995,1018,D24HourMean,QuarterlyMean,Mean,12.62
2000,991,D24HourMean,QuarterlyMean,Mean,11.23
2002,1016,D24HourMean,QuarterlyMean,Mean,14.77
2005,1009,D24HourMean,QuarterlyMean,Mean,16.49
2002,999,D24HourMean,QuarterlyMean,Mean,11.42
2012,986,D24HourMean,QuarterlyMean,Mean,13.90
2017,988,D24HourMean,QuarterlyMean,Mean,13.52
2021,984,D24HourMean,QuarterlyMean,Mean,13.19
2025,1003,D24HourMean,QuarterlyMean,Mean,15.48
1998,991,D24HourMean,QuarterlyMean,Mean,11.31
1995,994,D24HourMean,QuarterlyMean,Mean,11.05
2010,1003,D24HourMean,QuarterlyMean,Mean,15.65
2003,997,D24HourMean,QuarterlyMean,Mean,11.46
2006,985,D24HourMean,QuarterlyMean,Mean,13.46
2024,997,D24HourMean,QuarterlyMean,Mean,14.49
2011,1005,D24HourMean,QuarterlyMean,Mean,16.94
1994,1011,D24HourMean,QuarterlyMean,Mean,13.89
2006,997,D24HourMean,QuarterlyMean,Mean,13.68
2009,992,D24HourMean,QuarterlyMean,Mean,12.90
2010,1008,D24HourMean,QuarterlyMean,Mean,16.06
1998,1000,D24HourMean,QuarterlyMean,Mean,10.16
1998,1003,D24HourMean,QuarterlyMean,Mean,11.36
2002,1013,D24HourMean,QuarterlyMean,Mean,15.42
1993,1010,D24HourMean,QuarterlyMean,Mean,13.94
2021,991,D24HourMean,QuarterlyMean,Mean,14.66
2025,991,D24HourMean,QuarterlyMean,Mean,13.49
2007,986,D24HourMean,QuarterlyMean,Mean,13.59
2017,994,D24HourMean,QuarterlyMean,Mean,15.66
1996,1011,D24HourMean,QuarterlyMean,Mean,14.65
2025,987,D24HourMean,QuarterlyMean,Mean,12.37
2004,1010,D24HourMean,QuarterlyMean,Mean,15.94
1996,1009,D24HourMean,QuarterlyMean,Mean,15.13
1997,992,D24HourMean,QuarterlyMean,Mean,11.24
2019,994,D24HourMean,QuarterlyMean,Mean,15.64
2016,985,D24HourMean,QuarterlyMean,Mean,12.96
2001,1014,D24HourMean,QuarterlyMean,Mean,14.50
1996,992,D24HourMean,QuarterlyMean,Mean,11.15
2013,995,D24HourMean,QuarterlyMean,Mean,15.48
1991,1014,D24HourMean,QuarterlyMean,Mean,14.62
1997,1009,D24HourMean,QuarterlyMean,Mean,14.88
2015,998,D24HourMean,QuarterlyMean,Mean,15.83
2001,1017,D24HourMean,QuarterlyMean,Mean,13.68
2006,1010,D24HourMean,QuarterlyMean,Mean,15.65
2018,985,D24HourMean,QuarterlyMean,Mean,13.55
2010,1011,D24HourMean,QuarterlyMean,Mean,16.24
2001,1005,D24HourMean,QuarterlyMean,Mean,13.68
2015,1004,D24HourMean,QuarterlyMean,Mean,15.41
2010,985,D24HourMean,QuarterlyMean,Mean,13.21
1995,1011,D24HourMean,QuarterlyMean,Mean,14.12
1993,1011,D24HourMean,QuarterlyMean,Mean,13.75
2001,994,D24HourMean,QuarterlyMean,Mean,10.69
2008,990,D24HourMean,QuarterlyMean,Mean,12.93
1994,1009,D24HourMean,QuarterlyMean,Mean,14.65
2009,991,D24HourMean,QuarterlyMean,Mean,12.85
2023,994,D24HourMean,QuarterlyMean,Mean,13.95
1998,1020,D24HourMean,QuarterlyMean,Mean,13.01
2013,989,D24HourMean,QuarterlyMean,Mean,13.28
2011,998,D24HourMean,QuarterlyMean,Mean,14.48
2010,993,D24HourMean,QuarterlyMean,Mean,13.41
2014,1008,D24HourMean,QuarterlyMean,Mean,16.81
2007,987,D24HourMean,QuarterlyMean,Mean,13.76
2022,983,D24HourMean,QuarterlyMean,Mean,12.40
2009,998,D24HourMean,QuarterlyMean,Mean,13.75
2012,997,D24HourMean,QuarterlyMean,Mean,14.85
2003,1012,D24HourMean,QuarterlyMean,Mean,15.72
2019,998,D24HourMean,QuarterlyMean,Mean,14.34
1995,1012,D24HourMean,QuarterlyMean,Mean,14.22
2015,994,D24HourMean,QuarterlyMean,Mean,14.90
2005,1015,D24HourMean,QuarterlyMean,Mean,14.86
2013,1006,D24HourMean,QuarterlyMean,Mean,16.51
2004,1017,D24HourMean,QuarterlyMean,Mean,14.32
2012,982,D24HourMean,QuarterlyMean,Mean,13.31
2006,1015,D24HourMean,QuarterlyMean,Mean,14.83
2014,1011,D24HourMean,QuarterlyMean,Mean,16.40
2014,999,D24HourMean,QuarterlyMean,Mean,16.15
2014,982,D24HourMean,QuarterlyMean,Mean,13.20
2020,987,D24HourMean,QuarterlyMean,Mean,13.62
1994,1018,D24HourMean,QuarterlyMean,Mean,12.84
2023,985,D24HourMean,QuarterlyMean,Mean,12.93
2010,989,D24HourMean,QuarterlyMean,Mean,13.44
2028,991,D24HourMean,QuarterlyMean,Mean,12.74
2023,996,D24HourMean,QuarterlyMean,Mean,14.49
1993,1019,D24HourMean,QuarterlyMean,Mean,12.88
1994,1019,D24HourMean,QuarterlyMean,Mean,12.78
2002,1020,D24HourMean,QuarterlyMean,Mean,14.27
2018,994,D24HourMean,QuarterlyMean,Mean,15.94
2004,998,D24HourMean,QuarterlyMean,Mean,13.35
2003,991,D24HourMean,QuarterlyMean,Mean,11.05
2007,1017,D24HourMean,QuarterlyMean,Mean,14.44
1997,1015,D24HourMean,QuarterlyMean,Mean,14.01
2026,993,D24HourMean,QuarterlyMean,Mean,12.70
2004,997,D24HourMean,QuarterlyMean,Mean,12.11
2003,1011,D24HourMean,QuarterlyMean,Mean,15.32
2022,999,D24HourMean,QuarterlyMean,Mean,15.50
2002,1012,D24HourMean,QuarterlyMean,Mean,15.25
2027,993,D24HourMean,QuarterlyMean,Mean,12.74
2007,992,D24HourMean,QuarterlyMean,Mean,12.79
2028,993,D24HourMean,QuarterlyMean,Mean,12.37
2000,998,D24HourMean,QuarterlyMean,Mean,11.76
1997,1004,D24HourMean,QuarterlyMean,Mean,11.43
2021,1001,D24HourMean,QuarterlyMean,Mean,14.75
2025,1002,D24HourMean,QuarterlyMean,Mean,15.26
2001,1004,D24HourMean,QuarterlyMean,Mean,13.33
2009,981,D24HourMean,QuarterlyMean,Mean,12.69
2014,988,D24HourMean,QuarterlyMean,Mean,13.20
2004,984,D24HourMean,QuarterlyMean,Mean,13.24
2004,983,D24HourMean,QuarterlyMean,Mean,13.74
1997,994,D24HourMean,QuarterlyMean,Mean,11.30
2001,996,D24HourMean,QuarterlyMean,Mean,10.80
2013,1010,D24HourMean,QuarterlyMean,Mean,16.51
1993,995,D24HourMean,QuarterlyMean,Mean,10.56
2014,997,D24HourMean,QuarterlyMean,Mean,15.78
2013,982,D24HourMean,QuarterlyMean,Mean,13.10
2018,991,D24HourMean,QuarterlyMean,Mean,15.62
2006,1008,D24HourMean,QuarterlyMean,Mean,17.34
1996,998,D24HourMean,QuarterlyMean,Mean,11.76
2003,999,D24HourMean,QuarterlyMean,Mean,12.07
2010,1000,D24HourMean,QuarterlyMean,Mean,14.85
2017,1004,D24HourMean,QuarterlyMean,Mean,14.33
1994,1015,D24HourMean,QuarterlyMean,Mean,13.03
2001,1002,D24HourMean,QuarterlyMean,Mean,11.75
1993,1014,D24HourMean,QuarterlyMean,Mean,13.58
2007,1003,D24HourMean,QuarterlyMean,Mean,13.75
2000,1014,D24HourMean,QuarterlyMean,Mean,14.38
2000,997,D24HourMean,QuarterlyMean,Mean,11.24
2023,992,D24HourMean,QuarterlyMean,Mean,13.90
2004,1014,D24HourMean,QuarterlyMean,Mean,14.53
2008,993,D24HourMean,QuarterlyMean,Mean,12.82
2024,1000,D24HourMean,QuarterlyMean,Mean,15.11
2023,983,D24HourMean,QuarterlyMean,Mean,12.35
1999,992,D24HourMean,QuarterlyMean,Mean,11.68
1999,1019,D24HourMean,QuarterlyMean,Mean,12.99
2016,994,D24HourMean,QuarterlyMean,Mean,15.20
2023,1003,D24HourMean,QuarterlyMean,Mean,14.96
1993,1016,D24HourMean,QuarterlyMean,Mean,13.26
1998,994,D24HourMean,QuarterlyMean,Mean,11.24
2009,1009,D24HourMean,QuarterlyMean,Mean,15.79
2006,982,D24HourMean,QuarterlyMean,Mean,13.42
2027,990,D24HourMean,QuarterlyMean,Mean,12.83
2026,1005,D24HourMean,QuarterlyMean,Mean,15.67
