Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2024,992,2010,9078.17,ALL,ALL,ALL,0TO99
2012,1010,2010,7563.16,ALL,ALL,ALL,0TO99
2017,992,2010,9078.17,ALL,ALL,ALL,0TO99
2000,1008,2010,7589.72,ALL,ALL,ALL,0TO99
1996,997,2010,8951.17,ALL,ALL,ALL,0TO99
2002,1014,2010,7510.61,ALL,ALL,ALL,0TO99
2007,1007,2010,8334.95,ALL,ALL,ALL,0TO99
2001,1000,2010,8957.71,ALL,ALL,ALL,0TO99
1992,1016,2010,7483.74,ALL,ALL,ALL,0TO99
2002,1018,2010,7456.79,ALL,ALL,ALL,0TO99
2013,1007,2010,8589.86,ALL,ALL,ALL,0TO99
2022,991,2010,9093.15,ALL,ALL,ALL,0TO99
2025,989,2010,9123.06,ALL,ALL,ALL,0TO99
2006,996,2010,9018.41,ALL,ALL,ALL,0TO99
1998,1009,2010,7713.03,ALL,ALL,ALL,0TO99
2011,1010,2010,7563.16,ALL,ALL,ALL,0TO99
2014,989,2010,9367.14,ALL,ALL,ALL,0TO99
2011,1012,2010,7396.49,ALL,ALL,ALL,0TO99
2010,983,2010,21589.38,ALL,ALL,ALL,0TO99
2007,1012,2010,7536.92,ALL,ALL,ALL,0TO99
1994,1006,2010,8823.87,ALL,ALL,ALL,0TO99
2017,989,2010,9123.06,ALL,ALL,ALL,0TO99
2008,995,2010,9033.01,ALL,ALL,ALL,0TO99
2017,1005,2010,8881.75,ALL,ALL,ALL,0TO99
2025,1005,2010,8881.75,ALL,ALL,ALL,0TO99
2017,993,2010,9063.15,ALL,ALL,ALL,0TO99
2017,1002,2010,8927.73,ALL,ALL,ALL,0TO99
2028,990,2010,9107.59,ALL,ALL,ALL,0TO99
2006,993,2010,9063.15,ALL,ALL,ALL,0TO99
2009,990,2010,21346.80,ALL,ALL,ALL,0TO99
2005,1016,2010,7483.74,ALL,ALL,ALL,0TO99
2016,993,2010,9063.15,ALL,ALL,ALL,0TO99
2012,994,2010,9048.62,ALL,ALL,ALL,0TO99
2000,1001,2010,8943.01,ALL,ALL,ALL,0TO99
2012,992,2010,9078.17,ALL,ALL,ALL,0TO99
2007,981,2010,21658.45,ALL,ALL,ALL,0TO99
2021,994,2010,9048.62,ALL,ALL,ALL,0TO99
2003,984,2010,17837.63,ALL,ALL,ALL,0TO99
2006,1016,2010,7483.74,ALL,ALL,ALL,0TO99
1994,994,2010,8187.49,ALL,ALL,ALL,0TO99
2013,996,2010,9018.41,ALL,ALL,ALL,0TO99
2008,1016,2010,6928.99,ALL,ALL,ALL,0TO99
2015,993,2010,9063.15,ALL,ALL,ALL,0TO99
2009,987,2010,21451.63,ALL,ALL,ALL,0TO99
2015,1001,2010,8943.01,ALL,ALL,ALL,0TO99
2016,983,2010,21589.38,ALL,ALL,ALL,0TO99
1995,1001,2010,7721.51,ALL,ALL,ALL,0TO99
1995,1004,2010,8897.63,ALL,ALL,ALL,0TO99
2014,994,2010,9048.62,ALL,ALL,ALL,0TO99
2000,1006,2010,8541.52,ALL,ALL,ALL,0TO99
2013,988,2010,21124.15,ALL,ALL,ALL,0TO99
2011,1004,2010,8897.63,ALL,ALL,ALL,0TO99
2011,1009,2010,7576.91,ALL,ALL,ALL,0TO99
2010,986,2010,21486.48,ALL,ALL,ALL,0TO99
2018,1001,2010,8943.01,ALL,ALL,ALL,0TO99
1998,1008,2010,8122.28,ALL,ALL,ALL,0TO99
2003,992,2010,9078.17,ALL,ALL,ALL,0TO99
2006,989,2010,17947.91,ALL,ALL,ALL,0TO99
2007,1005,2010,8881.75,ALL,ALL,ALL,0TO99
2016,999,2010,8973.46,ALL,ALL,ALL,0TO99
2016,984,2010,21555.92,ALL,ALL,ALL,0TO99
2008,992,2010,13946.86,ALL,ALL,ALL,0TO99
2009,986,2010,21486.48,ALL,ALL,ALL,0TO99
2018,1000,2010,8957.71,ALL,ALL,ALL,0TO99
2016,990,2010,9107.59,ALL,ALL,ALL,0TO99
2008,998,2010,8988.12,ALL,ALL,ALL,0TO99
2012,996,2010,9018.41,ALL,ALL,ALL,0TO99
2007,997,2010,9003.27,ALL,ALL,ALL,0TO99
2005,992,2010,9078.17,ALL,ALL,ALL,0TO99
2023,1001,2010,8943.01,ALL,ALL,ALL,0TO99
2004,1016,2010,7483.74,ALL,ALL,ALL,0TO99
1997,1005,2010,8881.75,ALL,ALL,ALL,0TO99
2015,996,2010,9018.41,ALL,ALL,ALL,0TO99
2015,988,2010,12876.63,ALL,ALL,ALL,0TO99
1993,1005,2010,8712.87,ALL,ALL,ALL,0TO99
1991,1018,2010,7456.79,ALL,ALL,ALL,0TO99
2014,984,2010,21555.92,ALL,ALL,ALL,0TO99
2010,987,2010,21451.63,ALL,ALL,ALL,0TO99
2007,978,2010,8155.12,ALL,ALL,ALL,0TO99
2026,1001,2010,8821.33,ALL,ALL,ALL,0TO99
2009,994,2010,9048.62,ALL,ALL,ALL,0TO99
2008,999,2010,8973.46,ALL,ALL,ALL,0TO99
2005,1003,2010,8912.43,ALL,ALL,ALL,0TO99
1998,1017,2010,7470.29,ALL,ALL,ALL,0TO99
2018,983,2010,9491.12,ALL,ALL,ALL,0TO99
2018,987,2010,9619.11,ALL,ALL,ALL,0TO99
2005,993,2010,9063.15,ALL,ALL,ALL,0TO99
1995,1018,2010,7456.79,ALL,ALL,ALL,0TO99
2000,991,2010,8580.43,ALL,ALL,ALL,0TO99
2002,1016,2010,7483.74,ALL,ALL,ALL,0TO99
2005,1009,2010,8819.34,ALL,ALL,ALL,0TO99
2002,999,2010,8973.46,ALL,ALL,ALL,0TO99
2012,986,2010,21486.48,ALL,ALL,ALL,0TO99
2017,988,2010,9137.46,ALL,ALL,ALL,0TO99
2021,984,2010,9196.82,ALL,ALL,ALL,0TO99
2025,1003,2010,8846.82,ALL,ALL,ALL,0TO99
1998,991,2010,6518.57,ALL,ALL,ALL,0TO99
1995,994,2010,8990.05,ALL,ALL,ALL,0TO99
2010,1003,2010,8912.43,ALL,ALL,ALL,0TO99
2003,997,2010,9003.27,ALL,ALL,ALL,0TO99
2006,985,2010,21520.05,ALL,ALL,ALL,0TO99
2024,997,2010,7745.72,ALL,ALL,ALL,0TO99
2011,1005,2010,8881.75,ALL,ALL,ALL,0TO99
1994,1011,2010,6248.35,ALL,ALL,ALL,0TO99
2006,997,2010,9003.27,ALL,ALL,ALL,0TO99
2009,992,2010,13843.15,ALL,ALL,ALL,0TO99
2010,1008,2010,7589.72,ALL,ALL,ALL,0TO99
1998,1000,2010,8957.71,ALL,ALL,ALL,0TO99
1998,1003,2010,8912.43,ALL,ALL,ALL,0TO99
2002,1013,2010,7523.55,ALL,ALL,ALL,0TO99
