Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2148,618,D24HourMean,QuarterlyMean,Mean,8.86
2110,600,D24HourMean,QuarterlyMean,Mean,12.75
2064,631,D24HourMean,QuarterlyMean,Mean,16.37
2118,607,D24HourMean,QuarterlyMean,Mean,11.82
2067,636,D24HourMean,QuarterlyMean,Mean,15.91
2100,604,D24HourMean,QuarterlyMean,Mean,12.18
2057,651,D24HourMean,QuarterlyMean,Mean,18.58
2116,607,D24HourMean,QuarterlyMean,Mean,11.10
2064,625,D24HourMean,QuarterlyMean,Mean,15.85
2117,625,D24HourMean,QuarterlyMean,Mean,11.69
2105,655,D24HourMean,QuarterlyMean,Mean,15.82
2076,633,D24HourMean,QuarterlyMean,Mean,15.62
2094,624,D24HourMean,QuarterlyMean,Mean,14.35
2091,625,D24HourMean,QuarterlyMean,Mean,14.55
2127,637,D24HourMean,QuarterlyMean,Mean,14.35
2095,650,D24HourMean,QuarterlyMean,Mean,17.55
2101,605,D24HourMean,QuarterlyMean,Mean,12.06
2088,621,D24HourMean,QuarterlyMean,Mean,14.48
2095,647,D24HourMean,QuarterlyMean,Mean,16.90
2132,605,D24HourMean,QuarterlyMean,Mean,10.83
2148,616,D24HourMean,QuarterlyMean,Mean,8.11
2052,660,D24HourMean,QuarterlyMean,Mean,20.80
2131,634,D24HourMean,QuarterlyMean,Mean,14.20
2095,636,D24HourMean,QuarterlyMean,Mean,14.74
2118,644,D24HourMean,QuarterlyMean,Mean,15.21
2068,638,D24HourMean,QuarterlyMean,Mean,15.72
2143,620,D24HourMean,QuarterlyMean,Mean,11.15
2130,673,D24HourMean,QuarterlyMean,Mean,15.29
2104,627,D24HourMean,QuarterlyMean,Mean,14.46
2089,625,D24HourMean,QuarterlyMean,Mean,14.51
2089,608,D24HourMean,QuarterlyMean,Mean,13.07
2080,627,D24HourMean,QuarterlyMean,Mean,15.49
2072,654,D24HourMean,QuarterlyMean,Mean,17.78
2101,662,D24HourMean,QuarterlyMean,Mean,17.49
2093,642,D24HourMean,QuarterlyMean,Mean,15.82
2102,602,D24HourMean,QuarterlyMean,Mean,12.93
2146,621,D24HourMean,QuarterlyMean,Mean,10.10
2089,620,D24HourMean,QuarterlyMean,Mean,14.07
2083,617,D24HourMean,QuarterlyMean,Mean,14.02
2054,647,D24HourMean,QuarterlyMean,Mean,17.58
2099,619,D24HourMean,QuarterlyMean,Mean,13.03
2130,634,D24HourMean,QuarterlyMean,Mean,14.50
2056,645,D24HourMean,QuarterlyMean,Mean,16.59
2141,610,D24HourMean,QuarterlyMean,Mean,10.30
2073,633,D24HourMean,QuarterlyMean,Mean,15.22
2155,612,D24HourMean,QuarterlyMean,Mean,10.37
2102,630,D24HourMean,QuarterlyMean,Mean,14.26
2083,640,D24HourMean,QuarterlyMean,Mean,16.13
2094,642,D24HourMean,QuarterlyMean,Mean,16.21
2088,632,D24HourMean,QuarterlyMean,Mean,16.67
2127,623,D24HourMean,QuarterlyMean,Mean,12.63
2132,662,D24HourMean,QuarterlyMean,Mean,15.01
2060,660,D24HourMean,QuarterlyMean,Mean,19.61
2131,676,D24HourMean,QuarterlyMean,Mean,15.39
2095,639,D24HourMean,QuarterlyMean,Mean,16.34
2107,655,D24HourMean,QuarterlyMean,Mean,16.60
2054,657,D24HourMean,QuarterlyMean,Mean,19.13
2110,647,D24HourMean,QuarterlyMean,Mean,14.79
2122,642,D24HourMean,QuarterlyMean,Mean,15.17
2051,661,D24HourMean,QuarterlyMean,Mean,20.26
2113,610,D24HourMean,QuarterlyMean,Mean,11.57
2078,627,D24HourMean,QuarterlyMean,Mean,15.62
2081,614,D24HourMean,QuarterlyMean,Mean,13.58
2055,657,D24HourMean,QuarterlyMean,Mean,18.93
2069,629,D24HourMean,QuarterlyMean,Mean,15.40
2107,653,D24HourMean,QuarterlyMean,Mean,16.36
2098,660,D24HourMean,QuarterlyMean,Mean,17.86
2137,601,D24HourMean,QuarterlyMean,Mean,9.24
2056,635,D24HourMean,QuarterlyMean,Mean,15.34
2122,613,D24HourMean,QuarterlyMean,Mean,11.82
2114,616,D24HourMean,QuarterlyMean,Mean,12.23
2158,610,D24HourMean,QuarterlyMean,Mean,9.77
2102,626,D24HourMean,QuarterlyMean,Mean,13.82
2050,640,D24HourMean,QuarterlyMean,Mean,17.60
2134,598,D24HourMean,QuarterlyMean,Mean,10.11
2057,654,D24HourMean,QuarterlyMean,Mean,18.51
2124,642,D24HourMean,QuarterlyMean,Mean,15.36
2059,647,D24HourMean,QuarterlyMean,Mean,16.65
2126,628,D24HourMean,QuarterlyMean,Mean,12.45
2149,618,D24HourMean,QuarterlyMean,Mean,8.93
2121,620,D24HourMean,QuarterlyMean,Mean,11.99
2112,616,D24HourMean,QuarterlyMean,Mean,12.21
2124,622,D24HourMean,QuarterlyMean,Mean,12.36
2076,653,D24HourMean,QuarterlyMean,Mean,17.00
2059,641,D24HourMean,QuarterlyMean,Mean,15.62
2113,624,D24HourMean,QuarterlyMean,Mean,13.40
2087,613,D24HourMean,QuarterlyMean,Mean,16.96
2103,624,D24HourMean,QuarterlyMean,Mean,13.80
2147,622,D24HourMean,QuarterlyMean,Mean,10.22
2139,648,D24HourMean,QuarterlyMean,Mean,15.17
2090,619,D24HourMean,QuarterlyMean,Mean,13.92
2118,651,D24HourMean,QuarterlyMean,Mean,14.41
2108,634,D24HourMean,QuarterlyMean,Mean,14.66
2102,629,D24HourMean,QuarterlyMean,Mean,14.41
2111,652,D24HourMean,QuarterlyMean,Mean,17.00
2091,607,D24HourMean,QuarterlyMean,Mean,13.53
2110,620,D24HourMean,QuarterlyMean,Mean,12.88
2097,622,D24HourMean,QuarterlyMean,Mean,13.77
2106,646,D24HourMean,QuarterlyMean,Mean,14.30
2062,659,D24HourMean,QuarterlyMean,Mean,18.74
2112,644,D24HourMean,QuarterlyMean,Mean,15.26
2059,631,D24HourMean,QuarterlyMean,Mean,15.47
2052,659,D24HourMean,QuarterlyMean,Mean,19.61
2144,623,D24HourMean,QuarterlyMean,Mean,11.13
2141,621,D24HourMean,QuarterlyMean,Mean,11.51
2137,636,D24HourMean,QuarterlyMean,Mean,14.15
2095,648,D24HourMean,QuarterlyMean,Mean,16.55
2090,634,D24HourMean,QuarterlyMean,Mean,14.91
2144,628,D24HourMean,QuarterlyMean,Mean,12.25
2137,659,D24HourMean,QuarterlyMean,Mean,15.32
2050,653,D24HourMean,QuarterlyMean,Mean,18.75
2115,632,D24HourMean,QuarterlyMean,Mean,15.11
2124,659,D24HourMean,QuarterlyMean,Mean,15.40
2089,651,D24HourMean,QuarterlyMean,Mean,16.82
2103,621,D24HourMean,QuarterlyMean,Mean,13.37
2075,651,D24HourMean,QuarterlyMean,Mean,16.87
2123,665,D24HourMean,QuarterlyMean,Mean,15.24
2118,627,D24HourMean,QuarterlyMean,Mean,12.63
2126,669,D24HourMean,QuarterlyMean,Mean,15.19
2129,598,D24HourMean,QuarterlyMean,Mean,11.27
2122,611,D24HourMean,QuarterlyMean,Mean,11.76
2134,646,D24HourMean,QuarterlyMean,Mean,15.26
2112,615,D24HourMean,QuarterlyMean,Mean,12.78
2111,607,D24HourMean,QuarterlyMean,Mean,12.18
2136,652,D24HourMean,QuarterlyMean,Mean,15.50
2102,605,D24HourMean,QuarterlyMean,Mean,12.03
2077,646,D24HourMean,QuarterlyMean,Mean,15.91
2110,627,D24HourMean,QuarterlyMean,Mean,13.57
2086,650,D24HourMean,QuarterlyMean,Mean,17.37
2125,643,D24HourMean,QuarterlyMean,Mean,16.11
2116,633,D24HourMean,QuarterlyMean,Mean,13.28
2076,650,D24HourMean,QuarterlyMean,Mean,16.52
2118,657,D24HourMean,QuarterlyMean,Mean,15.75
2130,607,D24HourMean,QuarterlyMean,Mean,11.11
2099,615,D24HourMean,QuarterlyMean,Mean,12.43
2126,603,D24HourMean,QuarterlyMean,Mean,11.30
2063,631,D24HourMean,QuarterlyMean,Mean,16.28
2144,619,D24HourMean,QuarterlyMean,Mean,10.35
2125,645,D24HourMean,QuarterlyMean,Mean,15.26
2068,620,D24HourMean,QuarterlyMean,Mean,13.32
2060,638,D24HourMean,QuarterlyMean,Mean,16.41
2123,625,D24HourMean,QuarterlyMean,Mean,12.04
2095,615,D24HourMean,QuarterlyMean,Mean,14.40
2097,615,D24HourMean,QuarterlyMean,Mean,13.75
2132,602,D24HourMean,QuarterlyMean,Mean,10.18
2069,646,D24HourMean,QuarterlyMean,Mean,15.73
2121,596,D24HourMean,QuarterlyMean,Mean,12.30
2110,655,D24HourMean,QuarterlyMean,Mean,16.26
2118,614,D24HourMean,QuarterlyMean,Mean,12.30
2128,659,D24HourMean,QuarterlyMean,Mean,15.06
2081,645,D24HourMean,QuarterlyMean,Mean,17.05
2128,625,D24HourMean,QuarterlyMean,Mean,12.88
2073,651,D24HourMean,QuarterlyMean,Mean,17.53
2077,627,D24HourMean,QuarterlyMean,Mean,15.32
2127,611,D24HourMean,QuarterlyMean,Mean,11.84
2081,607,D24HourMean,QuarterlyMean,Mean,12.63
2063,637,D24HourMean,QuarterlyMean,Mean,16.41
2102,637,D24HourMean,QuarterlyMean,Mean,14.35
2097,632,D24HourMean,QuarterlyMean,Mean,15.37
2105,641,D24HourMean,QuarterlyMean,Mean,14.60
2078,612,D24HourMean,QuarterlyMean,Mean,13.22
2113,613,D24HourMean,QuarterlyMean,Mean,12.61
2120,657,D24HourMean,QuarterlyMean,Mean,15.12
2106,605,D24HourMean,QuarterlyMean,Mean,12.51
2120,640,D24HourMean,QuarterlyMean,Mean,14.45
2083,603,D24HourMean,QuarterlyMean,Mean,13.07
2108,618,D24HourMean,QuarterlyMean,Mean,12.85
2148,606,D24HourMean,QuarterlyMean,Mean,9.79
2103,622,D24HourMean,QuarterlyMean,Mean,13.67
2109,643,D24HourMean,QuarterlyMean,Mean,14.31
2059,636,D24HourMean,QuarterlyMean,Mean,15.49
2088,619,D24HourMean,QuarterlyMean,Mean,14.53
2150,619,D24HourMean,QuarterlyMean,Mean,9.53
2129,644,D24HourMean,QuarterlyMean,Mean,15.22
2109,652,D24HourMean,QuarterlyMean,Mean,16.16
2099,660,D24HourMean,QuarterlyMean,Mean,17.22
2136,621,D24HourMean,QuarterlyMean,Mean,11.59
2129,619,D24HourMean,QuarterlyMean,Mean,11.72
2112,643,D24HourMean,QuarterlyMean,Mean,15.21
2123,606,D24HourMean,QuarterlyMean,Mean,11.32
2096,632,D24HourMean,QuarterlyMean,Mean,15.52
2115,641,D24HourMean,QuarterlyMean,Mean,15.45
2090,633,D24HourMean,QuarterlyMean,Mean,16.10
2137,658,D24HourMean,QuarterlyMean,Mean,15.36
2137,606,D24HourMean,QuarterlyMean,Mean,9.20
2077,624,D24HourMean,QuarterlyMean,Mean,15.73
2075,642,D24HourMean,QuarterlyMean,Mean,15.87
2136,601,D24HourMean,QuarterlyMean,Mean,9.43
2104,628,D24HourMean,QuarterlyMean,Mean,14.86
2096,629,D24HourMean,QuarterlyMean,Mean,14.88
2081,641,D24HourMean,QuarterlyMean,Mean,16.31
2089,649,D24HourMean,QuarterlyMean,Mean,15.91
2104,648,D24HourMean,QuarterlyMean,Mean,15.93
2106,636,D24HourMean,QuarterlyMean,Mean,15.47
2056,643,D24HourMean,QuarterlyMean,Mean,16.49
2127,625,D24HourMean,QuarterlyMean,Mean,13.48
2090,613,D24HourMean,QuarterlyMean,Mean,13.60
2093,626,D24HourMean,QuarterlyMean,Mean,15.34
2121,606,D24HourMean,QuarterlyMean,Mean,11.86
2100,617,D24HourMean,QuarterlyMean,Mean,13.83
2133,669,D24HourMean,QuarterlyMean,Mean,14.53
2131,681,D24HourMean,QuarterlyMean,Mean,15.45
2101,616,D24HourMean,QuarterlyMean,Mean,13.70
2157,611,D24HourMean,QuarterlyMean,Mean,10.45
