Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2148,618,2010,650.16,ALL,ALL,ALL,0TO99
2110,600,2010,3853.95,ALL,ALL,ALL,0TO99
2064,631,2010,152.04,ALL,ALL,ALL,0TO99
2118,607,2010,930.91,ALL,ALL,ALL,0TO99
2067,636,2010,741.95,ALL,ALL,ALL,0TO99
2100,604,2010,414.45,ALL,ALL,ALL,0TO99
2057,651,2010,151.28,ALL,ALL,ALL,0TO99
2116,607,2010,930.91,ALL,ALL,ALL,0TO99
2064,625,2010,300.86,ALL,ALL,ALL,0TO99
2117,625,2010,2508.52,ALL,ALL,ALL,0TO99
2105,655,2010,2408.58,ALL,ALL,ALL,0TO99
2076,633,2010,929.78,ALL,ALL,ALL,0TO99
2094,624,2010,2419.02,ALL,ALL,ALL,0TO99
2091,625,2010,2418.52,ALL,ALL,ALL,0TO99
2127,637,2010,2230.91,ALL,ALL,ALL,0TO99
2095,650,2010,2412.02,ALL,ALL,ALL,0TO99
2101,605,2010,383.85,ALL,ALL,ALL,0TO99
2088,621,2010,2415.91,ALL,ALL,ALL,0TO99
2095,647,2010,2414.01,ALL,ALL,ALL,0TO99
2132,605,2010,889.92,ALL,ALL,ALL,0TO99
2148,616,2010,881.48,ALL,ALL,ALL,0TO99
2052,660,2010,150.88,ALL,ALL,ALL,0TO99
2131,634,2010,568.22,ALL,ALL,ALL,0TO99
2095,636,2010,2412.76,ALL,ALL,ALL,0TO99
2118,644,2010,1829.21,ALL,ALL,ALL,0TO99
2068,638,2010,937.25,ALL,ALL,ALL,0TO99
2143,620,2010,569.86,ALL,ALL,ALL,0TO99
2130,673,2010,1252.21,ALL,ALL,ALL,0TO99
2104,627,2010,2550.61,ALL,ALL,ALL,0TO99
2089,625,2010,2423.97,ALL,ALL,ALL,0TO99
2089,608,2010,383.69,ALL,ALL,ALL,0TO99
2080,627,2010,930.41,ALL,ALL,ALL,0TO99
2072,654,2010,946.15,ALL,ALL,ALL,0TO99
2101,662,2010,2403.46,ALL,ALL,ALL,0TO99
2093,642,2010,2414.68,ALL,ALL,ALL,0TO99
2102,602,2010,3852.98,ALL,ALL,ALL,0TO99
2146,621,2010,569.76,ALL,ALL,ALL,0TO99
2089,620,2010,2420.86,ALL,ALL,ALL,0TO99
2083,617,2010,993.59,ALL,ALL,ALL,0TO99
2054,647,2010,151.45,ALL,ALL,ALL,0TO99
2099,619,2010,382.99,ALL,ALL,ALL,0TO99
2130,634,2010,568.22,ALL,ALL,ALL,0TO99
2056,645,2010,151.53,ALL,ALL,ALL,0TO99
2141,610,2010,882.34,ALL,ALL,ALL,0TO99
2073,633,2010,929.78,ALL,ALL,ALL,0TO99
2155,612,2010,92.43,ALL,ALL,ALL,0TO99
2102,630,2010,2469.50,ALL,ALL,ALL,0TO99
2083,640,2010,2415.88,ALL,ALL,ALL,0TO99
2094,642,2010,2414.68,ALL,ALL,ALL,0TO99
2088,632,2010,2420.41,ALL,ALL,ALL,0TO99
2127,623,2010,569.54,ALL,ALL,ALL,0TO99
2132,662,2010,987.04,ALL,ALL,ALL,0TO99
2060,660,2010,167.88,ALL,ALL,ALL,0TO99
2131,676,2010,1791.55,ALL,ALL,ALL,0TO99
2095,639,2010,2416.49,ALL,ALL,ALL,0TO99
2107,655,2010,710.99,ALL,ALL,ALL,0TO99
2054,657,2010,151.02,ALL,ALL,ALL,0TO99
2110,647,2010,1568.71,ALL,ALL,ALL,0TO99
2122,642,2010,2228.17,ALL,ALL,ALL,0TO99
2051,661,2010,150.84,ALL,ALL,ALL,0TO99
2113,610,2010,930.49,ALL,ALL,ALL,0TO99
2078,627,2010,711.46,ALL,ALL,ALL,0TO99
2081,614,2010,953.14,ALL,ALL,ALL,0TO99
2055,657,2010,151.02,ALL,ALL,ALL,0TO99
2069,629,2010,930.60,ALL,ALL,ALL,0TO99
2107,653,2010,1473.32,ALL,ALL,ALL,0TO99
2098,660,2010,2404.95,ALL,ALL,ALL,0TO99
2137,601,2010,883.46,ALL,ALL,ALL,0TO99
2056,635,2010,151.90,ALL,ALL,ALL,0TO99
2122,613,2010,1102.76,ALL,ALL,ALL,0TO99
2114,616,2010,929.58,ALL,ALL,ALL,0TO99
2158,610,2010,381.11,ALL,ALL,ALL,0TO99
2102,626,2010,2551.13,ALL,ALL,ALL,0TO99
2050,640,2010,113.73,ALL,ALL,ALL,0TO99
2134,598,2010,1117.94,ALL,ALL,ALL,0TO99
2057,654,2010,151.16,ALL,ALL,ALL,0TO99
2124,642,2010,2228.17,ALL,ALL,ALL,0TO99
2059,647,2010,151.45,ALL,ALL,ALL,0TO99
2126,628,2010,568.97,ALL,ALL,ALL,0TO99
2149,618,2010,739.45,ALL,ALL,ALL,0TO99
2121,620,2010,2510.95,ALL,ALL,ALL,0TO99
