Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1254,609,D24HourMean,QuarterlyMean,Mean,7.12
1241,586,D24HourMean,QuarterlyMean,Mean,5.37
1247,596,D24HourMean,QuarterlyMean,Mean,6.68
1252,585,D24HourMean,QuarterlyMean,Mean,6.23
1241,615,D24HourMean,QuarterlyMean,Mean,8.23
1234,588,D24HourMean,QuarterlyMean,Mean,5.52
1257,595,D24HourMean,QuarterlyMean,Mean,6.11
1225,605,D24HourMean,QuarterlyMean,Mean,5.86
1237,608,D24HourMean,QuarterlyMean,Mean,6.30
1259,594,D24HourMean,QuarterlyMean,Mean,6.41
1241,585,D24HourMean,QuarterlyMean,Mean,5.25
1255,609,D24HourMean,QuarterlyMean,Mean,6.75
1250,595,D24HourMean,QuarterlyMean,Mean,7.45
1233,619,D24HourMean,QuarterlyMean,Mean,11.86
1222,606,D24HourMean,QuarterlyMean,Mean,6.60
1251,601,D24HourMean,QuarterlyMean,Mean,6.80
1247,592,D24HourMean,QuarterlyMean,Mean,6.75
1250,610,D24HourMean,QuarterlyMean,Mean,8.18
1253,598,D24HourMean,QuarterlyMean,Mean,4.79
1257,586,D24HourMean,QuarterlyMean,Mean,5.34
1232,602,D24HourMean,QuarterlyMean,Mean,6.46
1229,611,D24HourMean,QuarterlyMean,Mean,6.68
1230,615,D24HourMean,QuarterlyMean,Mean,7.29
1228,605,D24HourMean,QuarterlyMean,Mean,6.29
1245,610,D24HourMean,QuarterlyMean,Mean,7.90
1251,606,D24HourMean,QuarterlyMean,Mean,7.78
1249,598,D24HourMean,QuarterlyMean,Mean,7.22
1233,588,D24HourMean,QuarterlyMean,Mean,5.41
1235,585,D24HourMean,QuarterlyMean,Mean,5.41
1234,601,D24HourMean,QuarterlyMean,Mean,5.73
1253,597,D24HourMean,QuarterlyMean,Mean,7.75
1226,594,D24HourMean,QuarterlyMean,Mean,5.86
1238,589,D24HourMean,QuarterlyMean,Mean,6.39
1243,611,D24HourMean,QuarterlyMean,Mean,7.71
1235,591,D24HourMean,QuarterlyMean,Mean,6.27
1240,580,D24HourMean,QuarterlyMean,Mean,5.19
