Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1999,1047,D24HourMean,QuarterlyMean,Mean,11.50
2006,1047,D24HourMean,QuarterlyMean,Mean,10.22
1998,1047,D24HourMean,QuarterlyMean,Mean,12.17
2016,1052,D24HourMean,QuarterlyMean,Mean,11.12
1972,1045,D24HourMean,QuarterlyMean,Mean,12.12
2008,1051,D24HourMean,QuarterlyMean,Mean,9.59
1981,1047,D24HourMean,QuarterlyMean,Mean,12.67
1975,1047,D24HourMean,QuarterlyMean,Mean,11.98
1986,1053,D24HourMean,QuarterlyMean,Mean,12.98
1988,1050,D24HourMean,QuarterlyMean,Mean,12.49
2010,1045,D24HourMean,QuarterlyMean,Mean,12.38
1995,1045,D24HourMean,QuarterlyMean,Mean,13.14
1982,1045,D24HourMean,QuarterlyMean,Mean,12.68
1983,1037,D24HourMean,QuarterlyMean,Mean,12.78
1978,1046,D24HourMean,QuarterlyMean,Mean,12.97
1993,1046,D24HourMean,QuarterlyMean,Mean,13.62
1988,1047,D24HourMean,QuarterlyMean,Mean,12.63
2004,1047,D24HourMean,QuarterlyMean,Mean,10.73
2003,1044,D24HourMean,QuarterlyMean,Mean,12.91
2007,1048,D24HourMean,QuarterlyMean,Mean,10.68
2006,1048,D24HourMean,QuarterlyMean,Mean,10.76
2018,1044,D24HourMean,QuarterlyMean,Mean,13.87
1992,1053,D24HourMean,QuarterlyMean,Mean,13.48
2010,1051,D24HourMean,QuarterlyMean,Mean,9.44
2017,1053,D24HourMean,QuarterlyMean,Mean,11.06
1982,1040,D24HourMean,QuarterlyMean,Mean,12.60
1979,1044,D24HourMean,QuarterlyMean,Mean,13.04
2000,1051,D24HourMean,QuarterlyMean,Mean,10.97
1986,1051,D24HourMean,QuarterlyMean,Mean,12.71
1977,1038,D24HourMean,QuarterlyMean,Mean,13.54
1983,1045,D24HourMean,QuarterlyMean,Mean,13.13
1984,1041,D24HourMean,QuarterlyMean,Mean,13.17
1978,1042,D24HourMean,QuarterlyMean,Mean,12.61
1983,1043,D24HourMean,QuarterlyMean,Mean,12.77
2019,1050,D24HourMean,QuarterlyMean,Mean,11.89
2018,1053,D24HourMean,QuarterlyMean,Mean,11.04
2003,1046,D24HourMean,QuarterlyMean,Mean,11.40
1979,1043,D24HourMean,QuarterlyMean,Mean,12.64
2010,1049,D24HourMean,QuarterlyMean,Mean,10.47
2005,1047,D24HourMean,QuarterlyMean,Mean,10.54
1981,1040,D24HourMean,QuarterlyMean,Mean,12.52
1994,1048,D24HourMean,QuarterlyMean,Mean,12.41
1979,1042,D24HourMean,QuarterlyMean,Mean,12.47
1990,1050,D24HourMean,QuarterlyMean,Mean,13.54
1992,1044,D24HourMean,QuarterlyMean,Mean,13.09
2023,1047,D24HourMean,QuarterlyMean,Mean,12.14
1975,1042,D24HourMean,QuarterlyMean,Mean,11.99
2021,1045,D24HourMean,QuarterlyMean,Mean,13.78
1977,1046,D24HourMean,QuarterlyMean,Mean,12.41
2016,1049,D24HourMean,QuarterlyMean,Mean,11.80
1981,1048,D24HourMean,QuarterlyMean,Mean,12.63
2002,1049,D24HourMean,QuarterlyMean,Mean,10.35
2019,1046,D24HourMean,QuarterlyMean,Mean,13.87
2001,1051,D24HourMean,QuarterlyMean,Mean,10.88
1985,1048,D24HourMean,QuarterlyMean,Mean,12.25
2016,1051,D24HourMean,QuarterlyMean,Mean,11.11
1982,1050,D24HourMean,QuarterlyMean,Mean,12.36
1975,1043,D24HourMean,QuarterlyMean,Mean,11.54
2021,1051,D24HourMean,QuarterlyMean,Mean,11.09
1973,1044,D24HourMean,QuarterlyMean,Mean,10.76
1994,1044,D24HourMean,QuarterlyMean,Mean,12.76
2009,1052,D24HourMean,QuarterlyMean,Mean,9.83
1998,1053,D24HourMean,QuarterlyMean,Mean,11.09
2009,1049,D24HourMean,QuarterlyMean,Mean,10.60
2014,1051,D24HourMean,QuarterlyMean,Mean,10.90
1974,1042,D24HourMean,QuarterlyMean,Mean,12.08
1981,1045,D24HourMean,QuarterlyMean,Mean,12.98
1973,1042,D24HourMean,QuarterlyMean,Mean,11.88
1987,1041,D24HourMean,QuarterlyMean,Mean,13.21
1976,1046,D24HourMean,QuarterlyMean,Mean,11.97
1983,1039,D24HourMean,QuarterlyMean,Mean,12.67
1977,1040,D24HourMean,QuarterlyMean,Mean,13.31
1987,1051,D24HourMean,QuarterlyMean,Mean,13.11
2006,1046,D24HourMean,QuarterlyMean,Mean,10.86
1983,1038,D24HourMean,QuarterlyMean,Mean,12.63
1984,1050,D24HourMean,QuarterlyMean,Mean,12.46
1988,1042,D24HourMean,QuarterlyMean,Mean,13.34
1982,1044,D24HourMean,QuarterlyMean,Mean,12.29
2018,1046,D24HourMean,QuarterlyMean,Mean,13.68
2017,1052,D24HourMean,QuarterlyMean,Mean,11.15
1982,1048,D24HourMean,QuarterlyMean,Mean,12.62
1984,1052,D24HourMean,QuarterlyMean,Mean,12.65
