Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1999,1047,2010,3362.21,ALL,ALL,ALL,0TO99
2006,1047,2010,6737.09,ALL,ALL,ALL,0TO99
1998,1047,2010,6776.90,ALL,ALL,ALL,0TO99
2016,1052,2010,6963.75,ALL,ALL,ALL,0TO99
1972,1045,2010,3557.74,ALL,ALL,ALL,0TO99
2008,1051,2010,1336.64,ALL,ALL,ALL,0TO99
1981,1047,2010,2866.11,ALL,ALL,ALL,0TO99
1975,1047,2010,4937.24,ALL,ALL,ALL,0TO99
1986,1053,2010,9005.47,ALL,ALL,ALL,0TO99
1988,1050,2010,7876.12,ALL,ALL,ALL,0TO99
2010,1045,2010,5600.15,ALL,ALL,ALL,0TO99
1995,1045,2010,10326.34,ALL,ALL,ALL,0TO99
1982,1045,2010,25371.72,ALL,ALL,ALL,0TO99
1983,1037,2010,10155.57,ALL,ALL,ALL,0TO99
1978,1046,2010,12173.67,ALL,ALL,ALL,0TO99
1993,1046,2010,8997.85,ALL,ALL,ALL,0TO99
1988,1047,2010,12538.51,ALL,ALL,ALL,0TO99
2004,1047,2010,2760.81,ALL,ALL,ALL,0TO99
2003,1044,2010,3470.72,ALL,ALL,ALL,0TO99
2007,1048,2010,5790.31,ALL,ALL,ALL,0TO99
2006,1048,2010,11293.80,ALL,ALL,ALL,0TO99
2018,1044,2010,4513.59,ALL,ALL,ALL,0TO99
1992,1053,2010,4352.77,ALL,ALL,ALL,0TO99
2010,1051,2010,15634.84,ALL,ALL,ALL,0TO99
2017,1053,2010,4938.54,ALL,ALL,ALL,0TO99
1982,1040,2010,20457.11,ALL,ALL,ALL,0TO99
1979,1044,2010,13525.33,ALL,ALL,ALL,0TO99
2000,1051,2010,1584.62,ALL,ALL,ALL,0TO99
1986,1051,2010,12497.38,ALL,ALL,ALL,0TO99
1977,1038,2010,5737.82,ALL,ALL,ALL,0TO99
1983,1045,2010,12361.91,ALL,ALL,ALL,0TO99
1984,1041,2010,5633.19,ALL,ALL,ALL,0TO99
1978,1042,2010,20732.10,ALL,ALL,ALL,0TO99
1983,1043,2010,8807.22,ALL,ALL,ALL,0TO99
2019,1050,2010,2844.65,ALL,ALL,ALL,0TO99
2018,1053,2010,1538.15,ALL,ALL,ALL,0TO99
2003,1046,2010,3949.23,ALL,ALL,ALL,0TO99
1979,1043,2010,9124.49,ALL,ALL,ALL,0TO99
2010,1049,2010,7758.31,ALL,ALL,ALL,0TO99
2005,1047,2010,3134.20,ALL,ALL,ALL,0TO99
1981,1040,2010,7286.20,ALL,ALL,ALL,0TO99
1994,1048,2010,2947.14,ALL,ALL,ALL,0TO99
1979,1042,2010,10167.15,ALL,ALL,ALL,0TO99
1990,1050,2010,23031.93,ALL,ALL,ALL,0TO99
1992,1044,2010,6162.10,ALL,ALL,ALL,0TO99
2023,1047,2010,3692.00,ALL,ALL,ALL,0TO99
1975,1042,2010,10409.00,ALL,ALL,ALL,0TO99
2021,1045,2010,10477.94,ALL,ALL,ALL,0TO99
1977,1046,2010,4682.64,ALL,ALL,ALL,0TO99
2016,1049,2010,6006.77,ALL,ALL,ALL,0TO99
1981,1048,2010,23367.69,ALL,ALL,ALL,0TO99
2002,1049,2010,2443.85,ALL,ALL,ALL,0TO99
2019,1046,2010,6975.30,ALL,ALL,ALL,0TO99
2001,1051,2010,2178.44,ALL,ALL,ALL,0TO99
1985,1048,2010,3980.43,ALL,ALL,ALL,0TO99
2016,1051,2010,6668.91,ALL,ALL,ALL,0TO99
1982,1050,2010,5078.41,ALL,ALL,ALL,0TO99
1975,1043,2010,7542.63,ALL,ALL,ALL,0TO99
2021,1051,2010,990.59,ALL,ALL,ALL,0TO99
1973,1044,2010,4616.64,ALL,ALL,ALL,0TO99
1994,1044,2010,1353.40,ALL,ALL,ALL,0TO99
2009,1052,2010,5860.86,ALL,ALL,ALL,0TO99
1998,1053,2010,3935.31,ALL,ALL,ALL,0TO99
2009,1049,2010,9457.05,ALL,ALL,ALL,0TO99
2014,1051,2010,5905.93,ALL,ALL,ALL,0TO99
1974,1042,2010,18581.67,ALL,ALL,ALL,0TO99
1981,1045,2010,5841.36,ALL,ALL,ALL,0TO99
1973,1042,2010,15992.64,ALL,ALL,ALL,0TO99
1987,1041,2010,19846.40,ALL,ALL,ALL,0TO99
1976,1046,2010,5545.37,ALL,ALL,ALL,0TO99
1983,1039,2010,8910.26,ALL,ALL,ALL,0TO99
1977,1040,2010,19067.10,ALL,ALL,ALL,0TO99
1987,1051,2010,18406.48,ALL,ALL,ALL,0TO99
2006,1046,2010,13503.92,ALL,ALL,ALL,0TO99
1983,1038,2010,9146.17,ALL,ALL,ALL,0TO99
1984,1050,2010,11181.81,ALL,ALL,ALL,0TO99
1988,1042,2010,7110.38,ALL,ALL,ALL,0TO99
1982,1044,2010,7749.84,ALL,ALL,ALL,0TO99
2018,1046,2010,17759.18,ALL,ALL,ALL,0TO99
2017,1052,2010,7685.41,ALL,ALL,ALL,0TO99
1982,1048,2010,13236.08,ALL,ALL,ALL,0TO99
1984,1052,2010,4510.18,ALL,ALL,ALL,0TO99
1990,1042,2010,2292.32,ALL,ALL,ALL,0TO99
1993,1052,2010,12405.57,ALL,ALL,ALL,0TO99
1981,1043,2010,47992.07,ALL,ALL,ALL,0TO99
1983,1052,2010,2738.62,ALL,ALL,ALL,0TO99
1996,1046,2010,3925.66,ALL,ALL,ALL,0TO99
2001,1042,2010,3862.33,ALL,ALL,ALL,0TO99
1978,1047,2010,9221.44,ALL,ALL,ALL,0TO99
2009,1046,2010,3722.11,ALL,ALL,ALL,0TO99
2004,1048,2010,3621.09,ALL,ALL,ALL,0TO99
2014,1053,2010,8427.85,ALL,ALL,ALL,0TO99
2017,1046,2010,10531.55,ALL,ALL,ALL,0TO99
2015,1052,2010,3791.48,ALL,ALL,ALL,0TO99
1985,1038,2010,5011.34,ALL,ALL,ALL,0TO99
2010,1052,2010,5670.18,ALL,ALL,ALL,0TO99
2020,1044,2010,9626.80,ALL,ALL,ALL,0TO99
2001,1048,2010,2453.23,ALL,ALL,ALL,0TO99
2000,1049,2010,1916.38,ALL,ALL,ALL,0TO99
2003,1048,2010,2335.07,ALL,ALL,ALL,0TO99
1998,1052,2010,2905.80,ALL,ALL,ALL,0TO99
1987,1045,2010,3055.92,ALL,ALL,ALL,0TO99
1987,1052,2010,23122.30,ALL,ALL,ALL,0TO99
1977,1048,2010,7701.74,ALL,ALL,ALL,0TO99
1997,1043,2010,20713.43,ALL,ALL,ALL,0TO99
1993,1051,2010,7838.44,ALL,ALL,ALL,0TO99
1976,1047,2010,11816.22,ALL,ALL,ALL,0TO99
1987,1049,2010,2064.37,ALL,ALL,ALL,0TO99
2004,1051,2010,14362.47,ALL,ALL,ALL,0TO99
1977,1045,2010,5880.02,ALL,ALL,ALL,0TO99
1994,1042,2010,16677.78,ALL,ALL,ALL,0TO99
1989,1049,2010,4907.25,ALL,ALL,ALL,0TO99
1992,1050,2010,1280.69,ALL,ALL,ALL,0TO99
1987,1050,2010,9856.48,ALL,ALL,ALL,0TO99
1971,1047,2010,8346.44,ALL,ALL,ALL,0TO99
2010,1046,2010,7525.96,ALL,ALL,ALL,0TO99
1999,1051,2010,2696.22,ALL,ALL,ALL,0TO99
2002,1048,2010,1602.66,ALL,ALL,ALL,0TO99
2013,1053,2010,14958.40,ALL,ALL,ALL,0TO99
1989,1048,2010,10768.29,ALL,ALL,ALL,0TO99
2013,1050,2010,33679.37,ALL,ALL,ALL,0TO99
2011,1051,2010,12941.06,ALL,ALL,ALL,0TO99
2013,1046,2010,50444.50,ALL,ALL,ALL,0TO99
1989,1046,2010,6494.59,ALL,ALL,ALL,0TO99
2015,1047,2010,5306.39,ALL,ALL,ALL,0TO99
1977,1041,2010,10195.14,ALL,ALL,ALL,0TO99
1986,1043,2010,7128.74,ALL,ALL,ALL,0TO99
1984,1047,2010,3907.62,ALL,ALL,ALL,0TO99
2000,1045,2010,5122.72,ALL,ALL,ALL,0TO99
1983,1046,2010,10817.58,ALL,ALL,ALL,0TO99
2004,1046,2010,3215.40,ALL,ALL,ALL,0TO99
2013,1047,2010,117342.17,ALL,ALL,ALL,0TO99
1992,1049,2010,1428.82,ALL,ALL,ALL,0TO99
2009,1051,2010,8634.35,ALL,ALL,ALL,0TO99
2005,1049,2010,12927.40,ALL,ALL,ALL,0TO99
1970,1044,2010,6502.41,ALL,ALL,ALL,0TO99
2003,1047,2010,2692.24,ALL,ALL,ALL,0TO99
2023,1048,2010,1419.41,ALL,ALL,ALL,0TO99
1972,1046,2010,7100.33,ALL,ALL,ALL,0TO99
1993,1050,2010,14741.30,ALL,ALL,ALL,0TO99
1973,1048,2010,15285.85,ALL,ALL,ALL,0TO99
2011,1048,2010,3073.51,ALL,ALL,ALL,0TO99
1976,1040,2010,7126.16,ALL,ALL,ALL,0TO99
1987,1046,2010,6518.34,ALL,ALL,ALL,0TO99
2003,1051,2010,6367.33,ALL,ALL,ALL,0TO99
2010,1047,2010,5811.90,ALL,ALL,ALL,0TO99
1975,1045,2010,4764.81,ALL,ALL,ALL,0TO99
1975,1041,2010,8955.02,ALL,ALL,ALL,0TO99
1979,1039,2010,6406.56,ALL,ALL,ALL,0TO99
2008,1053,2010,7456.77,ALL,ALL,ALL,0TO99
1973,1047,2010,6429.23,ALL,ALL,ALL,0TO99
1990,1044,2010,6267.57,ALL,ALL,ALL,0TO99
2017,1051,2010,7901.68,ALL,ALL,ALL,0TO99
1985,1047,2010,5530.24,ALL,ALL,ALL,0TO99
1979,1037,2010,5940.12,ALL,ALL,ALL,0TO99
1983,1050,2010,10341.07,ALL,ALL,ALL,0TO99
2014,1050,2010,10964.24,ALL,ALL,ALL,0TO99
2009,1047,2010,3997.77,ALL,ALL,ALL,0TO99
2000,1043,2010,12000.83,ALL,ALL,ALL,0TO99
1997,1045,2010,1747.48,ALL,ALL,ALL,0TO99
1975,1040,2010,7011.63,ALL,ALL,ALL,0TO99
2003,1050,2010,32105.19,ALL,ALL,ALL,0TO99
1989,1052,2010,24668.43,ALL,ALL,ALL,0TO99
1986,1039,2010,4862.64,ALL,ALL,ALL,0TO99
2003,1053,2010,3662.28,ALL,ALL,ALL,0TO99
1984,1044,2010,6014.06,ALL,ALL,ALL,0TO99
1996,1048,2010,3840.65,ALL,ALL,ALL,0TO99
1973,1045,2010,1545.73,ALL,ALL,ALL,0TO99
1986,1042,2010,19180.62,ALL,ALL,ALL,0TO99
1999,1048,2010,2516.15,ALL,ALL,ALL,0TO99
1993,1053,2010,7678.12,ALL,ALL,ALL,0TO99
2020,1048,2010,4791.04,ALL,ALL,ALL,0TO99
2017,1047,2010,7717.79,ALL,ALL,ALL,0TO99
2015,1049,2010,2424.36,ALL,ALL,ALL,0TO99
2015,1048,2010,3466.05,ALL,ALL,ALL,0TO99
1971,1046,2010,7222.88,ALL,ALL,ALL,0TO99
1989,1041,2010,5182.60,ALL,ALL,ALL,0TO99
1988,1048,2010,4250.98,ALL,ALL,ALL,0TO99
1997,1050,2010,18928.87,ALL,ALL,ALL,0TO99
2001,1049,2010,1994.86,ALL,ALL,ALL,0TO99
2011,1045,2010,4388.85,ALL,ALL,ALL,0TO99
2002,1052,2010,1950.63,ALL,ALL,ALL,0TO99
1978,1044,2010,15734.17,ALL,ALL,ALL,0TO99
2003,1043,2010,4781.05,ALL,ALL,ALL,0TO99
1984,1043,2010,10002.28,ALL,ALL,ALL,0TO99
1985,1042,2010,5547.87,ALL,ALL,ALL,0TO99
1996,1047,2010,3889.55,ALL,ALL,ALL,0TO99
