Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1935,1022,D24HourMean,QuarterlyMean,Mean,15.17
1950,1015,D24HourMean,QuarterlyMean,Mean,10.37
1940,1021,D24HourMean,QuarterlyMean,Mean,13.20
1957,1024,D24HourMean,QuarterlyMean,Mean,12.88
1943,1022,D24HourMean,QuarterlyMean,Mean,14.68
1947,1021,D24HourMean,QuarterlyMean,Mean,14.11
1961,1024,D24HourMean,QuarterlyMean,Mean,13.43
1954,1024,D24HourMean,QuarterlyMean,Mean,12.18
1963,1027,D24HourMean,QuarterlyMean,Mean,12.37
1953,1020,D24HourMean,QuarterlyMean,Mean,12.02
1944,1015,D24HourMean,QuarterlyMean,Mean,10.55
1951,1022,D24HourMean,QuarterlyMean,Mean,12.91
1941,1018,D24HourMean,QuarterlyMean,Mean,11.91
1953,1022,D24HourMean,QuarterlyMean,Mean,13.19
1942,1016,D24HourMean,QuarterlyMean,Mean,11.13
1937,1019,D24HourMean,QuarterlyMean,Mean,14.41
1947,1023,D24HourMean,QuarterlyMean,Mean,12.45
1940,1020,D24HourMean,QuarterlyMean,Mean,12.82
1950,1019,D24HourMean,QuarterlyMean,Mean,12.35
1949,1025,D24HourMean,QuarterlyMean,Mean,12.60
1948,1017,D24HourMean,QuarterlyMean,Mean,11.20
1943,1018,D24HourMean,QuarterlyMean,Mean,12.43
1948,1021,D24HourMean,QuarterlyMean,Mean,12.88
1951,1025,D24HourMean,QuarterlyMean,Mean,12.14
1956,1019,D24HourMean,QuarterlyMean,Mean,12.87
1943,1016,D24HourMean,QuarterlyMean,Mean,11.01
1941,1021,D24HourMean,QuarterlyMean,Mean,13.48
1956,1024,D24HourMean,QuarterlyMean,Mean,12.49
1958,1025,D24HourMean,QuarterlyMean,Mean,13.31
1944,1017,D24HourMean,QuarterlyMean,Mean,11.53
1950,1024,D24HourMean,QuarterlyMean,Mean,12.99
1949,1018,D24HourMean,QuarterlyMean,Mean,11.67
1941,1015,D24HourMean,QuarterlyMean,Mean,11.29
1957,1022,D24HourMean,QuarterlyMean,Mean,12.15
1948,1018,D24HourMean,QuarterlyMean,Mean,11.67
1938,1019,D24HourMean,QuarterlyMean,Mean,13.68
1954,1025,D24HourMean,QuarterlyMean,Mean,10.77
1956,1022,D24HourMean,QuarterlyMean,Mean,12.33
1940,1023,D24HourMean,QuarterlyMean,Mean,13.71
1954,1023,D24HourMean,QuarterlyMean,Mean,12.49
1955,1025,D24HourMean,QuarterlyMean,Mean,10.72
1962,1026,D24HourMean,QuarterlyMean,Mean,14.02
1950,1017,D24HourMean,QuarterlyMean,Mean,11.45
1951,1020,D24HourMean,QuarterlyMean,Mean,12.45
1957,1026,D24HourMean,QuarterlyMean,Mean,12.21
1959,1024,D24HourMean,QuarterlyMean,Mean,13.05
1938,1018,D24HourMean,QuarterlyMean,Mean,13.89
1942,1018,D24HourMean,QuarterlyMean,Mean,12.42
1940,1015,D24HourMean,QuarterlyMean,Mean,11.63
1954,1021,D24HourMean,QuarterlyMean,Mean,12.30
1937,1024,D24HourMean,QuarterlyMean,Mean,13.39
1951,1016,D24HourMean,QuarterlyMean,Mean,11.16
1952,1015,D24HourMean,QuarterlyMean,Mean,10.50
1957,1018,D24HourMean,QuarterlyMean,Mean,12.91
1939,1019,D24HourMean,QuarterlyMean,Mean,13.02
1950,1018,D24HourMean,QuarterlyMean,Mean,11.82
1952,1018,D24HourMean,QuarterlyMean,Mean,11.95
1950,1025,D24HourMean,QuarterlyMean,Mean,12.55
1945,1023,D24HourMean,QuarterlyMean,Mean,14.27
1954,1020,D24HourMean,QuarterlyMean,Mean,12.33
1937,1018,D24HourMean,QuarterlyMean,Mean,14.73
1958,1026,D24HourMean,QuarterlyMean,Mean,12.60
1962,1025,D24HourMean,QuarterlyMean,Mean,13.64
1963,1024,D24HourMean,QuarterlyMean,Mean,13.09
1952,1021,D24HourMean,QuarterlyMean,Mean,12.03
1941,1023,D24HourMean,QuarterlyMean,Mean,13.64
1949,1021,D24HourMean,QuarterlyMean,Mean,12.31
1940,1024,D24HourMean,QuarterlyMean,Mean,13.71
1940,1019,D24HourMean,QuarterlyMean,Mean,12.53
1960,1025,D24HourMean,QuarterlyMean,Mean,12.74
1953,1017,D24HourMean,QuarterlyMean,Mean,11.80
1951,1026,D24HourMean,QuarterlyMean,Mean,11.92
1955,1021,D24HourMean,QuarterlyMean,Mean,12.04
1953,1021,D24HourMean,QuarterlyMean,Mean,12.45
1948,1016,D24HourMean,QuarterlyMean,Mean,10.78
1954,1022,D24HourMean,QuarterlyMean,Mean,12.87
1942,1020,D24HourMean,QuarterlyMean,Mean,13.58
1952,1020,D24HourMean,QuarterlyMean,Mean,12.36
1938,1022,D24HourMean,QuarterlyMean,Mean,13.75
1940,1017,D24HourMean,QuarterlyMean,Mean,12.32
1943,1023,D24HourMean,QuarterlyMean,Mean,13.99
1944,1016,D24HourMean,QuarterlyMean,Mean,11.01
1943,1019,D24HourMean,QuarterlyMean,Mean,13.07
1945,1019,D24HourMean,QuarterlyMean,Mean,13.45
1952,1024,D24HourMean,QuarterlyMean,Mean,12.24
1936,1023,D24HourMean,QuarterlyMean,Mean,14.66
1961,1026,D24HourMean,QuarterlyMean,Mean,14.20
1955,1020,D24HourMean,QuarterlyMean,Mean,12.03
1943,1017,D24HourMean,QuarterlyMean,Mean,11.82
1939,1021,D24HourMean,QuarterlyMean,Mean,13.06
1941,1017,D24HourMean,QuarterlyMean,Mean,11.62
1951,1015,D24HourMean,QuarterlyMean,Mean,10.60
1941,1022,D24HourMean,QuarterlyMean,Mean,13.85
1949,1015,D24HourMean,QuarterlyMean,Mean,10.15
1948,1020,D24HourMean,QuarterlyMean,Mean,12.73
1948,1023,D24HourMean,QuarterlyMean,Mean,11.99
1940,1018,D24HourMean,QuarterlyMean,Mean,12.00
1944,1022,D24HourMean,QuarterlyMean,Mean,14.87
1964,1025,D24HourMean,QuarterlyMean,Mean,13.56
1942,1015,D24HourMean,QuarterlyMean,Mean,10.77
1942,1019,D24HourMean,QuarterlyMean,Mean,13.07
1951,1018,D24HourMean,QuarterlyMean,Mean,12.14
1955,1023,D24HourMean,QuarterlyMean,Mean,12.19
1958,1022,D24HourMean,QuarterlyMean,Mean,11.87
1946,1023,D24HourMean,QuarterlyMean,Mean,13.42
1949,1019,D24HourMean,QuarterlyMean,Mean,12.32
1941,1020,D24HourMean,QuarterlyMean,Mean,13.21
1942,1023,D24HourMean,QuarterlyMean,Mean,13.98
1939,1024,D24HourMean,QuarterlyMean,Mean,14.37
1946,1019,D24HourMean,QuarterlyMean,Mean,13.29
1943,1020,D24HourMean,QuarterlyMean,Mean,13.64
1945,1016,D24HourMean,QuarterlyMean,Mean,10.26
1951,1023,D24HourMean,QuarterlyMean,Mean,12.52
1948,1015,D24HourMean,QuarterlyMean,Mean,9.60
1937,1023,D24HourMean,QuarterlyMean,Mean,13.98
1952,1025,D24HourMean,QuarterlyMean,Mean,12.16
1948,1022,D24HourMean,QuarterlyMean,Mean,12.74
1952,1017,D24HourMean,QuarterlyMean,Mean,11.53
1960,1026,D24HourMean,QuarterlyMean,Mean,14.03
1946,1017,D24HourMean,QuarterlyMean,Mean,11.04
1948,1019,D24HourMean,QuarterlyMean,Mean,12.22
1942,1022,D24HourMean,QuarterlyMean,Mean,14.51
1938,1024,D24HourMean,QuarterlyMean,Mean,13.86
1956,1023,D24HourMean,QuarterlyMean,Mean,12.20
1960,1023,D24HourMean,QuarterlyMean,Mean,12.73
1962,1028,D24HourMean,QuarterlyMean,Mean,11.63
1939,1020,D24HourMean,QuarterlyMean,Mean,13.02
1945,1015,D24HourMean,QuarterlyMean,Mean,9.99
1947,1017,D24HourMean,QuarterlyMean,Mean,11.11
1953,1015,D24HourMean,QuarterlyMean,Mean,11.15
1945,1021,D24HourMean,QuarterlyMean,Mean,15.14
1949,1024,D24HourMean,QuarterlyMean,Mean,12.84
1941,1016,D24HourMean,QuarterlyMean,Mean,11.15
1939,1015,D24HourMean,QuarterlyMean,Mean,12.22
