Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2006,1216,D24HourMean,QuarterlyMean,Mean,3.99
1999,1208,D24HourMean,QuarterlyMean,Mean,3.87
1970,1215,D24HourMean,QuarterlyMean,Mean,3.18
1983,1203,D24HourMean,QuarterlyMean,Mean,3.76
1968,1206,D24HourMean,QuarterlyMean,Mean,3.25
1929,1149,D24HourMean,QuarterlyMean,Mean,7.85
1981,1200,D24HourMean,QuarterlyMean,Mean,3.74
1957,1172,D24HourMean,QuarterlyMean,Mean,4.57
1974,1218,D24HourMean,QuarterlyMean,Mean,3.46
1983,1193,D24HourMean,QuarterlyMean,Mean,3.59
1961,1183,D24HourMean,QuarterlyMean,Mean,4.18
1974,1150,D24HourMean,QuarterlyMean,Mean,5.64
1925,1183,D24HourMean,QuarterlyMean,Mean,4.47
1931,1169,D24HourMean,QuarterlyMean,Mean,5.47
1945,1205,D24HourMean,QuarterlyMean,Mean,3.64
2000,1214,D24HourMean,QuarterlyMean,Mean,3.86
1963,1131,D24HourMean,QuarterlyMean,Mean,6.85
1936,1171,D24HourMean,QuarterlyMean,Mean,5.17
1994,1212,D24HourMean,QuarterlyMean,Mean,3.86
2005,1212,D24HourMean,QuarterlyMean,Mean,4.22
1936,1117,D24HourMean,QuarterlyMean,Mean,8.93
1963,1201,D24HourMean,QuarterlyMean,Mean,3.25
2006,1231,D24HourMean,QuarterlyMean,Mean,3.58
1956,1178,D24HourMean,QuarterlyMean,Mean,4.24
2036,1222,D24HourMean,QuarterlyMean,Mean,3.83
1947,1160,D24HourMean,QuarterlyMean,Mean,5.26
1967,1166,D24HourMean,QuarterlyMean,Mean,5.04
1994,1218,D24HourMean,QuarterlyMean,Mean,3.68
2002,1200,D24HourMean,QuarterlyMean,Mean,4.30
1926,1192,D24HourMean,QuarterlyMean,Mean,3.59
1946,1144,D24HourMean,QuarterlyMean,Mean,7.23
1961,1186,D24HourMean,QuarterlyMean,Mean,4.11
1973,1218,D24HourMean,QuarterlyMean,Mean,3.27
1955,1207,D24HourMean,QuarterlyMean,Mean,3.70
2002,1239,D24HourMean,QuarterlyMean,Mean,3.77
1921,1152,D24HourMean,QuarterlyMean,Mean,5.85
1956,1147,D24HourMean,QuarterlyMean,Mean,6.09
1988,1234,D24HourMean,QuarterlyMean,Mean,3.32
1976,1204,D24HourMean,QuarterlyMean,Mean,3.42
1997,1221,D24HourMean,QuarterlyMean,Mean,3.42
1957,1207,D24HourMean,QuarterlyMean,Mean,3.60
1974,1163,D24HourMean,QuarterlyMean,Mean,4.88
1985,1235,D24HourMean,QuarterlyMean,Mean,3.34
1943,1152,D24HourMean,QuarterlyMean,Mean,6.35
1951,1126,D24HourMean,QuarterlyMean,Mean,7.71
1925,1133,D24HourMean,QuarterlyMean,Mean,8.54
1966,1142,D24HourMean,QuarterlyMean,Mean,5.74
1949,1151,D24HourMean,QuarterlyMean,Mean,6.30
2004,1201,D24HourMean,QuarterlyMean,Mean,3.64
1927,1175,D24HourMean,QuarterlyMean,Mean,4.98
1933,1176,D24HourMean,QuarterlyMean,Mean,5.06
1967,1193,D24HourMean,QuarterlyMean,Mean,3.68
2003,1198,D24HourMean,QuarterlyMean,Mean,6.02
1964,1185,D24HourMean,QuarterlyMean,Mean,4.01
1969,1230,D24HourMean,QuarterlyMean,Mean,4.35
1985,1244,D24HourMean,QuarterlyMean,Mean,3.08
1936,1151,D24HourMean,QuarterlyMean,Mean,4.24
1944,1193,D24HourMean,QuarterlyMean,Mean,3.96
1989,1137,D24HourMean,QuarterlyMean,Mean,9.12
1954,1210,D24HourMean,QuarterlyMean,Mean,3.86
1960,1175,D24HourMean,QuarterlyMean,Mean,4.38
1920,1155,D24HourMean,QuarterlyMean,Mean,5.72
1970,1152,D24HourMean,QuarterlyMean,Mean,5.51
1984,1199,D24HourMean,QuarterlyMean,Mean,3.87
1932,1140,D24HourMean,QuarterlyMean,Mean,6.48
1971,1157,D24HourMean,QuarterlyMean,Mean,5.54
2010,1241,D24HourMean,QuarterlyMean,Mean,3.19
1996,1230,D24HourMean,QuarterlyMean,Mean,3.10
1942,1183,D24HourMean,QuarterlyMean,Mean,4.13
1971,1232,D24HourMean,QuarterlyMean,Mean,3.60
1945,1160,D24HourMean,QuarterlyMean,Mean,5.54
1945,1179,D24HourMean,QuarterlyMean,Mean,4.42
1986,1155,D24HourMean,QuarterlyMean,Mean,6.46
1940,1180,D24HourMean,QuarterlyMean,Mean,4.46
1962,1130,D24HourMean,QuarterlyMean,Mean,7.14
1944,1138,D24HourMean,QuarterlyMean,Mean,6.84
1930,1187,D24HourMean,QuarterlyMean,Mean,3.98
1985,1204,D24HourMean,QuarterlyMean,Mean,3.93
1944,1142,D24HourMean,QuarterlyMean,Mean,6.57
1941,1200,D24HourMean,QuarterlyMean,Mean,3.68
1970,1225,D24HourMean,QuarterlyMean,Mean,3.51
1980,1152,D24HourMean,QuarterlyMean,Mean,4.83
1934,1122,D24HourMean,QuarterlyMean,Mean,8.01
