Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2006,1216,2010,298.65,ALL,ALL,ALL,0TO99
1999,1208,2010,105.07,ALL,ALL,ALL,0TO99
1970,1215,2010,17.39,ALL,ALL,ALL,0TO99
1983,1203,2010,74.01,ALL,ALL,ALL,0TO99
1968,1206,2010,43.18,ALL,ALL,ALL,0TO99
1929,1149,2010,0.00,ALL,ALL,ALL,0TO99
1981,1200,2010,33.95,ALL,ALL,ALL,0TO99
1957,1172,2010,304.29,ALL,ALL,ALL,0TO99
1974,1218,2010,10.73,ALL,ALL,ALL,0TO99
1983,1193,2010,406.39,ALL,ALL,ALL,0TO99
1961,1183,2010,165.29,ALL,ALL,ALL,0TO99
1974,1150,2010,5541.10,ALL,ALL,ALL,0TO99
1925,1183,2010,47.60,ALL,ALL,ALL,0TO99
1931,1169,2010,130.43,ALL,ALL,ALL,0TO99
1945,1205,2010,52.33,ALL,ALL,ALL,0TO99
2000,1214,2010,604.23,ALL,ALL,ALL,0TO99
1963,1131,2010,1384.24,ALL,ALL,ALL,0TO99
1936,1171,2010,57.92,ALL,ALL,ALL,0TO99
1994,1212,2010,51.70,ALL,ALL,ALL,0TO99
2005,1212,2010,500.09,ALL,ALL,ALL,0TO99
1936,1117,2010,4869.61,ALL,ALL,ALL,0TO99
1963,1201,2010,53.10,ALL,ALL,ALL,0TO99
2006,1231,2010,47.85,ALL,ALL,ALL,0TO99
1956,1178,2010,184.07,ALL,ALL,ALL,0TO99
2036,1222,2010,96.16,ALL,ALL,ALL,0TO99
1947,1160,2010,816.60,ALL,ALL,ALL,0TO99
1967,1166,2010,1626.49,ALL,ALL,ALL,0TO99
1994,1218,2010,49.57,ALL,ALL,ALL,0TO99
2002,1200,2010,2504.19,ALL,ALL,ALL,0TO99
1926,1192,2010,32.15,ALL,ALL,ALL,0TO99
1946,1144,2010,33.66,ALL,ALL,ALL,0TO99
1961,1186,2010,160.12,ALL,ALL,ALL,0TO99
1973,1218,2010,12.97,ALL,ALL,ALL,0TO99
1955,1207,2010,48.89,ALL,ALL,ALL,0TO99
2002,1239,2010,47.58,ALL,ALL,ALL,0TO99
1921,1152,2010,394.42,ALL,ALL,ALL,0TO99
1956,1147,2010,981.88,ALL,ALL,ALL,0TO99
