Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2110,296,2010,8442.93,ALL,ALL,ALL,0TO99
2117,297,2010,7877.62,ALL,ALL,ALL,0TO99
2121,292,2010,3577.94,ALL,ALL,ALL,0TO99
2121,298,2010,3483.74,ALL,ALL,ALL,0TO99
2112,293,2010,8682.56,ALL,ALL,ALL,0TO99
2113,289,2010,5811.86,ALL,ALL,ALL,0TO99
2117,291,2010,3508.33,ALL,ALL,ALL,0TO99
2115,289,2010,5811.86,ALL,ALL,ALL,0TO99
2112,291,2010,6932.00,ALL,ALL,ALL,0TO99
2120,294,2010,3517.54,ALL,ALL,ALL,0TO99
2110,293,2010,8682.56,ALL,ALL,ALL,0TO99
2119,294,2010,3517.54,ALL,ALL,ALL,0TO99
2116,289,2010,5802.47,ALL,ALL,ALL,0TO99
2119,293,2010,3514.55,ALL,ALL,ALL,0TO99
2113,297,2010,8477.62,ALL,ALL,ALL,0TO99
2109,292,2010,8254.35,ALL,ALL,ALL,0TO99
2118,292,2010,3511.45,ALL,ALL,ALL,0TO99
2111,294,2010,8689.94,ALL,ALL,ALL,0TO99
2114,300,2010,8498.25,ALL,ALL,ALL,0TO99
2115,302,2010,16726.61,ALL,ALL,ALL,0TO99
2112,294,2010,8689.94,ALL,ALL,ALL,0TO99
2120,289,2010,3902.41,ALL,ALL,ALL,0TO99
2113,300,2010,8491.64,ALL,ALL,ALL,0TO99
2119,289,2010,3681.86,ALL,ALL,ALL,0TO99
2114,298,2010,8483.65,ALL,ALL,ALL,0TO99
2115,295,2010,8697.83,ALL,ALL,ALL,0TO99
2112,288,2010,5145.91,ALL,ALL,ALL,0TO99
2121,295,2010,3427.31,ALL,ALL,ALL,0TO99
2120,296,2010,3523.69,ALL,ALL,ALL,0TO99
2120,291,2010,3514.10,ALL,ALL,ALL,0TO99
2110,291,2010,4980.58,ALL,ALL,ALL,0TO99
2121,297,2010,3425.44,ALL,ALL,ALL,0TO99
2112,290,2010,5817.25,ALL,ALL,ALL,0TO99
2116,287,2010,6736.70,ALL,ALL,ALL,0TO99
2114,301,2010,8505.24,ALL,ALL,ALL,0TO99
2118,300,2010,5161.38,ALL,ALL,ALL,0TO99
2120,298,2010,3529.81,ALL,ALL,ALL,0TO99
2110,294,2010,8689.94,ALL,ALL,ALL,0TO99
2117,292,2010,3511.45,ALL,ALL,ALL,0TO99
2113,294,2010,8689.94,ALL,ALL,ALL,0TO99
2121,296,2010,3364.94,ALL,ALL,ALL,0TO99
2117,289,2010,5301.51,ALL,ALL,ALL,0TO99
2119,297,2010,3526.76,ALL,ALL,ALL,0TO99
2111,289,2010,4987.90,ALL,ALL,ALL,0TO99
2114,299,2010,8490.71,ALL,ALL,ALL,0TO99
2118,291,2010,3508.33,ALL,ALL,ALL,0TO99
2116,297,2010,8685.24,ALL,ALL,ALL,0TO99
2114,288,2010,5806.83,ALL,ALL,ALL,0TO99
2118,296,2010,3582.36,ALL,ALL,ALL,0TO99
2117,287,2010,5673.85,ALL,ALL,ALL,0TO99
2112,296,2010,8468.96,ALL,ALL,ALL,0TO99
2112,300,2010,6334.94,ALL,ALL,ALL,0TO99
2117,295,2010,4205.28,ALL,ALL,ALL,0TO99
2119,292,2010,3511.45,ALL,ALL,ALL,0TO99
2113,291,2010,6648.98,ALL,ALL,ALL,0TO99
2118,288,2010,5799.21,ALL,ALL,ALL,0TO99
2119,288,2010,5333.65,ALL,ALL,ALL,0TO99
2115,293,2010,8680.96,ALL,ALL,ALL,0TO99
2115,297,2010,8558.68,ALL,ALL,ALL,0TO99
2116,296,2010,8661.74,ALL,ALL,ALL,0TO99
