Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2209,904,2010,3386.26,ALL,ALL,ALL,0TO99
2177,924,2010,9805.65,ALL,ALL,ALL,0TO99
2168,910,2010,44433.01,ALL,ALL,ALL,0TO99
2171,886,2010,1293.22,ALL,ALL,ALL,0TO99
2205,917,2010,3332.74,ALL,ALL,ALL,0TO99
2177,899,2010,1714.98,ALL,ALL,ALL,0TO99
2180,922,2010,9830.58,ALL,ALL,ALL,0TO99
2179,904,2010,1704.84,ALL,ALL,ALL,0TO99
2197,917,2010,6018.63,ALL,ALL,ALL,0TO99
2202,910,2010,3361.72,ALL,ALL,ALL,0TO99
2215,929,2010,19952.54,ALL,ALL,ALL,0TO99
2202,916,2010,3336.95,ALL,ALL,ALL,0TO99
2174,890,2010,8886.51,ALL,ALL,ALL,0TO99
2203,915,2010,3341.01,ALL,ALL,ALL,0TO99
2186,925,2010,9788.48,ALL,ALL,ALL,0TO99
2161,908,2010,59601.85,ALL,ALL,ALL,0TO99
2182,897,2010,1718.96,ALL,ALL,ALL,0TO99
2184,924,2010,9805.65,ALL,ALL,ALL,0TO99
2186,920,2010,9334.79,ALL,ALL,ALL,0TO99
2174,907,2010,1698.65,ALL,ALL,ALL,0TO99
2190,925,2010,9275.13,ALL,ALL,ALL,0TO99
2201,927,2010,19933.71,ALL,ALL,ALL,0TO99
2170,926,2010,9780.10,ALL,ALL,ALL,0TO99
2166,905,2010,1702.71,ALL,ALL,ALL,0TO99
2180,907,2010,1698.65,ALL,ALL,ALL,0TO99
2200,907,2010,3374.11,ALL,ALL,ALL,0TO99
2204,902,2010,3394.41,ALL,ALL,ALL,0TO99
2220,930,2010,19925.20,ALL,ALL,ALL,0TO99
2172,902,2010,1708.87,ALL,ALL,ALL,0TO99
2168,911,2010,44380.15,ALL,ALL,ALL,0TO99
2212,910,2010,1970.90,ALL,ALL,ALL,0TO99
2208,923,2010,20107.88,ALL,ALL,ALL,0TO99
2172,915,2010,20138.06,ALL,ALL,ALL,0TO99
2160,907,2010,34691.48,ALL,ALL,ALL,0TO99
2177,903,2010,1706.82,ALL,ALL,ALL,0TO99
2185,903,2010,1706.82,ALL,ALL,ALL,0TO99
2165,891,2010,20722.76,ALL,ALL,ALL,0TO99
2182,907,2010,1698.65,ALL,ALL,ALL,0TO99
2169,903,2010,1706.82,ALL,ALL,ALL,0TO99
2187,912,2010,1688.30,ALL,ALL,ALL,0TO99
2172,923,2010,9817.89,ALL,ALL,ALL,0TO99
2167,912,2010,44325.08,ALL,ALL,ALL,0TO99
2172,919,2010,9868.46,ALL,ALL,ALL,0TO99
2178,924,2010,9805.65,ALL,ALL,ALL,0TO99
2171,908,2010,6305.59,ALL,ALL,ALL,0TO99
2205,904,2010,3386.40,ALL,ALL,ALL,0TO99
2178,911,2010,38267.65,ALL,ALL,ALL,0TO99
2204,918,2010,3349.51,ALL,ALL,ALL,0TO99
2211,930,2010,18905.52,ALL,ALL,ALL,0TO99
2178,908,2010,1696.58,ALL,ALL,ALL,0TO99
2171,906,2010,1700.72,ALL,ALL,ALL,0TO99
2176,921,2010,9774.80,ALL,ALL,ALL,0TO99
2196,919,2010,9347.14,ALL,ALL,ALL,0TO99
2179,911,2010,43912.29,ALL,ALL,ALL,0TO99
2187,906,2010,1700.72,ALL,ALL,ALL,0TO99
2173,916,2010,9905.63,ALL,ALL,ALL,0TO99
2192,913,2010,9407.75,ALL,ALL,ALL,0TO99
2177,905,2010,1702.71,ALL,ALL,ALL,0TO99
2181,914,2010,20406.51,ALL,ALL,ALL,0TO99
2190,900,2010,1712.88,ALL,ALL,ALL,0TO99
2171,919,2010,9868.46,ALL,ALL,ALL,0TO99
2161,914,2010,56642.63,ALL,ALL,ALL,0TO99
2196,902,2010,1708.87,ALL,ALL,ALL,0TO99
2190,906,2010,1700.72,ALL,ALL,ALL,0TO99
2204,903,2010,3390.33,ALL,ALL,ALL,0TO99
2176,909,2010,1918.19,ALL,ALL,ALL,0TO99
2175,917,2010,9893.11,ALL,ALL,ALL,0TO99
2186,897,2010,1718.96,ALL,ALL,ALL,0TO99
2186,912,2010,1688.30,ALL,ALL,ALL,0TO99
2216,930,2010,17878.06,ALL,ALL,ALL,0TO99
2175,894,2010,8846.34,ALL,ALL,ALL,0TO99
2176,924,2010,9805.65,ALL,ALL,ALL,0TO99
2164,911,2010,44380.15,ALL,ALL,ALL,0TO99
2202,914,2010,3345.34,ALL,ALL,ALL,0TO99
2191,919,2010,9347.14,ALL,ALL,ALL,0TO99
2194,899,2010,1714.98,ALL,ALL,ALL,0TO99
2218,926,2010,19977.34,ALL,ALL,ALL,0TO99
2203,923,2010,20107.88,ALL,ALL,ALL,0TO99
2203,917,2010,3332.74,ALL,ALL,ALL,0TO99
2192,905,2010,1702.71,ALL,ALL,ALL,0TO99
2203,918,2010,3328.51,ALL,ALL,ALL,0TO99
2167,898,2010,8805.03,ALL,ALL,ALL,0TO99
2183,915,2010,9393.74,ALL,ALL,ALL,0TO99
2176,894,2010,8846.34,ALL,ALL,ALL,0TO99
2180,901,2010,1710.91,ALL,ALL,ALL,0TO99
2210,925,2010,20055.71,ALL,ALL,ALL,0TO99
2201,913,2010,3349.37,ALL,ALL,ALL,0TO99
2188,912,2010,1688.30,ALL,ALL,ALL,0TO99
2159,915,2010,55681.82,ALL,ALL,ALL,0TO99
2163,914,2010,45345.77,ALL,ALL,ALL,0TO99
2182,893,2010,1726.92,ALL,ALL,ALL,0TO99
2206,918,2010,18121.72,ALL,ALL,ALL,0TO99
2164,894,2010,8846.34,ALL,ALL,ALL,0TO99
2169,907,2010,1698.65,ALL,ALL,ALL,0TO99
2188,918,2010,9358.61,ALL,ALL,ALL,0TO99
2194,924,2010,9287.62,ALL,ALL,ALL,0TO99
2204,926,2010,20030.45,ALL,ALL,ALL,0TO99
2191,897,2010,1718.96,ALL,ALL,ALL,0TO99
2176,895,2010,8472.32,ALL,ALL,ALL,0TO99
2195,922,2010,9311.25,ALL,ALL,ALL,0TO99
2173,902,2010,1708.87,ALL,ALL,ALL,0TO99
2200,902,2010,1185.73,ALL,ALL,ALL,0TO99
2202,918,2010,3328.51,ALL,ALL,ALL,0TO99
2192,918,2010,9358.61,ALL,ALL,ALL,0TO99
2189,907,2010,1698.65,ALL,ALL,ALL,0TO99
2206,914,2010,3345.34,ALL,ALL,ALL,0TO99
2213,916,2010,20287.50,ALL,ALL,ALL,0TO99
2160,893,2010,10520.57,ALL,ALL,ALL,0TO99
2197,925,2010,14749.15,ALL,ALL,ALL,0TO99
2212,917,2010,20261.89,ALL,ALL,ALL,0TO99
2184,918,2010,3606.76,ALL,ALL,ALL,0TO99
2193,899,2010,1714.98,ALL,ALL,ALL,0TO99
2180,925,2010,9792.45,ALL,ALL,ALL,0TO99
2169,915,2010,20388.55,ALL,ALL,ALL,0TO99
2203,910,2010,3361.72,ALL,ALL,ALL,0TO99
2181,912,2010,44325.08,ALL,ALL,ALL,0TO99
2160,909,2010,56906.38,ALL,ALL,ALL,0TO99
2172,925,2010,9792.21,ALL,ALL,ALL,0TO99
2200,903,2010,2670.76,ALL,ALL,ALL,0TO99
2166,907,2010,1698.65,ALL,ALL,ALL,0TO99
2211,911,2010,3142.56,ALL,ALL,ALL,0TO99
2195,924,2010,9287.62,ALL,ALL,ALL,0TO99
2214,916,2010,17832.80,ALL,ALL,ALL,0TO99
2216,925,2010,14083.64,ALL,ALL,ALL,0TO99
2190,895,2010,1722.91,ALL,ALL,ALL,0TO99
2178,919,2010,8802.61,ALL,ALL,ALL,0TO99
2183,907,2010,1698.65,ALL,ALL,ALL,0TO99
2190,896,2010,1720.97,ALL,ALL,ALL,0TO99
2162,889,2010,25200.40,ALL,ALL,ALL,0TO99
2161,891,2010,22761.48,ALL,ALL,ALL,0TO99
2203,921,2010,20072.98,ALL,ALL,ALL,0TO99
2173,907,2010,1698.65,ALL,ALL,ALL,0TO99
2184,906,2010,1700.72,ALL,ALL,ALL,0TO99
2195,914,2010,4431.62,ALL,ALL,ALL,0TO99
2190,922,2010,9311.25,ALL,ALL,ALL,0TO99
2201,925,2010,20055.71,ALL,ALL,ALL,0TO99
2189,898,2010,1716.93,ALL,ALL,ALL,0TO99
2210,904,2010,3248.26,ALL,ALL,ALL,0TO99
2174,924,2010,9805.65,ALL,ALL,ALL,0TO99
2178,913,2010,44269.95,ALL,ALL,ALL,0TO99
2197,919,2010,7052.19,ALL,ALL,ALL,0TO99
2193,919,2010,9347.14,ALL,ALL,ALL,0TO99
2183,893,2010,1726.92,ALL,ALL,ALL,0TO99
2181,918,2010,9815.99,ALL,ALL,ALL,0TO99
2178,923,2010,9817.89,ALL,ALL,ALL,0TO99
2205,924,2010,20082.74,ALL,ALL,ALL,0TO99
2203,928,2010,19324.87,ALL,ALL,ALL,0TO99
2162,896,2010,8825.74,ALL,ALL,ALL,0TO99
2169,901,2010,8601.01,ALL,ALL,ALL,0TO99
2181,893,2010,2573.41,ALL,ALL,ALL,0TO99
2167,927,2010,14524.79,ALL,ALL,ALL,0TO99
2160,912,2010,31649.83,ALL,ALL,ALL,0TO99
2171,920,2010,9855.44,ALL,ALL,ALL,0TO99
2190,901,2010,1710.91,ALL,ALL,ALL,0TO99
2212,929,2010,19952.54,ALL,ALL,ALL,0TO99
2162,886,2010,25285.17,ALL,ALL,ALL,0TO99
2191,895,2010,1707.79,ALL,ALL,ALL,0TO99
2175,892,2010,8866.48,ALL,ALL,ALL,0TO99
2176,919,2010,8807.00,ALL,ALL,ALL,0TO99
2190,918,2010,9358.61,ALL,ALL,ALL,0TO99
2207,926,2010,20030.45,ALL,ALL,ALL,0TO99
2192,926,2010,9327.67,ALL,ALL,ALL,0TO99
2204,922,2010,20133.83,ALL,ALL,ALL,0TO99
2210,910,2010,3361.72,ALL,ALL,ALL,0TO99
2170,884,2010,1257.48,ALL,ALL,ALL,0TO99
2185,928,2010,9708.69,ALL,ALL,ALL,0TO99
2167,896,2010,8825.74,ALL,ALL,ALL,0TO99
2195,899,2010,1714.98,ALL,ALL,ALL,0TO99
2181,916,2010,9536.25,ALL,ALL,ALL,0TO99
2185,926,2010,9780.10,ALL,ALL,ALL,0TO99
2161,916,2010,56500.59,ALL,ALL,ALL,0TO99
2164,897,2010,8813.08,ALL,ALL,ALL,0TO99
2165,917,2010,20870.80,ALL,ALL,ALL,0TO99
2180,891,2010,8876.67,ALL,ALL,ALL,0TO99
2173,919,2010,9868.46,ALL,ALL,ALL,0TO99
2171,911,2010,44380.15,ALL,ALL,ALL,0TO99
2179,894,2010,4211.93,ALL,ALL,ALL,0TO99
2178,916,2010,9905.63,ALL,ALL,ALL,0TO99
2185,895,2010,1722.91,ALL,ALL,ALL,0TO99
2172,888,2010,1290.31,ALL,ALL,ALL,0TO99
2163,908,2010,39471.44,ALL,ALL,ALL,0TO99
2172,917,2010,10289.48,ALL,ALL,ALL,0TO99
2196,917,2010,9331.07,ALL,ALL,ALL,0TO99
2212,926,2010,20030.45,ALL,ALL,ALL,0TO99
2197,902,2010,1708.87,ALL,ALL,ALL,0TO99
2212,909,2010,1266.35,ALL,ALL,ALL,0TO99
2206,905,2010,3382.17,ALL,ALL,ALL,0TO99
2197,914,2010,3345.34,ALL,ALL,ALL,0TO99
2200,917,2010,3332.74,ALL,ALL,ALL,0TO99
2206,904,2010,3386.40,ALL,ALL,ALL,0TO99
2165,886,2010,7180.90,ALL,ALL,ALL,0TO99
2196,912,2010,3353.55,ALL,ALL,ALL,0TO99
2209,916,2010,18608.30,ALL,ALL,ALL,0TO99
2219,929,2010,19952.54,ALL,ALL,ALL,0TO99
2222,929,2010,19471.08,ALL,ALL,ALL,0TO99
2179,901,2010,1710.91,ALL,ALL,ALL,0TO99
2194,910,2010,1720.94,ALL,ALL,ALL,0TO99
2172,921,2010,9843.25,ALL,ALL,ALL,0TO99
2184,912,2010,3775.29,ALL,ALL,ALL,0TO99
2190,923,2010,9299.24,ALL,ALL,ALL,0TO99
2201,919,2010,3324.43,ALL,ALL,ALL,0TO99
2210,916,2010,20169.01,ALL,ALL,ALL,0TO99
2166,886,2010,1293.22,ALL,ALL,ALL,0TO99
2188,903,2010,1572.77,ALL,ALL,ALL,0TO99
2169,887,2010,1291.77,ALL,ALL,ALL,0TO99
2166,899,2010,8795.00,ALL,ALL,ALL,0TO99
2183,904,2010,973.93,ALL,ALL,ALL,0TO99
2186,900,2010,1712.88,ALL,ALL,ALL,0TO99
