Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1936,701,D24HourMean,QuarterlyMean,Mean,26.45
1936,702,D24HourMean,QuarterlyMean,Mean,26.87
1936,703,D24HourMean,QuarterlyMean,Mean,48.65
1936,704,D24HourMean,QuarterlyMean,Mean,49.62
1937,697,D24HourMean,QuarterlyMean,Mean,-10.05
1937,698,D24HourMean,QuarterlyMean,Mean,26.28
1937,699,D24HourMean,QuarterlyMean,Mean,26.52
1937,700,D24HourMean,QuarterlyMean,Mean,26.55
1937,701,D24HourMean,QuarterlyMean,Mean,26.76
1937,702,D24HourMean,QuarterlyMean,Mean,27.25
1937,703,D24HourMean,QuarterlyMean,Mean,48.38
1937,704,D24HourMean,QuarterlyMean,Mean,49.50
1938,695,D24HourMean,QuarterlyMean,Mean,24.94
1938,696,D24HourMean,QuarterlyMean,Mean,25.58
1938,697,D24HourMean,QuarterlyMean,Mean,-10.09
1938,698,D24HourMean,QuarterlyMean,Mean,26.55
1938,699,D24HourMean,QuarterlyMean,Mean,26.78
1938,700,D24HourMean,QuarterlyMean,Mean,26.87
1938,701,D24HourMean,QuarterlyMean,Mean,27.07
1938,702,D24HourMean,QuarterlyMean,Mean,27.53
1938,703,D24HourMean,QuarterlyMean,Mean,49.61
1938,704,D24HourMean,QuarterlyMean,Mean,50.22
1938,705,D24HourMean,QuarterlyMean,Mean,51.45
1938,706,D24HourMean,QuarterlyMean,Mean,54.01
1939,694,D24HourMean,QuarterlyMean,Mean,24.39
1939,695,D24HourMean,QuarterlyMean,Mean,25.08
1939,696,D24HourMean,QuarterlyMean,Mean,25.79
1939,697,D24HourMean,QuarterlyMean,Mean,26.36
1939,698,D24HourMean,QuarterlyMean,Mean,26.75
1939,699,D24HourMean,QuarterlyMean,Mean,26.96
1939,700,D24HourMean,QuarterlyMean,Mean,27.04
1939,701,D24HourMean,QuarterlyMean,Mean,46.78
1939,702,D24HourMean,QuarterlyMean,Mean,47.99
1939,703,D24HourMean,QuarterlyMean,Mean,48.89
1939,704,D24HourMean,QuarterlyMean,Mean,51.08
1939,705,D24HourMean,QuarterlyMean,Mean,51.29
1939,706,D24HourMean,QuarterlyMean,Mean,54.24
1939,707,D24HourMean,QuarterlyMean,Mean,56.98
1939,708,D24HourMean,QuarterlyMean,Mean,59.04
1939,709,D24HourMean,QuarterlyMean,Mean,59.91
1940,693,D24HourMean,QuarterlyMean,Mean,23.88
1940,694,D24HourMean,QuarterlyMean,Mean,40.56
1940,695,D24HourMean,QuarterlyMean,Mean,40.88
1940,696,D24HourMean,QuarterlyMean,Mean,42.23
1940,697,D24HourMean,QuarterlyMean,Mean,26.44
1940,698,D24HourMean,QuarterlyMean,Mean,26.86
1940,699,D24HourMean,QuarterlyMean,Mean,45.83
1940,700,D24HourMean,QuarterlyMean,Mean,45.47
1940,701,D24HourMean,QuarterlyMean,Mean,46.68
1940,702,D24HourMean,QuarterlyMean,Mean,47.97
1940,703,D24HourMean,QuarterlyMean,Mean,49.04
1940,704,D24HourMean,QuarterlyMean,Mean,51.03
1940,705,D24HourMean,QuarterlyMean,Mean,51.32
1940,706,D24HourMean,QuarterlyMean,Mean,53.43
1940,707,D24HourMean,QuarterlyMean,Mean,55.96
1940,708,D24HourMean,QuarterlyMean,Mean,58.60
1940,709,D24HourMean,QuarterlyMean,Mean,60.94
1940,710,D24HourMean,QuarterlyMean,Mean,58.81
1941,656,D24HourMean,QuarterlyMean,Mean,27.62
1941,657,D24HourMean,QuarterlyMean,Mean,28.03
1941,691,D24HourMean,QuarterlyMean,Mean,-9.19
1941,692,D24HourMean,QuarterlyMean,Mean,23.37
1941,693,D24HourMean,QuarterlyMean,Mean,23.85
1941,694,D24HourMean,QuarterlyMean,Mean,40.45
1941,695,D24HourMean,QuarterlyMean,Mean,41.17
1941,696,D24HourMean,QuarterlyMean,Mean,41.01
1941,697,D24HourMean,QuarterlyMean,Mean,26.44
1941,698,D24HourMean,QuarterlyMean,Mean,40.96
1941,699,D24HourMean,QuarterlyMean,Mean,42.40
1941,700,D24HourMean,QuarterlyMean,Mean,44.13
1941,701,D24HourMean,QuarterlyMean,Mean,46.42
1941,702,D24HourMean,QuarterlyMean,Mean,47.62
1941,703,D24HourMean,QuarterlyMean,Mean,49.60
1941,704,D24HourMean,QuarterlyMean,Mean,51.28
1941,705,D24HourMean,QuarterlyMean,Mean,50.91
1941,706,D24HourMean,QuarterlyMean,Mean,54.47
1941,707,D24HourMean,QuarterlyMean,Mean,56.83
1941,708,D24HourMean,QuarterlyMean,Mean,56.74
1941,709,D24HourMean,QuarterlyMean,Mean,58.95
1941,710,D24HourMean,QuarterlyMean,Mean,57.72
1941,711,D24HourMean,QuarterlyMean,Mean,59.58
1941,712,D24HourMean,QuarterlyMean,Mean,58.05
1942,655,D24HourMean,QuarterlyMean,Mean,27.86
1942,656,D24HourMean,QuarterlyMean,Mean,27.94
1942,657,D24HourMean,QuarterlyMean,Mean,27.12
1942,658,D24HourMean,QuarterlyMean,Mean,28.34
1942,691,D24HourMean,QuarterlyMean,Mean,40.00
1942,692,D24HourMean,QuarterlyMean,Mean,41.03
1942,693,D24HourMean,QuarterlyMean,Mean,40.77
