Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1936,701,2010,574.58,ALL,ALL,ALL,0TO99
1936,702,2010,1292.83,ALL,ALL,ALL,0TO99
1936,703,2010,2700.56,ALL,ALL,ALL,0TO99
1936,704,2010,3051.36,ALL,ALL,ALL,0TO99
1937,697,2010,0.00,ALL,ALL,ALL,0TO99
1937,698,2010,246.92,ALL,ALL,ALL,0TO99
1937,699,2010,708.78,ALL,ALL,ALL,0TO99
1937,700,2010,829.70,ALL,ALL,ALL,0TO99
1937,701,2010,1218.28,ALL,ALL,ALL,0TO99
1937,702,2010,1720.21,ALL,ALL,ALL,0TO99
1937,703,2010,2031.30,ALL,ALL,ALL,0TO99
1937,704,2010,3067.35,ALL,ALL,ALL,0TO99
1938,695,2010,225.66,ALL,ALL,ALL,0TO99
1938,696,2010,124.14,ALL,ALL,ALL,0TO99
1938,697,2010,158.57,ALL,ALL,ALL,0TO99
1938,698,2010,310.76,ALL,ALL,ALL,0TO99
1938,699,2010,753.36,ALL,ALL,ALL,0TO99
1938,700,2010,1021.57,ALL,ALL,ALL,0TO99
1938,701,2010,1456.57,ALL,ALL,ALL,0TO99
1938,702,2010,2074.43,ALL,ALL,ALL,0TO99
1938,703,2010,2068.09,ALL,ALL,ALL,0TO99
1938,704,2010,2975.12,ALL,ALL,ALL,0TO99
1938,705,2010,646.22,ALL,ALL,ALL,0TO99
1938,706,2010,403.23,ALL,ALL,ALL,0TO99
1939,694,2010,2230.85,ALL,ALL,ALL,0TO99
1939,695,2010,1198.09,ALL,ALL,ALL,0TO99
1939,696,2010,612.43,ALL,ALL,ALL,0TO99
1939,697,2010,511.18,ALL,ALL,ALL,0TO99
1939,698,2010,856.99,ALL,ALL,ALL,0TO99
1939,699,2010,996.55,ALL,ALL,ALL,0TO99
1939,700,2010,1350.64,ALL,ALL,ALL,0TO99
1939,701,2010,1418.35,ALL,ALL,ALL,0TO99
1939,702,2010,1881.99,ALL,ALL,ALL,0TO99
1939,703,2010,2843.05,ALL,ALL,ALL,0TO99
1939,704,2010,2377.99,ALL,ALL,ALL,0TO99
1939,705,2010,477.20,ALL,ALL,ALL,0TO99
1939,706,2010,476.97,ALL,ALL,ALL,0TO99
1939,707,2010,436.73,ALL,ALL,ALL,0TO99
1939,708,2010,465.47,ALL,ALL,ALL,0TO99
1939,709,2010,350.33,ALL,ALL,ALL,0TO99
1940,693,2010,692.57,ALL,ALL,ALL,0TO99
1940,694,2010,1974.65,ALL,ALL,ALL,0TO99
1940,695,2010,1854.60,ALL,ALL,ALL,0TO99
1940,696,2010,1288.17,ALL,ALL,ALL,0TO99
1940,697,2010,987.86,ALL,ALL,ALL,0TO99
1940,698,2010,1273.87,ALL,ALL,ALL,0TO99
1940,699,2010,1479.73,ALL,ALL,ALL,0TO99
1940,700,2010,1487.68,ALL,ALL,ALL,0TO99
1940,701,2010,2085.11,ALL,ALL,ALL,0TO99
1940,702,2010,2985.91,ALL,ALL,ALL,0TO99
1940,703,2010,3257.93,ALL,ALL,ALL,0TO99
1940,704,2010,2333.84,ALL,ALL,ALL,0TO99
1940,705,2010,477.20,ALL,ALL,ALL,0TO99
1940,706,2010,476.99,ALL,ALL,ALL,0TO99
1940,707,2010,476.77,ALL,ALL,ALL,0TO99
1940,708,2010,476.55,ALL,ALL,ALL,0TO99
1940,709,2010,476.34,ALL,ALL,ALL,0TO99
1940,710,2010,447.23,ALL,ALL,ALL,0TO99
1941,656,2010,6808.89,ALL,ALL,ALL,0TO99
1941,657,2010,10695.44,ALL,ALL,ALL,0TO99
1941,691,2010,108.29,ALL,ALL,ALL,0TO99
1941,692,2010,160.87,ALL,ALL,ALL,0TO99
1941,693,2010,78.24,ALL,ALL,ALL,0TO99
1941,694,2010,666.69,ALL,ALL,ALL,0TO99
1941,695,2010,871.18,ALL,ALL,ALL,0TO99
1941,696,2010,1719.93,ALL,ALL,ALL,0TO99
1941,697,2010,1455.58,ALL,ALL,ALL,0TO99
1941,698,2010,1605.32,ALL,ALL,ALL,0TO99
1941,699,2010,1574.88,ALL,ALL,ALL,0TO99
1941,700,2010,1742.80,ALL,ALL,ALL,0TO99
1941,701,2010,2030.98,ALL,ALL,ALL,0TO99
1941,702,2010,2886.07,ALL,ALL,ALL,0TO99
1941,703,2010,3203.60,ALL,ALL,ALL,0TO99
1941,704,2010,1106.14,ALL,ALL,ALL,0TO99
1941,705,2010,477.20,ALL,ALL,ALL,0TO99
1941,706,2010,476.99,ALL,ALL,ALL,0TO99
1941,707,2010,476.77,ALL,ALL,ALL,0TO99
1941,708,2010,476.55,ALL,ALL,ALL,0TO99
1941,709,2010,476.34,ALL,ALL,ALL,0TO99
1941,710,2010,476.10,ALL,ALL,ALL,0TO99
1941,711,2010,474.78,ALL,ALL,ALL,0TO99
1941,712,2010,310.55,ALL,ALL,ALL,0TO99
1942,655,2010,7419.68,ALL,ALL,ALL,0TO99
1942,656,2010,7909.16,ALL,ALL,ALL,0TO99
1942,657,2010,7996.26,ALL,ALL,ALL,0TO99
1942,658,2010,10123.16,ALL,ALL,ALL,0TO99
1942,691,2010,237.11,ALL,ALL,ALL,0TO99
1942,692,2010,284.56,ALL,ALL,ALL,0TO99
1942,693,2010,212.03,ALL,ALL,ALL,0TO99
1942,694,2010,206.18,ALL,ALL,ALL,0TO99
1942,695,2010,1639.86,ALL,ALL,ALL,0TO99
1942,696,2010,2232.21,ALL,ALL,ALL,0TO99
1942,697,2010,1881.67,ALL,ALL,ALL,0TO99
1942,698,2010,1876.69,ALL,ALL,ALL,0TO99
1942,699,2010,1947.77,ALL,ALL,ALL,0TO99
1942,700,2010,2113.22,ALL,ALL,ALL,0TO99
1942,701,2010,2813.71,ALL,ALL,ALL,0TO99
1942,702,2010,2998.74,ALL,ALL,ALL,0TO99
1942,703,2010,1501.20,ALL,ALL,ALL,0TO99
1942,704,2010,522.30,ALL,ALL,ALL,0TO99
1942,705,2010,477.20,ALL,ALL,ALL,0TO99
1942,706,2010,476.99,ALL,ALL,ALL,0TO99
1942,707,2010,476.77,ALL,ALL,ALL,0TO99
1942,708,2010,476.55,ALL,ALL,ALL,0TO99
1942,709,2010,476.34,ALL,ALL,ALL,0TO99
1942,710,2010,476.10,ALL,ALL,ALL,0TO99
1942,711,2010,475.89,ALL,ALL,ALL,0TO99
1942,712,2010,475.19,ALL,ALL,ALL,0TO99
1942,713,2010,399.36,ALL,ALL,ALL,0TO99
1943,654,2010,7217.68,ALL,ALL,ALL,0TO99
1943,655,2010,7911.41,ALL,ALL,ALL,0TO99
1943,656,2010,7909.16,ALL,ALL,ALL,0TO99
1943,657,2010,7906.78,ALL,ALL,ALL,0TO99
1943,658,2010,7924.23,ALL,ALL,ALL,0TO99
1943,659,2010,8291.77,ALL,ALL,ALL,0TO99
1943,691,2010,639.10,ALL,ALL,ALL,0TO99
1943,692,2010,746.07,ALL,ALL,ALL,0TO99
1943,693,2010,606.21,ALL,ALL,ALL,0TO99
1943,694,2010,786.89,ALL,ALL,ALL,0TO99
1943,695,2010,2018.02,ALL,ALL,ALL,0TO99
1943,696,2010,3201.11,ALL,ALL,ALL,0TO99
1943,697,2010,3157.67,ALL,ALL,ALL,0TO99
1943,698,2010,3110.59,ALL,ALL,ALL,0TO99
1943,699,2010,2994.88,ALL,ALL,ALL,0TO99
1943,700,2010,2646.61,ALL,ALL,ALL,0TO99
1943,701,2010,3050.23,ALL,ALL,ALL,0TO99
1943,702,2010,1200.67,ALL,ALL,ALL,0TO99
1943,703,2010,477.64,ALL,ALL,ALL,0TO99
1943,704,2010,477.43,ALL,ALL,ALL,0TO99
1943,705,2010,477.20,ALL,ALL,ALL,0TO99
1943,706,2010,476.99,ALL,ALL,ALL,0TO99
1943,707,2010,476.77,ALL,ALL,ALL,0TO99
1943,708,2010,476.55,ALL,ALL,ALL,0TO99
1943,709,2010,476.34,ALL,ALL,ALL,0TO99
1943,710,2010,476.10,ALL,ALL,ALL,0TO99
1943,711,2010,475.89,ALL,ALL,ALL,0TO99
1943,712,2010,475.66,ALL,ALL,ALL,0TO99
1943,713,2010,475.43,ALL,ALL,ALL,0TO99
1943,714,2010,461.05,ALL,ALL,ALL,0TO99
1943,715,2010,248.51,ALL,ALL,ALL,0TO99
1944,653,2010,6379.79,ALL,ALL,ALL,0TO99
1944,654,2010,7913.83,ALL,ALL,ALL,0TO99
1944,655,2010,7911.41,ALL,ALL,ALL,0TO99
1944,656,2010,7909.16,ALL,ALL,ALL,0TO99
1944,657,2010,7906.78,ALL,ALL,ALL,0TO99
1944,658,2010,7904.38,ALL,ALL,ALL,0TO99
1944,659,2010,7927.45,ALL,ALL,ALL,0TO99
1944,691,2010,230.54,ALL,ALL,ALL,0TO99
1944,692,2010,858.11,ALL,ALL,ALL,0TO99
1944,693,2010,952.21,ALL,ALL,ALL,0TO99
1944,694,2010,1260.01,ALL,ALL,ALL,0TO99
1944,695,2010,2321.56,ALL,ALL,ALL,0TO99
1944,696,2010,3273.50,ALL,ALL,ALL,0TO99
1944,697,2010,3289.11,ALL,ALL,ALL,0TO99
1944,698,2010,3287.69,ALL,ALL,ALL,0TO99
1944,699,2010,3286.31,ALL,ALL,ALL,0TO99
1944,700,2010,3252.09,ALL,ALL,ALL,0TO99
1944,701,2010,1780.13,ALL,ALL,ALL,0TO99
1944,702,2010,511.04,ALL,ALL,ALL,0TO99
1944,703,2010,477.64,ALL,ALL,ALL,0TO99
1944,704,2010,477.43,ALL,ALL,ALL,0TO99
1944,705,2010,477.20,ALL,ALL,ALL,0TO99
1944,706,2010,476.99,ALL,ALL,ALL,0TO99
1944,707,2010,476.77,ALL,ALL,ALL,0TO99
1944,708,2010,476.55,ALL,ALL,ALL,0TO99
1944,709,2010,476.34,ALL,ALL,ALL,0TO99
1944,710,2010,476.10,ALL,ALL,ALL,0TO99
1944,711,2010,475.89,ALL,ALL,ALL,0TO99
1944,712,2010,475.66,ALL,ALL,ALL,0TO99
