Column,Row,Metric,Seasonal Metric,Annual Metric,Values
1806,669,D24HourMean,QuarterlyMean,Mean,26.19
1816,624,D24HourMean,QuarterlyMean,Mean,17.24
1815,637,D24HourMean,QuarterlyMean,Mean,19.43
1813,647,D24HourMean,QuarterlyMean,Mean,20.21
1810,633,D24HourMean,QuarterlyMean,Mean,18.41
1807,645,D24HourMean,QuarterlyMean,Mean,17.81
1807,648,D24HourMean,QuarterlyMean,Mean,19.82
1809,624,D24HourMean,QuarterlyMean,Mean,15.55
1809,641,D24HourMean,QuarterlyMean,Mean,18.15
1805,669,D24HourMean,QuarterlyMean,Mean,25.29
1809,648,D24HourMean,QuarterlyMean,Mean,19.81
1808,625,D24HourMean,QuarterlyMean,Mean,16.67
1815,635,D24HourMean,QuarterlyMean,Mean,18.38
1808,637,D24HourMean,QuarterlyMean,Mean,17.99
1811,641,D24HourMean,QuarterlyMean,Mean,20.08
1807,632,D24HourMean,QuarterlyMean,Mean,16.31
1811,649,D24HourMean,QuarterlyMean,Mean,20.27
1812,650,D24HourMean,QuarterlyMean,Mean,20.08
1802,670,D24HourMean,QuarterlyMean,Mean,22.23
1809,652,D24HourMean,QuarterlyMean,Mean,20.14
1811,629,D24HourMean,QuarterlyMean,Mean,17.18
1807,647,D24HourMean,QuarterlyMean,Mean,19.76
1809,647,D24HourMean,QuarterlyMean,Mean,18.74
1813,656,D24HourMean,QuarterlyMean,Mean,20.82
1811,630,D24HourMean,QuarterlyMean,Mean,19.11
1808,644,D24HourMean,QuarterlyMean,Mean,18.62
1807,635,D24HourMean,QuarterlyMean,Mean,17.39
1804,655,D24HourMean,QuarterlyMean,Mean,21.49
1804,664,D24HourMean,QuarterlyMean,Mean,20.87
1809,668,D24HourMean,QuarterlyMean,Mean,22.23
1808,668,D24HourMean,QuarterlyMean,Mean,24.11
1806,649,D24HourMean,QuarterlyMean,Mean,20.03
1808,652,D24HourMean,QuarterlyMean,Mean,19.45
1810,623,D24HourMean,QuarterlyMean,Mean,15.78
1812,657,D24HourMean,QuarterlyMean,Mean,22.18
1807,631,D24HourMean,QuarterlyMean,Mean,16.57
1806,661,D24HourMean,QuarterlyMean,Mean,19.35
1806,628,D24HourMean,QuarterlyMean,Mean,16.70
1811,647,D24HourMean,QuarterlyMean,Mean,20.42
1815,636,D24HourMean,QuarterlyMean,Mean,18.80
1814,649,D24HourMean,QuarterlyMean,Mean,20.88
1811,653,D24HourMean,QuarterlyMean,Mean,20.27
1813,630,D24HourMean,QuarterlyMean,Mean,16.44
1810,628,D24HourMean,QuarterlyMean,Mean,16.31
1806,660,D24HourMean,QuarterlyMean,Mean,20.95
1808,667,D24HourMean,QuarterlyMean,Mean,22.04
1808,640,D24HourMean,QuarterlyMean,Mean,18.24
1805,666,D24HourMean,QuarterlyMean,Mean,21.22
1808,669,D24HourMean,QuarterlyMean,Mean,22.44
1814,627,D24HourMean,QuarterlyMean,Mean,18.54
1811,660,D24HourMean,QuarterlyMean,Mean,21.46
1810,624,D24HourMean,QuarterlyMean,Mean,15.70
1804,665,D24HourMean,QuarterlyMean,Mean,20.63
1813,643,D24HourMean,QuarterlyMean,Mean,18.93
1812,652,D24HourMean,QuarterlyMean,Mean,20.69
1804,657,D24HourMean,QuarterlyMean,Mean,20.05
1807,657,D24HourMean,QuarterlyMean,Mean,21.01
1808,636,D24HourMean,QuarterlyMean,Mean,17.45
1810,661,D24HourMean,QuarterlyMean,Mean,21.03
1815,626,D24HourMean,QuarterlyMean,Mean,18.12
1815,639,D24HourMean,QuarterlyMean,Mean,20.01
1803,664,D24HourMean,QuarterlyMean,Mean,20.48
1808,646,D24HourMean,QuarterlyMean,Mean,18.43
1815,628,D24HourMean,QuarterlyMean,Mean,18.58
1811,635,D24HourMean,QuarterlyMean,Mean,18.49
1807,636,D24HourMean,QuarterlyMean,Mean,17.65
1809,630,D24HourMean,QuarterlyMean,Mean,17.76
1802,667,D24HourMean,QuarterlyMean,Mean,22.56
1809,634,D24HourMean,QuarterlyMean,Mean,17.75
1809,636,D24HourMean,QuarterlyMean,Mean,18.71
1811,628,D24HourMean,QuarterlyMean,Mean,15.72
1808,630,D24HourMean,QuarterlyMean,Mean,16.69
1806,665,D24HourMean,QuarterlyMean,Mean,21.35
1813,654,D24HourMean,QuarterlyMean,Mean,18.51
1807,634,D24HourMean,QuarterlyMean,Mean,16.96
1805,660,D24HourMean,QuarterlyMean,Mean,21.08
1807,668,D24HourMean,QuarterlyMean,Mean,25.04
1813,626,D24HourMean,QuarterlyMean,Mean,17.44
1807,664,D24HourMean,QuarterlyMean,Mean,21.51
1816,633,D24HourMean,QuarterlyMean,Mean,18.80
1809,633,D24HourMean,QuarterlyMean,Mean,17.24
1814,623,D24HourMean,QuarterlyMean,Mean,15.96
1815,641,D24HourMean,QuarterlyMean,Mean,20.14
1808,647,D24HourMean,QuarterlyMean,Mean,19.08
1816,630,D24HourMean,QuarterlyMean,Mean,19.58
1808,663,D24HourMean,QuarterlyMean,Mean,21.25
1807,654,D24HourMean,QuarterlyMean,Mean,20.29
1813,660,D24HourMean,QuarterlyMean,Mean,21.08
1809,640,D24HourMean,QuarterlyMean,Mean,17.86
1813,655,D24HourMean,QuarterlyMean,Mean,20.69
1809,635,D24HourMean,QuarterlyMean,Mean,17.83
1803,668,D24HourMean,QuarterlyMean,Mean,23.19
1804,666,D24HourMean,QuarterlyMean,Mean,22.07
1815,647,D24HourMean,QuarterlyMean,Mean,21.73
1811,627,D24HourMean,QuarterlyMean,Mean,16.96
1814,640,D24HourMean,QuarterlyMean,Mean,19.87
1814,629,D24HourMean,QuarterlyMean,Mean,16.37
1811,636,D24HourMean,QuarterlyMean,Mean,16.90
1814,630,D24HourMean,QuarterlyMean,Mean,17.11
1812,637,D24HourMean,QuarterlyMean,Mean,19.05
1812,638,D24HourMean,QuarterlyMean,Mean,18.45
1816,640,D24HourMean,QuarterlyMean,Mean,18.77
1813,649,D24HourMean,QuarterlyMean,Mean,19.97
1808,661,D24HourMean,QuarterlyMean,Mean,21.20
1809,637,D24HourMean,QuarterlyMean,Mean,18.72
1807,642,D24HourMean,QuarterlyMean,Mean,18.24
1809,657,D24HourMean,QuarterlyMean,Mean,20.24
1813,622,D24HourMean,QuarterlyMean,Mean,15.64
1808,629,D24HourMean,QuarterlyMean,Mean,17.39
1807,653,D24HourMean,QuarterlyMean,Mean,19.71
1808,632,D24HourMean,QuarterlyMean,Mean,16.46
1813,631,D24HourMean,QuarterlyMean,Mean,17.14
1814,634,D24HourMean,QuarterlyMean,Mean,19.24
1810,656,D24HourMean,QuarterlyMean,Mean,20.06
1809,638,D24HourMean,QuarterlyMean,Mean,18.17
1808,626,D24HourMean,QuarterlyMean,Mean,17.34
1813,659,D24HourMean,QuarterlyMean,Mean,20.71
1807,641,D24HourMean,QuarterlyMean,Mean,18.06
1808,650,D24HourMean,QuarterlyMean,Mean,19.48
1816,644,D24HourMean,QuarterlyMean,Mean,19.63
1815,651,D24HourMean,QuarterlyMean,Mean,20.77
1814,624,D24HourMean,QuarterlyMean,Mean,16.69
1809,655,D24HourMean,QuarterlyMean,Mean,19.43
1816,632,D24HourMean,QuarterlyMean,Mean,18.80
1809,651,D24HourMean,QuarterlyMean,Mean,20.43
1806,647,D24HourMean,QuarterlyMean,Mean,17.62
1809,653,D24HourMean,QuarterlyMean,Mean,19.64
1810,641,D24HourMean,QuarterlyMean,Mean,18.45
1806,662,D24HourMean,QuarterlyMean,Mean,12.01
1811,633,D24HourMean,QuarterlyMean,Mean,18.59
1808,666,D24HourMean,QuarterlyMean,Mean,21.70
1810,657,D24HourMean,QuarterlyMean,Mean,19.50
1811,638,D24HourMean,QuarterlyMean,Mean,18.30
1806,634,D24HourMean,QuarterlyMean,Mean,17.60
1810,654,D24HourMean,QuarterlyMean,Mean,18.93
1803,667,D24HourMean,QuarterlyMean,Mean,22.71
1806,659,D24HourMean,QuarterlyMean,Mean,21.52
1803,669,D24HourMean,QuarterlyMean,Mean,26.52
1810,642,D24HourMean,QuarterlyMean,Mean,18.22
1807,629,D24HourMean,QuarterlyMean,Mean,16.98
1809,649,D24HourMean,QuarterlyMean,Mean,20.27
1814,643,D24HourMean,QuarterlyMean,Mean,19.71
1806,648,D24HourMean,QuarterlyMean,Mean,18.88
1816,637,D24HourMean,QuarterlyMean,Mean,18.51
1811,651,D24HourMean,QuarterlyMean,Mean,18.61
1807,628,D24HourMean,QuarterlyMean,Mean,16.80
1807,665,D24HourMean,QuarterlyMean,Mean,22.13
1815,638,D24HourMean,QuarterlyMean,Mean,19.80
1815,642,D24HourMean,QuarterlyMean,Mean,20.05
1811,622,D24HourMean,QuarterlyMean,Mean,15.26
1813,648,D24HourMean,QuarterlyMean,Mean,20.01
1807,666,D24HourMean,QuarterlyMean,Mean,21.89
1816,628,D24HourMean,QuarterlyMean,Mean,18.48
1814,656,D24HourMean,QuarterlyMean,Mean,20.45
1813,642,D24HourMean,QuarterlyMean,Mean,18.40
1816,650,D24HourMean,QuarterlyMean,Mean,20.93
1811,639,D24HourMean,QuarterlyMean,Mean,19.00
1806,651,D24HourMean,QuarterlyMean,Mean,19.71
1810,632,D24HourMean,QuarterlyMean,Mean,17.71
1813,632,D24HourMean,QuarterlyMean,Mean,18.20
1808,660,D24HourMean,QuarterlyMean,Mean,21.14
1810,652,D24HourMean,QuarterlyMean,Mean,18.92
1806,663,D24HourMean,QuarterlyMean,Mean,18.98
1814,645,D24HourMean,QuarterlyMean,Mean,20.30
1809,659,D24HourMean,QuarterlyMean,Mean,21.04
1812,653,D24HourMean,QuarterlyMean,Mean,20.45
1809,643,D24HourMean,QuarterlyMean,Mean,19.39
1807,663,D24HourMean,QuarterlyMean,Mean,19.29
1811,632,D24HourMean,QuarterlyMean,Mean,17.91
1803,665,D24HourMean,QuarterlyMean,Mean,20.01
1810,626,D24HourMean,QuarterlyMean,Mean,17.24
1808,657,D24HourMean,QuarterlyMean,Mean,21.17
1808,638,D24HourMean,QuarterlyMean,Mean,17.29
