Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
1806,669,2010,10367.70,ALL,ALL,ALL,0TO99
1816,624,2010,43961.78,ALL,ALL,ALL,0TO99
1815,637,2010,6813.46,ALL,ALL,ALL,0TO99
1813,647,2010,8753.46,ALL,ALL,ALL,0TO99
1810,633,2010,12345.56,ALL,ALL,ALL,0TO99
1807,645,2010,6234.60,ALL,ALL,ALL,0TO99
1807,648,2010,6287.17,ALL,ALL,ALL,0TO99
1809,624,2010,15271.98,ALL,ALL,ALL,0TO99
1809,641,2010,6308.20,ALL,ALL,ALL,0TO99
1805,669,2010,13787.88,ALL,ALL,ALL,0TO99
1809,648,2010,6300.07,ALL,ALL,ALL,0TO99
1808,625,2010,14395.71,ALL,ALL,ALL,0TO99
1815,635,2010,6816.64,ALL,ALL,ALL,0TO99
1808,637,2010,11130.43,ALL,ALL,ALL,0TO99
1811,641,2010,6308.20,ALL,ALL,ALL,0TO99
1807,632,2010,15083.82,ALL,ALL,ALL,0TO99
1811,649,2010,10048.99,ALL,ALL,ALL,0TO99
1812,650,2010,10046.10,ALL,ALL,ALL,0TO99
1802,670,2010,14808.03,ALL,ALL,ALL,0TO99
1809,652,2010,4649.68,ALL,ALL,ALL,0TO99
1811,629,2010,8430.51,ALL,ALL,ALL,0TO99
1807,647,2010,6298.38,ALL,ALL,ALL,0TO99
1809,647,2010,6298.38,ALL,ALL,ALL,0TO99
1813,656,2010,26056.99,ALL,ALL,ALL,0TO99
1811,630,2010,8284.90,ALL,ALL,ALL,0TO99
1808,644,2010,6282.47,ALL,ALL,ALL,0TO99
1807,635,2010,11135.58,ALL,ALL,ALL,0TO99
1804,655,2010,4706.85,ALL,ALL,ALL,0TO99
1804,664,2010,4558.58,ALL,ALL,ALL,0TO99
1809,668,2010,12513.87,ALL,ALL,ALL,0TO99
1808,668,2010,13907.91,ALL,ALL,ALL,0TO99
1806,649,2010,4780.25,ALL,ALL,ALL,0TO99
1808,652,2010,4649.68,ALL,ALL,ALL,0TO99
1810,623,2010,20709.16,ALL,ALL,ALL,0TO99
1812,657,2010,12008.24,ALL,ALL,ALL,0TO99
1807,631,2010,15260.81,ALL,ALL,ALL,0TO99
1806,661,2010,4561.69,ALL,ALL,ALL,0TO99
1806,628,2010,13902.71,ALL,ALL,ALL,0TO99
1811,647,2010,7642.43,ALL,ALL,ALL,0TO99
1815,636,2010,6815.08,ALL,ALL,ALL,0TO99
1814,649,2010,7392.90,ALL,ALL,ALL,0TO99
1811,653,2010,7821.36,ALL,ALL,ALL,0TO99
