Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2788,646,D24HourMean,QuarterlyMean,Mean,8.06
2806,736,D24HourMean,QuarterlyMean,Mean,19.48
2840,741,D24HourMean,QuarterlyMean,Mean,18.81
2801,642,D24HourMean,QuarterlyMean,Mean,3.90
2795,722,D24HourMean,QuarterlyMean,Mean,20.29
2846,734,D24HourMean,QuarterlyMean,Mean,18.05
2794,713,D24HourMean,QuarterlyMean,Mean,16.64
2791,723,D24HourMean,QuarterlyMean,Mean,16.19
2799,690,D24HourMean,QuarterlyMean,Mean,15.11
2847,709,D24HourMean,QuarterlyMean,Mean,18.79
2786,727,D24HourMean,QuarterlyMean,Mean,17.40
2784,707,D24HourMean,QuarterlyMean,Mean,13.00
2802,748,D24HourMean,QuarterlyMean,Mean,20.23
2829,736,D24HourMean,QuarterlyMean,Mean,22.55
2795,718,D24HourMean,QuarterlyMean,Mean,19.72
2813,728,D24HourMean,QuarterlyMean,Mean,21.43
2807,720,D24HourMean,QuarterlyMean,Mean,19.45
2798,679,D24HourMean,QuarterlyMean,Mean,10.23
2799,737,D24HourMean,QuarterlyMean,Mean,19.78
2840,734,D24HourMean,QuarterlyMean,Mean,18.45
2818,694,D24HourMean,QuarterlyMean,Mean,14.28
2817,701,D24HourMean,QuarterlyMean,Mean,15.49
2792,656,D24HourMean,QuarterlyMean,Mean,8.29
2798,724,D24HourMean,QuarterlyMean,Mean,23.01
2783,735,D24HourMean,QuarterlyMean,Mean,14.91
2850,710,D24HourMean,QuarterlyMean,Mean,19.23
2830,715,D24HourMean,QuarterlyMean,Mean,21.64
2795,747,D24HourMean,QuarterlyMean,Mean,19.73
2822,685,D24HourMean,QuarterlyMean,Mean,11.99
2813,722,D24HourMean,QuarterlyMean,Mean,18.07
2820,621,D24HourMean,QuarterlyMean,Mean,9.48
2792,666,D24HourMean,QuarterlyMean,Mean,9.63
2789,647,D24HourMean,QuarterlyMean,Mean,8.22
2853,717,D24HourMean,QuarterlyMean,Mean,16.72
2811,739,D24HourMean,QuarterlyMean,Mean,19.13
2819,713,D24HourMean,QuarterlyMean,Mean,18.43
2797,646,D24HourMean,QuarterlyMean,Mean,7.70
2803,702,D24HourMean,QuarterlyMean,Mean,16.85
2806,747,D24HourMean,QuarterlyMean,Mean,19.31
2810,695,D24HourMean,QuarterlyMean,Mean,18.56
2819,715,D24HourMean,QuarterlyMean,Mean,20.63
2804,763,D24HourMean,QuarterlyMean,Mean,20.27
2806,733,D24HourMean,QuarterlyMean,Mean,19.24
2823,712,D24HourMean,QuarterlyMean,Mean,21.09
2805,733,D24HourMean,QuarterlyMean,Mean,19.76
2806,754,D24HourMean,QuarterlyMean,Mean,18.77
2843,734,D24HourMean,QuarterlyMean,Mean,18.70
2835,721,D24HourMean,QuarterlyMean,Mean,23.33
2791,714,D24HourMean,QuarterlyMean,Mean,14.53
2807,707,D24HourMean,QuarterlyMean,Mean,21.93
2827,700,D24HourMean,QuarterlyMean,Mean,16.23
2801,701,D24HourMean,QuarterlyMean,Mean,19.31
2787,718,D24HourMean,QuarterlyMean,Mean,14.20
2798,750,D24HourMean,QuarterlyMean,Mean,19.78
2791,655,D24HourMean,QuarterlyMean,Mean,7.50
2787,657,D24HourMean,QuarterlyMean,Mean,8.60
2799,703,D24HourMean,QuarterlyMean,Mean,21.21
2781,737,D24HourMean,QuarterlyMean,Mean,15.49
2801,754,D24HourMean,QuarterlyMean,Mean,22.16
2799,759,D24HourMean,QuarterlyMean,Mean,23.40
2804,723,D24HourMean,QuarterlyMean,Mean,20.88
2822,693,D24HourMean,QuarterlyMean,Mean,15.16
2813,706,D24HourMean,QuarterlyMean,Mean,15.39
2797,761,D24HourMean,QuarterlyMean,Mean,20.07
2800,763,D24HourMean,QuarterlyMean,Mean,24.72
2839,716,D24HourMean,QuarterlyMean,Mean,21.67
2800,688,D24HourMean,QuarterlyMean,Mean,15.73
2812,716,D24HourMean,QuarterlyMean,Mean,19.68
2793,668,D24HourMean,QuarterlyMean,Mean,8.96
2816,735,D24HourMean,QuarterlyMean,Mean,19.74
2809,753,D24HourMean,QuarterlyMean,Mean,19.89
2824,707,D24HourMean,QuarterlyMean,Mean,18.82
2782,739,D24HourMean,QuarterlyMean,Mean,15.44
2793,713,D24HourMean,QuarterlyMean,Mean,16.23
2803,727,D24HourMean,QuarterlyMean,Mean,22.53
2821,693,D24HourMean,QuarterlyMean,Mean,14.76
2835,714,D24HourMean,QuarterlyMean,Mean,20.03
2797,733,D24HourMean,QuarterlyMean,Mean,22.14
2796,698,D24HourMean,QuarterlyMean,Mean,17.46
2787,717,D24HourMean,QuarterlyMean,Mean,14.15
2791,648,D24HourMean,QuarterlyMean,Mean,7.49
2798,739,D24HourMean,QuarterlyMean,Mean,20.23
2783,709,D24HourMean,QuarterlyMean,Mean,12.92
2787,719,D24HourMean,QuarterlyMean,Mean,14.02
2812,721,D24HourMean,QuarterlyMean,Mean,19.30
2812,622,D24HourMean,QuarterlyMean,Mean,7.78
2832,706,D24HourMean,QuarterlyMean,Mean,17.57
2821,714,D24HourMean,QuarterlyMean,Mean,21.29
2822,717,D24HourMean,QuarterlyMean,Mean,22.25
2790,734,D24HourMean,QuarterlyMean,Mean,18.51
2855,716,D24HourMean,QuarterlyMean,Mean,16.08
2788,649,D24HourMean,QuarterlyMean,Mean,7.43
2794,689,D24HourMean,QuarterlyMean,Mean,11.06
2786,755,D24HourMean,QuarterlyMean,Mean,17.01
2822,707,D24HourMean,QuarterlyMean,Mean,20.11
2785,651,D24HourMean,QuarterlyMean,Mean,8.31
2793,723,D24HourMean,QuarterlyMean,Mean,19.48
2809,623,D24HourMean,QuarterlyMean,Mean,7.78
2806,715,D24HourMean,QuarterlyMean,Mean,19.82
2830,735,D24HourMean,QuarterlyMean,Mean,20.76
2811,617,D24HourMean,QuarterlyMean,Mean,8.17
2796,641,D24HourMean,QuarterlyMean,Mean,8.43
2791,725,D24HourMean,QuarterlyMean,Mean,17.88
2822,723,D24HourMean,QuarterlyMean,Mean,22.76
2803,750,D24HourMean,QuarterlyMean,Mean,20.29
2798,762,D24HourMean,QuarterlyMean,Mean,20.84
2798,647,D24HourMean,QuarterlyMean,Mean,7.71
2838,735,D24HourMean,QuarterlyMean,Mean,18.73
2792,644,D24HourMean,QuarterlyMean,Mean,8.45
2787,651,D24HourMean,QuarterlyMean,Mean,7.75
2795,741,D24HourMean,QuarterlyMean,Mean,20.69
2800,686,D24HourMean,QuarterlyMean,Mean,14.35
2806,741,D24HourMean,QuarterlyMean,Mean,19.29
2805,718,D24HourMean,QuarterlyMean,Mean,20.42
2810,735,D24HourMean,QuarterlyMean,Mean,17.15
2853,711,D24HourMean,QuarterlyMean,Mean,19.39
2852,711,D24HourMean,QuarterlyMean,Mean,21.03
2789,707,D24HourMean,QuarterlyMean,Mean,13.57
2806,738,D24HourMean,QuarterlyMean,Mean,19.58
2787,735,D24HourMean,QuarterlyMean,Mean,16.85
2810,739,D24HourMean,QuarterlyMean,Mean,19.39
2823,727,D24HourMean,QuarterlyMean,Mean,20.71
2784,711,D24HourMean,QuarterlyMean,Mean,13.50
2804,758,D24HourMean,QuarterlyMean,Mean,19.89
2823,688,D24HourMean,QuarterlyMean,Mean,13.70
2797,756,D24HourMean,QuarterlyMean,Mean,21.20
2805,711,D24HourMean,QuarterlyMean,Mean,20.87
2797,690,D24HourMean,QuarterlyMean,Mean,13.12
2797,736,D24HourMean,QuarterlyMean,Mean,20.31
2802,704,D24HourMean,QuarterlyMean,Mean,18.24
2808,747,D24HourMean,QuarterlyMean,Mean,20.82
2806,696,D24HourMean,QuarterlyMean,Mean,22.24
2830,702,D24HourMean,QuarterlyMean,Mean,15.92
2827,698,D24HourMean,QuarterlyMean,Mean,15.95
2786,754,D24HourMean,QuarterlyMean,Mean,16.92
2837,704,D24HourMean,QuarterlyMean,Mean,16.49
2810,709,D24HourMean,QuarterlyMean,Mean,19.91
2808,739,D24HourMean,QuarterlyMean,Mean,19.44
2850,722,D24HourMean,QuarterlyMean,Mean,18.66
2790,721,D24HourMean,QuarterlyMean,Mean,14.78
2796,692,D24HourMean,QuarterlyMean,Mean,13.51
2802,738,D24HourMean,QuarterlyMean,Mean,19.37
2796,757,D24HourMean,QuarterlyMean,Mean,20.78
2803,755,D24HourMean,QuarterlyMean,Mean,21.77
2810,725,D24HourMean,QuarterlyMean,Mean,16.59
2791,748,D24HourMean,QuarterlyMean,Mean,24.03
2800,754,D24HourMean,QuarterlyMean,Mean,21.31
2833,719,D24HourMean,QuarterlyMean,Mean,20.68
2809,735,D24HourMean,QuarterlyMean,Mean,17.11
2813,749,D24HourMean,QuarterlyMean,Mean,17.36
2832,723,D24HourMean,QuarterlyMean,Mean,23.65
2794,703,D24HourMean,QuarterlyMean,Mean,15.97
2799,684,D24HourMean,QuarterlyMean,Mean,12.63
2782,738,D24HourMean,QuarterlyMean,Mean,15.11
2791,716,D24HourMean,QuarterlyMean,Mean,14.25
2804,704,D24HourMean,QuarterlyMean,Mean,21.24
2814,713,D24HourMean,QuarterlyMean,Mean,21.35
2845,710,D24HourMean,QuarterlyMean,Mean,19.10
2795,735,D24HourMean,QuarterlyMean,Mean,20.05
2795,742,D24HourMean,QuarterlyMean,Mean,21.69
2822,735,D24HourMean,QuarterlyMean,Mean,21.05
2845,736,D24HourMean,QuarterlyMean,Mean,18.88
2825,710,D24HourMean,QuarterlyMean,Mean,20.45
2838,734,D24HourMean,QuarterlyMean,Mean,21.98
2840,718,D24HourMean,QuarterlyMean,Mean,21.61
2850,709,D24HourMean,QuarterlyMean,Mean,18.87
2793,693,D24HourMean,QuarterlyMean,Mean,12.37
2825,703,D24HourMean,QuarterlyMean,Mean,16.10
2802,638,D24HourMean,QuarterlyMean,Mean,3.82
2795,760,D24HourMean,QuarterlyMean,Mean,20.59
2799,754,D24HourMean,QuarterlyMean,Mean,21.93
2784,741,D24HourMean,QuarterlyMean,Mean,16.47
2796,691,D24HourMean,QuarterlyMean,Mean,12.64
2826,716,D24HourMean,QuarterlyMean,Mean,20.35
2852,705,D24HourMean,QuarterlyMean,Mean,16.24
2808,744,D24HourMean,QuarterlyMean,Mean,20.50
2815,707,D24HourMean,QuarterlyMean,Mean,17.32
2820,690,D24HourMean,QuarterlyMean,Mean,12.88
2796,693,D24HourMean,QuarterlyMean,Mean,14.17
2819,714,D24HourMean,QuarterlyMean,Mean,19.92
2837,739,D24HourMean,QuarterlyMean,Mean,19.82
2841,711,D24HourMean,QuarterlyMean,Mean,19.39
2819,620,D24HourMean,QuarterlyMean,Mean,8.43
2780,744,D24HourMean,QuarterlyMean,Mean,17.13
