Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2788,646,2010,7073.93,ALL,ALL,ALL,0TO99
2806,736,2010,2946.19,ALL,ALL,ALL,0TO99
2840,741,2010,11480.34,ALL,ALL,ALL,0TO99
2801,642,2010,28812.12,ALL,ALL,ALL,0TO99
2795,722,2010,13037.60,ALL,ALL,ALL,0TO99
2846,734,2010,12784.62,ALL,ALL,ALL,0TO99
2794,713,2010,2798.93,ALL,ALL,ALL,0TO99
2791,723,2010,3358.34,ALL,ALL,ALL,0TO99
2799,690,2010,23054.26,ALL,ALL,ALL,0TO99
2847,709,2010,16015.80,ALL,ALL,ALL,0TO99
2786,727,2010,8923.07,ALL,ALL,ALL,0TO99
2784,707,2010,1619.15,ALL,ALL,ALL,0TO99
2802,748,2010,6976.28,ALL,ALL,ALL,0TO99
2829,736,2010,15957.22,ALL,ALL,ALL,0TO99
2795,718,2010,9596.81,ALL,ALL,ALL,0TO99
2813,728,2010,10120.61,ALL,ALL,ALL,0TO99
2807,720,2010,13190.06,ALL,ALL,ALL,0TO99
2798,679,2010,13837.16,ALL,ALL,ALL,0TO99
2799,737,2010,5287.28,ALL,ALL,ALL,0TO99
2840,734,2010,12748.47,ALL,ALL,ALL,0TO99
2818,694,2010,6190.02,ALL,ALL,ALL,0TO99
2817,701,2010,4409.78,ALL,ALL,ALL,0TO99
2792,656,2010,8718.21,ALL,ALL,ALL,0TO99
2798,724,2010,12695.39,ALL,ALL,ALL,0TO99
2783,735,2010,5437.21,ALL,ALL,ALL,0TO99
2850,710,2010,22052.91,ALL,ALL,ALL,0TO99
2830,715,2010,15684.93,ALL,ALL,ALL,0TO99
2795,747,2010,4219.99,ALL,ALL,ALL,0TO99
2822,685,2010,60593.00,ALL,ALL,ALL,0TO99
2813,722,2010,11424.09,ALL,ALL,ALL,0TO99
2820,621,2010,23648.11,ALL,ALL,ALL,0TO99
2792,666,2010,6540.54,ALL,ALL,ALL,0TO99
2789,647,2010,4534.56,ALL,ALL,ALL,0TO99
2853,717,2010,9695.33,ALL,ALL,ALL,0TO99
2811,739,2010,2458.33,ALL,ALL,ALL,0TO99
2819,713,2010,12148.18,ALL,ALL,ALL,0TO99
2797,646,2010,10584.62,ALL,ALL,ALL,0TO99
2803,702,2010,20391.60,ALL,ALL,ALL,0TO99
2806,747,2010,4401.71,ALL,ALL,ALL,0TO99
2810,695,2010,41621.28,ALL,ALL,ALL,0TO99
2819,715,2010,10499.70,ALL,ALL,ALL,0TO99
2804,763,2010,7524.22,ALL,ALL,ALL,0TO99
2806,733,2010,2848.83,ALL,ALL,ALL,0TO99
2823,712,2010,25249.76,ALL,ALL,ALL,0TO99
2805,733,2010,3116.58,ALL,ALL,ALL,0TO99
2806,754,2010,9433.84,ALL,ALL,ALL,0TO99
2843,734,2010,11551.50,ALL,ALL,ALL,0TO99
2835,721,2010,31047.06,ALL,ALL,ALL,0TO99
2791,714,2010,1093.84,ALL,ALL,ALL,0TO99
2807,707,2010,37777.27,ALL,ALL,ALL,0TO99
2827,700,2010,15685.03,ALL,ALL,ALL,0TO99
2801,701,2010,27135.04,ALL,ALL,ALL,0TO99
2787,718,2010,749.71,ALL,ALL,ALL,0TO99
2798,750,2010,6328.98,ALL,ALL,ALL,0TO99
2791,655,2010,10087.61,ALL,ALL,ALL,0TO99
2787,657,2010,10636.15,ALL,ALL,ALL,0TO99
2799,703,2010,19112.02,ALL,ALL,ALL,0TO99
2781,737,2010,3390.17,ALL,ALL,ALL,0TO99
2801,754,2010,11096.84,ALL,ALL,ALL,0TO99
2799,759,2010,16665.40,ALL,ALL,ALL,0TO99
2804,723,2010,22265.31,ALL,ALL,ALL,0TO99
2822,693,2010,16367.41,ALL,ALL,ALL,0TO99
2813,706,2010,12384.81,ALL,ALL,ALL,0TO99
2797,761,2010,20855.69,ALL,ALL,ALL,0TO99
2800,763,2010,32229.77,ALL,ALL,ALL,0TO99
2839,716,2010,25819.74,ALL,ALL,ALL,0TO99
2800,688,2010,13989.73,ALL,ALL,ALL,0TO99
2812,716,2010,8987.10,ALL,ALL,ALL,0TO99
2793,668,2010,6876.79,ALL,ALL,ALL,0TO99
2816,735,2010,8468.45,ALL,ALL,ALL,0TO99
2809,753,2010,4771.30,ALL,ALL,ALL,0TO99
2824,707,2010,16332.74,ALL,ALL,ALL,0TO99
2782,739,2010,2591.19,ALL,ALL,ALL,0TO99
2793,713,2010,1942.34,ALL,ALL,ALL,0TO99
2803,727,2010,40874.27,ALL,ALL,ALL,0TO99
