Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2483,936,D24HourMean,QuarterlyMean,Mean,18.33
2511,951,D24HourMean,QuarterlyMean,Mean,3.54
2535,938,D24HourMean,QuarterlyMean,Mean,22.04
2524,943,D24HourMean,QuarterlyMean,Mean,4.39
2506,966,D24HourMean,QuarterlyMean,Mean,17.17
2548,937,D24HourMean,QuarterlyMean,Mean,21.92
2489,946,D24HourMean,QuarterlyMean,Mean,19.21
2488,936,D24HourMean,QuarterlyMean,Mean,19.95
2500,938,D24HourMean,QuarterlyMean,Mean,15.89
2493,946,D24HourMean,QuarterlyMean,Mean,17.13
2492,942,D24HourMean,QuarterlyMean,Mean,16.63
2482,937,D24HourMean,QuarterlyMean,Mean,17.70
2502,964,D24HourMean,QuarterlyMean,Mean,19.08
2512,951,D24HourMean,QuarterlyMean,Mean,3.54
2497,938,D24HourMean,QuarterlyMean,Mean,19.53
2494,961,D24HourMean,QuarterlyMean,Mean,16.36
2498,944,D24HourMean,QuarterlyMean,Mean,17.63
2528,937,D24HourMean,QuarterlyMean,Mean,24.51
2490,950,D24HourMean,QuarterlyMean,Mean,5.41
2485,945,D24HourMean,QuarterlyMean,Mean,20.37
2540,939,D24HourMean,QuarterlyMean,Mean,12.15
2539,935,D24HourMean,QuarterlyMean,Mean,13.22
2540,940,D24HourMean,QuarterlyMean,Mean,12.84
2490,947,D24HourMean,QuarterlyMean,Mean,18.37
2494,960,D24HourMean,QuarterlyMean,Mean,15.74
2497,943,D24HourMean,QuarterlyMean,Mean,17.58
2518,944,D24HourMean,QuarterlyMean,Mean,4.30
2484,953,D24HourMean,QuarterlyMean,Mean,6.12
2476,955,D24HourMean,QuarterlyMean,Mean,13.69
2496,939,D24HourMean,QuarterlyMean,Mean,19.30
2524,938,D24HourMean,QuarterlyMean,Mean,4.74
2510,944,D24HourMean,QuarterlyMean,Mean,4.45
2537,948,D24HourMean,QuarterlyMean,Mean,14.32
2497,947,D24HourMean,QuarterlyMean,Mean,14.61
2504,963,D24HourMean,QuarterlyMean,Mean,17.55
2533,937,D24HourMean,QuarterlyMean,Mean,26.16
2491,961,D24HourMean,QuarterlyMean,Mean,16.01
2493,948,D24HourMean,QuarterlyMean,Mean,5.53
2531,951,D24HourMean,QuarterlyMean,Mean,3.95
2546,944,D24HourMean,QuarterlyMean,Mean,16.31
2487,948,D24HourMean,QuarterlyMean,Mean,5.98
2501,938,D24HourMean,QuarterlyMean,Mean,15.66
2519,927,D24HourMean,QuarterlyMean,Mean,6.14
2504,966,D24HourMean,QuarterlyMean,Mean,16.51
2536,946,D24HourMean,QuarterlyMean,Mean,4.06
2527,934,D24HourMean,QuarterlyMean,Mean,20.77
2495,942,D24HourMean,QuarterlyMean,Mean,17.74
2489,955,D24HourMean,QuarterlyMean,Mean,5.51
2527,949,D24HourMean,QuarterlyMean,Mean,3.97
2535,950,D24HourMean,QuarterlyMean,Mean,12.39
2530,948,D24HourMean,QuarterlyMean,Mean,4.06
2491,932,D24HourMean,QuarterlyMean,Mean,21.35
2513,943,D24HourMean,QuarterlyMean,Mean,4.39
2510,952,D24HourMean,QuarterlyMean,Mean,3.59
2541,934,D24HourMean,QuarterlyMean,Mean,20.11
2520,930,D24HourMean,QuarterlyMean,Mean,5.62
2524,944,D24HourMean,QuarterlyMean,Mean,4.32
2508,961,D24HourMean,QuarterlyMean,Mean,15.35
2514,948,D24HourMean,QuarterlyMean,Mean,3.88
2491,946,D24HourMean,QuarterlyMean,Mean,18.34
2487,954,D24HourMean,QuarterlyMean,Mean,5.76
2502,962,D24HourMean,QuarterlyMean,Mean,15.64
2496,966,D24HourMean,QuarterlyMean,Mean,14.28
2502,941,D24HourMean,QuarterlyMean,Mean,15.66
2506,959,D24HourMean,QuarterlyMean,Mean,16.13
2520,950,D24HourMean,QuarterlyMean,Mean,3.75
2504,965,D24HourMean,QuarterlyMean,Mean,17.07
2535,954,D24HourMean,QuarterlyMean,Mean,3.88
2512,949,D24HourMean,QuarterlyMean,Mean,3.74
2537,943,D24HourMean,QuarterlyMean,Mean,4.06
2497,950,D24HourMean,QuarterlyMean,Mean,4.97
