Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2483,936,2010,6317.72,ALL,ALL,ALL,0TO99
2511,951,2010,1684.75,ALL,ALL,ALL,0TO99
2535,938,2010,47.58,ALL,ALL,ALL,0TO99
2524,943,2010,468.71,ALL,ALL,ALL,0TO99
2506,966,2010,3831.45,ALL,ALL,ALL,0TO99
2548,937,2010,47.64,ALL,ALL,ALL,0TO99
2489,946,2010,41932.67,ALL,ALL,ALL,0TO99
2488,936,2010,16212.69,ALL,ALL,ALL,0TO99
2500,938,2010,5289.37,ALL,ALL,ALL,0TO99
2493,946,2010,4993.49,ALL,ALL,ALL,0TO99
2492,942,2010,6941.52,ALL,ALL,ALL,0TO99
2482,937,2010,5023.77,ALL,ALL,ALL,0TO99
2502,964,2010,4778.97,ALL,ALL,ALL,0TO99
2512,951,2010,1711.04,ALL,ALL,ALL,0TO99
2497,938,2010,18622.14,ALL,ALL,ALL,0TO99
2494,961,2010,23175.47,ALL,ALL,ALL,0TO99
2498,944,2010,1590.90,ALL,ALL,ALL,0TO99
2528,937,2010,268.11,ALL,ALL,ALL,0TO99
2490,950,2010,7824.96,ALL,ALL,ALL,0TO99
2485,945,2010,14195.69,ALL,ALL,ALL,0TO99
2540,939,2010,47.51,ALL,ALL,ALL,0TO99
2539,935,2010,47.77,ALL,ALL,ALL,0TO99
2540,940,2010,47.45,ALL,ALL,ALL,0TO99
2490,947,2010,10614.72,ALL,ALL,ALL,0TO99
2494,960,2010,25456.17,ALL,ALL,ALL,0TO99
2497,943,2010,3869.60,ALL,ALL,ALL,0TO99
2518,944,2010,761.70,ALL,ALL,ALL,0TO99
2484,953,2010,1293.17,ALL,ALL,ALL,0TO99
2476,955,2010,7306.67,ALL,ALL,ALL,0TO99
2496,939,2010,9066.07,ALL,ALL,ALL,0TO99
2524,938,2010,250.46,ALL,ALL,ALL,0TO99
2510,944,2010,953.47,ALL,ALL,ALL,0TO99
2537,948,2010,24.05,ALL,ALL,ALL,0TO99
2497,947,2010,6749.39,ALL,ALL,ALL,0TO99
2504,963,2010,18935.84,ALL,ALL,ALL,0TO99
2533,937,2010,47.64,ALL,ALL,ALL,0TO99
2491,961,2010,9759.12,ALL,ALL,ALL,0TO99
2493,948,2010,4607.14,ALL,ALL,ALL,0TO99
2531,951,2010,44.02,ALL,ALL,ALL,0TO99
2546,944,2010,47.19,ALL,ALL,ALL,0TO99
2487,948,2010,11394.90,ALL,ALL,ALL,0TO99
2501,938,2010,2884.97,ALL,ALL,ALL,0TO99
2519,927,2010,795.84,ALL,ALL,ALL,0TO99
2504,966,2010,3692.53,ALL,ALL,ALL,0TO99
2536,946,2010,47.06,ALL,ALL,ALL,0TO99
2527,934,2010,831.61,ALL,ALL,ALL,0TO99
2495,942,2010,4431.46,ALL,ALL,ALL,0TO99
2489,955,2010,7211.22,ALL,ALL,ALL,0TO99
2527,949,2010,44.37,ALL,ALL,ALL,0TO99
2535,950,2010,11.85,ALL,ALL,ALL,0TO99
2530,948,2010,46.92,ALL,ALL,ALL,0TO99
2491,932,2010,13340.61,ALL,ALL,ALL,0TO99
2513,943,2010,833.06,ALL,ALL,ALL,0TO99
2510,952,2010,1885.03,ALL,ALL,ALL,0TO99
2541,934,2010,47.83,ALL,ALL,ALL,0TO99
2520,930,2010,448.12,ALL,ALL,ALL,0TO99
2524,944,2010,161.10,ALL,ALL,ALL,0TO99
2508,961,2010,17637.84,ALL,ALL,ALL,0TO99
2514,948,2010,960.64,ALL,ALL,ALL,0TO99
2491,946,2010,5243.06,ALL,ALL,ALL,0TO99
2487,954,2010,1291.37,ALL,ALL,ALL,0TO99
2502,962,2010,11008.21,ALL,ALL,ALL,0TO99
2496,966,2010,6209.46,ALL,ALL,ALL,0TO99
2502,941,2010,2873.24,ALL,ALL,ALL,0TO99
2506,959,2010,9826.57,ALL,ALL,ALL,0TO99
2520,950,2010,778.51,ALL,ALL,ALL,0TO99
2504,965,2010,3697.90,ALL,ALL,ALL,0TO99
2535,954,2010,119.12,ALL,ALL,ALL,0TO99
2512,949,2010,1042.34,ALL,ALL,ALL,0TO99
2537,943,2010,47.25,ALL,ALL,ALL,0TO99
2497,950,2010,4483.05,ALL,ALL,ALL,0TO99
2517,952,2010,1375.43,ALL,ALL,ALL,0TO99
2499,954,2010,2215.55,ALL,ALL,ALL,0TO99
2482,947,2010,12385.68,ALL,ALL,ALL,0TO99
2528,935,2010,648.99,ALL,ALL,ALL,0TO99
2481,955,2010,4408.32,ALL,ALL,ALL,0TO99
2491,959,2010,31615.67,ALL,ALL,ALL,0TO99
2538,935,2010,47.77,ALL,ALL,ALL,0TO99
2516,954,2010,1236.18,ALL,ALL,ALL,0TO99
2516,928,2010,991.81,ALL,ALL,ALL,0TO99
2518,943,2010,771.10,ALL,ALL,ALL,0TO99
2484,938,2010,6843.10,ALL,ALL,ALL,0TO99
2526,934,2010,831.10,ALL,ALL,ALL,0TO99
2534,951,2010,34.29,ALL,ALL,ALL,0TO99
2484,936,2010,6418.94,ALL,ALL,ALL,0TO99
2544,940,2010,47.45,ALL,ALL,ALL,0TO99
2535,936,2010,47.71,ALL,ALL,ALL,0TO99
2486,942,2010,10042.74,ALL,ALL,ALL,0TO99
2505,948,2010,1093.26,ALL,ALL,ALL,0TO99
2502,948,2010,1091.24,ALL,ALL,ALL,0TO99
2496,948,2010,4628.25,ALL,ALL,ALL,0TO99
2537,942,2010,47.32,ALL,ALL,ALL,0TO99
2519,945,2010,693.57,ALL,ALL,ALL,0TO99
2496,954,2010,2215.55,ALL,ALL,ALL,0TO99
2498,964,2010,12289.46,ALL,ALL,ALL,0TO99
2531,939,2010,30.34,ALL,ALL,ALL,0TO99
2528,952,2010,30.16,ALL,ALL,ALL,0TO99
2492,945,2010,5258.46,ALL,ALL,ALL,0TO99
2530,942,2010,46.30,ALL,ALL,ALL,0TO99
2480,935,2010,4640.68,ALL,ALL,ALL,0TO99
2500,965,2010,10700.13,ALL,ALL,ALL,0TO99
2490,949,2010,10826.17,ALL,ALL,ALL,0TO99
2485,932,2010,8438.40,ALL,ALL,ALL,0TO99
2509,947,2010,890.05,ALL,ALL,ALL,0TO99
2491,940,2010,10363.37,ALL,ALL,ALL,0TO99
2550,937,2010,85.12,ALL,ALL,ALL,0TO99
2539,933,2010,47.90,ALL,ALL,ALL,0TO99
2519,935,2010,829.94,ALL,ALL,ALL,0TO99
2517,942,2010,733.44,ALL,ALL,ALL,0TO99
2526,944,2010,296.94,ALL,ALL,ALL,0TO99
2486,936,2010,8204.95,ALL,ALL,ALL,0TO99
2538,947,2010,350.67,ALL,ALL,ALL,0TO99
2522,930,2010,384.71,ALL,ALL,ALL,0TO99
2504,944,2010,1334.63,ALL,ALL,ALL,0TO99
2529,947,2010,42.58,ALL,ALL,ALL,0TO99
2490,943,2010,12947.71,ALL,ALL,ALL,0TO99
2514,945,2010,706.88,ALL,ALL,ALL,0TO99
2491,941,2010,11786.17,ALL,ALL,ALL,0TO99
2515,941,2010,754.21,ALL,ALL,ALL,0TO99
2530,943,2010,46.36,ALL,ALL,ALL,0TO99
2527,936,2010,531.49,ALL,ALL,ALL,0TO99
2508,949,2010,1316.89,ALL,ALL,ALL,0TO99
2478,955,2010,4192.29,ALL,ALL,ALL,0TO99
2482,945,2010,13263.06,ALL,ALL,ALL,0TO99
2521,944,2010,581.86,ALL,ALL,ALL,0TO99
2487,945,2010,12873.74,ALL,ALL,ALL,0TO99
2543,943,2010,47.25,ALL,ALL,ALL,0TO99
2499,962,2010,5778.57,ALL,ALL,ALL,0TO99
2526,932,2010,672.51,ALL,ALL,ALL,0TO99
2517,934,2010,831.10,ALL,ALL,ALL,0TO99
2522,950,2010,190.62,ALL,ALL,ALL,0TO99
2529,934,2010,249.39,ALL,ALL,ALL,0TO99
2524,931,2010,584.07,ALL,ALL,ALL,0TO99
2532,937,2010,47.64,ALL,ALL,ALL,0TO99
2501,966,2010,4051.47,ALL,ALL,ALL,0TO99
2502,954,2010,2215.55,ALL,ALL,ALL,0TO99
2525,950,2010,43.82,ALL,ALL,ALL,0TO99
2498,955,2010,2437.89,ALL,ALL,ALL,0TO99
2543,936,2010,47.71,ALL,ALL,ALL,0TO99
2544,935,2010,47.77,ALL,ALL,ALL,0TO99
2535,939,2010,47.51,ALL,ALL,ALL,0TO99
2504,940,2010,1078.31,ALL,ALL,ALL,0TO99
2550,933,2010,42.81,ALL,ALL,ALL,0TO99
2530,945,2010,47.12,ALL,ALL,ALL,0TO99
2524,940,2010,377.20,ALL,ALL,ALL,0TO99
2537,945,2010,47.12,ALL,ALL,ALL,0TO99
2533,951,2010,46.04,ALL,ALL,ALL,0TO99
2518,954,2010,1084.00,ALL,ALL,ALL,0TO99
