Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2401,957,D24HourMean,QuarterlyMean,Mean,94.28
2422,964,D24HourMean,QuarterlyMean,Mean,42.02
2354,965,D24HourMean,QuarterlyMean,Mean,39.98
2407,944,D24HourMean,QuarterlyMean,Mean,47.95
2418,918,D24HourMean,QuarterlyMean,Mean,20.63
2405,971,D24HourMean,QuarterlyMean,Mean,56.97
2331,965,D24HourMean,QuarterlyMean,Mean,21.77
2347,976,D24HourMean,QuarterlyMean,Mean,26.90
2445,941,D24HourMean,QuarterlyMean,Mean,21.99
2403,935,D24HourMean,QuarterlyMean,Mean,29.30
2400,960,D24HourMean,QuarterlyMean,Mean,98.83
2424,958,D24HourMean,QuarterlyMean,Mean,43.01
2385,951,D24HourMean,QuarterlyMean,Mean,86.91
2360,949,D24HourMean,QuarterlyMean,Mean,42.02
2346,954,D24HourMean,QuarterlyMean,Mean,33.03
2431,955,D24HourMean,QuarterlyMean,Mean,38.67
2352,961,D24HourMean,QuarterlyMean,Mean,41.47
2412,948,D24HourMean,QuarterlyMean,Mean,60.61
2429,915,D24HourMean,QuarterlyMean,Mean,21.27
2464,934,D24HourMean,QuarterlyMean,Mean,19.00
2435,926,D24HourMean,QuarterlyMean,Mean,20.55
2371,964,D24HourMean,QuarterlyMean,Mean,69.41
2401,931,D24HourMean,QuarterlyMean,Mean,22.30
2397,955,D24HourMean,QuarterlyMean,Mean,101.75
2402,969,D24HourMean,QuarterlyMean,Mean,65.51
2353,958,D24HourMean,QuarterlyMean,Mean,39.73
2435,948,D24HourMean,QuarterlyMean,Mean,33.24
2351,967,D24HourMean,QuarterlyMean,Mean,37.22
2443,941,D24HourMean,QuarterlyMean,Mean,22.89
2353,950,D24HourMean,QuarterlyMean,Mean,38.12
2354,961,D24HourMean,QuarterlyMean,Mean,42.95
2407,966,D24HourMean,QuarterlyMean,Mean,69.70
2423,963,D24HourMean,QuarterlyMean,Mean,42.65
2381,963,D24HourMean,QuarterlyMean,Mean,93.54
2399,959,D24HourMean,QuarterlyMean,Mean,100.37
2361,954,D24HourMean,QuarterlyMean,Mean,44.13
2384,980,D24HourMean,QuarterlyMean,Mean,40.15
2415,963,D24HourMean,QuarterlyMean,Mean,63.94
2465,939,D24HourMean,QuarterlyMean,Mean,16.57
2462,936,D24HourMean,QuarterlyMean,Mean,17.70
2413,962,D24HourMean,QuarterlyMean,Mean,70.51
2437,929,D24HourMean,QuarterlyMean,Mean,21.69
2333,961,D24HourMean,QuarterlyMean,Mean,24.09
2401,955,D24HourMean,QuarterlyMean,Mean,92.04
