Column,Row,Year,Population,Race,Ethnicity,Gender,AgeRange
2401,957,2010,784.86,ALL,ALL,ALL,0TO99
2422,964,2010,321.60,ALL,ALL,ALL,0TO99
2354,965,2010,103.12,ALL,ALL,ALL,0TO99
2407,944,2010,1245.95,ALL,ALL,ALL,0TO99
2418,918,2010,671.77,ALL,ALL,ALL,0TO99
2405,971,2010,778.37,ALL,ALL,ALL,0TO99
2331,965,2010,103.12,ALL,ALL,ALL,0TO99
2347,976,2010,101.41,ALL,ALL,ALL,0TO99
2445,941,2010,1337.75,ALL,ALL,ALL,0TO99
2403,935,2010,585.99,ALL,ALL,ALL,0TO99
2400,960,2010,787.09,ALL,ALL,ALL,0TO99
2424,958,2010,701.95,ALL,ALL,ALL,0TO99
2385,951,2010,929.59,ALL,ALL,ALL,0TO99
2360,949,2010,248.40,ALL,ALL,ALL,0TO99
2346,954,2010,1492.02,ALL,ALL,ALL,0TO99
2431,955,2010,1637.98,ALL,ALL,ALL,0TO99
2352,961,2010,135.21,ALL,ALL,ALL,0TO99
2412,948,2010,2175.01,ALL,ALL,ALL,0TO99
2429,915,2010,674.29,ALL,ALL,ALL,0TO99
2464,934,2010,1823.70,ALL,ALL,ALL,0TO99
2435,926,2010,1320.22,ALL,ALL,ALL,0TO99
2371,964,2010,296.14,ALL,ALL,ALL,0TO99
2401,931,2010,717.82,ALL,ALL,ALL,0TO99
2397,955,2010,484.26,ALL,ALL,ALL,0TO99
2402,969,2010,780.76,ALL,ALL,ALL,0TO99
2353,958,2010,245.21,ALL,ALL,ALL,0TO99
2435,948,2010,963.26,ALL,ALL,ALL,0TO99
2351,967,2010,102.81,ALL,ALL,ALL,0TO99
2443,941,2010,1050.64,ALL,ALL,ALL,0TO99
2353,950,2010,248.04,ALL,ALL,ALL,0TO99
2354,961,2010,172.14,ALL,ALL,ALL,0TO99
2407,966,2010,320.64,ALL,ALL,ALL,0TO99
2423,963,2010,322.07,ALL,ALL,ALL,0TO99
2381,963,2010,1181.59,ALL,ALL,ALL,0TO99
2399,959,2010,481.49,ALL,ALL,ALL,0TO99
2361,954,2010,246.64,ALL,ALL,ALL,0TO99
2384,980,2010,2365.04,ALL,ALL,ALL,0TO99
2415,963,2010,322.06,ALL,ALL,ALL,0TO99
2465,939,2010,1811.44,ALL,ALL,ALL,0TO99
2462,936,2010,1818.78,ALL,ALL,ALL,0TO99
2413,962,2010,322.55,ALL,ALL,ALL,0TO99
2437,929,2010,1101.97,ALL,ALL,ALL,0TO99
2333,961,2010,103.74,ALL,ALL,ALL,0TO99
2401,955,2010,515.04,ALL,ALL,ALL,0TO99
2350,974,2010,101.73,ALL,ALL,ALL,0TO99
2426,947,2010,964.63,ALL,ALL,ALL,0TO99
2384,962,2010,1200.74,ALL,ALL,ALL,0TO99
2424,914,2010,675.17,ALL,ALL,ALL,0TO99
2429,921,2010,669.23,ALL,ALL,ALL,0TO99
2386,952,2010,928.26,ALL,ALL,ALL,0TO99
2386,960,2010,917.55,ALL,ALL,ALL,0TO99
2396,946,2010,576.31,ALL,ALL,ALL,0TO99
2439,930,2010,1531.81,ALL,ALL,ALL,0TO99
2441,936,2010,1057.80,ALL,ALL,ALL,0TO99
2342,963,2010,103.43,ALL,ALL,ALL,0TO99
2355,957,2010,245.57,ALL,ALL,ALL,0TO99
2399,960,2010,787.23,ALL,ALL,ALL,0TO99
2457,940,2010,4390.43,ALL,ALL,ALL,0TO99
2408,943,2010,1247.63,ALL,ALL,ALL,0TO99
2443,931,2010,1678.33,ALL,ALL,ALL,0TO99
2429,941,2010,1176.16,ALL,ALL,ALL,0TO99
2426,937,2010,1047.95,ALL,ALL,ALL,0TO99
2334,961,2010,103.74,ALL,ALL,ALL,0TO99
2340,938,2010,316.10,ALL,ALL,ALL,0TO99
2424,937,2010,1226.46,ALL,ALL,ALL,0TO99
2399,977,2010,1042.37,ALL,ALL,ALL,0TO99
2454,937,2010,2828.27,ALL,ALL,ALL,0TO99
2438,946,2010,1076.88,ALL,ALL,ALL,0TO99
2448,940,2010,1976.85,ALL,ALL,ALL,0TO99
2384,972,2010,1017.19,ALL,ALL,ALL,0TO99
2429,947,2010,964.63,ALL,ALL,ALL,0TO99
2400,951,2010,826.20,ALL,ALL,ALL,0TO99
2342,943,2010,313.94,ALL,ALL,ALL,0TO99
2342,939,2010,315.68,ALL,ALL,ALL,0TO99
2422,949,2010,961.94,ALL,ALL,ALL,0TO99
2387,947,2010,934.84,ALL,ALL,ALL,0TO99
2347,937,2010,316.53,ALL,ALL,ALL,0TO99
2425,937,2010,1145.12,ALL,ALL,ALL,0TO99
2387,943,2010,940.05,ALL,ALL,ALL,0TO99
2434,931,2010,1051.31,ALL,ALL,ALL,0TO99
2377,948,2010,617.26,ALL,ALL,ALL,0TO99
2332,981,2010,74.94,ALL,ALL,ALL,0TO99
2384,941,2010,942.66,ALL,ALL,ALL,0TO99
2396,953,2010,485.66,ALL,ALL,ALL,0TO99
2437,938,2010,1088.78,ALL,ALL,ALL,0TO99
2363,961,2010,244.14,ALL,ALL,ALL,0TO99
2361,957,2010,245.57,ALL,ALL,ALL,0TO99
2442,932,2010,1998.32,ALL,ALL,ALL,0TO99
2385,966,2010,2000.71,ALL,ALL,ALL,0TO99
2428,955,2010,705.00,ALL,ALL,ALL,0TO99
2349,954,2010,246.64,ALL,ALL,ALL,0TO99
2362,961,2010,244.14,ALL,ALL,ALL,0TO99
2394,972,2010,1192.83,ALL,ALL,ALL,0TO99
2438,934,2010,1094.66,ALL,ALL,ALL,0TO99
2441,921,2010,1699.59,ALL,ALL,ALL,0TO99
2386,976,2010,1192.57,ALL,ALL,ALL,0TO99
2341,957,2010,94.00,ALL,ALL,ALL,0TO99
2388,976,2010,1015.23,ALL,ALL,ALL,0TO99
2359,957,2010,245.57,ALL,ALL,ALL,0TO99
2434,951,2010,864.65,ALL,ALL,ALL,0TO99
2395,949,2010,748.70,ALL,ALL,ALL,0TO99
2434,937,2010,1093.17,ALL,ALL,ALL,0TO99
2362,954,2010,246.64,ALL,ALL,ALL,0TO99
2422,927,2010,1442.58,ALL,ALL,ALL,0TO99
2371,949,2010,616.41,ALL,ALL,ALL,0TO99
2344,940,2010,315.23,ALL,ALL,ALL,0TO99
2386,961,2010,920.32,ALL,ALL,ALL,0TO99
2411,935,2010,1341.36,ALL,ALL,ALL,0TO99
2371,968,2010,1207.24,ALL,ALL,ALL,0TO99
2354,954,2010,220.29,ALL,ALL,ALL,0TO99
2391,975,2010,2049.96,ALL,ALL,ALL,0TO99
2410,947,2010,1784.29,ALL,ALL,ALL,0TO99
2422,947,2010,1068.03,ALL,ALL,ALL,0TO99
2439,938,2010,1088.78,ALL,ALL,ALL,0TO99
2390,956,2010,922.95,ALL,ALL,ALL,0TO99
2394,973,2010,1190.99,ALL,ALL,ALL,0TO99
2331,950,2010,551.37,ALL,ALL,ALL,0TO99
2344,949,2010,313.59,ALL,ALL,ALL,0TO99
2409,938,2010,496.62,ALL,ALL,ALL,0TO99
2428,916,2010,673.47,ALL,ALL,ALL,0TO99
2437,936,2010,1086.62,ALL,ALL,ALL,0TO99
2425,913,2010,675.98,ALL,ALL,ALL,0TO99
2343,966,2010,76.09,ALL,ALL,ALL,0TO99
2439,932,2010,1065.54,ALL,ALL,ALL,0TO99
2394,956,2010,922.95,ALL,ALL,ALL,0TO99
2342,933,2010,2159.26,ALL,ALL,ALL,0TO99
2430,923,2010,1195.70,ALL,ALL,ALL,0TO99
2410,966,2010,320.64,ALL,ALL,ALL,0TO99
2343,940,2010,315.23,ALL,ALL,ALL,0TO99
2377,977,2010,271.23,ALL,ALL,ALL,0TO99
2379,964,2010,1041.99,ALL,ALL,ALL,0TO99
2390,971,2010,2062.68,ALL,ALL,ALL,0TO99
