Column,Row,Metric,Seasonal Metric,Annual Metric,Values
3063,474,D24HourMean,QuarterlyMean,Mean,6.18
3044,467,D24HourMean,QuarterlyMean,Mean,6.60
3061,474,D24HourMean,QuarterlyMean,Mean,6.78
3065,470,D24HourMean,QuarterlyMean,Mean,5.02
3066,473,D24HourMean,QuarterlyMean,Mean,6.76
3068,473,D24HourMean,QuarterlyMean,Mean,6.48
3053,469,D24HourMean,QuarterlyMean,Mean,6.62
3057,472,D24HourMean,QuarterlyMean,Mean,5.98
3072,475,D24HourMean,QuarterlyMean,Mean,6.37
3057,474,D24HourMean,QuarterlyMean,Mean,5.91
3064,475,D24HourMean,QuarterlyMean,Mean,5.93
3053,468,D24HourMean,QuarterlyMean,Mean,6.55
3052,470,D24HourMean,QuarterlyMean,Mean,6.14
3056,477,D24HourMean,QuarterlyMean,Mean,5.73
3067,474,D24HourMean,QuarterlyMean,Mean,6.60
3063,473,D24HourMean,QuarterlyMean,Mean,6.48
3071,476,D24HourMean,QuarterlyMean,Mean,6.14
3061,472,D24HourMean,QuarterlyMean,Mean,6.25
3068,472,D24HourMean,QuarterlyMean,Mean,6.62
3065,471,D24HourMean,QuarterlyMean,Mean,6.69
3067,472,D24HourMean,QuarterlyMean,Mean,6.66
3064,473,D24HourMean,QuarterlyMean,Mean,6.64
3063,471,D24HourMean,QuarterlyMean,Mean,6.41
3052,471,D24HourMean,QuarterlyMean,Mean,6.14
3056,468,D24HourMean,QuarterlyMean,Mean,6.30
3055,469,D24HourMean,QuarterlyMean,Mean,6.53
3059,473,D24HourMean,QuarterlyMean,Mean,6.36
3057,468,D24HourMean,QuarterlyMean,Mean,6.20
3069,474,D24HourMean,QuarterlyMean,Mean,6.69
3060,471,D24HourMean,QuarterlyMean,Mean,5.98
3070,473,D24HourMean,QuarterlyMean,Mean,6.55
3057,473,D24HourMean,QuarterlyMean,Mean,6.30
3064,472,D24HourMean,QuarterlyMean,Mean,6.82
3061,469,D24HourMean,QuarterlyMean,Mean,6.92
3063,472,D24HourMean,QuarterlyMean,Mean,6.59
3051,467,D24HourMean,QuarterlyMean,Mean,6.66
3071,475,D24HourMean,QuarterlyMean,Mean,6.07
3058,473,D24HourMean,QuarterlyMean,Mean,6.48
3055,472,D24HourMean,QuarterlyMean,Mean,5.66
3054,473,D24HourMean,QuarterlyMean,Mean,6.04
3072,474,D24HourMean,QuarterlyMean,Mean,6.82
3065,473,D24HourMean,QuarterlyMean,Mean,6.76
3068,475,D24HourMean,QuarterlyMean,Mean,6.59
3064,474,D24HourMean,QuarterlyMean,Mean,6.04
3065,474,D24HourMean,QuarterlyMean,Mean,6.05
3059,472,D24HourMean,QuarterlyMean,Mean,6.30
3058,472,D24HourMean,QuarterlyMean,Mean,6.20
3065,475,D24HourMean,QuarterlyMean,Mean,5.98
3043,466,D24HourMean,QuarterlyMean,Mean,6.66
3060,473,D24HourMean,QuarterlyMean,Mean,6.53
3070,475,D24HourMean,QuarterlyMean,Mean,6.29
3055,468,D24HourMean,QuarterlyMean,Mean,6.41
3058,471,D24HourMean,QuarterlyMean,Mean,6.11
3056,471,D24HourMean,QuarterlyMean,Mean,6.05
3054,468,D24HourMean,QuarterlyMean,Mean,6.34
3063,470,D24HourMean,QuarterlyMean,Mean,6.78
3060,472,D24HourMean,QuarterlyMean,Mean,6.30
3056,470,D24HourMean,QuarterlyMean,Mean,6.48
3058,470,D24HourMean,QuarterlyMean,Mean,6.00
3062,470,D24HourMean,QuarterlyMean,Mean,6.75
3058,468,D24HourMean,QuarterlyMean,Mean,6.46
3042,466,D24HourMean,QuarterlyMean,Mean,6.34
3052,466,D24HourMean,QuarterlyMean,Mean,6.68
3069,475,D24HourMean,QuarterlyMean,Mean,6.50
3058,474,D24HourMean,QuarterlyMean,Mean,6.29
3044,466,D24HourMean,QuarterlyMean,Mean,6.39
3072,476,D24HourMean,QuarterlyMean,Mean,6.64
3064,470,D24HourMean,QuarterlyMean,Mean,6.83
3053,466,D24HourMean,QuarterlyMean,Mean,6.68
3054,472,D24HourMean,QuarterlyMean,Mean,5.82
3045,467,D24HourMean,QuarterlyMean,Mean,6.55
3067,473,D24HourMean,QuarterlyMean,Mean,6.83
3071,474,D24HourMean,QuarterlyMean,Mean,6.45
3066,474,D24HourMean,QuarterlyMean,Mean,6.39
3053,473,D24HourMean,QuarterlyMean,Mean,6.29
3053,470,D24HourMean,QuarterlyMean,Mean,6.25
3055,471,D24HourMean,QuarterlyMean,Mean,5.88
3051,471,D24HourMean,QuarterlyMean,Mean,6.25
3059,471,D24HourMean,QuarterlyMean,Mean,6.21
3055,473,D24HourMean,QuarterlyMean,Mean,5.88
3070,476,D24HourMean,QuarterlyMean,Mean,6.25
3058,469,D24HourMean,QuarterlyMean,Mean,6.25
3056,472,D24HourMean,QuarterlyMean,Mean,5.77
3062,472,D24HourMean,QuarterlyMean,Mean,6.41
3051,470,D24HourMean,QuarterlyMean,Mean,6.25
3052,473,D24HourMean,QuarterlyMean,Mean,6.39
3054,470,D24HourMean,QuarterlyMean,Mean,6.30
3053,471,D24HourMean,QuarterlyMean,Mean,6.14
3060,469,D24HourMean,QuarterlyMean,Mean,7.13
3064,471,D24HourMean,QuarterlyMean,Mean,6.52
3052,472,D24HourMean,QuarterlyMean,Mean,6.09
3054,471,D24HourMean,QuarterlyMean,Mean,5.93
